agesex_scenario,species,production_system,item,mean_current,stdev_current,mean_ideal,stdev_ideal,mean_mortality_zero,stdev_mortality_zero,mean_all_mort_25_imp,stdev_all_mort_25_imp,mean_all_mort_50_imp,stdev_all_mort_50_imp,mean_all_mort_75_imp,stdev_all_mort_75_imp,mean_current_growth_25_imp_all,stdev_current_growth_25_imp_all,mean_current_growth_50_imp_all,stdev_current_growth_50_imp_all,mean_current_growth_75_imp_all,stdev_current_growth_75_imp_all,mean_current_growth_100_imp_all,stdev_current_growth_100_imp_all,mean_current_repro_25_imp,stdev_current_repro_25_imp,mean_current_repro_50_imp,stdev_current_repro_50_imp,mean_current_repro_75_imp,stdev_current_repro_75_imp,mean_current_repro_100_imp,stdev_current_repro_100_imp,exchg_rate_lcuperusdol,mean_current_usd,mean_ideal_usd,mean_mortality_zero_usd,mean_all_mort_25_imp_usd,mean_all_mort_50_imp_usd,mean_all_mort_75_imp_usd,mean_current_growth_25_imp_all_usd,mean_current_growth_50_imp_all_usd,mean_current_growth_75_imp_all_usd,mean_current_growth_100_imp_all_usd,mean_current_repro_25_imp_usd,mean_current_repro_50_imp_usd,mean_current_repro_75_imp_usd,mean_current_repro_100_imp_usd,stdev_current_usd,stdev_ideal_usd,stdev_mortality_zero_usd,stdev_all_mort_25_imp_usd,stdev_all_mort_50_imp_usd,stdev_all_mort_75_imp_usd,stdev_current_growth_25_imp_all_usd,stdev_current_growth_50_imp_all_usd,stdev_current_growth_75_imp_all_usd,stdev_current_growth_100_imp_all_usd,stdev_current_repro_25_imp_usd,stdev_current_repro_50_imp_usd,stdev_current_repro_75_imp_usd,stdev_current_repro_100_imp_usd
Adult Female,Sheep,Crop livestock mixed,Num Offtake,3862198.88590613,29663.2533590853,4281543.09996422,138756.702289904,3876883.74004253,29922.4908749778,3867356.00818912,29828.900399683,3868884.84006419,29702.0084400098,3875135.02632031,30041.888614883,3860019.57586602,29277.2658444642,3859550.06167849,29919.273174048,3854077.23760672,29452.5965857564,3857729.40753265,29639.7067213968,3917972.95555682,43449.6614804157,3983201.35161268,61054.8072026594,4051400.09706274,80011.8010322088,4242485.83400509,136953.795781498,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Cml Pop Growth,2047283.98943567,376124.62810669,10375256.6253226,1955300.61548543,3003685.10637467,367672.570287993,2320730.5613011,370260.679061315,2521277.99063238,365437.424102834,2796834.2396448,372580.425567067,2023471.07853235,365834.732294346,2014498.7753268,377636.45720466,1921467.83870883,370134.565247463,1981476.52837344,377352.376385993,3083324.51750256,573183.574362083,4242596.5177009,825833.387588977,5445963.40841717,1086928.60976196,8880127.94656079,1886017.87952429,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Total Number Increase,5909482.8753418,395150.341432772,14656799.7252868,2050314.70717382,6880568.8464172,386440.366504471,6188086.56949022,389079.265221218,6390162.83069657,384365.746098558,6671969.26596511,391489.801917561,5883490.65439837,384122.162375239,5874048.83700529,396281.280749473,5775545.07631555,388748.629517481,5839205.9359061,396071.127107983,7001297.47305938,601649.47201175,8225797.86931358,866988.59660464,9497363.50547992,1141573.07048032,13122613.7805659,1980186.38418522,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Total Mortality,3725327.19096501,160449.510432919,4183156.2448868,405580.04819575,2959730.67715542,143166.69762328,3523055.51312856,152008.899283062,3360311.02632057,151591.553755463,3145578.59586313,151279.632635665,3732576.67982979,161536.029963763,3761274.42758274,163463.130350163,3798887.44373534,164345.069543526,3768598.20866182,163784.94632246,3933656.22121649,187379.760399487,4183661.4425433,226611.999405274,4337741.82031132,268654.61745946,4933382.14309342,402950.963596333,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Population Liveweight (kg),658222270.224655,66569973.2766722,842675999.678685,78359538.6690983,681627093.781802,69244153.0587853,665209509.418368,66756372.2896824,668679896.171652,68417561.8542315,675780395.555482,68473309.1154692,665579386.543696,66185188.089218,674535344.002595,65746000.2337588,683293637.823674,66467414.7638831,678612729.590353,60511019.2776418,676114813.229048,68866071.1281609,695864573.825608,69848336.4221304,719441464.323884,72859107.6395082,781985919.037854,79742988.1147922,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Offtake Liveweight (kg),110844165.933493,16636721.899473,122280164.645207,18701979.9380443,111506319.636968,17049518.876034,111540945.583305,16809638.321721,111246646.044128,17173934.3397724,111527259.097174,17167501.4824675,111709543.370371,16950094.0681148,111819994.834853,16896339.4102873,111982674.141511,16845233.1657487,111773365.079028,16793525.5651261,112291247.227911,17159039.3022253,113946827.718044,17219814.6634757,115658045.741601,17734972.5388285,120644907.402147,18499763.1081504,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Meat (kg),46554549.6920669,6987423.19777868,315705072.708322,16676665.7659862,299147986.594652,15170487.4926796,299134825.589245,14759091.846426,298798584.585946,15160741.1622787,298795934.431676,15136115.1693773,299649483.847892,15183522.8129195,300411081.266296,14963222.7397877,301138814.560034,14987896.4963676,300381574.633487,15054448.7507929,300019629.017432,15101184.443596,302350644.218817,15364605.6416729,304765702.145108,15676225.6895256,312166956.13806,16729029.5700344,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Manure,2305501396.41005,14332608.5373317,2579573563.19756,67705472.2948703,2354046254.91788,13267176.6895523,2318692923.7582,13869020.7341955,2329565306.80207,13391565.3645373,2342907569.67174,13358348.639713,2304820504.44431,14006768.3650949,2304586887.6374,14387991.5771261,2300877057.01037,14241487.8804373,2303361378.45542,14381052.5968416,2338123905.24466,20793171.2110306,2373044656.41894,29630577.5802444,2410958983.9493,38921700.3094021,2516531537.3794,66590342.46764,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Hides,865796.395846498,51044.0799734312,547159.898702908,51025.5246861156,456415.553859711,32599.1812568348,768284.219600816,44702.4574668119,665748.221608415,39345.9187599871,563266.867325671,35466.1418583375,870468.817762631,51343.980491662,865331.425773391,51402.2918545855,884153.572358022,52092.9055667357,868568.694129961,52812.5074891601,876954.363836111,52666.4369571797,916533.85504943,54357.8153086928,918518.769622348,56609.991068555,975773.041155103,66557.7291560428,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
