region,species,production_system,agesex_scenario,year,ahle_total_mean,ahle_dueto_mortality_mean,ahle_dueto_healthcost_mean,ahle_dueto_productionloss_mean,ahle_when_mort_imp25_mean,ahle_when_mort_imp50_mean,ahle_when_mort_imp75_mean,ahle_when_mort_imp100_mean,ahle_when_repro_imp25_mean,ahle_when_repro_imp50_mean,ahle_when_repro_imp75_mean,ahle_when_repro_imp100_mean,ahle_when_all_growth_imp25_mean,ahle_when_all_growth_imp50_mean,ahle_when_all_growth_imp75_mean,ahle_when_all_growth_imp100_mean,ahle_total_stdev,ahle_dueto_mortality_stdev,ahle_dueto_healthcost_stdev,ahle_dueto_productionloss_stdev,ahle_total_mean_usd,ahle_dueto_mortality_mean_usd,ahle_dueto_healthcost_mean_usd,ahle_dueto_productionloss_mean_usd,ahle_when_mort_imp25_mean_usd,ahle_when_mort_imp50_mean_usd,ahle_when_mort_imp75_mean_usd,ahle_when_mort_imp100_mean_usd,ahle_when_repro_imp25_mean_usd,ahle_when_repro_imp50_mean_usd,ahle_when_repro_imp75_mean_usd,ahle_when_repro_imp100_mean_usd,ahle_when_all_growth_imp25_mean_usd,ahle_when_all_growth_imp50_mean_usd,ahle_when_all_growth_imp75_mean_usd,ahle_when_all_growth_imp100_mean_usd,ahle_total_stdev_usd,ahle_dueto_mortality_stdev_usd,ahle_dueto_healthcost_stdev_usd,ahle_dueto_productionloss_stdev_usd
Afar,Cattle,Overall,Adult Combined,2021,,,43802770.45728836,,,,,,,,,,,,,,,,1692928.9862546457,,,,1254117.5314565098,,,,,,,,,,,,,,,,48470.265670594796,
Afar,Cattle,Overall,Adult Female,2021,-772073613230.2377,97880461281.56189,34876198.6761592,-869988950710.4757,,,,97880461281.56189,,,,,,,,,166147793918.84387,248561701845.80554,1375993.87400849,298978275214.8977,-22105246855.816235,2802416404.2307024,998540.7711364031,-24908661800.818073,,,,2802416404.2307024,,,,,,,,,4756979044.730145,7116572414.921817,39396.09350174503,8560049799.526865
Afar,Cattle,Overall,Adult Male,2021,108948367606.318,69308820119.896,8926571.78112916,39630620914.64087,,,,69308820119.896,,,,,,,,,232395270134.46527,242460868587.2987,986229.897737992,335849422178.97455,3119301733.936724,1984381478.3743744,255576.76032010684,1134664678.8020298,,,,1984381478.3743744,,,,,,,,,6653711157.092113,6941899400.724075,28236.757444504907,9615707953.790125
Afar,Cattle,Overall,Juvenile Combined,2021,,56195872671.45288,94620324.9545432,,,,,56195872671.45288,,,,,,,,,,235386374822.0479,13932024.862948004,,,1608944557.0911431,2709075.4104997437,,,,,1608944557.0911431,,,,,,,,,,6739349503.433171,398887.9344138341,
Afar,Cattle,Overall,Juvenile Female,2021,159081351265.41296,,53379887.8258184,,,,,,,,,,,,,,249288147639.84552,,10557910.2301373,,4554659658.897206,,1528320.068586023,,,,,,,,,,,,,,7137371291.2588,,302283.6267416065,
Afar,Cattle,Overall,Juvenile Male,2021,142845652507.1029,,41240437.1287248,,,,,,,,,,,,,,251681776974.5358,,9090206.17775876,,4089815215.59658,,1180755.3419137206,,,,,,,,,,,,,,7205903315.172008,,260261.77826349455,
Afar,Cattle,Overall,Neonatal Combined,2021,,39311219646.10693,305857499.38274395,,,,,39311219646.10693,,,,,,,,,,225138063709.9019,45259901.1124747,,,1125519898.0893931,8757008.931144528,,,,,1125519898.0893931,,,,,,,,,,6445930011.940154,1295836.6529005242,
Afar,Cattle,Overall,Neonatal Female,2021,129875820193.53394,,154816200.002881,,,,,,,,,,,,,,262277159744.97577,,32071733.408653,,3718475825.0811214,,4432544.073129157,,,,,,,,,,,,,,7509259818.566192,,918246.0997806285,
Afar,Cattle,Overall,Neonatal Male,2021,134059163625.86597,,151041299.379863,,,,,,,,,,,,,,250619946943.24738,,31935287.1425212,,3838249170.096062,,4324464.858015372,,,,,,,,,,,,,,7175502049.595341,,914339.5054563145,
Afar,Cattle,Overall,Overall,2021,-764187387190.3164,121888282957.85889,444280594.7945756,-886519950742.9698,,,,121888282957.85889,,,,,,,,,166067105939.69135,235028175385.60297,47385925.90680582,287778611341.5943,-21879456244.162163,3489784571.631993,12720201.873100782,-25381961017.667255,,,,3489784571.631993,,,,,,,,,4754668866.442868,6729093892.011481,1356706.8887108767,8239392118.213632
Afar,Cattle,Overall,Oxen,2021,139922810323.45288,77435819075.88391,0.0,62486991247.56897,,,,77435819075.88391,,,,,,,,,245077685380.2904,238272997155.75308,0.0,341814413161.50806,4006131293.645333,2217065661.6447344,0.0,1789065632.0005982,,,,2217065661.6447344,,,,,,,,,7016821506.847493,6821996414.521216,0.0,9786491666.51144
Afar,Cattle,Pastoral,Adult Combined,2021,,,43802770.45728836,,,,,,,,,,,,,,,,1692928.9862546457,,,,1254117.5314565098,,,,,,,,,,,,,,,,48470.265670594796,
Afar,Cattle,Pastoral,Adult Female,2021,-772073613230.2377,97880461281.56189,34876198.6761592,-869988950710.4757,,,,97880461281.56189,,,,,,,,,166147793918.84387,248561701845.80554,1375993.87400849,298978275214.8977,-22105246855.816235,2802416404.2307024,998540.7711364031,-24908661800.818073,,,,2802416404.2307024,,,,,,,,,4756979044.730145,7116572414.921817,39396.09350174503,8560049799.526865
Afar,Cattle,Pastoral,Adult Male,2021,108948367606.318,69308820119.896,8926571.78112916,39630620914.64087,,,,69308820119.896,,,,,,,,,232395270134.46527,242460868587.2987,986229.897737992,335849422178.97455,3119301733.936724,1984381478.3743744,255576.76032010684,1134664678.8020298,,,,1984381478.3743744,,,,,,,,,6653711157.092113,6941899400.724075,28236.757444504907,9615707953.790125
Afar,Cattle,Pastoral,Juvenile Combined,2021,,56195872671.45288,94620324.9545432,,,,,56195872671.45288,,,,,,,,,,235386374822.0479,13932024.862948004,,,1608944557.0911431,2709075.4104997437,,,,,1608944557.0911431,,,,,,,,,,6739349503.433171,398887.9344138341,
Afar,Cattle,Pastoral,Juvenile Female,2021,159081351265.41296,,53379887.8258184,,,,,,,,,,,,,,249288147639.84552,,10557910.2301373,,4554659658.897206,,1528320.068586023,,,,,,,,,,,,,,7137371291.2588,,302283.6267416065,
Afar,Cattle,Pastoral,Juvenile Male,2021,142845652507.1029,,41240437.1287248,,,,,,,,,,,,,,251681776974.5358,,9090206.17775876,,4089815215.59658,,1180755.3419137206,,,,,,,,,,,,,,7205903315.172008,,260261.77826349455,
Afar,Cattle,Pastoral,Neonatal Combined,2021,,39311219646.10693,305857499.38274395,,,,,39311219646.10693,,,,,,,,,,225138063709.9019,45259901.1124747,,,1125519898.0893931,8757008.931144528,,,,,1125519898.0893931,,,,,,,,,,6445930011.940154,1295836.6529005242,
Afar,Cattle,Pastoral,Neonatal Female,2021,129875820193.53394,,154816200.002881,,,,,,,,,,,,,,262277159744.97577,,32071733.408653,,3718475825.0811214,,4432544.073129157,,,,,,,,,,,,,,7509259818.566192,,918246.0997806285,
Afar,Cattle,Pastoral,Neonatal Male,2021,134059163625.86597,,151041299.379863,,,,,,,,,,,,,,250619946943.24738,,31935287.1425212,,3838249170.096062,,4324464.858015372,,,,,,,,,,,,,,7175502049.595341,,914339.5054563145,
Afar,Cattle,Pastoral,Overall,2021,-764187387190.3164,121888282957.85889,444280594.7945756,-886519950742.9698,,,,121888282957.85889,,,,,,,,,166067105939.69135,235028175385.60297,47385925.90680582,287778611341.5943,-21879456244.162163,3489784571.631993,12720201.873100782,-25381961017.667255,,,,3489784571.631993,,,,,,,,,4754668866.442868,6729093892.011481,1356706.8887108767,8239392118.213632
Afar,Cattle,Pastoral,Oxen,2021,139922810323.45288,77435819075.88391,0.0,62486991247.56897,,,,77435819075.88391,,,,,,,,,245077685380.2904,238272997155.75308,0.0,341814413161.50806,4006131293.645333,2217065661.6447344,0.0,1789065632.0005982,,,,2217065661.6447344,,,,,,,,,7016821506.847493,6821996414.521216,0.0,9786491666.51144
Amhara,Cattle,Crop livestock mixed,Adult Combined,2021,,,89473005.4079877,,,,,,,,,,,,,,,,545562.0974106648,,,,2561702.456324652,,,,,,,,,,,,,,,,15619.993523652902,
Amhara,Cattle,Crop livestock mixed,Adult Female,2021,-84723382553.3963,2852564980.0255013,79791475.8311497,-87655739009.25294,,,,2852564980.0255013,,,,,,,,,7137288839.641549,5766198208.904027,539991.483544948,9175507291.50332,-2425715959.8641644,81671814.6756769,2284510.4922805834,-2509672285.0321217,,,,81671814.6756769,,,,,,,,,204347783.6542642,165092074.95656055,15460.50122585904,262704035.2505071
Amhara,Cattle,Crop livestock mixed,Adult Male,2021,-110931536351.2034,-14024128986.15165,9681529.576838,-96917088894.6286,,,,-14024128986.15165,,,,,,,,,7240827666.12871,5942481214.0331745,77763.7436730623,9367105650.93398,-3176081856.856633,-401524968.4284235,277191.9640440685,-2774834080.3922544,,,,-401524968.4284235,,,,,,,,,207312204.7657233,170139235.32843417,2226.454473859666,268189689.6749138
Amhara,Cattle,Crop livestock mixed,Juvenile Combined,2021,,17112389748.138199,44873386.885314405,,,,,17112389748.138199,,,,,,,,,,5826831516.583046,234194.2035284154,,,489944991.2462299,1284770.3604405131,,,,,489944991.2462299,,,,,,,,,,166828067.75693837,6705.216435952849,
Amhara,Cattle,Crop livestock mixed,Juvenile Female,2021,-72485511557.15201,,22753129.8641127,,,,,,,,,,,,,,6066037831.161943,,175345.779458795,,-2075333360.6845412,,651445.0743684055,,,,,,,,,,,,,,173676785.99134815,,5020.326654922614,
Amhara,Cattle,Crop livestock mixed,Juvenile Male,2021,-89034499659.9507,,22120257.0212017,,,,,,,,,,,,,,5797076567.610449,,155244.267502206,,-2549147594.1431856,,633325.2860721074,,,,,,,,,,,,,,165976153.534058,,4444.800077713928,
Amhara,Cattle,Crop livestock mixed,Neonatal Combined,2021,,32539915970.9393,32499858.5395187,,,,,32539915970.9393,,,,,,,,,,6090191010.313142,178134.62337139712,,,931650639.1089802,930503.7544145822,,,,,931650639.1089802,,,,,,,,,,174368315.88997555,5100.174071119735,
Amhara,Cattle,Crop livestock mixed,Neonatal Female,2021,-42707088418.234,,16531124.5912461,,,,,,,,,,,,,,6079457148.951127,,134551.779002748,,-1222747048.7282548,,473302.78309197596,,,,,,,,,,,,,,174060994.60472822,,3852.3532455680743,
Amhara,Cattle,Crop livestock mixed,Neonatal Male,2021,-64361937057.0097,,15968733.9482726,,,,,,,,,,,,,,5797546323.1822605,,116738.00928089,,-1842747223.0415885,,457200.97132260626,,,,,,,,,,,,,,165989603.11023682,,3342.3270377213507,
Amhara,Cattle,Crop livestock mixed,Overall,2021,223391319487.63272,-4102561655.4398003,243908410.5286611,227249972732.54385,,,,-4102561655.4398003,,,,,,,,,18785982507.75419,5674457610.0781355,915780.4705241177,19624286198.20028,6395918961.742903,-117460481.20369977,6983343.987612736,6506396098.95899,,,,-117460481.20369977,,,,,,,,,537861641.2307256,162465449.01183736,26219.719233733736,561863122.0479783
Amhara,Cattle,Crop livestock mixed,Oxen,2021,-131855346284.8483,-28065625915.39753,77062159.6958403,-103866782529.14662,,,,-28065625915.39753,,,,,,,,,9851269823.657661,6049191258.196039,674119.424918369,11560286868.031452,-3775151655.152501,-803547198.5983402,2206367.4164329893,-2973810823.9705944,,,,-803547198.5983402,,,,,,,,,282051798.64146835,173194451.60288516,19300.719572289894,330982681.65484023
Amhara,Cattle,Overall,Adult Combined,2021,,,252728321.3326338,,,,,,,,,,,,,,,,4297136.21368009,,,,7235866.936496312,,,,,,,,,,,,,,,,123031.3472041162,
Amhara,Cattle,Overall,Adult Female,2021,91204603107.8413,61313811322.04231,213930562.7094857,29676861223.089497,,,,61313811322.04231,,,,,,,,,43664163293.09009,13092306351.418335,4187130.817377582,45584730548.913956,2611279846.2966785,1755476306.55849,6125047.945767109,849678491.7924217,,,,1755476306.55849,,,,,,,,,1250149068.439404,374845945.84087855,119881.781671673,1305136847.5393276
Amhara,Cattle,Overall,Adult Male,2021,55203614977.1552,54813345796.92735,38797758.6231481,351471421.60469615,,,,54813345796.92735,,,,,,,,,30919146243.431183,14606243920.769382,966082.375932719,34195554781.71121,1580535217.7468488,1569361417.1903713,1110818.9907292032,10062981.565748181,,,,1569361417.1903713,,,,,,,,,885246365.8517914,418191506.5767038,27659.91355888737,979053249.415867
Amhara,Cattle,Overall,Juvenile Combined,2021,,60696301024.093704,153716053.4151073,,,,,60696301024.093704,,,,,,,,,,10723266578.706675,2964627.634166559,,,1737796363.4309788,4401045.765864679,,,,,1737796363.4309788,,,,,,,,,,307017945.90711904,84880.28157657503,
Amhara,Cattle,Overall,Juvenile Female,2021,54218497204.831604,,95880739.918907,,,,,,,,,,,,,,24597886559.7145,,2708792.6116187316,,1552330301.5755057,,2745162.363156314,,,,,,,,,,,,,,704262320.6081591,,77555.46664847233,
Amhara,Cattle,Overall,Juvenile Male,2021,56332862800.99791,,57835313.4962003,,,,,,,,,,,,,,28557276391.418205,,1204765.369897302,,1612866722.773938,,1655883.4027083649,,,,,,,,,,,,,,817623647.9847482,,34493.64859588445,
Amhara,Cattle,Overall,Neonatal Combined,2021,,63025716130.406906,114683460.4134261,,,,,63025716130.406906,,,,,,,,,,9151102190.037453,1871465.0860890427,,,1804489869.169745,3283503.229842964,,,,,1804489869.169745,,,,,,,,,,262005292.5617275,53581.934418089084,
Amhara,Cattle,Overall,Neonatal Female,2021,55765671720.96561,,62045892.1181222,,,,,,,,,,,,,,19450697786.66695,,1441524.1284801452,,1596627469.6461508,,1776436.5186916853,,,,,,,,,,,,,,556893110.6105988,,41272.29083163413,
Amhara,Cattle,Overall,Neonatal Male,2021,55170201862.280914,,52637568.2953039,,,,,,,,,,,,,,24390511381.90959,,1193478.0079498014,,1579578566.541755,,1507066.711151279,,,,,,,,,,,,,,698324959.949028,,34170.48003018701,
Amhara,Cattle,Overall,Overall,2021,245406964369.44092,297114857.4809036,598189994.8570075,244511659517.10303,,,,297114857.4809036,,,,,,,,,20547627771.095528,6012816076.524363,5586699.850151914,21409320292.826233,7026249096.671671,8506698.268922022,17126783.348636944,7000615615.054112,,,,8506698.268922022,,,,,,,,,588299323.2745582,172152993.43555647,159952.85576497545,612970449.9395071
Amhara,Cattle,Overall,Oxen,2021,57163980584.173294,55843908907.07207,77062159.6958403,1243009517.4053864,,,,55843908907.07207,,,,,,,,,35652927088.49039,16181958353.442806,674119.424918369,39153377716.158875,1636662463.812781,1598867479.254758,2206367.4164329893,35588617.14159014,,,,1598867479.254758,,,,,,,,,1020779289.5889006,463305801.26524854,19300.719572289894,1121000724.3138483
Amhara,Cattle,Periurban dairy,Adult Combined,2021,,,163255315.9246461,,,,,,,,,,,,,,,,4262363.386290491,,,,4674164.480171661,,,,,,,,,,,,,,,,122035.76605725402,
Amhara,Cattle,Periurban dairy,Adult Female,2021,175927985661.2376,58461246342.0168,134139086.878336,117332600232.34247,,,,58461246342.0168,,,,,,,,,43076887818.23919,11754124544.814936,4152164.93886406,44651738209.84642,5036995806.160844,1673804491.8828127,3840537.4534865255,3359350776.8245444,,,,1673804491.8828127,,,,,,,,,1233334778.8153465,336532449.9953612,118880.67327627265,1278424335.1360278
Amhara,Cattle,Periurban dairy,Adult Male,2021,166135151328.3586,68837474783.079,29116229.0463101,97268560316.2333,,,,68837474783.079,,,,,,,,,30059341628.3875,13342761276.957458,962947.5360879,32887585781.769585,4756617074.603482,1970886385.6187947,833627.0266851346,2784897061.9580026,,,,1970886385.6187947,,,,,,,,,860629291.860891,382016723.16110593,27570.15992991248,941604776.7210197
Amhara,Cattle,Periurban dairy,Juvenile Combined,2021,,43583911275.955505,108842666.5297929,,,,,43583911275.955505,,,,,,,,,,9002026471.598606,2955362.9361379123,,,1247851372.184749,3116275.405424166,,,,,1247851372.184749,,,,,,,,,,257737104.27005464,84615.02392049352,
Amhara,Cattle,Periurban dairy,Juvenile Female,2021,126704008761.9836,,73127610.0547943,,,,,,,,,,,,,,23838188023.327095,,2703111.40547078,,3627663662.2600465,,2093717.2887879084,,,,,,,,,,,,,,682511384.6934018,,77392.80798200938,
Amhara,Cattle,Periurban dairy,Juvenile Male,2021,145367362460.9486,,35715056.4749986,,,,,,,,,,,,,,27962688321.495728,,1194721.22853471,,4162014316.917124,,1022558.1166362574,,,,,,,,,,,,,,800599991.3826668,,34206.07469040427,
Amhara,Cattle,Periurban dairy,Neonatal Combined,2021,,30485800159.4676,82183601.8739074,,,,,30485800159.4676,,,,,,,,,,6830244852.888456,1862967.961186289,,,872839230.0607647,2352999.475428382,,,,,872839230.0607647,,,,,,,,,,195556804.39210016,53338.65315536827,
Amhara,Cattle,Periurban dairy,Neonatal Female,2021,98472760139.1996,,45514767.5268761,,,,,,,,,,,,,,18476196718.002262,,1435230.86357479,,2819374518.3744054,,1303133.7355997092,,,,,,,,,,,,,,528992161.38120735,,41092.10830515211,
Amhara,Cattle,Periurban dairy,Neonatal Male,2021,119532138919.2906,,36668834.3470313,,,,,,,,,,,,,,23691464752.1342,,1187755.0221527,,3422325789.5833435,,1049865.7398286727,,,,,,,,,,,,,,678310549.3408736,,34006.62517019774,
Amhara,Cattle,Periurban dairy,Overall,2021,22015644881.8082,4399676512.9207,354281584.32834643,17261686784.559155,,,,4399676512.9207,,,,,,,,,8324173727.034406,1988589450.222486,5511130.677591854,8558410285.324453,630330134.9287685,125967179.47262168,10143439.361024208,494219516.0951226,,,,125967179.47262168,,,,,,,,,238329495.98799846,56935323.18521458,157789.23407721837,245035925.08352855
Amhara,Cattle,Periurban dairy,Oxen,2021,189019326869.0216,83909534822.46959,0.0,105109792046.55202,,,,83909534822.46959,,,,,,,,,34264904681.593727,15008766147.63259,0.0,37407843483.86078,5411814118.965282,2402414677.853098,0.0,3009399441.1121845,,,,2402414677.853098,,,,,,,,,981038807.04931,429716124.2262266,0.0,1071024317.350798
Benishangul Gumz,Cattle,Crop livestock mixed,Adult Combined,2021,,,4540069.22169505,,,,,,,,,,,,,,,,153988.8375787644,,,,129986.76443321824,,,,,,,,,,,,,,,,4408.855851810718,
Benishangul Gumz,Cattle,Crop livestock mixed,Adult Female,2021,-65389982727.68285,1879254297.8552094,3694520.33568655,-67272931545.87375,,,,1879254297.8552094,,,,,,,,,13417415242.472656,20170308768.047173,114957.76012906,24225366614.367542,-1872181208.2728732,53804947.41316213,105777.84635392041,-1926091933.5323892,,,,53804947.41316213,,,,,,,,,384154141.54738474,577496299.3622682,3291.3567075718547,693596698.5618917
Benishangul Gumz,Cattle,Crop livestock mixed,Adult Male,2021,3456866174.6026,-889775142.4477997,845548.8860085,4345795768.1643915,,,,-889775142.4477997,,,,,,,,,19766354075.95208,20441240803.451473,102456.212525003,28435067769.41272,98973567.84077036,-25475160.441873986,24208.918079297848,124424519.36456506,,,,-25475160.441873986,,,,,,,,,565930668.787267,585253357.0069449,2933.4247809629233,814124691.7828417
Benishangul Gumz,Cattle,Crop livestock mixed,Juvenile Combined,2021,,2316775181.4669037,9359256.68031039,,,,,2316775181.4669037,,,,,,,,,,18930743841.84084,1194734.3479842104,,,66331611.932037786,267964.9657234339,,,,,66331611.932037786,,,,,,,,,,542006304.3435788,34206.45031348586,
Benishangul Gumz,Cattle,Crop livestock mixed,Juvenile Female,2021,4477624871.846603,,4864737.17434883,,,,,,,,,,,,,,20531209974.20478,,851834.049740466,,128198919.66751555,,139282.33562824636,,,,,,,,,,,,,,587829265.1779213,,24388.86866100864,
Benishangul Gumz,Cattle,Crop livestock mixed,Juvenile Male,2021,1734389873.0894012,,4494519.50596156,,,,,,,,,,,,,,19728269847.17658,,837716.487814352,,49657332.71010781,,128682.63009518746,,,,,,,,,,,,,,564840278.8762926,,23984.668613200556,
Benishangul Gumz,Cattle,Crop livestock mixed,Neonatal Combined,2021,,2218674773.52861,27299885.396866098,,,,,2218674773.52861,,,,,,,,,,20021093288.82207,3777968.5889999764,,,63522898.23301699,781623.2746361955,,,,,63522898.23301699,,,,,,,,,,573224109.5782143,108167.05407656523,
Benishangul Gumz,Cattle,Crop livestock mixed,Neonatal Female,2021,3108469824.264206,,13720903.3540242,,,,,,,,,,,,,,19618104326.21315,,2678658.83240496,,88998628.66926543,,392843.31251332967,,,,,,,,,,,,,,561686128.813182,,76692.70613340671,
Benishangul Gumz,Cattle,Crop livestock mixed,Neonatal Male,2021,6784635810.991806,,13578982.0428419,,,,,,,,,,,,,,21659942087.766262,,2664175.9549717,,194250971.48613596,,388779.9621228659,,,,,,,,,,,,,,620146004.8991157,,76278.04673389,
