region,species,production_system,group,year,ahle_total_mean,ahle_dueto_mortality_mean,ahle_dueto_healthcost_mean,ahle_dueto_productionloss_mean,ahle_dueto_ppr_total_mean,ahle_dueto_ppr_mortality_mean,ahle_dueto_ppr_healthcost_mean,ahle_dueto_ppr_productionloss_mean,ahle_dueto_bruc_total_mean,ahle_dueto_bruc_mortality_mean,ahle_dueto_bruc_healthcost_mean,ahle_dueto_bruc_productionloss_mean,ahle_when_af_repro_imp25_mean,ahle_when_af_repro_imp50_mean,ahle_when_af_repro_imp75_mean,ahle_when_af_repro_imp100_mean,ahle_when_af_ideal_mean,ahle_when_am_ideal_mean,ahle_when_jf_ideal_mean,ahle_when_jm_ideal_mean,ahle_when_nf_ideal_mean,ahle_when_nm_ideal_mean,ahle_when_af_mort_imp25_mean,ahle_when_am_mort_imp25_mean,ahle_when_j_mort_imp25_mean,ahle_when_n_mort_imp25_mean,ahle_when_af_mort_imp50_mean,ahle_when_am_mort_imp50_mean,ahle_when_j_mort_imp50_mean,ahle_when_n_mort_imp50_mean,ahle_when_af_mort_imp75_mean,ahle_when_am_mort_imp75_mean,ahle_when_j_mort_imp75_mean,ahle_when_n_mort_imp75_mean,ahle_when_af_mort_imp100_mean,ahle_when_am_mort_imp100_mean,ahle_when_j_mort_imp100_mean,ahle_when_n_mort_imp100_mean,ahle_when_all_growth_imp25_mean,ahle_when_af_growth_imp25_mean,ahle_when_am_growth_imp25_mean,ahle_when_jf_growth_imp25_mean,ahle_when_jm_growth_imp25_mean,ahle_when_nf_growth_imp25_mean,ahle_when_nm_growth_imp25_mean,ahle_when_all_growth_imp50_mean,ahle_when_af_growth_imp50_mean,ahle_when_am_growth_imp50_mean,ahle_when_jf_growth_imp50_mean,ahle_when_jm_growth_imp50_mean,ahle_when_nf_growth_imp50_mean,ahle_when_nm_growth_imp50_mean,ahle_when_all_growth_imp75_mean,ahle_when_af_growth_imp75_mean,ahle_when_am_growth_imp75_mean,ahle_when_jf_growth_imp75_mean,ahle_when_jm_growth_imp75_mean,ahle_when_nf_growth_imp75_mean,ahle_when_nm_growth_imp75_mean,ahle_when_all_growth_imp100_mean,ahle_when_af_growth_imp100_mean,ahle_when_am_growth_imp100_mean,ahle_when_jf_growth_imp100_mean,ahle_when_jm_growth_imp100_mean,ahle_when_nf_growth_imp100_mean,ahle_when_nm_growth_imp100_mean,ahle_when_a_ideal_mean,ahle_when_j_ideal_mean,ahle_when_n_ideal_mean,ahle_when_a_mort_imp100_mean,ahle_total_stdev,ahle_dueto_mortality_stdev,ahle_dueto_healthcost_stdev,ahle_dueto_productionloss_stdev,ahle_dueto_ppr_total_stdev,ahle_dueto_ppr_mortality_stdev,ahle_dueto_ppr_healthcost_stdev,ahle_dueto_ppr_productionloss_stdev,ahle_dueto_bruc_total_stdev,ahle_dueto_bruc_mortality_stdev,ahle_dueto_bruc_healthcost_stdev,ahle_dueto_bruc_productionloss_stdev,ahle_total_mean_usd,ahle_dueto_mortality_mean_usd,ahle_dueto_healthcost_mean_usd,ahle_dueto_productionloss_mean_usd,ahle_dueto_ppr_total_mean_usd,ahle_dueto_ppr_mortality_mean_usd,ahle_dueto_ppr_healthcost_mean_usd,ahle_dueto_ppr_productionloss_mean_usd,ahle_dueto_bruc_total_mean_usd,ahle_dueto_bruc_mortality_mean_usd,ahle_dueto_bruc_healthcost_mean_usd,ahle_dueto_bruc_productionloss_mean_usd,ahle_when_af_repro_imp25_mean_usd,ahle_when_af_repro_imp50_mean_usd,ahle_when_af_repro_imp75_mean_usd,ahle_when_af_repro_imp100_mean_usd,ahle_when_af_ideal_mean_usd,ahle_when_am_ideal_mean_usd,ahle_when_jf_ideal_mean_usd,ahle_when_jm_ideal_mean_usd,ahle_when_nf_ideal_mean_usd,ahle_when_nm_ideal_mean_usd,ahle_when_af_mort_imp25_mean_usd,ahle_when_am_mort_imp25_mean_usd,ahle_when_j_mort_imp25_mean_usd,ahle_when_n_mort_imp25_mean_usd,ahle_when_af_mort_imp50_mean_usd,ahle_when_am_mort_imp50_mean_usd,ahle_when_j_mort_imp50_mean_usd,ahle_when_n_mort_imp50_mean_usd,ahle_when_af_mort_imp75_mean_usd,ahle_when_am_mort_imp75_mean_usd,ahle_when_j_mort_imp75_mean_usd,ahle_when_n_mort_imp75_mean_usd,ahle_when_af_mort_imp100_mean_usd,ahle_when_am_mort_imp100_mean_usd,ahle_when_j_mort_imp100_mean_usd,ahle_when_n_mort_imp100_mean_usd,ahle_when_all_growth_imp25_mean_usd,ahle_when_af_growth_imp25_mean_usd,ahle_when_am_growth_imp25_mean_usd,ahle_when_jf_growth_imp25_mean_usd,ahle_when_jm_growth_imp25_mean_usd,ahle_when_nf_growth_imp25_mean_usd,ahle_when_nm_growth_imp25_mean_usd,ahle_when_all_growth_imp50_mean_usd,ahle_when_af_growth_imp50_mean_usd,ahle_when_am_growth_imp50_mean_usd,ahle_when_jf_growth_imp50_mean_usd,ahle_when_jm_growth_imp50_mean_usd,ahle_when_nf_growth_imp50_mean_usd,ahle_when_nm_growth_imp50_mean_usd,ahle_when_all_growth_imp75_mean_usd,ahle_when_af_growth_imp75_mean_usd,ahle_when_am_growth_imp75_mean_usd,ahle_when_jf_growth_imp75_mean_usd,ahle_when_jm_growth_imp75_mean_usd,ahle_when_nf_growth_imp75_mean_usd,ahle_when_nm_growth_imp75_mean_usd,ahle_when_all_growth_imp100_mean_usd,ahle_when_af_growth_imp100_mean_usd,ahle_when_am_growth_imp100_mean_usd,ahle_when_jf_growth_imp100_mean_usd,ahle_when_jm_growth_imp100_mean_usd,ahle_when_nf_growth_imp100_mean_usd,ahle_when_nm_growth_imp100_mean_usd,ahle_when_a_ideal_mean_usd,ahle_when_j_ideal_mean_usd,ahle_when_n_ideal_mean_usd,ahle_when_a_mort_imp100_mean_usd,ahle_total_stdev_usd,ahle_dueto_mortality_stdev_usd,ahle_dueto_healthcost_stdev_usd,ahle_dueto_productionloss_stdev_usd,ahle_dueto_ppr_total_stdev_usd,ahle_dueto_ppr_mortality_stdev_usd,ahle_dueto_ppr_healthcost_stdev_usd,ahle_dueto_ppr_productionloss_stdev_usd,ahle_dueto_bruc_total_stdev_usd,ahle_dueto_bruc_mortality_stdev_usd,ahle_dueto_bruc_healthcost_stdev_usd,ahle_dueto_bruc_productionloss_stdev_usd
Afar,Cattle,Overall,Overall,2021,-831054247921.102,-30357898190.0531,461076577.91251343,-801157426308.9614,,,,,,,,,,,,,-840849193577.9521,19127420172.63379,109231896921.90247,157766673503.3413,127127419054.51099,267738216518.19507,,,,,,,,,,,,,1817536296.7989502,-32527380898.22522,42570012254.9884,-8699647635.673218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121706049416.2086,186332328233.31778,38200866.90777075,222558083359.5035,,,,,,,,,-23793921960.382305,-869177267.5758358,13201087.82315257,-22937945780.629623,,,,,,,,,,,,,-24074361141.27607,547637346.213647,3127419464.4282937,4517019107.570944,3639786326.313351,7665615386.218056,,,,,,,,,,,,,52037898.74653544,-931291747.3246319,1218822419.8137724,-249079692.98495767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3484567041.3932176,5334882635.84547,1093729.378432515,6372062570.349835,,,,,,,,
Afar,Cattle,Pastoral,Overall,2021,-831054247921.102,-30357898190.0531,461076577.91251343,-801157426308.9614,,,,,,,,,,,,,-840849193577.9521,19127420172.63379,109231896921.90247,157766673503.3413,127127419054.51099,267738216518.19507,,,,,,,,,,,,,1817536296.7989502,-32527380898.22522,42570012254.9884,-8699647635.673218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121706049416.2086,186332328233.31778,38200866.90777075,222558083359.5035,,,,,,,,,-23793921960.382305,-869177267.5758358,13201087.82315257,-22937945780.629623,,,,,,,,,,,,,-24074361141.27607,547637346.213647,3127419464.4282937,4517019107.570944,3639786326.313351,7665615386.218056,,,,,,,,,,,,,52037898.74653544,-931291747.3246319,1218822419.8137724,-249079692.98495767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3484567041.3932176,5334882635.84547,1093729.378432515,6372062570.349835,,,,,,,,
Amhara,Cattle,Crop livestock mixed,Overall,2021,241530632816.78815,-3454325045.3309097,243598163.4707265,244741359698.64832,,,,,,,,,,,,,-81375408548.8379,-113469593796.37463,-71033115028.61438,-87504779202.81915,-40773946870.94801,-62574941072.92697,,,,,,,,,,,,,4032409514.2892914,-13148345327.572914,16810585997.233307,33281593412.92018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23940542954.29216,4960337719.278456,823648.2522463786,24449019365.07886,,,,,,,,,6915265811.660963,-98900812.74477862,6974461.301189557,7007192163.104551,,,,,,,,,,,,,-2329860084.7644033,-3248749003.3545175,-2033749782.0649714,-2505350153.399409,-1167399254.9716403,-1791583724.2746375,,,,,,,,,,,,,115451954.5929948,-376450398.2923247,481304045.2257441,952885612.900901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685441909.6810731,142019475.72603875,23581.880828814647,700000102.56345,,,,,,,,
Amhara,Cattle,Overall,Overall,2021,263696906631.38828,1379658574.4570312,596485644.439621,261720762412.49164,,,,,,,,,,,,,98975784973.32663,56504433069.95482,54560826093.35922,50501710065.89601,66552324337.35718,68028561120.489395,,,,,,,,,,,,,64826963972.96962,56711117003.403534,63591453680.42894,64626637897.56955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25253447456.82177,5487976433.970926,5913961.466686581,25842881587.957996,,,,,,,,,7549908604.976103,39501017.57463064,17077986.075864576,7493329601.325608,,,,,,,,,,,,,2833776627.1143503,1617778952.7522993,1562131523.1910455,1445914934.1690905,1905460221.792243,1947726370.9645271,,,,,,,,,,,,,1856061413.030397,1623696522.3877902,1820687506.2661865,1850325875.2882788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723031690.7967697,157126304.7111196,169322.6861748835,739907784.9291621,,,,,,,,
Amhara,Cattle,Periurban dairy,Overall,2021,22166273814.600098,4833983619.787937,352887480.9688945,16979402713.843266,,,,,,,,,,,,,180351193522.16455,169974026866.32947,125593941121.97362,138006489268.71515,107326271208.30519,130603502193.41637,,,,,,,,,,,,,60794554458.68033,69859462330.97646,46780867683.19563,31345044484.64937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8036604476.279138,2347964022.4082756,5856325.109317718,8372573132.270468,,,,,,,,,634642793.3151393,138401830.31940916,10103524.774675021,486137438.22105515,,,,,,,,,,,,,5163636711.878754,4866527956.106817,3595881305.2560177,3951265087.568499,3072859476.763883,3739310095.2391644,,,,,,,,,,,,,1740609458.437402,2000146920.680115,1339383461.0404422,897440262.387378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230096098.07469395,67224579.92931375,167672.49908692142,239715219.812883,,,,,,,,
Benishangul Gumz,Cattle,Crop livestock mixed,Overall,2021,5665302607.698976,479808495.5028633,8699376.567816405,5176794735.628296,,,,,,,,,,,,,5374907088.455952,270615042.3033943,95442035.17590666,-67393789.89563084,25467373.02933097,138760871.16337729,,,,,,,,,,,,,148377278.22831988,-100889893.44794834,161948575.47327137,60366328.86292589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894755779.0827233,420781192.72330314,33404.23877046221,988759180.7247201,,,,,,,,,162203332.0529243,13737401.531226426,249071.93203860894,148216858.58965927,,,,,,,,,,,,,153889015.22006074,7747981.81223402,2732601.8035481875,-1929552.230076898,729156.5958680656,3972863.8026641957,,,,,,,,,,,,,4248191.243459897,-2888579.484789147,4636751.182062345,1728348.9273922774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25617761.09604409,12047390.272175562,956.3970732820471,28309173.369400878,,,,,,,,
Benishangul Gumz,Cattle,Overall,Overall,2021,5665302607.698976,479808495.5028633,8699376.567816405,5176794735.628296,,,,,,,,,,,,,5374907088.455952,270615042.3033943,95442035.17590666,-67393789.89563084,25467373.02933097,138760871.16337729,,,,,,,,,,,,,148377278.22831988,-100889893.44794834,161948575.47327137,60366328.86292589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894755779.0827233,420781192.72330314,33404.23877046221,988759180.7247201,,,,,,,,,162203332.0529243,13737401.531226426,249071.93203860894,148216858.58965927,,,,,,,,,,,,,153889015.22006074,7747981.81223402,2732601.8035481875,-1929552.230076898,729156.5958680656,3972863.8026641957,,,,,,,,,,,,,4248191.243459897,-2888579.484789147,4636751.182062345,1728348.9273922774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25617761.09604409,12047390.272175562,956.3970732820471,28309173.369400878,,,,,,,,
Gambela,Cattle,Overall,Overall,2021,1980378405.032888,478721894.8297589,3845413.783010356,1497811096.4201188,,,,,,,,,,,,,3241240453.7923865,238508230.6327685,176136624.47991776,147011603.13765228,63603447.69251013,144169352.30443823,,,,,,,,,,,,,199393030.87566733,22321775.370669782,171569808.82606995,79487957.7822746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250089482.9055606,155442135.88453877,30491.274329830147,294460537.25081044,,,,,,,,,56700232.673442096,13706291.05717179,110098.07805833324,42883843.53821197,,,,,,,,,,,,,92799985.80753528,6828731.386406115,5042969.3461337155,4209090.587140686,1821030.9069384837,4127714.0768990265,,,,,,,,,,,,,5708823.735595829,639094.95982424,4912216.80435088,2275820.464178847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7160314.328761133,4450465.249222804,872.9959610837154,8430702.401539491,,,,,,,,
Gambela,Cattle,Pastoral,Overall,2021,1980378405.032888,478721894.8297589,3845413.783010356,1497811096.4201188,,,,,,,,,,,,,3241240453.7923865,238508230.6327685,176136624.47991776,147011603.13765228,63603447.69251013,144169352.30443823,,,,,,,,,,,,,199393030.87566733,22321775.370669782,171569808.82606995,79487957.7822746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250089482.9055606,155442135.88453877,30491.274329830147,294460537.25081044,,,,,,,,,56700232.673442096,13706291.05717179,110098.07805833324,42883843.53821197,,,,,,,,,,,,,92799985.80753528,6828731.386406115,5042969.3461337155,4209090.587140686,1821030.9069384837,4127714.0768990265,,,,,,,,,,,,,5708823.735595829,639094.95982424,4912216.80435088,2275820.464178847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7160314.328761133,4450465.249222804,872.9959610837154,8430702.401539491,,,,,,,,
National,All Poultry,Overall,Overall,2017,92261820856.31839,29009002738.778355,1633182.4962363853,63251184935.0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1862713776.853054,9442059574.871841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27628366932.675518,3930267379.18573,10489574433.208923,8382734585.13628,18591928929.985126,7267317237.870397,14201.89412386102,19961806560.871883,,,,,,,,,3865809814.959687,1215489640.9903433,68431.04617893098,2650251742.9231653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78048505.15830703,395626340.76795304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157640409.3083782,164679886.74896795,439517662.04354304,351240169.9278037,779009786.1660333,304503705.27952933,595.0654472833373,836408245.6980953,,,,,,,,
