column_name,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
year,3751.0,2016.0,3.1626992690843476,2011.0,2011.0,2011.0,2012.0,2013.0,2016.0,2019.0,2020.0,2021.0,2021.0,2021.0
export_total_100kg,3339.0,360895567.9242875,1206518267.5140057,486.58,32946.644400000005,407127.97900000005,1325155.5660000003,6601869.255,33202301.9,229181220.39499998,908814475.0940001,1759629165.0789998,3951957400.516199,19098041260.6
export_total_head,1640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
export_total_value_in_euros,3339.0,69796900175.8224,230360983733.70532,407034.0,11815786.040000001,114785199.9,259549386.2,1387008842.0,6669280757.0,43473397707.5,186260231363.2,336221617951.1998,740366231473.0,3586310188720.0
export_live_gallusdom_gt185g_100kg,1456.0,392368.1744230767,1286158.7953594404,0.0,0.0,3.3325,45.55500000000001,1035.6975,14876.645,99264.39000000001,699822.85,1550954.795,6217774.8,10716838.17
export_live_gallusdom_gt185g_head,1456.0,18009127.12293956,58060405.19291282,0.0,3.5500000000000007,387.75,5643.0,55871.75,754441.0,5707937.5,33963216.0,76449437.5,299151878.2,490553326.0
export_live_gallusdom_gt185g_value_in_euros,1456.0,34573949.869505495,111821354.74611898,0.0,98.2,4570.25,16965.5,122797.0,1222856.0,9579654.75,57786535.0,147192503.5,535329134.0,934616281.0
export_live_gallusdom_lte185g_100kg,1287.0,12069.720512820491,28569.214599912313,0.0,0.0,2.166,16.418,200.41,1617.06,13199.0,30730.990000000005,56142.76400000007,89818.35,309551.12
export_live_gallusdom_lte185g_head,1287.0,26245723.863247864,61470456.21913636,0.0,305.16,13273.699999999999,47854.8,530473.5,3975700.0,27623667.0,69957792.20000002,132706964.3000001,204835003.02,628602045.0
export_live_gallusdom_lte185g_value_in_euros,1287.0,9192017.965811966,20662366.71342954,0.0,332.43999999999994,7683.9,25536.0,300932.5,2060706.0,9767299.5,22013316.600000013,47536410.6000001,74262285.04000027,205298473.0
import_total_100kg,3339.0,458900213.61277324,1549579279.5468733,18487.38,152750.28060000003,697082.7860000001,1450016.8280000002,5534409.595,33617298.85,257487033.655,1100807575.82,2404598091.360998,4961993794.415999,19594978076.13
import_total_head,1640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import_total_value_in_euros,3339.0,68465032878.47709,224099263464.6634,5100812.0,39883612.84000001,239638395.90000004,405583318.4,1572055237.0,6425108920.0,42327767427.5,181653461787.20007,326037056042.49994,759363473010.5366,3513519769418.0
import_live_gallusdom_gt185g_100kg,1288.0,476735.2977639758,1537648.6679478397,0.0,0.0,8.453000000000003,45.80500000000002,800.08,11694.18,76025.84,1017736.03,4051340.324999997,7510227.79,13327384.48
import_live_gallusdom_gt185g_head,1288.0,24706555.050465837,73409324.9766013,0.0,2.0,988.7,6544.900000000002,44415.0,713446.0,4215348.75,65166884.19999991,201866170.0,340656856.0,625001106.0
import_live_gallusdom_gt185g_value_in_euros,1288.0,41853537.649068326,124272693.15431894,0.0,58.739999999999995,3550.8,23046.100000000002,111476.0,1120756.0,6828921.25,104221695.79999997,357691466.0,581765033.0,1016971143.0
import_live_gallusdom_lte185g_100kg,1352.0,7902.268505917148,22699.812010312668,0.0,0.0,0.8319999999999999,3.2729999999999997,34.1775,769.765,3831.785,22177.161000000015,41904.60750000006,72152.30660000001,261137.47
import_live_gallusdom_lte185g_head,1352.0,16911864.65310651,48148651.94424869,0.0,1.0,2501.1,7715.0999999999985,84320.0,1389948.0,8040632.0,46650422.000000015,90300397.95000039,168983972.10000002,506928358.0
import_live_gallusdom_lte185g_value_in_euros,1352.0,6384107.209319526,17455341.80432073,30.0,359.02,3465.95,10616.0,104475.0,738677.0,3781949.5,16362352.600000005,35604611.400000066,64505902.0,175465477.0
