,reporter,reporter_label,year,intraeu_export_total_100kg,intraeu_export_total_head,intraeu_export_total_value_in_euros,intraeu_export_live_gallusdom_gt185g_100kg,intraeu_export_live_gallusdom_gt185g_head,intraeu_export_live_gallusdom_gt185g_value_in_euros,intraeu_export_live_gallusdom_lte185g_100kg,intraeu_export_live_gallusdom_lte185g_head,intraeu_export_live_gallusdom_lte185g_value_in_euros,intraeu_import_total_100kg,intraeu_import_total_head,intraeu_import_total_value_in_euros,intraeu_import_live_gallusdom_gt185g_100kg,intraeu_import_live_gallusdom_gt185g_head,intraeu_import_live_gallusdom_gt185g_value_in_euros,intraeu_import_live_gallusdom_lte185g_100kg,intraeu_import_live_gallusdom_lte185g_head,intraeu_import_live_gallusdom_lte185g_value_in_euros,extraeu_export_total_100kg,extraeu_export_total_head,extraeu_export_total_value_in_euros,extraeu_export_live_gallusdom_gt185g_100kg,extraeu_export_live_gallusdom_gt185g_head,extraeu_export_live_gallusdom_gt185g_value_in_euros,extraeu_export_live_gallusdom_lte185g_100kg,extraeu_export_live_gallusdom_lte185g_head,extraeu_export_live_gallusdom_lte185g_value_in_euros,extraeu_import_total_100kg,extraeu_import_total_head,extraeu_import_total_value_in_euros,extraeu_import_live_gallusdom_gt185g_100kg,extraeu_import_live_gallusdom_gt185g_head,extraeu_import_live_gallusdom_gt185g_value_in_euros,extraeu_import_live_gallusdom_lte185g_100kg,extraeu_import_live_gallusdom_lte185g_head,extraeu_import_live_gallusdom_lte185g_value_in_euros,_intra_extra,world_export_total_100kg,world_export_total_head,world_export_total_value_in_euros,world_export_live_gallusdom_gt185g_100kg,world_export_live_gallusdom_gt185g_head,world_export_live_gallusdom_gt185g_value_in_euros,world_export_live_gallusdom_lte185g_100kg,world_export_live_gallusdom_lte185g_head,world_export_live_gallusdom_lte185g_value_in_euros,world_import_total_100kg,world_import_total_head,world_import_total_value_in_euros,world_import_live_gallusdom_gt185g_100kg,world_import_live_gallusdom_gt185g_head,world_import_live_gallusdom_gt185g_value_in_euros,world_import_live_gallusdom_lte185g_100kg,world_import_live_gallusdom_lte185g_head,world_import_live_gallusdom_lte185g_value_in_euros,_intra_extra_world,aspartner_partner,aspartner_partner_label,aspartner_year,aspartner_intraeu_indiv_export_live_gallusdom_gt185g_100kg,aspartner_intraeu_indiv_export_live_gallusdom_gt185g_head,aspartner_intraeu_indiv_export_live_gallusdom_gt185g_value_in_euros,aspartner_intraeu_indiv_export_live_gallusdom_lte185g_100kg,aspartner_intraeu_indiv_export_live_gallusdom_lte185g_head,aspartner_intraeu_indiv_export_live_gallusdom_lte185g_value_in_euros,aspartner_intraeu_indiv_import_live_gallusdom_gt185g_100kg,aspartner_intraeu_indiv_import_live_gallusdom_gt185g_head,aspartner_intraeu_indiv_import_live_gallusdom_gt185g_value_in_euros,aspartner_intraeu_indiv_import_live_gallusdom_lte185g_100kg,aspartner_intraeu_indiv_import_live_gallusdom_lte185g_head,aspartner_intraeu_indiv_import_live_gallusdom_lte185g_value_in_euros,aspartner_intraeu_total_export_live_gallusdom_gt185g_100kg,aspartner_intraeu_total_export_live_gallusdom_gt185g_head,aspartner_intraeu_total_export_live_gallusdom_gt185g_value_in_euros,aspartner_intraeu_total_export_live_gallusdom_lte185g_100kg,aspartner_intraeu_total_export_live_gallusdom_lte185g_head,aspartner_intraeu_total_export_live_gallusdom_lte185g_value_in_euros,aspartner_intraeu_total_import_live_gallusdom_gt185g_100kg,aspartner_intraeu_total_import_live_gallusdom_gt185g_head,aspartner_intraeu_total_import_live_gallusdom_gt185g_value_in_euros,aspartner_intraeu_total_import_live_gallusdom_lte185g_100kg,aspartner_intraeu_total_import_live_gallusdom_lte185g_head,aspartner_intraeu_total_import_live_gallusdom_lte185g_value_in_euros,aspartner__merge,_merge
0,AT,Austria,2011,483112144.75,0.0,89797308300.0,8991.41,564290.0,2115346.0,5024.45,8162070.0,3198602.0,678027814.27,0.0,105682268665.0,149273.41,8456960.0,13456635.0,1619.62,3349052.0,1313376.0,107049223.2,0.0,37665044296.0,775.0,50000.0,208250.0,34.49,80240.0,38995.0,255024750.35,0.0,31830267709.0,,,,,,,both,590161367.95,0.0,127462352596.0,9766.41,614290.0,2323596.0,5058.94,8242310.0,3237597.0,933052564.62,0.0,137512536374.0,149273.41,8456960.0,13456635.0,1619.62,3349052.0,1313376.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1,AT,Austria,2012,468933965.16,0.0,89720947755.0,11114.93,712630.0,3180633.0,6009.29,7062730.0,2918262.0,670291860.54,0.0,105467389858.0,154064.2,8301181.0,15290769.0,1392.41,2839289.0,965863.0,106798096.74,0.0,39957565897.0,1073.69,73000.0,320940.0,,,,254470265.62,0.0,33475012294.0,,,,,,,both,575732061.9,0.0,129678513652.0,12188.62,785630.0,3501573.0,6009.29,7062730.0,2918262.0,924762126.16,0.0,138942402152.0,154064.2,8301181.0,15290769.0,1392.41,2839289.0,965863.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2,AT,Austria,2013,466782005.33,0.0,91877747537.0,7701.79,542539.0,2190892.0,5184.19,6815648.0,2935814.0,661547816.73,0.0,105358137532.0,161208.1,8469373.0,18239322.0,1576.72,3154215.0,1018342.0,100209274.66,0.0,40006844682.0,750.0,50000.0,218599.0,,,,243986025.6,0.0,32641706573.0,,,,,,,both,566991279.99,0.0,131884592219.0,8451.79,592539.0,2409491.0,5184.19,6815648.0,2935814.0,905533842.33,0.0,137999844105.0,161208.1,8469373.0,18239322.0,1576.72,3154215.0,1018342.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
3,AT,Austria,2014,482437266.24,0.0,93774343753.0,7333.92,468347.0,2679046.0,7314.13,9653727.0,4261045.0,648588115.49,0.0,105245866292.0,202674.49,10442387.0,21637351.0,2165.68,4375705.0,1501928.0,98257523.74,0.0,40398200679.0,,,,,,,233241385.13,0.0,31755336384.0,2.1,210.0,3626.0,,,,both,580694789.98,0.0,134172544432.0,7333.92,468347.0,2679046.0,7314.13,9653727.0,4261045.0,881829500.62,0.0,137001202676.0,202676.59,10442597.0,21640977.0,2165.68,4375705.0,1501928.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
4,AT,Austria,2015,492395549.05,0.0,96519423966.0,10258.51,555217.0,2493162.0,8215.64,10906129.0,4940116.0,658357641.78,0.0,108009038198.0,216252.4,10902530.0,22798214.0,823.17,1643913.0,574302.0,97892631.27,0.0,41237357447.0,,,,,,,245026731.61,0.0,32690114954.0,,,,,,,both,590288180.32,0.0,137756781413.0,10258.51,555217.0,2493162.0,8215.64,10906129.0,4940116.0,903384373.39,0.0,140699153152.0,216252.4,10902530.0,22798214.0,823.17,1643913.0,574302.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
5,AT,Austria,2016,507861862.64,,97073189899.0,10528.37,520916.0,2821114.0,9459.89,12791746.0,5881707.0,687720613.14,,111196094296.0,283725.87,13944388.0,25643920.0,894.7,1789307.0,1192257.0,100588211.27,,40336689374.0,,,,,,,254807993.55,,31315853881.0,,,,,,,both,608450073.91,,137409879273.0,10528.37,520916.0,2821114.0,9459.89,12791746.0,5881707.0,942528606.69,,142511948177.0,283725.87,13944388.0,25643920.0,894.7,1789307.0,1192257.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
6,AT,Austria,2017,517398283.32,,105903583050.0,18531.27,926843.0,4720296.0,8092.93,11200694.0,5084620.0,713243182.65,,120253954358.0,263912.87,12607399.0,26114374.0,773.36,1551350.0,677505.0,110518269.47,,42852807207.0,,,,,,,263376036.07,,35322334852.0,,,,,,,both,627916552.79,,148756390257.0,18531.27,926843.0,4720296.0,8092.93,11200694.0,5084620.0,976619218.72,,155576289210.0,263912.87,12607399.0,26114374.0,773.36,1551350.0,677505.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
7,AT,Austria,2018,528129068.88,,111673102716.0,19929.63,1098203.0,6584301.0,7409.27,10002316.0,4817722.0,729255678.83,,127259897884.0,270204.44,15178243.0,29244004.0,346.51,734041.0,327915.0,108554534.22,,44755726415.0,,,,,,,259631893.39,,36747701649.0,,,,,,,both,636683603.1,,156428829131.0,19929.63,1098203.0,6584301.0,7409.27,10002316.0,4817722.0,988887572.22,,164007599533.0,270204.44,15178243.0,29244004.0,346.51,734041.0,327915.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
8,AT,Austria,2019,528567521.06,,112919619945.0,25200.92,1270215.0,8110008.0,5820.73,8147968.0,4287600.0,720886196.5,,128657555991.0,304386.03,16604072.0,32843837.0,381.01,875179.0,320958.0,105389133.33,,46668858125.0,,,,,,,270573984.99,,36350723134.0,1138.19,30366.0,29958.0,,,,both,633956654.39,,159588478070.0,25200.92,1270215.0,8110008.0,5820.73,8147968.0,4287600.0,991460181.49,,165008279125.0,305524.22,16634438.0,32873795.0,381.01,875179.0,320958.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
9,AT,Austria,2020,500328580.5,,102192987114.0,28320.09,1465851.0,8235128.0,4846.72,7667879.0,4436564.0,723372903.96,,116287561249.0,345097.51,20241193.0,35040137.0,184.78,436668.0,243395.0,109808740.74,,46095011527.0,0.05,5.0,1695.0,,,,263780428.91,,34647137158.0,2410.46,71391.0,74543.0,,,,both,610137321.24,,148287998641.0,28320.14,1465856.0,8236823.0,4846.72,7667879.0,4436564.0,987153332.87,,150934698407.0,347507.97,20312584.0,35114680.0,184.78,436668.0,243395.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
