,country,year,producerprice_chickens_carcass_index,producerprice_pigs_carcass_index,producerprice_chickens_live_index,producerprice_pigs_live_index,producerprice_chickens_carcass_lcupertonne,producerprice_pigs_carcass_lcupertonne,producerprice_chickens_live_lcupertonne,producerprice_pigs_live_lcupertonne,producerprice_chickens_carcass_slcpertonne,producerprice_pigs_carcass_slcpertonne,producerprice_chickens_live_slcpertonne,producerprice_pigs_live_slcpertonne,producerprice_chickens_carcass_usdpertonne,producerprice_pigs_carcass_usdpertonne,producerprice_chickens_live_usdpertonne,producerprice_pigs_live_usdpertonne,country_inscope
849,Mozambique,2013,91.0,91.0,90.0,82.0,145290.0,124740.0,123108.0,50971.0,145290.0,124740.0,123108.0,50971.0,4826.0,4144.0,4089.0,1693.0,False
969,Palestine,2015,105.0,,108.0,,14507.0,,10804.0,,14507.0,,10804.0,,3732.0,,2780.0,,False
584,Iceland,2012,70.0,93.0,65.0,93.0,,405000.0,,,,405000.0,,,,3238.0,,,False
1055,Republic of Korea,2013,96.0,96.0,97.0,93.0,,,,,,,,,,,,,False
656,Italy,2019,102.0,124.0,96.0,104.0,,,1370.0,2232.0,,,1370.0,2232.0,,,1534.0,2498.0,True
127,Belize,2015,99.0,99.0,99.0,99.0,,,,,,,,,,,,,False
428,Eritrea,2015,99.0,,99.0,,,,,,,,,,,,,,False
1089,Russian Federation,2018,108.0,99.0,103.0,103.0,97589.0,154488.0,70845.0,99583.0,97589.0,154488.0,70845.0,99583.0,1557.0,2465.0,1130.0,1589.0,False
1306,Trinidad and Tobago,2012,90.0,90.0,90.0,90.0,,,,,,,,,,,,,False
153,Bosnia and Herzegovina,2014,104.0,111.0,104.0,111.0,1984.0,3073.0,,,1984.0,3073.0,,,1346.0,2085.0,,,False
264,"China, Hong Kong SAR",2012,62.0,86.0,66.0,91.0,,,,,,,,,,,,,True
841,Morocco,2014,107.0,107.0,107.0,107.0,,,,,,,,,,,,,False
777,Malawi,2016,105.0,107.0,113.0,107.0,,1441295.0,,546711.0,,1441295.0,,546711.0,,2007.0,,761.0,False
335,Cuba,2017,100.0,100.0,100.0,100.0,,,1600.0,6801.0,,,1600.0,6801.0,,,,,False
1092,Rwanda,2011,84.0,74.0,90.0,71.0,3327899.0,1349706.0,,611533.0,3327899.0,1349706.0,,611533.0,5544.0,2248.0,,1019.0,False
783,Malaysia,2013,95.0,74.0,94.0,74.0,7600.0,,4760.0,6000.0,7600.0,,4760.0,6000.0,2412.0,,1511.0,1904.0,False
1227,Sri Lanka,2017,114.0,345.0,146.0,111.0,402436.0,478462.0,390257.0,116220.0,402436.0,478462.0,390257.0,116220.0,2640.0,3139.0,2560.0,762.0,False
827,Mexico,2020,,,,,,,24392.0,27730.0,,,24392.0,27730.0,,,1135.0,1291.0,False
1215,Spain,2015,101.0,96.0,101.0,84.0,1107.0,1139.0,1107.0,,1107.0,1139.0,1107.0,,1228.0,1263.0,1228.0,,True
1002,Peru,2019,116.0,110.0,97.0,108.0,,,4668.0,6944.0,,,4668.0,6944.0,,,1399.0,2081.0,False
550,Guinea-Bissau,2016,107.0,107.0,107.0,107.0,,,,,,,,,,,,,False
1106,Saint Lucia,2011,104.0,104.0,104.0,104.0,,,,,,,,,,,,,False
154,Bosnia and Herzegovina,2015,100.0,98.0,100.0,98.0,1895.0,2724.0,,,1895.0,2724.0,,,1075.0,1545.0,,,False
611,Iran (Islamic Republic of),2011,32.0,,32.0,,,,,,,,,,,,,,False
193,Burkina Faso,2016,96.0,96.0,96.0,96.0,,,,,,,,,,,,,False
111,Belarus,2019,115.0,142.0,121.0,128.0,,,1708.0,2949.0,,,1708.0,2949.0,,,817.0,1410.0,False
1109,Saint Lucia,2014,99.0,99.0,99.0,99.0,,,,,,,,,,,,,False
328,Croatia,2020,,,,,,,7272.0,9669.0,,,7272.0,9669.0,,,1099.0,1462.0,False
889,Netherlands,2017,95.0,112.0,95.0,112.0,,,823.0,1180.0,,,823.0,1180.0,,,930.0,1333.0,True
219,Cambodia,2014,100.0,100.0,100.0,100.0,,,,,,,,,,,,,False
413,El Salvador,2018,106.0,101.0,104.0,106.0,2816.0,,,,2816.0,,,,2816.0,,,,False
361,Côte d'Ivoire,2015,99.0,99.0,99.0,99.0,,,,,,,,,,,,,False
516,Ghana,2019,108.0,104.0,108.0,103.0,,,,,,,,,,,,,False
959,Pakistan,2014,98.0,,98.0,,,,,,,,,,,,,,False
986,Paraguay,2012,101.0,101.0,101.0,101.0,,,,,,,,,,,,,False
1006,Philippines,2013,93.0,96.0,93.0,98.0,,,87120.0,95710.0,,,87120.0,95710.0,,,2052.0,2255.0,False
372,Denmark,2017,94.0,111.0,96.0,108.0,7924.0,12511.0,6100.0,7629.0,7924.0,12511.0,6100.0,7629.0,1200.0,1895.0,924.0,1155.0,False
540,Guinea,2015,104.0,,89.0,45.0,,,,,,,,,,,,,False
1225,Sri Lanka,2015,101.0,106.0,101.0,97.0,356263.0,,,101358.0,356263.0,,,101358.0,2622.0,,,746.0,False
499,Germany,2012,114.0,115.0,105.0,115.0,,1695.0,926.0,1305.0,,1695.0,926.0,1305.0,,2178.0,1190.0,1677.0,False
1206,South Africa,2016,104.0,105.0,108.0,108.0,22147.0,23522.0,,18999.0,22147.0,23522.0,,18999.0,1506.0,1599.0,,1292.0,False
659,Jamaica,2012,99.0,99.0,99.0,99.0,,,,,,,,,,,,,False
948,Norway,2012,95.0,94.0,94.0,93.0,18950.0,25030.0,,,18950.0,25030.0,,,3257.0,4303.0,,,False
685,Jordan,2018,102.0,,84.0,,,,,,,,,,,,,,False
206,Cabo Verde,2011,99.0,100.0,99.0,95.0,428580.0,476030.0,,225225.0,428580.0,476030.0,,225225.0,5403.0,6001.0,,2839.0,False
995,Peru,2012,94.0,82.0,98.0,82.0,,,4697.0,5236.0,,,4697.0,5236.0,,,1781.0,1985.0,False
730,Latvia,2017,95.0,107.0,95.0,107.0,1661.0,1504.0,1162.0,1173.0,1661.0,1504.0,1162.0,1173.0,1876.0,1699.0,1313.0,1325.0,False
250,Chad,2017,82.0,82.0,,,,,,,,,,,,,,,False
131,Belize,2019,126.0,141.0,125.0,141.0,,,,,,,,,,,,,False
190,Burkina Faso,2013,111.0,111.0,111.0,111.0,,,,,,,,,,,,,False
586,Iceland,2014,95.0,100.0,95.0,100.0,464000.0,435400.0,,,464000.0,435400.0,,,3974.0,3729.0,,,False
20,Algeria,2012,109.0,100.0,110.0,100.0,281000.0,,,,281000.0,,,,3624.0,,,,False
92,Bangladesh,2018,113.0,,113.0,,,,,,,,,,,,,,False
1262,Syrian Arab Republic,2014,70.0,,122.0,,,,,,,,,,,,,,False
793,Mali,2013,129.0,108.0,119.0,108.0,,,2168182.0,,,,2168182.0,,,,4389.0,,False
380,Dominican Republic,2015,92.0,99.0,89.0,80.0,63405.0,82651.0,,,63405.0,82651.0,,,1407.0,1835.0,,,False
526,Greece,2020,,,,,,,1408.0,2180.0,,,1408.0,2180.0,,,1608.0,2490.0,False
87,Bangladesh,2013,87.0,,87.0,,,,,,,,,,,,,,False
929,Nigeria,2012,112.0,112.0,112.0,112.0,,,,,,,,,,,,,False
167,Brazil,2019,72.0,105.0,96.0,79.0,,,,,,,,,,,,,True
1022,Poland,2019,111.0,113.0,98.0,117.0,,,3425.0,5386.0,,,3425.0,5386.0,,,892.0,1403.0,True
677,Japan,2020,,,,,,,184800.0,371400.0,,,184800.0,371400.0,,,1731.0,3478.0,False
300,Congo,2019,99.0,99.0,101.0,99.0,,,,,,,,,,,,,False
187,Bulgaria,2020,,,,,,,1483.0,2668.0,,,1483.0,2668.0,,,864.0,1554.0,False
1379,Uruguay,2017,78.0,114.0,99.0,113.0,37800.0,64150.0,37000.0,50940.0,37800.0,64150.0,37000.0,50940.0,1318.0,2237.0,1290.0,1776.0,False
136,Bhutan,2015,127.0,107.0,129.0,108.0,500000.0,220000.0,400000.0,,500000.0,220000.0,400000.0,,7794.0,3429.0,6235.0,,False
426,Eritrea,2013,82.0,,82.0,,,,,,,,,,,,,,False
1392,Viet Nam,2017,92.0,74.0,92.0,74.0,86188000.0,34186000.0,,,86188000.0,34186000.0,,,3853.0,1528.0,,,False
1103,Saint Kitts and Nevis,2017,,,102.0,101.0,,,,13228.0,,,,13228.0,,,,4899.0,False
838,Morocco,2011,118.0,118.0,118.0,118.0,,,,,,,,,,,,,False
73,Austria,2018,125.0,99.0,98.0,99.0,2732.0,1500.0,1054.0,1212.0,2732.0,1500.0,1054.0,1212.0,3226.0,1771.0,1245.0,1431.0,False
650,Italy,2013,99.0,103.0,105.0,103.0,,,1492.0,2220.0,,,1492.0,2220.0,,,1980.0,2947.0,True
427,Eritrea,2014,90.0,,90.0,,,,,,,,,,,,,,False
72,Austria,2017,95.0,110.0,100.0,110.0,2081.0,1660.0,1077.0,1341.0,2081.0,1660.0,1077.0,1341.0,2351.0,1875.0,1217.0,1515.0,False
101,Barbados,2018,106.0,106.0,106.0,106.0,,,,,,,,,,,,,False
