Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,AnteMortem,Abnormal Respiratory Signs,2019-04,England,647,533604,98,0.121
Pigs,AnteMortem,Abnormal Respiratory Signs,2019-05,England,721,589233,98,0.122
Pigs,AnteMortem,Abnormal Respiratory Signs,2019-06,England,631,511153,97,0.123
Pigs,AnteMortem,Abnormal Respiratory Signs,2019-04,Wales,2,2335,10,0.086
Pigs,AnteMortem,Abnormal Respiratory Signs,2019-05,Wales,3,1971,10,0.152
Pigs,AnteMortem,Abnormal Respiratory Signs,2019-06,Wales,11,2337,11,0.471
Pigs,AnteMortem,Bloody Diarrhoea,2019-05,England,2,589233,98,0
Pigs,AnteMortem,Dead in Lairage ,2019-04,England,42,533604,98,0.008
Pigs,AnteMortem,Dead in Lairage ,2019-05,England,59,589233,98,0.01
Pigs,AnteMortem,Dead in Lairage ,2019-06,England,20,511153,97,0.004
Pigs,AnteMortem,Dead on Arrival,2019-04,England,102,533604,98,0.019
Pigs,AnteMortem,Dead on Arrival,2019-05,England,87,589233,98,0.015
Pigs,AnteMortem,Dead on Arrival,2019-06,England,99,511153,97,0.019
Pigs,AnteMortem,Distress,2019-04,England,54,533604,98,0.01
Pigs,AnteMortem,Distress,2019-05,England,53,589233,98,0.009
Pigs,AnteMortem,Distress,2019-06,England,30,511153,97,0.006
Pigs,AnteMortem,Fight/Bite Wounds,2019-04,England,658,533604,98,0.123
Pigs,AnteMortem,Fight/Bite Wounds,2019-05,England,1170,589233,98,0.199
Pigs,AnteMortem,Fight/Bite Wounds,2019-06,England,625,511153,97,0.122
Pigs,AnteMortem,Fight/Bite Wounds,2019-06,Wales,3,2337,11,0.128
Pigs,AnteMortem,Hernia/Rupture,2019-04,England,1389,533604,98,0.26
Pigs,AnteMortem,Hernia/Rupture,2019-05,England,1611,589233,98,0.273
Pigs,AnteMortem,Hernia/Rupture,2019-06,England,1244,511153,97,0.243
Pigs,AnteMortem,Hernia/Rupture,2019-04,Wales,1,2335,10,0.043
Pigs,AnteMortem,Hernia/Rupture,2019-06,Wales,3,2337,11,0.128
Pigs,AnteMortem,Lameness – Foot Lesion(s),2019-04,England,167,533604,98,0.031
Pigs,AnteMortem,Lameness – Foot Lesion(s),2019-05,England,219,589233,98,0.037
Pigs,AnteMortem,Lameness – Foot Lesion(s),2019-06,England,227,511153,97,0.044
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2019-04,England,212,533604,98,0.04
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2019-05,England,205,589233,98,0.035
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2019-06,England,215,511153,97,0.042
Pigs,AnteMortem,Lameness – Not Defined,2019-04,England,460,533604,98,0.086
Pigs,AnteMortem,Lameness – Not Defined,2019-05,England,607,589233,98,0.103
Pigs,AnteMortem,Lameness – Not Defined,2019-06,England,535,511153,97,0.105
Pigs,AnteMortem,Lameness – Not Defined,2019-04,Wales,1,2335,10,0.043
Pigs,AnteMortem,Lameness – Not Defined,2019-05,Wales,1,1971,10,0.051
Pigs,AnteMortem,Lameness – Not Defined,2019-06,Wales,6,2337,11,0.257
Pigs,AnteMortem,Localised Swelling/Lumps,2019-04,England,770,533604,98,0.144
Pigs,AnteMortem,Localised Swelling/Lumps,2019-05,England,1071,589233,98,0.182
Pigs,AnteMortem,Localised Swelling/Lumps,2019-06,England,844,511153,97,0.165
Pigs,AnteMortem,Localised Swelling/Lumps,2019-04,Wales,1,2335,10,0.043
Pigs,AnteMortem,Mastitis,2019-04,England,29,533604,98,0.005
Pigs,AnteMortem,Mastitis,2019-05,England,20,589233,98,0.003
Pigs,AnteMortem,Mastitis,2019-06,England,10,511153,97,0.002
Pigs,AnteMortem,Moribund/Recumbent,2019-04,England,5,533604,98,0.001
Pigs,AnteMortem,Moribund/Recumbent,2019-05,England,4,589233,98,0.001
Pigs,AnteMortem,Moribund/Recumbent,2019-06,England,4,511153,97,0.001
Pigs,AnteMortem,Open Wound,2019-04,England,19,533604,98,0.004
Pigs,AnteMortem,Open Wound,2019-05,England,31,589233,98,0.005
Pigs,AnteMortem,Open Wound,2019-06,England,27,511153,97,0.005
Pigs,AnteMortem,Orchitis,2019-04,England,38,533604,98,0.007
Pigs,AnteMortem,Orchitis,2019-05,England,23,589233,98,0.004
Pigs,AnteMortem,Orchitis,2019-06,England,19,511153,97,0.004
Pigs,AnteMortem,Other ,2019-04,England,178,533604,98,0.033
Pigs,AnteMortem,Other ,2019-05,England,272,589233,98,0.046
Pigs,AnteMortem,Other ,2019-06,England,181,511153,97,0.035
Pigs,AnteMortem,Other ,2019-06,Wales,1,2337,11,0.043
Pigs,AnteMortem,Rectal Prolapse,2019-04,England,53,533604,98,0.01
Pigs,AnteMortem,Rectal Prolapse,2019-05,England,77,589233,98,0.013
Pigs,AnteMortem,Rectal Prolapse,2019-06,England,72,511153,97,0.014
Pigs,AnteMortem,Rectal Prolapse,2019-06,Wales,1,2337,11,0.043
Pigs,AnteMortem,Skin Condition,2019-04,England,125,533604,98,0.023
Pigs,AnteMortem,Skin Condition,2019-05,England,137,589233,98,0.023
Pigs,AnteMortem,Skin Condition,2019-06,England,165,511153,97,0.032
Pigs,AnteMortem,Skin Condition,2019-05,Wales,1,1971,10,0.051
