Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-01,England,284,331341,88,0.086
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-02,England,268,298782,86,0.09
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-03,England,382,360169,89,0.106
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-02,Wales,2,1861,10,0.107
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-03,Wales,2,2369,9,0.084
Pigs,AnteMortem,Dead in Lairage ,2020-01,England,11,331341,88,0.003
Pigs,AnteMortem,Dead in Lairage ,2020-01,England,16,331341,88,0.005
Pigs,AnteMortem,Dead in Lairage ,2020-02,England,10,298782,86,0.003
Pigs,AnteMortem,Dead in Lairage ,2020-02,England,9,298782,86,0.003
Pigs,AnteMortem,Dead in Lairage ,2020-03,England,10,360169,89,0.003
Pigs,AnteMortem,Dead in Lairage ,2020-03,England,10,360169,89,0.003
Pigs,AnteMortem,Dead on Arrival,2020-01,England,26,331341,88,0.008
Pigs,AnteMortem,Dead on Arrival,2020-01,England,23,331341,88,0.007
Pigs,AnteMortem,Dead on Arrival,2020-02,England,21,298782,86,0.007
Pigs,AnteMortem,Dead on Arrival,2020-02,England,21,298782,86,0.007
Pigs,AnteMortem,Dead on Arrival,2020-03,England,25,360169,89,0.007
Pigs,AnteMortem,Dead on Arrival,2020-03,England,41,360169,89,0.011
Pigs,AnteMortem,Distress,2020-01,England,5,331341,88,0.002
Pigs,AnteMortem,Distress,2020-02,England,2,298782,86,0.001
Pigs,AnteMortem,Distress,2020-02,England,4,298782,86,0.001
Pigs,AnteMortem,Distress,2020-03,England,6,360169,89,0.002
Pigs,AnteMortem,Fight/Bite Wounds,2020-01,England,201,331341,88,0.061
Pigs,AnteMortem,Fight/Bite Wounds,2020-02,England,180,298782,86,0.06
Pigs,AnteMortem,Fight/Bite Wounds,2020-03,England,440,360169,89,0.122
Pigs,AnteMortem,Fight/Bite Wounds,2020-01,Wales,16,2212,10,0.723
Pigs,AnteMortem,Hernia/Rupture,2020-01,England,630,331341,88,0.19
Pigs,AnteMortem,Hernia/Rupture,2020-02,England,576,298782,86,0.193
Pigs,AnteMortem,Hernia/Rupture,2020-03,England,719,360169,89,0.2
Pigs,AnteMortem,Hernia/Rupture,2020-01,Wales,7,2212,10,0.316
Pigs,AnteMortem,Hernia/Rupture,2020-02,Wales,3,1861,10,0.161
Pigs,AnteMortem,Hernia/Rupture,2020-03,Wales,7,2369,9,0.295
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2020-01,England,43,331341,88,0.013
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2020-02,England,38,298782,86,0.013
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2020-03,England,44,360169,89,0.012
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2020-03,England,1,360169,89,0
Pigs,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2020-01,England,65,331341,88,0.02
Pigs,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2020-02,England,72,298782,86,0.024
Pigs,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2020-03,England,90,360169,89,0.025
Pigs,AnteMortem,Lameness ??? Not Defined,2020-01,England,187,331341,88,0.056
Pigs,AnteMortem,Lameness ??? Not Defined,2020-02,England,166,298782,86,0.056
Pigs,AnteMortem,Lameness ??? Not Defined,2020-03,England,377,360169,89,0.105
Pigs,AnteMortem,Lameness ??? Not Defined,2020-01,Wales,3,2212,10,0.136
Pigs,AnteMortem,Lameness ??? Not Defined,2020-02,Wales,2,1861,10,0.107
Pigs,AnteMortem,Localised Swelling/Lumps,2020-01,England,301,331341,88,0.091
Pigs,AnteMortem,Localised Swelling/Lumps,2020-02,England,278,298782,86,0.093
Pigs,AnteMortem,Localised Swelling/Lumps,2020-03,England,400,360169,89,0.111
Pigs,AnteMortem,Localised Swelling/Lumps,2020-03,Wales,1,2369,9,0.042
Pigs,AnteMortem,Mastitis,2020-01,England,18,331341,88,0.005
Pigs,AnteMortem,Mastitis,2020-02,England,15,298782,86,0.005
Pigs,AnteMortem,Mastitis,2020-03,England,26,360169,89,0.007
Pigs,AnteMortem,Moribund/Recumbent,2020-01,England,3,331341,88,0.001
Pigs,AnteMortem,Moribund/Recumbent,2020-01,England,2,331341,88,0.001
Pigs,AnteMortem,Moribund/Recumbent,2020-02,England,2,298782,86,0.001
Pigs,AnteMortem,Moribund/Recumbent,2020-03,England,1,360169,89,0
Pigs,AnteMortem,Moribund/Recumbent,2020-03,England,3,360169,89,0.001
Pigs,AnteMortem,Open Wound,2020-01,England,2,331341,88,0.001
Pigs,AnteMortem,Open Wound,2020-02,England,5,298782,86,0.002
Pigs,AnteMortem,Open Wound,2020-03,England,9,360169,89,0.002
Pigs,AnteMortem,Orchitis,2020-01,England,11,331341,88,0.003
Pigs,AnteMortem,Orchitis,2020-02,England,2,298782,86,0.001
Pigs,AnteMortem,Orchitis,2020-03,England,8,360169,89,0.002
Pigs,AnteMortem,Other ,2020-01,England,3,331341,88,0.001
Pigs,AnteMortem,Other ,2020-01,England,98,331341,88,0.03
Pigs,AnteMortem,Other ,2020-02,England,84,298782,86,0.028
Pigs,AnteMortem,Other ,2020-02,England,1,298782,86,0
Pigs,AnteMortem,Other ,2020-03,England,180,360169,89,0.05
Pigs,AnteMortem,Rectal Prolapse,2020-01,England,25,331341,88,0.008
Pigs,AnteMortem,Rectal Prolapse,2020-02,England,14,298782,86,0.005
Pigs,AnteMortem,Rectal Prolapse,2020-03,England,34,360169,89,0.009
Pigs,AnteMortem,Skin Condition,2020-01,England,30,331341,88,0.009
Pigs,AnteMortem,Skin Condition,2020-02,England,22,298782,86,0.007
Pigs,AnteMortem,Skin Condition,2020-03,England,14,360169,89,0.004
Pigs,AnteMortem,Slaughtered in Lairage ??? Intended for HC,2020-01,England,24,331341,88,0.007
Pigs,AnteMortem,Slaughtered in Lairage ??? Intended for HC,2020-01,England,2,331341,88,0.001
Pigs,AnteMortem,Slaughtered in Lairage ??? Intended for HC,2020-02,England,36,298782,86,0.012
Pigs,AnteMortem,Slaughtered in Lairage ??? Intended for HC,2020-02,England,8,298782,86,0.003
Pigs,AnteMortem,Slaughtered in Lairage ??? Intended for HC,2020-03,England,5,360169,89,0.001
Pigs,AnteMortem,Slaughtered in Lairage ??? Intended for HC,2020-03,England,38,360169,89,0.011
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2020-01,England,37,331341,88,0.011
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2020-01,England,11,331341,88,0.003
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2020-02,England,28,298782,86,0.009
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2020-02,England,8,298782,86,0.003
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2020-03,England,8,360169,89,0.002
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2020-03,England,55,360169,89,0.015
