Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,AnteMortem,Abnormal Respiratory Signs,2018-01,England,524,344943,104,0.152
Pigs,AnteMortem,Abnormal Respiratory Signs,2018-02,England,401,304144,103,0.132
Pigs,AnteMortem,Abnormal Respiratory Signs,2018-03,England,459,319745,103,0.144
Pigs,AnteMortem,Abnormal Respiratory Signs,2018-01,Wales,4,2592,12,0.154
Pigs,AnteMortem,Abnormal Respiratory Signs,2018-02,Wales,4,1917,12,0.209
Pigs,AnteMortem,Abnormal Respiratory Signs,2018-03,Wales,1,2063,12,0.048
Pigs,AnteMortem,Dead in Lairage ,2018-01,England,14,344943,104,0.004
Pigs,AnteMortem,Dead in Lairage ,2018-02,England,15,304144,103,0.005
Pigs,AnteMortem,Dead in Lairage ,2018-03,England,15,319745,103,0.005
Pigs,AnteMortem,Dead on Arrival,2018-01,England,52,344943,104,0.015
Pigs,AnteMortem,Dead on Arrival,2018-02,England,23,304144,103,0.008
Pigs,AnteMortem,Dead on Arrival,2018-03,England,39,319745,103,0.012
Pigs,AnteMortem,Distress,2018-01,England,6,344943,104,0.002
Pigs,AnteMortem,Distress,2018-02,England,10,304144,103,0.003
Pigs,AnteMortem,Distress,2018-03,England,3,319745,103,0.001
Pigs,AnteMortem,Fight/Bite Wounds,2018-01,England,192,344943,104,0.056
Pigs,AnteMortem,Fight/Bite Wounds,2018-02,England,267,304144,103,0.088
Pigs,AnteMortem,Fight/Bite Wounds,2018-03,England,184,319745,103,0.058
Pigs,AnteMortem,Fight/Bite Wounds,2018-01,Wales,1,2592,12,0.039
Pigs,AnteMortem,Fight/Bite Wounds,2018-03,Wales,4,2063,12,0.194
Pigs,AnteMortem,Hernia/Rupture,2018-01,England,883,344943,104,0.256
Pigs,AnteMortem,Hernia/Rupture,2018-02,England,779,304144,103,0.256
Pigs,AnteMortem,Hernia/Rupture,2018-03,England,710,319745,103,0.222
Pigs,AnteMortem,Hernia/Rupture,2018-01,Wales,7,2592,12,0.27
Pigs,AnteMortem,Hernia/Rupture,2018-02,Wales,4,1917,12,0.209
Pigs,AnteMortem,Hernia/Rupture,2018-03,Wales,4,2063,12,0.194
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2018-01,England,64,344943,104,0.019
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2018-02,England,62,304144,103,0.02
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2018-03,England,100,319745,103,0.031
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2018-01,Wales,2,2592,12,0.077
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2018-03,Wales,1,2063,12,0.048
Pigs,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2018-01,England,126,344943,104,0.037
Pigs,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2018-02,England,146,304144,103,0.048
Pigs,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2018-03,England,129,319745,103,0.04
Pigs,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2018-01,Wales,1,2592,12,0.039
Pigs,AnteMortem,Lameness ??? Not Defined,2018-01,England,341,344943,104,0.099
Pigs,AnteMortem,Lameness ??? Not Defined,2018-02,England,286,304144,103,0.094
Pigs,AnteMortem,Lameness ??? Not Defined,2018-03,England,326,319745,103,0.102
Pigs,AnteMortem,Lameness ??? Not Defined,2018-01,Wales,6,2592,12,0.231
Pigs,AnteMortem,Lameness ??? Not Defined,2018-02,Wales,9,1917,12,0.469
Pigs,AnteMortem,Lameness ??? Not Defined,2018-03,Wales,9,2063,12,0.436
Pigs,AnteMortem,Localised Swelling/Lumps,2018-01,England,619,344943,104,0.179
Pigs,AnteMortem,Localised Swelling/Lumps,2018-02,England,505,304144,103,0.166
Pigs,AnteMortem,Localised Swelling/Lumps,2018-03,England,420,319745,103,0.131
Pigs,AnteMortem,Localised Swelling/Lumps,2018-01,Wales,5,2592,12,0.193
Pigs,AnteMortem,Localised Swelling/Lumps,2018-02,Wales,1,1917,12,0.052
Pigs,AnteMortem,Localised Swelling/Lumps,2018-03,Wales,2,2063,12,0.097
Pigs,AnteMortem,Mastitis,2018-01,England,32,344943,104,0.009
Pigs,AnteMortem,Mastitis,2018-02,England,58,304144,103,0.019
Pigs,AnteMortem,Mastitis,2018-03,England,37,319745,103,0.012
Pigs,AnteMortem,Mastitis,2018-02,Wales,1,1917,12,0.052
Pigs,AnteMortem,Moribund/Recumbent,2018-01,England,3,344943,104,0.001
Pigs,AnteMortem,Moribund/Recumbent,2018-03,England,1,319745,103,0
Pigs,AnteMortem,Moribund/Recumbent,2018-01,Wales,1,2592,12,0.039
Pigs,AnteMortem,Open Wound,2018-01,England,27,344943,104,0.008
