Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-07,England,287,573524,87,0.05
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-08,England,302,531569,86,0.057
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-08,England,1,531569,86,0
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-09,England,365,653925,84,0.056
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-07,Wales,1,2216,9,0.045
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-08,Wales,3,2299,9,0.13
Pigs,AnteMortem,Bloody Diarrhoea,2020-09,England,2,653925,84,0
Pigs,AnteMortem,Dead in Lairage ,2020-07,England,7,573524,87,0.001
Pigs,AnteMortem,Dead in Lairage ,2020-07,England,9,573524,87,0.002
Pigs,AnteMortem,Dead in Lairage ,2020-08,England,27,531569,86,0.005
Pigs,AnteMortem,Dead in Lairage ,2020-08,England,18,531569,86,0.003
Pigs,AnteMortem,Dead in Lairage ,2020-09,England,23,653925,84,0.004
Pigs,AnteMortem,Dead in Lairage ,2020-09,England,21,653925,84,0.003
Pigs,AnteMortem,Dead on Arrival,2020-07,England,41,573524,87,0.007
Pigs,AnteMortem,Dead on Arrival,2020-07,England,52,573524,87,0.009
Pigs,AnteMortem,Dead on Arrival,2020-08,England,35,531569,86,0.007
Pigs,AnteMortem,Dead on Arrival,2020-08,England,44,531569,86,0.008
Pigs,AnteMortem,Dead on Arrival,2020-09,England,55,653925,84,0.008
Pigs,AnteMortem,Dead on Arrival,2020-09,England,44,653925,84,0.007
Pigs,AnteMortem,Distress,2020-07,England,16,573524,87,0.003
Pigs,AnteMortem,Distress,2020-08,England,19,531569,86,0.004
Pigs,AnteMortem,Distress,2020-08,England,1,531569,86,0
Pigs,AnteMortem,Distress,2020-09,England,8,653925,84,0.001
Pigs,AnteMortem,Distress,2020-09,England,22,653925,84,0.003
Pigs,AnteMortem,Fight/Bite Wounds,2020-07,England,1618,573524,87,0.282
Pigs,AnteMortem,Fight/Bite Wounds,2020-08,England,1026,531569,86,0.193
Pigs,AnteMortem,Fight/Bite Wounds,2020-09,England,3758,653925,84,0.575
Pigs,AnteMortem,Fight/Bite Wounds,2020-07,Wales,3,2216,9,0.135
Pigs,AnteMortem,Hernia/Rupture,2020-07,England,1552,573524,87,0.271
Pigs,AnteMortem,Hernia/Rupture,2020-08,England,1470,531569,86,0.277
Pigs,AnteMortem,Hernia/Rupture,2020-09,England,1737,653925,84,0.266
Pigs,AnteMortem,Hernia/Rupture,2020-07,Wales,4,2216,9,0.181
Pigs,AnteMortem,Hernia/Rupture,2020-08,Wales,10,2299,9,0.435
Pigs,AnteMortem,Hernia/Rupture,2020-09,Wales,1,2603,9,0.038
Pigs,AnteMortem,Lameness – Foot Lesion(s),2020-07,England,191,573524,87,0.033
Pigs,AnteMortem,Lameness – Foot Lesion(s),2020-08,England,182,531569,86,0.034
Pigs,AnteMortem,Lameness – Foot Lesion(s),2020-09,England,125,653925,84,0.019
Pigs,AnteMortem,Lameness – Foot Lesion(s),2020-08,Wales,1,2299,9,0.043
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-07,England,149,573524,87,0.026
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-07,England,2,573524,87,0
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-08,England,2,531569,86,0
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-08,England,159,531569,86,0.03
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-09,England,200,653925,84,0.031
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-09,England,5,653925,84,0.001
Pigs,AnteMortem,Lameness – Not Defined,2020-07,England,391,573524,87,0.068
