Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,AnteMortem,Abnormal Respiratory Signs,2018-07,England,263,320195,98,0.082
Pigs,AnteMortem,Abnormal Respiratory Signs,2018-08,England,565,449375,98,0.126
Pigs,AnteMortem,Abnormal Respiratory Signs,2018-09,England,420,384442,98,0.109
Pigs,AnteMortem,Abnormal Respiratory Signs,2018-07,Wales,2,2512,11,0.08
Pigs,AnteMortem,Dead in Lairage ,2018-07,England,34,320195,98,0.011
Pigs,AnteMortem,Dead in Lairage ,2018-08,England,20,449375,98,0.004
Pigs,AnteMortem,Dead in Lairage ,2018-09,England,37,384442,98,0.01
Pigs,AnteMortem,Dead on Arrival,2018-07,England,58,320195,98,0.018
Pigs,AnteMortem,Dead on Arrival,2018-08,England,67,449375,98,0.015
Pigs,AnteMortem,Dead on Arrival,2018-09,England,63,384442,98,0.016
Pigs,AnteMortem,Distress,2018-07,England,12,320195,98,0.004
Pigs,AnteMortem,Distress,2018-08,England,22,449375,98,0.005
Pigs,AnteMortem,Distress,2018-09,England,15,384442,98,0.004
Pigs,AnteMortem,Fight/Bite Wounds,2018-07,England,370,320195,98,0.116
Pigs,AnteMortem,Fight/Bite Wounds,2018-08,England,702,449375,98,0.156
Pigs,AnteMortem,Fight/Bite Wounds,2018-09,England,606,384442,98,0.158
Pigs,AnteMortem,Fight/Bite Wounds,2018-07,Wales,5,2512,11,0.199
Pigs,AnteMortem,Fight/Bite Wounds,2018-08,Wales,3,2400,12,0.125
Pigs,AnteMortem,Hernia/Rupture,2018-07,England,931,320195,98,0.291
Pigs,AnteMortem,Hernia/Rupture,2018-08,England,1623,449375,98,0.361
Pigs,AnteMortem,Hernia/Rupture,2018-09,England,1331,384442,98,0.346
Pigs,AnteMortem,Hernia/Rupture,2018-07,Wales,3,2512,11,0.119
Pigs,AnteMortem,Hernia/Rupture,2018-08,Wales,2,2400,12,0.083
Pigs,AnteMortem,Hernia/Rupture,2018-09,Wales,5,2319,11,0.216
Pigs,AnteMortem,Lameness ? Foot Lesion(s),2018-07,England,71,320195,98,0.022
Pigs,AnteMortem,Lameness ? Foot Lesion(s),2018-08,England,176,449375,98,0.039
Pigs,AnteMortem,Lameness ? Foot Lesion(s),2018-09,England,144,384442,98,0.037
Pigs,AnteMortem,Lameness ? Foot Lesion(s),2018-07,Wales,1,2512,11,0.04
Pigs,AnteMortem,Lameness ? Joint/Leg Lesion(s),2018-07,England,106,320195,98,0.033
Pigs,AnteMortem,Lameness ? Joint/Leg Lesion(s),2018-08,England,97,449375,98,0.022
Pigs,AnteMortem,Lameness ? Joint/Leg Lesion(s),2018-09,England,97,384442,98,0.025
Pigs,AnteMortem,Lameness ? Joint/Leg Lesion(s),2018-08,Wales,1,2400,12,0.042
Pigs,AnteMortem,Lameness ? Joint/Leg Lesion(s),2018-09,Wales,2,2319,11,0.086
Pigs,AnteMortem,Lameness ? Not Defined,2018-07,England,341,320195,98,0.106
Pigs,AnteMortem,Lameness ? Not Defined,2018-08,England,467,449375,98,0.104
Pigs,AnteMortem,Lameness ? Not Defined,2018-09,England,371,384442,98,0.097
Pigs,AnteMortem,Lameness ? Not Defined,2018-07,Wales,4,2512,11,0.159
Pigs,AnteMortem,Lameness ? Not Defined,2018-08,Wales,4,2400,12,0.167
Pigs,AnteMortem,Lameness ? Not Defined,2018-09,Wales,3,2319,11,0.129
Pigs,AnteMortem,Localised Swelling/Lumps,2018-07,England,475,320195,98,0.148
Pigs,AnteMortem,Localised Swelling/Lumps,2018-08,England,911,449375,98,0.203
Pigs,AnteMortem,Localised Swelling/Lumps,2018-09,England,715,384442,98,0.186
Pigs,AnteMortem,Localised Swelling/Lumps,2018-07,Wales,2,2512,11,0.08
Pigs,AnteMortem,Localised Swelling/Lumps,2018-08,Wales,5,2400,12,0.208
Pigs,AnteMortem,Localised Swelling/Lumps,2018-09,Wales,3,2319,11,0.129
Pigs,AnteMortem,Mastitis,2018-07,England,24,320195,98,0.007
Pigs,AnteMortem,Mastitis,2018-08,England,19,449375,98,0.004
Pigs,AnteMortem,Mastitis,2018-09,England,21,384442,98,0.005
Pigs,AnteMortem,Moribund/Recumbent,2018-07,England,1,320195,98,0
Pigs,AnteMortem,Moribund/Recumbent,2018-08,England,4,449375,98,0.001
Pigs,AnteMortem,Moribund/Recumbent,2018-09,England,3,384442,98,0.001
Pigs,AnteMortem,Open Wound,2018-07,England,62,320195,98,0.019
Pigs,AnteMortem,Open Wound,2018-08,England,45,449375,98,0.01
Pigs,AnteMortem,Open Wound,2018-09,England,28,384442,98,0.007
Pigs,AnteMortem,Orchitis,2018-07,England,13,320195,98,0.004
Pigs,AnteMortem,Orchitis,2018-08,England,46,449375,98,0.01
Pigs,AnteMortem,Orchitis,2018-09,England,31,384442,98,0.008
Pigs,AnteMortem,Other ,2018-07,England,108,320195,98,0.034
Pigs,AnteMortem,Other ,2018-08,England,168,449375,98,0.037
Pigs,AnteMortem,Other ,2018-09,England,110,384442,98,0.029
Pigs,AnteMortem,Other ,2018-07,Wales,1,2512,11,0.04
Pigs,AnteMortem,Rectal Prolapse,2018-07,England,29,320195,98,0.009
Pigs,AnteMortem,Rectal Prolapse,2018-08,England,47,449375,98,0.01
Pigs,AnteMortem,Rectal Prolapse,2018-09,England,54,384442,98,0.014
Pigs,AnteMortem,Skin Condition,2018-07,England,260,320195,98,0.081
Pigs,AnteMortem,Skin Condition,2018-08,England,257,449375,98,0.057
Pigs,AnteMortem,Skin Condition,2018-09,England,227,384442,98,0.059
Pigs,AnteMortem,Skin Condition,2018-07,Wales,1,2512,11,0.04
Pigs,AnteMortem,Slaughtered in Lairage ? Intended for HC,2018-07,England,49,320195,98,0.015
Pigs,AnteMortem,Slaughtered in Lairage ? Intended for HC,2018-08,England,88,449375,98,0.02
Pigs,AnteMortem,Slaughtered in Lairage ? Intended for HC,2018-09,England,71,384442,98,0.018
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2018-07,England,44,320195,98,0.014
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2018-08,England,123,449375,98,0.027
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2018-09,England,62,384442,98,0.016
Pigs,AnteMortem,Suspect Fever,2018-09,England,1,384442,98,0
Pigs,AnteMortem,Suspect Notifiable Diseases ,2018-09,England,1,384442,98,0
Pigs,AnteMortem,Tail Bite (AM),2018-07,England,792,320195,98,0.247
Pigs,AnteMortem,Tail Bite (AM),2018-08,England,1067,449375,98,0.237
Pigs,AnteMortem,Tail Bite (AM),2018-09,England,896,384442,98,0.233
Pigs,AnteMortem,Tail Bite (AM),2018-07,Wales,5,2512,11,0.199
Pigs,AnteMortem,Tail Bite (AM),2018-08,Wales,1,2400,12,0.042
Pigs,AnteMortem,Twisted Snout,2018-07,England,1,320195,98,0
Pigs,AnteMortem,Twisted Snout,2018-08,England,2,449375,98,0
Pigs,AnteMortem,Twisted Snout,2018-09,England,11,384442,98,0.003
Pigs,Carcases,Abscess - Multiple,2018-07,England,186,320195,98,0.058
Pigs,Carcases,Abscess - Multiple,2018-08,England,210,449375,98,0.047
Pigs,Carcases,Abscess - Multiple,2018-09,England,184,384442,98,0.048
Pigs,Carcases,Abscess - Multiple,2018-09,Wales,1,2319,11,0.043
Pigs,Carcases,Abscess - Single,2018-07,England,3501,320195,98,1.093
Pigs,Carcases,Abscess - Single,2018-08,England,4775,449375,98,1.063
Pigs,Carcases,Abscess - Single,2018-09,England,3722,384442,98,0.968
Pigs,Carcases,Abscess - Single,2018-07,Wales,5,2512,11,0.199
Pigs,Carcases,Abscess - Single,2018-08,Wales,3,2400,12,0.125
Pigs,Carcases,Abscess - Single,2018-09,Wales,7,2319,11,0.302
Pigs,Carcases,Contamination,2018-07,England,6991,320195,98,2.183
Pigs,Carcases,Contamination,2018-08,England,11354,449375,98,2.527
Pigs,Carcases,Contamination,2018-09,England,8636,384442,98,2.246
Pigs,Carcases,Erysipelas Skin Like,2018-07,England,178,320195,98,0.056
Pigs,Carcases,Erysipelas Skin Like,2018-08,England,331,449375,98,0.074
Pigs,Carcases,Erysipelas Skin Like,2018-09,England,223,384442,98,0.058
Pigs,Carcases,Fight Marks,2018-07,England,483,320195,98,0.151
Pigs,Carcases,Fight Marks,2018-08,England,611,449375,98,0.136
Pigs,Carcases,Fight Marks,2018-09,England,573,384442,98,0.149
Pigs,Carcases,Fight Marks,2018-09,Wales,3,2319,11,0.129
Pigs,Carcases,Joint Lesion - Mulitple,2018-07,England,550,320195,98,0.172
Pigs,Carcases,Joint Lesion - Mulitple,2018-08,England,629,449375,98,0.14
Pigs,Carcases,Joint Lesion - Mulitple,2018-09,England,548,384442,98,0.143
Pigs,Carcases,Joint Lesion - Mulitple,2018-08,Wales,1,2400,12,0.042
Pigs,Carcases,Joint Lesion - Mulitple,2018-09,Wales,1,2319,11,0.043
Pigs,Carcases,Joint Lesion - Single,2018-07,England,1886,320195,98,0.589
Pigs,Carcases,Joint Lesion - Single,2018-08,England,2294,449375,98,0.51
Pigs,Carcases,Joint Lesion - Single,2018-09,England,1866,384442,98,0.485
Pigs,Carcases,Joint Lesion - Single,2018-07,Wales,11,2512,11,0.438
Pigs,Carcases,Joint Lesion - Single,2018-08,Wales,2,2400,12,0.083
