???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Broilers,Conditions,Abnormal Colour/Fevered,2020-04,England,216108,71545238,43,0.302
Broilers,Conditions,Abnormal Colour/Fevered,2020-05,England,173242,69391746,44,0.25
Broilers,Conditions,Abnormal Colour/Fevered,2020-06,England,153579,70084627,43,0.219
Broilers,Conditions,Abnormal Colour/Fevered,2020-04,Wales,12976,8293725,3,0.156
Broilers,Conditions,Abnormal Colour/Fevered,2020-05,Wales,12642,7998814,3,0.158
Broilers,Conditions,Abnormal Colour/Fevered,2020-06,Wales,11280,7166697,3,0.157
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-04,England,45383,71545238,43,0.063
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-05,England,39129,69391746,44,0.056
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-06,England,31372,70084627,43,0.045
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-04,Wales,1715,8293725,3,0.021
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-05,Wales,704,7998814,3,0.009
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-06,Wales,561,7166697,3,0.008
Broilers,Conditions,Ascites/Oedema,2020-04,England,229512,71545238,43,0.321
Broilers,Conditions,Ascites/Oedema,2020-05,England,201725,69391746,44,0.291
Broilers,Conditions,Ascites/Oedema,2020-06,England,181069,70084627,43,0.258
Broilers,Conditions,Ascites/Oedema,2020-04,Wales,27773,8293725,3,0.335
Broilers,Conditions,Ascites/Oedema,2020-05,Wales,28228,7998814,3,0.353
Broilers,Conditions,Ascites/Oedema,2020-06,Wales,24857,7166697,3,0.347
Broilers,Conditions,Bruising/Fractures,2020-04,England,2244,71545238,43,0.003
Broilers,Conditions,Bruising/Fractures,2020-04,England,14994,71545238,43,0.021
Broilers,Conditions,Bruising/Fractures,2020-05,England,13392,69391746,44,0.019
Broilers,Conditions,Bruising/Fractures,2020-05,England,2583,69391746,44,0.004
Broilers,Conditions,Bruising/Fractures,2020-06,England,2553,70084627,43,0.004
Broilers,Conditions,Bruising/Fractures,2020-06,England,13124,70084627,43,0.019
Broilers,Conditions,Bruising/Fractures,2020-04,Wales,1634,8293725,3,0.02
Broilers,Conditions,Bruising/Fractures,2020-04,Wales,2868,8293725,3,0.035
Broilers,Conditions,Bruising/Fractures,2020-05,Wales,1673,7998814,3,0.021
Broilers,Conditions,Bruising/Fractures,2020-05,Wales,3182,7998814,3,0.04
Broilers,Conditions,Bruising/Fractures,2020-06,Wales,2215,7166697,3,0.031
Broilers,Conditions,Bruising/Fractures,2020-06,Wales,2014,7166697,3,0.028
Broilers,Conditions,Cellulitis,2020-04,England,238667,71545238,43,0.334
Broilers,Conditions,Cellulitis,2020-04,England,16515,71545238,43,0.023
Broilers,Conditions,Cellulitis,2020-05,England,236358,69391746,44,0.341
Broilers,Conditions,Cellulitis,2020-05,England,17915,69391746,44,0.026
Broilers,Conditions,Cellulitis,2020-06,England,215324,70084627,43,0.307
Broilers,Conditions,Cellulitis,2020-06,England,16357,70084627,43,0.023
Broilers,Conditions,Cellulitis,2020-04,Wales,19275,8293725,3,0.232
Broilers,Conditions,Cellulitis,2020-04,Wales,6,8293725,3,0
Broilers,Conditions,Cellulitis,2020-05,Wales,21598,7998814,3,0.27
Broilers,Conditions,Cellulitis,2020-06,Wales,22095,7166697,3,0.308
Broilers,Conditions,Contamination,2020-04,England,56199,71545238,43,0.079
Broilers,Conditions,Contamination,2020-04,England,57223,71545238,43,0.08
Broilers,Conditions,Contamination,2020-05,England,63688,69391746,44,0.092
Broilers,Conditions,Contamination,2020-05,England,64490,69391746,44,0.093
Broilers,Conditions,Contamination,2020-06,England,60147,70084627,43,0.086
Broilers,Conditions,Contamination,2020-06,England,57562,70084627,43,0.082
Broilers,Conditions,Contamination,2020-04,Wales,6218,8293725,3,0.075
Broilers,Conditions,Contamination,2020-05,Wales,7329,7998814,3,0.092
Broilers,Conditions,Contamination,2020-06,Wales,5818,7166697,3,0.081
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-04,England,76600,71545238,43,0.107
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-05,England,78320,69391746,44,0.113
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-06,England,76709,70084627,43,0.109
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-04,Wales,6126,8293725,3,0.074
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-05,Wales,6404,7998814,3,0.08
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-06,Wales,6379,7166697,3,0.089
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-04,England,13741,71545238,43,0.019
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-05,England,13167,69391746,44,0.019
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-06,England,12384,70084627,43,0.018
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-04,Wales,3729,8293725,3,0.045
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-05,Wales,3075,7998814,3,0.038
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-06,Wales,4293,7166697,3,0.06
Broilers,Conditions,Dermatitis,2020-04,England,9046,71545238,43,0.013
Broilers,Conditions,Dermatitis,2020-04,England,5,71545238,43,0
Broilers,Conditions,Dermatitis,2020-05,England,20,69391746,44,0
Broilers,Conditions,Dermatitis,2020-05,England,8939,69391746,44,0.013
Broilers,Conditions,Dermatitis,2020-06,England,55,70084627,43,0
Broilers,Conditions,Dermatitis,2020-06,England,9795,70084627,43,0.014
Broilers,Conditions,Dermatitis,2020-04,Wales,2552,8293725,3,0.031
Broilers,Conditions,Dermatitis,2020-04,Wales,8,8293725,3,0
Broilers,Conditions,Dermatitis,2020-05,Wales,2275,7998814,3,0.028
Broilers,Conditions,Dermatitis,2020-05,Wales,11,7998814,3,0
Broilers,Conditions,Dermatitis,2020-06,Wales,29,7166697,3,0
Broilers,Conditions,Dermatitis,2020-06,Wales,2434,7166697,3,0.034
Broilers,Conditions,Emaciation,2020-04,England,14797,71545238,43,0.021
Broilers,Conditions,Emaciation,2020-05,England,12067,69391746,44,0.017
Broilers,Conditions,Emaciation,2020-06,England,11404,70084627,43,0.016
Broilers,Conditions,Emaciation,2020-04,Wales,4538,8293725,3,0.055
Broilers,Conditions,Emaciation,2020-05,Wales,4157,7998814,3,0.052
Broilers,Conditions,Emaciation,2020-06,Wales,3606,7166697,3,0.05
Broilers,Conditions,Hepatitis,2020-04,England,75442,71545238,43,0.105
Broilers,Conditions,Hepatitis,2020-04,England,28975,71545238,43,0.04
Broilers,Conditions,Hepatitis,2020-05,England,65319,69391746,44,0.094
Broilers,Conditions,Hepatitis,2020-05,England,27266,69391746,44,0.039
Broilers,Conditions,Hepatitis,2020-06,England,29977,70084627,43,0.043
Broilers,Conditions,Hepatitis,2020-06,England,68382,70084627,43,0.098
Broilers,Conditions,Hepatitis,2020-04,Wales,6054,8293725,3,0.073
Broilers,Conditions,Hepatitis,2020-04,Wales,2521,8293725,3,0.03
Broilers,Conditions,Hepatitis,2020-05,Wales,6222,7998814,3,0.078
Broilers,Conditions,Hepatitis,2020-05,Wales,2759,7998814,3,0.034
Broilers,Conditions,Hepatitis,2020-06,Wales,7819,7166697,3,0.109
Broilers,Conditions,Hepatitis,2020-06,Wales,4102,7166697,3,0.057
Broilers,Conditions,Joint Lesions,2020-04,England,334,71545238,43,0
Broilers,Conditions,Joint Lesions,2020-04,England,23782,71545238,43,0.033
Broilers,Conditions,Joint Lesions,2020-05,England,836,69391746,44,0.001
Broilers,Conditions,Joint Lesions,2020-05,England,19087,69391746,44,0.028
Broilers,Conditions,Joint Lesions,2020-06,England,16236,70084627,43,0.023
Broilers,Conditions,Joint Lesions,2020-06,England,408,70084627,43,0.001
Broilers,Conditions,Joint Lesions,2020-04,Wales,1730,8293725,3,0.021
Broilers,Conditions,Joint Lesions,2020-04,Wales,318,8293725,3,0.004
Broilers,Conditions,Joint Lesions,2020-05,Wales,1521,7998814,3,0.019
Broilers,Conditions,Joint Lesions,2020-05,Wales,94,7998814,3,0.001
Broilers,Conditions,Joint Lesions,2020-06,Wales,110,7166697,3,0.002
Broilers,Conditions,Joint Lesions,2020-06,Wales,1257,7166697,3,0.018
Broilers,Conditions,Machine Damage,2020-04,England,17686,71545238,43,0.025
Broilers,Conditions,Machine Damage,2020-04,England,94958,71545238,43,0.133
Broilers,Conditions,Machine Damage,2020-05,England,14906,69391746,44,0.021
Broilers,Conditions,Machine Damage,2020-05,England,82341,69391746,44,0.119
Broilers,Conditions,Machine Damage,2020-06,England,13702,70084627,43,0.02
Broilers,Conditions,Machine Damage,2020-06,England,74614,70084627,43,0.106
Broilers,Conditions,Machine Damage,2020-04,Wales,4059,8293725,3,0.049
Broilers,Conditions,Machine Damage,2020-04,Wales,119,8293725,3,0.001
Broilers,Conditions,Machine Damage,2020-05,Wales,61,7998814,3,0.001
Broilers,Conditions,Machine Damage,2020-05,Wales,4500,7998814,3,0.056
Broilers,Conditions,Machine Damage,2020-06,Wales,3866,7166697,3,0.054
Broilers,Conditions,Machine Damage,2020-06,Wales,21,7166697,3,0
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-04,England,7,71545238,43,0
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-04,England,32833,71545238,43,0.046
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-05,England,39337,69391746,44,0.057
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-06,England,46807,70084627,43,0.067
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-04,Wales,1043,8293725,3,0.013
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-05,Wales,1668,7998814,3,0.021
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-06,Wales,3315,7166697,3,0.046
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-04,England,58,71545238,43,0
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-04,England,95733,71545238,43,0.134
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-05,England,83304,69391746,44,0.12
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-05,England,221,69391746,44,0
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-06,England,69110,70084627,43,0.099
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-06,England,637,70084627,43,0.001
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-04,Wales,11495,8293725,3,0.139
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-05,Wales,12388,7998814,3,0.155
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-06,Wales,7611,7166697,3,0.106
Broilers,Conditions,Overscald,2020-04,England,36974,71545238,43,0.052
Broilers,Conditions,Overscald,2020-04,England,45,71545238,43,0
Broilers,Conditions,Overscald,2020-05,England,227,69391746,44,0
Broilers,Conditions,Overscald,2020-05,England,47557,69391746,44,0.069
Broilers,Conditions,Overscald,2020-06,England,28930,70084627,43,0.041
Broilers,Conditions,Overscald,2020-06,England,92,70084627,43,0
Broilers,Conditions,Overscald,2020-04,Wales,6513,8293725,3,0.079
Broilers,Conditions,Overscald,2020-05,Wales,12,7998814,3,0
Broilers,Conditions,Overscald,2020-05,Wales,4931,7998814,3,0.062
Broilers,Conditions,Overscald,2020-06,Wales,5166,7166697,3,0.072
Broilers,Conditions,Pericarditis,2020-04,England,16482,71545238,43,0.023
Broilers,Conditions,Pericarditis,2020-04,England,97848,71545238,43,0.137
Broilers,Conditions,Pericarditis,2020-05,England,88645,69391746,44,0.128
Broilers,Conditions,Pericarditis,2020-05,England,10416,69391746,44,0.015
Broilers,Conditions,Pericarditis,2020-06,England,8789,70084627,43,0.013
Broilers,Conditions,Pericarditis,2020-06,England,69150,70084627,43,0.099
Broilers,Conditions,Pericarditis,2020-04,Wales,958,8293725,3,0.012
Broilers,Conditions,Pericarditis,2020-04,Wales,6053,8293725,3,0.073
Broilers,Conditions,Pericarditis,2020-05,Wales,1183,7998814,3,0.015
Broilers,Conditions,Pericarditis,2020-05,Wales,5652,7998814,3,0.071
Broilers,Conditions,Pericarditis,2020-06,Wales,671,7166697,3,0.009
Broilers,Conditions,Pericarditis,2020-06,Wales,5302,7166697,3,0.074
Broilers,Conditions,Perihepatitis/Peritonitis,2020-04,England,243,71545238,43,0
Broilers,Conditions,Perihepatitis/Peritonitis,2020-04,England,86816,71545238,43,0.121
Broilers,Conditions,Perihepatitis/Peritonitis,2020-05,England,330,69391746,44,0
Broilers,Conditions,Perihepatitis/Peritonitis,2020-05,England,81103,69391746,44,0.117
Broilers,Conditions,Perihepatitis/Peritonitis,2020-06,England,69955,70084627,43,0.1
Broilers,Conditions,Perihepatitis/Peritonitis,2020-06,England,130,70084627,43,0
Broilers,Conditions,Perihepatitis/Peritonitis,2020-04,Wales,11331,8293725,3,0.137
Broilers,Conditions,Perihepatitis/Peritonitis,2020-04,Wales,20,8293725,3,0
Broilers,Conditions,Perihepatitis/Peritonitis,2020-05,Wales,9296,7998814,3,0.116
Broilers,Conditions,Perihepatitis/Peritonitis,2020-05,Wales,13,7998814,3,0
Broilers,Conditions,Perihepatitis/Peritonitis,2020-06,Wales,8494,7166697,3,0.119
Broilers,Conditions,Perihepatitis/Peritonitis,2020-06,Wales,19,7166697,3,0
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-04,England,53,71545238,43,0
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-04,England,987,71545238,43,0.001
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-05,England,3,69391746,44,0
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-05,England,898,69391746,44,0.001
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-06,England,1187,70084627,43,0.002
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-06,England,14,70084627,43,0
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-04,Wales,69,8293725,3,0.001
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-05,Wales,102,7998814,3,0.001
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-06,Wales,55,7166697,3,0.001
Broilers,Conditions,Salpingitis,2020-04,England,232,71545238,43,0
Broilers,Conditions,Salpingitis,2020-05,England,140,69391746,44,0
Broilers,Conditions,Salpingitis,2020-06,England,372,70084627,43,0.001
Broilers,Conditions,Salpingitis,2020-04,Wales,3,8293725,3,0
Broilers,Conditions,Salpingitis,2020-05,Wales,5,7998814,3,0
Broilers,Conditions,Salpingitis,2020-06,Wales,4,7166697,3,0
Broilers,Conditions,Tumours/Nodules,2020-04,England,14886,71545238,43,0.021
Broilers,Conditions,Tumours/Nodules,2020-04,England,1,71545238,43,0
Broilers,Conditions,Tumours/Nodules,2020-05,England,14984,69391746,44,0.022
Broilers,Conditions,Tumours/Nodules,2020-05,England,2,69391746,44,0
Broilers,Conditions,Tumours/Nodules,2020-06,England,1,70084627,43,0
Broilers,Conditions,Tumours/Nodules,2020-06,England,13718,70084627,43,0.02
Broilers,Conditions,Tumours/Nodules,2020-04,Wales,270,8293725,3,0.003
Broilers,Conditions,Tumours/Nodules,2020-05,Wales,310,7998814,3,0.004
Broilers,Conditions,Tumours/Nodules,2020-06,Wales,347,7166697,3,0.005
Ducks,Conditions,Abnormal Colour/Fevered,2020-04,England,620,1044905,7,0.059
Ducks,Conditions,Abnormal Colour/Fevered,2020-05,England,827,1048203,8,0.079
Ducks,Conditions,Abnormal Colour/Fevered,2020-06,England,1294,1001739,9,0.129
Ducks,Conditions,Antemortem Rejects (Cull/Runts),2020-04,England,90,1044905,7,0.009
Ducks,Conditions,Antemortem Rejects (Cull/Runts),2020-05,England,91,1048203,8,0.009
Ducks,Conditions,Antemortem Rejects (Cull/Runts),2020-06,England,30,1001739,9,0.003
Ducks,Conditions,Ascites/Oedema,2020-04,England,7352,1044905,7,0.704
Ducks,Conditions,Ascites/Oedema,2020-05,England,7112,1048203,8,0.678
Ducks,Conditions,Ascites/Oedema,2020-06,England,6499,1001739,9,0.649
Ducks,Conditions,Bruising/Fractures,2020-04,England,560,1044905,7,0.054
Ducks,Conditions,Bruising/Fractures,2020-04,England,17,1044905,7,0.002
Ducks,Conditions,Bruising/Fractures,2020-05,England,554,1048203,8,0.053
Ducks,Conditions,Bruising/Fractures,2020-05,England,16,1048203,8,0.002
Ducks,Conditions,Bruising/Fractures,2020-06,England,6,1001739,9,0.001
Ducks,Conditions,Bruising/Fractures,2020-06,England,530,1001739,9,0.053
Ducks,Conditions,Cellulitis,2020-04,England,6,1044905,7,0.001
Ducks,Conditions,Cellulitis,2020-05,England,10,1048203,8,0.001
Ducks,Conditions,Cellulitis,2020-06,England,4,1001739,9,0
Ducks,Conditions,Contamination,2020-04,England,1687,1044905,7,0.161
Ducks,Conditions,Contamination,2020-04,England,443,1044905,7,0.042
Ducks,Conditions,Contamination,2020-05,England,748,1048203,8,0.071
