???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Broilers,Conditions,Abnormal Colour/Fevered,2020-01,England,226444,74822011,43,0.303
Broilers,Conditions,Abnormal Colour/Fevered,2020-02,England,210212,67156317,45,0.313
Broilers,Conditions,Abnormal Colour/Fevered,2020-03,England,217475,75113030,43,0.29
Broilers,Conditions,Abnormal Colour/Fevered,2020-01,Wales,17801,8011009,3,0.222
Broilers,Conditions,Abnormal Colour/Fevered,2020-02,Wales,14967,7195814,3,0.208
Broilers,Conditions,Abnormal Colour/Fevered,2020-03,Wales,13558,8208037,4,0.165
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-01,England,57884,74822011,43,0.077
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-02,England,56468,67156317,45,0.084
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-03,England,43019,75113030,43,0.057
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-01,Wales,3067,8011009,3,0.038
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-02,Wales,1878,7195814,3,0.026
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-03,Wales,4005,8208037,4,0.049
Broilers,Conditions,Ascites/Oedema,2020-01,England,264123,74822011,43,0.353
Broilers,Conditions,Ascites/Oedema,2020-02,England,249779,67156317,45,0.372
Broilers,Conditions,Ascites/Oedema,2020-03,England,261828,75113030,43,0.349
Broilers,Conditions,Ascites/Oedema,2020-01,Wales,35027,8011009,3,0.437
Broilers,Conditions,Ascites/Oedema,2020-02,Wales,33105,7195814,3,0.46
Broilers,Conditions,Ascites/Oedema,2020-03,Wales,37974,8208037,4,0.463
Broilers,Conditions,Bruising/Fractures,2020-01,England,13753,74822011,43,0.018
Broilers,Conditions,Bruising/Fractures,2020-01,England,3856,74822011,43,0.005
Broilers,Conditions,Bruising/Fractures,2020-02,England,2660,67156317,45,0.004
Broilers,Conditions,Bruising/Fractures,2020-02,England,13192,67156317,45,0.02
Broilers,Conditions,Bruising/Fractures,2020-03,England,15144,75113030,43,0.02
Broilers,Conditions,Bruising/Fractures,2020-03,England,3069,75113030,43,0.004
Broilers,Conditions,Bruising/Fractures,2020-01,Wales,1588,8011009,3,0.02
Broilers,Conditions,Bruising/Fractures,2020-01,Wales,4007,8011009,3,0.05
Broilers,Conditions,Bruising/Fractures,2020-02,Wales,3250,7195814,3,0.045
Broilers,Conditions,Bruising/Fractures,2020-02,Wales,2299,7195814,3,0.032
Broilers,Conditions,Bruising/Fractures,2020-03,Wales,1665,8208037,4,0.02
Broilers,Conditions,Bruising/Fractures,2020-03,Wales,2723,8208037,4,0.033
Broilers,Conditions,Cellulitis,2020-01,England,15927,74822011,43,0.021
Broilers,Conditions,Cellulitis,2020-01,England,182732,74822011,43,0.244
Broilers,Conditions,Cellulitis,2020-02,England,162720,67156317,45,0.242
Broilers,Conditions,Cellulitis,2020-02,England,15985,67156317,45,0.024
Broilers,Conditions,Cellulitis,2020-03,England,195047,75113030,43,0.26
Broilers,Conditions,Cellulitis,2020-03,England,18858,75113030,43,0.025
Broilers,Conditions,Cellulitis,2020-01,Wales,18254,8011009,3,0.228
Broilers,Conditions,Cellulitis,2020-02,Wales,21078,7195814,3,0.293
Broilers,Conditions,Cellulitis,2020-03,Wales,4,8208037,4,0
Broilers,Conditions,Cellulitis,2020-03,Wales,21083,8208037,4,0.257
Broilers,Conditions,Contamination,2020-01,England,39106,74822011,43,0.052
Broilers,Conditions,Contamination,2020-01,England,71118,74822011,43,0.095
Broilers,Conditions,Contamination,2020-02,England,57012,67156317,45,0.085
Broilers,Conditions,Contamination,2020-02,England,42942,67156317,45,0.064
Broilers,Conditions,Contamination,2020-03,England,64622,75113030,43,0.086
Broilers,Conditions,Contamination,2020-03,England,55318,75113030,43,0.074
Broilers,Conditions,Contamination,2020-01,Wales,5551,8011009,3,0.069
Broilers,Conditions,Contamination,2020-02,Wales,5528,7195814,3,0.077
Broilers,Conditions,Contamination,2020-03,Wales,5919,8208037,4,0.072
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-01,England,73947,74822011,43,0.099
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-02,England,87713,67156317,45,0.131
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-03,England,81607,75113030,43,0.109
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-01,Wales,6433,8011009,3,0.08
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-02,Wales,6400,7195814,3,0.089
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-03,Wales,6661,8208037,4,0.081
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-01,England,16983,74822011,43,0.023
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-02,England,15139,67156317,45,0.023
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-03,England,15099,75113030,43,0.02
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-01,Wales,4415,8011009,3,0.055
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-02,Wales,4347,7195814,3,0.06
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-03,Wales,3857,8208037,4,0.047
Broilers,Conditions,Dermatitis,2020-01,England,10521,74822011,43,0.014
Broilers,Conditions,Dermatitis,2020-01,England,63,74822011,43,0
Broilers,Conditions,Dermatitis,2020-02,England,8559,67156317,45,0.013
Broilers,Conditions,Dermatitis,2020-02,England,30,67156317,45,0
Broilers,Conditions,Dermatitis,2020-03,England,15487,75113030,43,0.021
Broilers,Conditions,Dermatitis,2020-03,England,11,75113030,43,0
Broilers,Conditions,Dermatitis,2020-01,Wales,4,8011009,3,0
Broilers,Conditions,Dermatitis,2020-01,Wales,2480,8011009,3,0.031
Broilers,Conditions,Dermatitis,2020-02,Wales,39,7195814,3,0.001
Broilers,Conditions,Dermatitis,2020-02,Wales,2453,7195814,3,0.034
Broilers,Conditions,Dermatitis,2020-03,Wales,58,8208037,4,0.001
Broilers,Conditions,Dermatitis,2020-03,Wales,2488,8208037,4,0.03
Broilers,Conditions,Emaciation,2020-01,England,19230,74822011,43,0.026
Broilers,Conditions,Emaciation,2020-02,England,18020,67156317,45,0.027
Broilers,Conditions,Emaciation,2020-03,England,19834,75113030,43,0.026
Broilers,Conditions,Emaciation,2020-01,Wales,4640,8011009,3,0.058
Broilers,Conditions,Emaciation,2020-02,Wales,4631,7195814,3,0.064
Broilers,Conditions,Emaciation,2020-03,Wales,5195,8208037,4,0.063
Broilers,Conditions,Hepatitis,2020-01,England,86225,74822011,43,0.115
Broilers,Conditions,Hepatitis,2020-01,England,44173,74822011,43,0.059
Broilers,Conditions,Hepatitis,2020-02,England,34515,67156317,45,0.051
Broilers,Conditions,Hepatitis,2020-02,England,85919,67156317,45,0.128
Broilers,Conditions,Hepatitis,2020-03,England,89870,75113030,43,0.12
Broilers,Conditions,Hepatitis,2020-03,England,33906,75113030,43,0.045
Broilers,Conditions,Hepatitis,2020-01,Wales,6987,8011009,3,0.087
Broilers,Conditions,Hepatitis,2020-01,Wales,3450,8011009,3,0.043
Broilers,Conditions,Hepatitis,2020-02,Wales,2450,7195814,3,0.034
Broilers,Conditions,Hepatitis,2020-02,Wales,5157,7195814,3,0.072
Broilers,Conditions,Hepatitis,2020-03,Wales,7387,8208037,4,0.09
Broilers,Conditions,Hepatitis,2020-03,Wales,4172,8208037,4,0.051
Broilers,Conditions,Joint Lesions,2020-01,England,29226,74822011,43,0.039
Broilers,Conditions,Joint Lesions,2020-01,England,1319,74822011,43,0.002
Broilers,Conditions,Joint Lesions,2020-02,England,29054,67156317,45,0.043
Broilers,Conditions,Joint Lesions,2020-02,England,1135,67156317,45,0.002
Broilers,Conditions,Joint Lesions,2020-03,England,27301,75113030,43,0.036
Broilers,Conditions,Joint Lesions,2020-03,England,752,75113030,43,0.001
Broilers,Conditions,Joint Lesions,2020-01,Wales,2817,8011009,3,0.035
Broilers,Conditions,Joint Lesions,2020-01,Wales,402,8011009,3,0.005
Broilers,Conditions,Joint Lesions,2020-02,Wales,282,7195814,3,0.004
Broilers,Conditions,Joint Lesions,2020-02,Wales,1601,7195814,3,0.022
Broilers,Conditions,Joint Lesions,2020-03,Wales,1420,8208037,4,0.017
Broilers,Conditions,Joint Lesions,2020-03,Wales,339,8208037,4,0.004
Broilers,Conditions,Machine Damage,2020-01,England,19655,74822011,43,0.026
Broilers,Conditions,Machine Damage,2020-01,England,106530,74822011,43,0.142
Broilers,Conditions,Machine Damage,2020-02,England,87667,67156317,45,0.131
Broilers,Conditions,Machine Damage,2020-02,England,17663,67156317,45,0.026
Broilers,Conditions,Machine Damage,2020-03,England,19125,75113030,43,0.025
Broilers,Conditions,Machine Damage,2020-03,England,94601,75113030,43,0.126
Broilers,Conditions,Machine Damage,2020-01,Wales,160,8011009,3,0.002
Broilers,Conditions,Machine Damage,2020-01,Wales,3681,8011009,3,0.046
Broilers,Conditions,Machine Damage,2020-02,Wales,3687,7195814,3,0.051
Broilers,Conditions,Machine Damage,2020-02,Wales,184,7195814,3,0.003
Broilers,Conditions,Machine Damage,2020-03,Wales,247,8208037,4,0.003
Broilers,Conditions,Machine Damage,2020-03,Wales,3751,8208037,4,0.046
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-01,England,102,74822011,43,0
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-01,England,35716,74822011,43,0.048
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-02,England,42671,67156317,45,0.064
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-02,England,18,67156317,45,0
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-03,England,2,75113030,43,0
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-03,England,69110,75113030,43,0.092
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-01,Wales,3815,8011009,3,0.048
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-02,Wales,1586,7195814,3,0.022
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-03,Wales,1722,8208037,4,0.021
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-01,England,94,74822011,43,0
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-01,England,77730,74822011,43,0.104
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-02,England,64614,67156317,45,0.096
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-02,England,284,67156317,45,0
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-03,England,244,75113030,43,0
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-03,England,74926,75113030,43,0.1
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-01,Wales,9102,8011009,3,0.114
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-02,Wales,9787,7195814,3,0.136
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-02,Wales,12,7195814,3,0
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-03,Wales,8309,8208037,4,0.101
Broilers,Conditions,Overscald,2020-01,England,69,74822011,43,0
Broilers,Conditions,Overscald,2020-01,England,43125,74822011,43,0.058
Broilers,Conditions,Overscald,2020-02,England,35140,67156317,45,0.052
Broilers,Conditions,Overscald,2020-02,England,196,67156317,45,0
Broilers,Conditions,Overscald,2020-03,England,66,75113030,43,0
Broilers,Conditions,Overscald,2020-03,England,27026,75113030,43,0.036
Broilers,Conditions,Overscald,2020-01,Wales,6637,8011009,3,0.083
Broilers,Conditions,Overscald,2020-02,Wales,4605,7195814,3,0.064
Broilers,Conditions,Overscald,2020-03,Wales,4218,8208037,4,0.051
Broilers,Conditions,Overscald,2020-03,Wales,1,8208037,4,0
Broilers,Conditions,Pericarditis,2020-01,England,127877,74822011,43,0.171
Broilers,Conditions,Pericarditis,2020-01,England,12591,74822011,43,0.017
Broilers,Conditions,Pericarditis,2020-02,England,115706,67156317,45,0.172
Broilers,Conditions,Pericarditis,2020-02,England,14524,67156317,45,0.022
Broilers,Conditions,Pericarditis,2020-03,England,21916,75113030,43,0.029
Broilers,Conditions,Pericarditis,2020-03,England,111073,75113030,43,0.148
Broilers,Conditions,Pericarditis,2020-01,Wales,8207,8011009,3,0.102
Broilers,Conditions,Pericarditis,2020-01,Wales,1780,8011009,3,0.022
Broilers,Conditions,Pericarditis,2020-02,Wales,1342,7195814,3,0.019
Broilers,Conditions,Pericarditis,2020-02,Wales,6758,7195814,3,0.094
Broilers,Conditions,Pericarditis,2020-03,Wales,1260,8208037,4,0.015
Broilers,Conditions,Pericarditis,2020-03,Wales,7514,8208037,4,0.092
Broilers,Conditions,Perihepatitis/Peritonitis,2020-01,England,1114,74822011,43,0.001
Broilers,Conditions,Perihepatitis/Peritonitis,2020-01,England,105141,74822011,43,0.141
Broilers,Conditions,Perihepatitis/Peritonitis,2020-02,England,98904,67156317,45,0.147
Broilers,Conditions,Perihepatitis/Peritonitis,2020-02,England,1107,67156317,45,0.002
Broilers,Conditions,Perihepatitis/Peritonitis,2020-03,England,1041,75113030,43,0.001
Broilers,Conditions,Perihepatitis/Peritonitis,2020-03,England,94567,75113030,43,0.126
Broilers,Conditions,Perihepatitis/Peritonitis,2020-01,Wales,13319,8011009,3,0.166
Broilers,Conditions,Perihepatitis/Peritonitis,2020-01,Wales,31,8011009,3,0
Broilers,Conditions,Perihepatitis/Peritonitis,2020-02,Wales,715,7195814,3,0.01
Broilers,Conditions,Perihepatitis/Peritonitis,2020-02,Wales,11867,7195814,3,0.165
Broilers,Conditions,Perihepatitis/Peritonitis,2020-03,Wales,154,8208037,4,0.002
Broilers,Conditions,Perihepatitis/Peritonitis,2020-03,Wales,14254,8208037,4,0.174
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-01,England,15,74822011,43,0
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-01,England,1305,74822011,43,0.002
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-02,England,7,67156317,45,0
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-02,England,1479,67156317,45,0.002
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-03,England,39,75113030,43,0
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-03,England,1435,75113030,43,0.002
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-01,Wales,43,8011009,3,0.001
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-02,Wales,102,7195814,3,0.001
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-03,Wales,254,8208037,4,0.003
Broilers,Conditions,Salpingitis,2020-01,England,149,74822011,43,0
Broilers,Conditions,Salpingitis,2020-02,England,94,67156317,45,0
Broilers,Conditions,Salpingitis,2020-03,England,173,75113030,43,0
Broilers,Conditions,Salpingitis,2020-03,England,19,75113030,43,0
Broilers,Conditions,Salpingitis,2020-01,Wales,4,8011009,3,0
Broilers,Conditions,Salpingitis,2020-02,Wales,6,7195814,3,0
Broilers,Conditions,Tumours/Nodules,2020-01,England,12868,74822011,43,0.017
Broilers,Conditions,Tumours/Nodules,2020-01,England,28,74822011,43,0
Broilers,Conditions,Tumours/Nodules,2020-02,England,6,67156317,45,0
Broilers,Conditions,Tumours/Nodules,2020-02,England,12112,67156317,45,0.018
Broilers,Conditions,Tumours/Nodules,2020-03,England,14863,75113030,43,0.02
Broilers,Conditions,Tumours/Nodules,2020-03,England,18,75113030,43,0
Broilers,Conditions,Tumours/Nodules,2020-01,Wales,255,8011009,3,0.003
Broilers,Conditions,Tumours/Nodules,2020-02,Wales,335,7195814,3,0.005
Broilers,Conditions,Tumours/Nodules,2020-03,Wales,353,8208037,4,0.004
Ducks,Conditions,Abnormal Colour/Fevered,2020-01,England,644,1032721,7,0.062
Ducks,Conditions,Abnormal Colour/Fevered,2020-02,England,800,945247,10,0.085
Ducks,Conditions,Abnormal Colour/Fevered,2020-03,England,647,1051814,9,0.062
Ducks,Conditions,Antemortem Rejects (Cull/Runts),2020-01,England,16,1032721,7,0.002
Ducks,Conditions,Antemortem Rejects (Cull/Runts),2020-02,England,22,945247,10,0.002
Ducks,Conditions,Antemortem Rejects (Cull/Runts),2020-03,England,62,1051814,9,0.006
Ducks,Conditions,Ascites/Oedema,2020-01,England,7636,1032721,7,0.739
Ducks,Conditions,Ascites/Oedema,2020-02,England,6391,945247,10,0.676
Ducks,Conditions,Ascites/Oedema,2020-03,England,6751,1051814,9,0.642
Ducks,Conditions,Bruising/Fractures,2020-01,England,49,1032721,7,0.005
Ducks,Conditions,Bruising/Fractures,2020-01,England,601,1032721,7,0.058
Ducks,Conditions,Bruising/Fractures,2020-02,England,6,945247,10,0.001
Ducks,Conditions,Bruising/Fractures,2020-02,England,493,945247,10,0.052
Ducks,Conditions,Bruising/Fractures,2020-03,England,546,1051814,9,0.052
Ducks,Conditions,Bruising/Fractures,2020-03,England,72,1051814,9,0.007
Ducks,Conditions,Cellulitis,2020-01,England,8,1032721,7,0.001
Ducks,Conditions,Cellulitis,2020-01,England,4,1032721,7,0
Ducks,Conditions,Cellulitis,2020-02,England,10,945247,10,0.001
Ducks,Conditions,Cellulitis,2020-03,England,8,1051814,9,0.001
Ducks,Conditions,Contamination,2020-01,England,1240,1032721,7,0.12
Ducks,Conditions,Contamination,2020-01,England,273,1032721,7,0.026
Ducks,Conditions,Contamination,2020-02,England,444,945247,10,0.047
Ducks,Conditions,Contamination,2020-02,England,915,945247,10,0.097
Ducks,Conditions,Contamination,2020-03,England,451,1051814,9,0.043
Ducks,Conditions,Contamination,2020-03,England,1585,1051814,9,0.151
Ducks,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-01,England,581,1032721,7,0.056
Ducks,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-02,England,438,945247,10,0.046
Ducks,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-03,England,529,1051814,9,0.05
Ducks,Conditions,Death other than slaughter (uncut/badly bled),2020-01,England,6,1032721,7,0.001
Ducks,Conditions,Death other than slaughter (uncut/badly bled),2020-02,England,3,945247,10,0
Ducks,Conditions,Death other than slaughter (uncut/badly bled),2020-03,England,4,1051814,9,0
Ducks,Conditions,Dermatitis,2020-01,England,1730,1032721,7,0.168
Ducks,Conditions,Dermatitis,2020-01,England,218,1032721,7,0.021
Ducks,Conditions,Dermatitis,2020-02,England,295,945247,10,0.031
Ducks,Conditions,Dermatitis,2020-02,England,899,945247,10,0.095
Ducks,Conditions,Dermatitis,2020-03,England,400,1051814,9,0.038
Ducks,Conditions,Dermatitis,2020-03,England,1302,1051814,9,0.124
Ducks,Conditions,Emaciation,2020-01,England,729,1032721,7,0.071
Ducks,Conditions,Emaciation,2020-02,England,976,945247,10,0.103
Ducks,Conditions,Emaciation,2020-03,England,862,1051814,9,0.082
Ducks,Conditions,Hepatitis,2020-01,England,4,1032721,7,0
Ducks,Conditions,Hepatitis,2020-01,England,37,1032721,7,0.004
Ducks,Conditions,Hepatitis,2020-02,England,50,945247,10,0.005
Ducks,Conditions,Hepatitis,2020-02,England,7,945247,10,0.001
Ducks,Conditions,Hepatitis,2020-03,England,1,1051814,9,0
Ducks,Conditions,Hepatitis,2020-03,England,64,1051814,9,0.006
Ducks,Conditions,Joint Lesions,2020-01,England,585,1032721,7,0.057
Ducks,Conditions,Joint Lesions,2020-01,England,568,1032721,7,0.055
Ducks,Conditions,Joint Lesions,2020-02,England,790,945247,10,0.084
Ducks,Conditions,Joint Lesions,2020-02,England,1235,945247,10,0.131
