Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Broilers,Conditions,Abnormal Colour/Fevered,2018-07,England,190147,72387244,48,0.263
Broilers,Conditions,Abnormal Colour/Fevered,2018-08,England,209722,74850573,47,0.28
Broilers,Conditions,Abnormal Colour/Fevered,2018-09,England,186861,66794074,47,0.28
Broilers,Conditions,Abnormal Colour/Fevered,2018-07,Wales,12105,7195009,3,0.168
Broilers,Conditions,Abnormal Colour/Fevered,2018-08,Wales,12328,7322007,3,0.168
Broilers,Conditions,Abnormal Colour/Fevered,2018-09,Wales,12270,6657355,3,0.184
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2018-07,England,87287,72387244,48,0.121
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2018-08,England,85084,74850573,47,0.114
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2018-09,England,83400,66794074,47,0.125
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2018-07,Wales,358,7195009,3,0.005
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2018-08,Wales,217,7322007,3,0.003
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2018-09,Wales,369,6657355,3,0.006
Broilers,Conditions,Ascites/Oedema,2018-07,England,183263,72387244,48,0.253
Broilers,Conditions,Ascites/Oedema,2018-08,England,186788,74850573,47,0.25
Broilers,Conditions,Ascites/Oedema,2018-09,England,171351,66794074,47,0.257
Broilers,Conditions,Ascites/Oedema,2018-07,Wales,27746,7195009,3,0.386
Broilers,Conditions,Ascites/Oedema,2018-08,Wales,25697,7322007,3,0.351
Broilers,Conditions,Ascites/Oedema,2018-09,Wales,22464,6657355,3,0.337
Broilers,Conditions,Bruising/Fractures,2018-07,England,23609,72387244,48,0.033
Broilers,Conditions,Bruising/Fractures,2018-08,England,22645,74850573,47,0.03
Broilers,Conditions,Bruising/Fractures,2018-09,England,22538,66794074,47,0.034
Broilers,Conditions,Bruising/Fractures,2018-07,Wales,4250,7195009,3,0.059
Broilers,Conditions,Bruising/Fractures,2018-08,Wales,4728,7322007,3,0.065
Broilers,Conditions,Bruising/Fractures,2018-09,Wales,3916,6657355,3,0.059
Broilers,Conditions,Cellulitis,2018-07,England,194526,72387244,48,0.269
Broilers,Conditions,Cellulitis,2018-08,England,196236,74850573,47,0.262
Broilers,Conditions,Cellulitis,2018-09,England,183828,66794074,47,0.275
Broilers,Conditions,Cellulitis,2018-07,Wales,14082,7195009,3,0.196
Broilers,Conditions,Cellulitis,2018-08,Wales,15976,7322007,3,0.218
Broilers,Conditions,Cellulitis,2018-09,Wales,16010,6657355,3,0.24
Broilers,Conditions,Contamination,2018-07,England,145538,72387244,48,0.201
Broilers,Conditions,Contamination,2018-08,England,150646,74850573,47,0.201
Broilers,Conditions,Contamination,2018-09,England,139822,66794074,47,0.209
Broilers,Conditions,Contamination,2018-07,Wales,3877,7195009,3,0.054
Broilers,Conditions,Contamination,2018-08,Wales,3193,7322007,3,0.044
Broilers,Conditions,Contamination,2018-09,Wales,2959,6657355,3,0.044
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-07,England,87204,72387244,48,0.12
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-08,England,83151,74850573,47,0.111
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-09,England,65430,66794074,47,0.098
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-07,Wales,6630,7195009,3,0.092
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-08,Wales,6346,7322007,3,0.087
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-09,Wales,7076,6657355,3,0.106
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2018-07,England,17281,72387244,48,0.024
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2018-08,England,19330,74850573,47,0.026
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2018-09,England,19375,66794074,47,0.029
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2018-07,Wales,2384,7195009,3,0.033
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2018-08,Wales,2380,7322007,3,0.033
