"Animaux de boucherie : Abattage et Production"
""
"France entière";"FR - France entière"
""
"Source";"Agreste - Base de données nationale de l'identification française (BDNI)"
"notes";"- Unités utilisées : « Nombre d'animaux abattus en têtes »,  « Indicateurs de Volume en téc » et  « Poids moyen en kg carcasse/tête »"
""
"/Conjoncture animale 1";"/Conjoncture animale 2";"/Année de référence";"Total annuel/Nombre d'animaux abattus bruts";"Total annuel/Nombre d'animaux abattus CVJA";"Total annuel/Production indigène brute totale (PIB)";"Total annuel/Production indigène brute (PIB) d'animaux finis";"Total annuel/Solde des échanges d'animaux d'élevage (PIB)";"Total annuel/Production indigène brute totale (PIB) CVJA";"Total annuel/Production indigène brute (PIB) CVJA d'animaux finis";"Total annuel/Solde des échanges d'animaux d'élevage (PIB) CVJA";"Total annuel/Production indigène contrôlée totale (PIC) (nombre d'animaux)";"Total annuel/Production indigène contrôlée CVJA (PIC) (nombre d'animaux)";"Total annuel/Abattages bruts (volume)";"Total annuel/Abattages CVJA (volume)";"Total annuel/Production indigène brute (PIB) totale (volume)";"Total annuel/Production indigène brute (PIB) d'animaux finis (volume)";"Total annuel/Solde des échanges d'animaux d'élevage (PIB) (volume)";"Total annuel/Production indigène brute totale (PIB) CVJA (volume)";"Total annuel/Production indigène brute (PIB) CVJA d'animaux finis (volume)";"Total annuel/Solde des échanges d'animaux d'élevage (PIB) CVJA (volume)";"Total annuel/Production indigène contrôlée totale (PIC) (volume)";"Total annuel/Production indigène contrôlée CVJA (PIC) (volume)";"Total annuel/Poids moyen brut"
"Mammifères de type bovin";"";"2011";"5118720";"5117037";"6596842";"5282923";"1283246";"6595348";"5281429";"1283246";"6513399";"6511905";"1557196";"1556521";"1830278";"1602297";"222539";"1829652";"1601673";"222539";"1813148";"1812523";"304,2"
"Mammifères de type bovin";"";"2012";"4860806";"4866798";"6091539";"4962419";"1068550";"6098209";"4969089";"1068550";"5984616";"5991286";"1477869";"1479427";"1720346";"1513047";"193817";"1722010";"1514709";"193817";"1697409";"1699076";"304"
"Mammifères de type bovin";"";"2013";"4623473";"4632207";"5838260";"4648788";"1117912";"5847162";"4657690";"1117912";"5721386";"5730288";"1404624";"1408071";"1618669";"1411947";"192124";"1622157";"1415440";"192124";"1595253";"1598744";"303,8"
"Mammifères de type bovin";"";"2014";"4623495";"4633146";"5844153";"4648377";"1135469";"5853805";"4658029";"1135469";"5740522";"5750174";"1419227";"1422382";"1632285";"1427257";"192381";"1635431";"1430397";"192381";"1610961";"1614107";"307"
"Mammifères de type bovin";"";"2015";"4665321";"4670241";"6044074";"4698569";"1249184";"6048992";"4703487";"1249184";"5887940";"5892858";"1452859";"1454751";"1684473";"1463393";"205779";"1686359";"1465276";"205779";"1659481";"1661369";"311,4"
"Mammifères de type bovin";"";"2016";"4698397";"4677701";"6105694";"4720517";"1284855";"6103615";"4718438";"1284855";"5946533";"5944454";"1467841";"1463320";"1710056";"1475814";"217832";"1709141";"1474898";"217832";"1681083";"1680169";"312,4"
"Mammifères de type bovin";"";"2017";"4640399";"4630740";"6187931";"4673454";"1433271";"6188316";"4673839";"1433271";"6032350";"6032735";"1445375";"1443098";"1693679";"1453400";"229747";"1693844";"1453563";"229747";"1667540";"1667706";"311,5"
"Mammifères de type bovin";"";"2018";"4673589";"4671654";"6173534";"4677377";"1470252";"6174747";"4678590";"1470252";"6089844";"6091057";"1468573";"1467570";"1713727";"1472747";"235838";"1714185";"1473202";"235838";"1694677";"1695136";"314,2"
"Mammifères de type bovin";"";"2019";"4561194";"4549181";"6076861";"4542495";"1518148";"6079882";"4545516";"1518148";"5991346";"5994367";"1432534";"1429441";"1678345";"1432507";"242828";"1679277";"1433438";"242828";"1657560";"1658486";"314,1"
"Mammifères de type bovin";"";"2020";"4508774";"4488122";"6032013";"4481136";"1527472";"6033530";"4482653";"1527472";"5931448";"5932965";"1440492";"1435118";"1682608";"1438094";"240682";"1683114";"1438600";"240682";"1662305";"1662814";"319,5"
"Mammifères de type bovin";"";"2021";"4482755";"4459833";"5992983";"4454707";"1516301";"5994504";"4456228";"1516301";"5924484";"5926005";"1430235";"1424620";"1666118";"1427414";"235076";"1666380";"1427675";"235076";"1651767";"1652030";"319,1"
"Mammifères de type bovin";"";"2022";"1066965";"1080901";"913913";"670147";"239908";"950180";"706414";"239908";"899586";"935853";"338207";"342776";"250280";"211732";"37849";"262020";"223472";"37849";"246993";"258732";"317"
"Mammifères de type bovin";"Bovins";"2011";"5118363";"5116680";"6566169";"5282923";"1283246";"6564675";"5281429";"1283246";"6513399";"6511905";"1557116";"1556441";"1824835";"1602297";"222539";"1824209";"1601673";"222539";"1813148";"1812523";"304,2"
"Mammifères de type bovin";"Bovins";"2012";"4860475";"4866467";"6030969";"4962419";"1068550";"6037639";"4969089";"1068550";"5984616";"5991286";"1477793";"1479351";"1706864";"1513047";"193817";"1708528";"1514709";"193817";"1697409";"1699076";"304"
"Mammifères de type bovin";"Bovins";"2013";"4623113";"4631847";"5766700";"4648788";"1117912";"5775602";"4657690";"1117912";"5721386";"5730288";"1404533";"1407980";"1604072";"1411947";"192124";"1607560";"1415440";"192124";"1595253";"1598744";"303,8"
"Mammifères de type bovin";"Bovins";"2014";"4623183";"4632834";"5783846";"4648377";"1135469";"5793498";"4658029";"1135469";"5740522";"5750174";"1419157";"1422312";"1619633";"1427257";"192381";"1622779";"1430397";"192381";"1610961";"1614107";"307"
"Mammifères de type bovin";"Bovins";"2015";"4664981";"4669901";"5947753";"4698569";"1249184";"5952671";"4703487";"1249184";"5887940";"5892858";"1452773";"1454665";"1669174";"1463393";"205779";"1671060";"1465276";"205779";"1659481";"1661369";"311,4"
"Mammifères de type bovin";"Bovins";"2016";"4698022";"4677326";"6005372";"4720517";"1284855";"6003293";"4718438";"1284855";"5946533";"5944454";"1467751";"1463230";"1693645";"1475814";"217832";"1692730";"1474898";"217832";"1681083";"1680169";"312,4"
"Mammifères de type bovin";"Bovins";"2017";"4640082";"4630423";"6106725";"4673454";"1433271";"6107110";"4673839";"1433271";"6032350";"6032735";"1445297";"1443020";"1683144";"1453400";"229747";"1683309";"1453563";"229747";"1667540";"1667706";"311,5"
"Mammifères de type bovin";"Bovins";"2018";"4673285";"4671350";"6147629";"4677377";"1470252";"6148842";"4678590";"1470252";"6089844";"6091057";"1468498";"1467495";"1708582";"1472747";"235838";"1709040";"1473202";"235838";"1694677";"1695136";"314,2"
"Mammifères de type bovin";"Bovins";"2019";"4561042";"4549029";"6060643";"4542495";"1518148";"6063664";"4545516";"1518148";"5991346";"5994367";"1432497";"1429404";"1675333";"1432507";"242828";"1676265";"1433438";"242828";"1657560";"1658486";"314,1"
"Mammifères de type bovin";"Bovins";"2020";"4508649";"4487997";"6008608";"4481136";"1527472";"6010125";"4482653";"1527472";"5931448";"5932965";"1440462";"1435088";"1678777";"1438094";"240682";"1679283";"1438600";"240682";"1662305";"1662814";"319,5"
"Mammifères de type bovin";"Bovins";"2021";"4482637";"4459715";"5971008";"4454707";"1516301";"5972529";"4456228";"1516301";"5924484";"5926005";"1430201";"1424586";"1662494";"1427414";"235076";"1662756";"1427675";"235076";"1651767";"1652030";"319,1"
"Mammifères de type bovin";"Bovins";"2022";"1066950";"1080886";"910055";"670147";"239908";"946322";"706414";"239908";"899586";"935853";"338203";"342772";"249580";"211732";"37849";"261320";"223472";"37849";"246993";"258732";"317"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2011";"357";"357";"30673";"";"";"30673";"";"";"";"";"80";"80";"5443";"";"";"5443";"";"";"";"";"224,1"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2012";"331";"331";"60570";"";"";"60570";"";"";"";"";"76";"76";"13482";"";"";"13482";"";"";"";"";"229,6"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2013";"360";"360";"71560";"";"";"71560";"";"";"";"";"91";"91";"14597";"";"";"14597";"";"";"";"";"252,8"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2014";"312";"312";"60307";"";"";"60307";"";"";"";"";"70";"70";"12652";"";"";"12652";"";"";"";"";"224,4"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2015";"340";"340";"96321";"";"";"96321";"";"";"";"";"86";"86";"15299";"";"";"15299";"";"";"";"";"252,9"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2016";"375";"375";"100322";"";"";"100322";"";"";"";"";"90";"90";"16411";"";"";"16411";"";"";"";"";"240"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2017";"317";"317";"81206";"";"";"81206";"";"";"";"";"78";"78";"10535";"";"";"10535";"";"";"";"";"246,1"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2018";"304";"304";"25905";"";"";"25905";"";"";"";"";"75";"75";"5145";"";"";"5145";"";"";"";"";"246,7"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2019";"152";"152";"16218";"";"";"16218";"";"";"";"";"37";"37";"3012";"";"";"3012";"";"";"";"";"243,4"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2020";"125";"125";"23405";"";"";"23405";"";"";"";"";"30";"30";"3831";"";"";"3831";"";"";"";"";"240"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2021";"118";"118";"21975";"";"";"21975";"";"";"";"";"34";"34";"3624";"";"";"3624";"";"";"";"";"288,1"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2022";"15";"15";"3858";"";"";"3858";"";"";"";"";"4";"4";"700";"";"";"700";"";"";"";"";"266,7"
"Mammifères de type porcin";"";"2011";"24802057";"24798821";"25193909";"25295954";"117036";"25190674";"25292719";"117036";"25148083";"25144848";"2217965";"2217804";"2269799";"2268539";"51";"2269640";"2268381";"51";"2266367";"2266209";"89,4"
"Mammifères de type porcin";"";"2012";"24122783";"24128429";"24544152";"24610138";"78142";"24549796";"24615782";"78142";"24490582";"24496226";"2172547";"2173053";"2226044";"2223398";"1611";"2226553";"2223904";"1611";"2221846";"2222353";"90,1"
