Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,2680,,,,135936,,254279,,,0
H4,2012,2012,2012,6,1,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",1,No Quantity,,,,,3780,,8213,,,0
H4,2012,2012,2012,6,1,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",1,No Quantity,0,,,,4814043,,15673918,,,2
H4,2012,2012,2012,6,1,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,55287,,,,1028030,,4047309,,,2
H4,2012,2012,2012,6,1,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,723344,,,,17014134,,50946399,,,4
H4,2012,2012,2012,6,1,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,57995,,,,2379942,,7015533,,,4
H4,2012,2012,2012,6,1,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",1,No Quantity,,,,,,,2000,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,35,,,,73,,216,,,4
H4,2012,2012,2012,6,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",1,No Quantity,,,,,711731,,1552363,,,0
H4,2012,2012,2012,6,1,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",1,No Quantity,,,,,1691,,4345,,,0
H4,2012,2012,2012,6,1,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,112570,,,,574809,,2007840,,,0
H4,2012,2012,2012,6,1,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,17281,,,,683422,,1672600,,,0
H4,2012,2012,2012,6,1,2,Export,116,Cambodia,KHM,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,2480,,,,21000,,178702,,,2
H4,2012,2012,2012,6,1,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,448,,,,143981,,426216,,,4
H4,2012,2012,2012,6,1,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,4794338,,,,64340975,,188889088,,,4
H4,2012,2012,2012,6,1,1,Import,156,China,CHN,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,36,,,,1707,,66950,,,0
H4,2012,2012,2012,6,1,2,Export,156,China,CHN,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,20803,,,,994323,,4159539,,,0
H4,2012,2012,2012,6,1,2,Export,188,Costa Rica,CRI,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",1,No Quantity,,,,,216,,1500,,,0
H4,2012,2012,2012,6,1,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,556551,,,,13887944,,39825585,,,0
H4,2012,2012,2012,6,1,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,750,,,,19080,,55247,,,0
H4,2012,2012,2012,6,1,2,Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,3,,,,24,,1112,,,0
H4,2012,2012,2012,6,1,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,592081,,,,14919321,,47898260,,,0
H4,2012,2012,2012,6,1,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,46276,,,,1019325,,3340564,,,0
H4,2012,2012,2012,6,1,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,10058718,,,,280798050,,803717472,,,0
H4,2012,2012,2012,6,1,2,Export,233,Estonia,EST,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,6850,,,,191060,,464621,,,0
H4,2012,2012,2012,6,1,2,Export,246,Finland,FIN,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,6296,,,,186221,,535593,,,0
H4,2012,2012,2012,6,1,1,Import,251,France,FRA,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,129610,,,,2341176,,7439000,,,0
H4,2012,2012,2012,6,1,2,Export,251,France,FRA,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,10914,,,,352211,,794565,,,0
