,geo,time_period,chickshatched_broilers_slct_thsdhd,chickshatched_broilers_thsdhd,chickshatched_layers_slct_thsdhd,chickshatched_layers_thsdhd
101,EL,2021,0.0,142639.0,0.0,2154.0
52,CZ,2012,0.0,185494.3,0.0,0.0
242,MT,2012,0.0,0.0,0.0,0.0
191,IS,2014,0.0,5307.48,0.0,0.0
168,HU,2012,22509.2,161796.52,425.23,7273.63
225,LU,2016,0.0,0.0,0.0,0.0
196,IS,2019,74.25,6001.27,5.43,212.45
100,EL,2020,0.0,133889.0,0.0,2708.0
20,BE,2013,0.0,193929.48,0.0,7266.55
179,IE,2012,0.0,70918.0,0.0,0.0
322,SK,2012,0.0,49931.0,0.0,0.0
11,BA,2014,0.0,39648.0,0.0,2118.0
68,DE,2017,0.0,677249.83,0.0,45673.21
177,HU,2021,14840.04,261827.63,722.53,8809.49
128,EU27_2020,2017,0.0,0.0,0.0,0.0
316,SI,2017,0.0,0.0,0.0,0.0
19,BE,2012,0.0,184937.0,0.0,8564.3
134,FI,2011,1512.0,60633.0,21.0,3483.0
246,MT,2016,0.0,0.0,0.0,0.0
112,ES,2021,6512.74,609479.73,3980.96,38937.37
173,HU,2017,1756.67,223941.67,613.87,10309.66
106,ES,2015,12879.12,627678.5,0.0,31219.64
174,HU,2018,13347.27,242902.07,593.87,8907.81
190,IS,2013,0.0,5110.72,0.0,0.0
85,EE,2016,0.0,0.0,0.0,0.0
40,CY,2011,0.0,13839.0,0.0,337.0
50,CY,2021,0.0,13369.11,0.0,450.13
99,EL,2019,0.0,0.0,0.0,0.0
348,UK,2019,8047.48,1077638.05,0.0,38670.36
205,IT,2018,8147.0,437492.0,141.0,6080.0
288,RO,2014,0.0,166826.1,0.0,1678.4
35,BG,2017,0.0,78101.0,0.0,0.0
31,BG,2013,0.0,61554.07,0.0,2621.9
158,HR,2013,0.0,49510.0,0.0,0.0
22,BE,2015,0.0,237635.64,0.0,7554.38
38,BG,2020,0.0,67509.1,0.0,0.0
228,LU,2019,0.0,0.0,0.0,0.0
272,PL,2020,0.0,1362190.72,0.0,34622.4
162,HR,2017,0.0,47490.0,0.0,0.0
327,SK,2017,0.0,0.0,0.0,0.0
202,IT,2015,10983.0,413660.0,0.0,4367.0
209,LT,2011,0.0,45149.4,0.0,0.0
220,LU,2011,0.0,0.0,0.0,0.0
48,CY,2019,0.0,13439.07,0.0,442.53
73,DK,2011,0.0,141079.0,0.0,2783.0
188,IE,2021,0.0,95346.0,0.0,0.0
18,BE,2011,0.0,183019.3,0.0,6001.4
41,CY,2012,0.0,12735.15,0.0,391.39
149,FR,2015,18959.37,883724.16,3047.73,52431.0
347,UK,2018,8128.88,1087576.27,0.0,40147.89
340,UK,2011,6587.1,896578.8,0.0,32189.1
312,SI,2013,0.0,0.0,0.0,0.0
55,CZ,2015,0.0,216757.11,0.0,10673.42
10,AT,2021,0.0,86990.15,0.0,9886.5
161,HR,2016,0.0,48108.0,0.0,0.0
238,LV,2019,0.0,21692.4,0.0,0.0
337,TR,2018,0.0,1315954.45,0.0,70302.39
239,LV,2020,0.0,22290.5,0.0,0.0
152,FR,2018,8806.18,824291.36,2814.05,48601.63
182,IE,2015,0.0,76166.0,0.0,0.0
130,EU28,2016,0.0,0.0,0.0,0.0
27,BE,2020,0.0,272430.75,0.0,5735.21
344,UK,2015,8610.44,972014.42,0.0,36368.78
270,PL,2018,0.0,1243041.07,0.0,36471.04
137,FI,2014,378.0,66622.0,33.0,4226.0
319,SI,2020,0.0,0.0,0.0,0.0
323,SK,2013,0.0,0.0,0.0,0.0
253,NL,2012,21020.0,476620.0,2599.0,37332.0
310,SI,2011,0.0,0.0,0.0,0.0
197,IS,2020,27.11,5672.95,0.0,200.46
331,SK,2021,0.0,0.0,0.0,0.0
97,EL,2017,0.0,0.0,0.0,0.0
103,ES,2012,9257.5,588151.5,0.0,32875.5
223,LU,2014,0.0,0.0,0.0,0.0
144,FI,2021,0.0,99491.0,36.0,3743.0
291,RO,2017,0.0,148305.8,0.0,389.3
207,IT,2020,6152.0,454399.0,0.0,8407.0
141,FI,2018,27.0,87876.0,38.0,3904.0
234,LV,2015,0.0,19018.59,0.0,0.0
54,CZ,2014,0.0,210493.23,0.0,0.0
33,BG,2015,0.0,71173.36,0.0,0.0
88,EE,2019,0.0,0.0,0.0,0.0
237,LV,2018,0.0,20670.95,0.0,0.0
330,SK,2020,0.0,0.0,0.0,0.0
16,BA,2019,0.0,41579.0,0.0,1153.0
206,IT,2019,6498.0,461445.0,0.0,4371.0
87,EE,2018,0.0,0.0,0.0,0.0
110,ES,2019,7894.77,622740.9,1844.43,37860.56
113,EU15,2011,0.0,0.0,0.0,0.0
273,PL,2021,0.0,1315633.38,0.0,40320.8
30,BG,2012,0.0,67541.0,0.0,2853.8
249,MT,2019,0.0,0.0,0.0,0.0
46,CY,2017,0.0,12.5,0.0,262.89
175,HU,2019,14331.82,261118.53,603.22,8125.52
283,PT,2020,0.0,248529.0,0.0,0.0
256,NL,2015,22052.0,501136.0,2346.0,39980.0
3,AT,2014,0.0,69818.21,0.0,9337.13
75,DK,2017,0.0,0.0,0.0,0.0
71,DE,2020,0.0,648113.55,0.0,39811.79
47,CY,2018,0.0,13348.0,0.0,536.44
