,geo,time_period,breedingsows_gte50kg_dec_thsdhd,breedingsows_gte50kg_jun_thsdhd,pigs_20to50kg_dec_thsdhd,pigs_20to50kg_jun_thsdhd,pigs_50to80kg_dec_thsdhd,pigs_50to80kg_jun_thsdhd,pigs_80to110kg_dec_thsdhd,pigs_80to110kg_jun_thsdhd,pigs_gte110kg_dec_thsdhd,pigs_gte110kg_jun_thsdhd,pigs_lt20kg_dec_thsdhd,pigs_lt20kg_jun_thsdhd,sl_pigmeat_thsdhd,sl_pigmeat_thsdtonne,_merge_slaughter,piglets_live_priceper100kg_euros,pigs_grade1_carcass_priceper100kg_euros,pigs_grade2_carcass_priceper100kg_euros,pigs_light_live_priceper100kg_euros,_merge_prodprice,electricity_priceper100kwh_euros,dieseloil_priceper100litres_euros,heatingoil_priceper100litres_euros,motorspirit_priceper100litres_euros,residualfueloil_priceper100kg_euros,feed_bulk_fatteningpigs_priceper100kg_euros,feed_sacks_fatteningpigs_priceper100kg_euros,feed_bulk_rearingpigs_priceper100kg_euros,feed_sacks_rearingpigs_priceper100kg_euros,feed_bulk_sows_priceper100kg_euros,feed_sacks_sows_priceper100kg_euros,_merge_costofprod
423,XK,2020,12.77,,7.21,,3.08,,4.53,,5.48,,10.95,,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
99,DK,2017,1260.0,1228.0,3971.0,3888.0,2402.0,2278.0,600.0,569.0,7.0,6.0,4582.0,4487.0,17466.0,1530.0,both,230.4,148.8,123.1,102.6,both,12.3,75.7,76.4,,,21.7,,30.7,,22.3,,both
55,CH,2016,134.46,,248.69,,,,,,,,569.94,,2671.97,238.48,both,,,,,left_only,,,,,,,,,,,,left_only
428,TR,2012,,,,,,,,,,,,,0.65,0.02,right_only,,,,,left_only,,,,,,,,,,,,left_only
40,BG,2012,58.41,,150.23,,99.32,,83.61,,29.5,,108.54,,739.76,48.84,both,229.1,,,126.36,both,9.87,133.96,132.43,132.43,,27.46,35.71,42.73,54.96,28.61,38.05,both
27,BA,2020,95.0,,99.0,,61.0,,56.0,,38.0,,190.0,,100.21,7.62,both,,,,,left_only,,,,,,,,,,,,left_only
163,EU27_2007,2019,11693.36,,31744.03,,27328.47,,24139.32,,9329.73,,42478.4,,255114.43,23649.65,both,,,,,left_only,,,,,,,,,,,,left_only
339,PL,2019,756.8,755.0,3338.7,3044.0,2332.5,2167.0,1932.4,1896.0,552.6,488.0,2288.2,2419.0,21339.92,1978.84,both,255.65,,,,both,13.9,118.69,78.4,,,,34.63,,55.58,,43.3,both
161,EU27_2007,2017,12039.44,,34320.0,,27074.74,,24590.76,,8680.03,,42247.55,,254215.3,23290.67,both,,,,,left_only,,,,,,,,,,,,left_only
33,BE,2016,419.56,432.07,1118.28,1322.2,1490.32,1420.33,1349.28,1211.69,218.16,197.07,1577.09,1604.85,11181.33,1060.54,both,105.27,,,,both,18.36,40.05,,40.05,36.44,,22.3,,27.89,,23.01,both
84,DE,2013,2057.69,2054.95,5449.07,5286.53,5821.89,5800.08,5392.14,5262.35,1168.44,1092.19,8219.05,8166.95,58628.0,5474.0,both,,170.0,158.0,,both,,,,,,28.26,,38.12,,,,both
137,EU15,2011,10853.76,,27608.66,,23133.89,,19745.9,,5907.79,,34640.53,,217242.37,19578.7,both,,,,,left_only,,,,,,,,,,,,left_only
274,LU,2015,5.21,,35.74,,18.1,,16.15,,5.49,,7.76,,157.87,12.29,both,135.1,148.0,139.0,,both,15.83,46.77,47.77,,,25.82,,39.85,,28.35,,both
317,MT,2019,3.56,,10.78,,8.22,,4.52,,0.83,,7.38,,51.58,4.41,both,,,218.21,,both,,125.1,,,,,,,,,,both
275,LU,2016,6.65,,35.76,,16.65,,17.84,,6.97,,11.54,,171.84,13.78,both,147.0,158.0,149.0,,both,15.37,39.54,40.54,,,23.97,,37.91,,27.93,,both
400,SK,2014,65.82,,190.45,,110.5,,109.98,,26.01,,138.12,,369.33,33.77,both,239.0,176.92,164.73,122.0,both,,,,,,26.5,,29.4,,28.7,,both
385,SE,2021,120.7,127.79,330.1,320.27,230.3,220.92,217.8,204.55,101.4,99.75,370.8,376.23,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
48,BG,2020,65.77,,128.72,,144.77,,112.06,,8.83,,131.01,,947.3,63.54,both,259.43,,,113.66,both,12.18,97.15,130.38,95.61,,25.81,30.99,47.35,53.25,23.78,23.27,both
130,ES,2015,2466.27,2407.59,6595.2,6487.98,4881.72,4634.36,5038.63,4845.02,1437.64,891.11,7909.64,7682.69,45890.52,3854.66,both,182.25,,161.59,113.89,both,,64.26,,,,,27.42,,38.08,,27.36,both
28,BE,2011,482.44,514.63,1313.39,1374.45,1561.88,1566.31,1278.74,1232.77,144.64,156.23,1541.68,1668.6,11764.96,1108.26,both,138.69,,,,both,14.07,66.88,,66.88,55.14,,26.73,,32.46,,28.06,both
338,PL,2018,744.6,871.0,3228.7,3434.0,2267.6,2314.0,1944.1,1985.0,550.1,464.0,2278.9,2744.0,22649.92,2082.44,both,194.14,,,,both,15.25,116.16,77.91,,,,59.79,,33.39,,42.25,both
52,CH,2013,144.95,,246.87,,,,,,,,608.27,,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
292,ME,2012,2.32,,6.44,,0.79,,0.93,,3.88,,4.02,,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
401,SK,2015,53.36,,173.07,,109.02,,121.39,,28.2,,147.17,,496.79,45.24,both,209.0,158.41,147.74,110.0,both,,,,,,21.6,,27.3,,26.1,,both
237,IE,2020,146.9,142.64,436.33,417.71,340.77,304.64,277.91,292.05,48.79,24.61,426.93,449.36,3546.35,320.13,both,,,,,left_only,,,,,,,32.92,,,,,both
314,MT,2016,3.66,,9.49,,9.05,,7.09,,1.11,,10.0,,56.14,4.93,both,,,221.14,,both,,117.0,,,,,,,,,,both
413,UK,2016,490.0,494.0,1165.0,1225.0,996.0,1039.0,636.0,686.0,53.0,63.0,1184.0,1344.0,10989.83,919.22,both,,,,127.53,both,,54.86,,111.99,,,,,,,,both
341,PL,2021,654.1,735.0,3040.6,3222.0,2069.4,2182.0,1793.5,1925.0,528.4,593.0,2145.2,2362.0,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
