,country,year,commodity,area_harvested_hectares_thousands,area_harvested_nan_units,biodiesel_production_from_commodity_litres_millions,biodiesel_production_from_commodity_nan_units,biofuel_use_tonnes_thousands,biofuel_use_nan_units,consumption_litres_millions,consumption_tonnes_thousands,consumption_nan_units,cow_inventory_number_thousands,crush_tonnes_thousands,direct_ghg_emission_tonnes_of_co2_equivalent_millions,direct_ghg_emission_nan_units,ending_stocks_litres_millions,ending_stocks_tonnes_thousands,ending_stocks_nan_units,ethanol_production_from_commodity_litres_millions,ethanol_production_from_commodity_nan_units,exports_litres_millions,exports_tonnes_thousands,exports_nan_units,feed_tonnes_thousands,feed_nan_units,food_fat_availability_g_person_day_units,food_fat_availability_nan_units,food_protein_availability_g_person_day_units,food_protein_availability_nan_units,food_tonnes_thousands,food_nan_units,human_consumption_per_capita_kilograms_per_capita_units,human_consumption_per_capita_nan_units,imports_litres_millions,imports_tonnes_thousands,imports_nan_units,other_use_tonnes_thousands,other_use_nan_units,producer_price_national_currency_per_hectolitre_units,producer_price_national_currency_per_tonne_units,producer_price_nan_units,production_litres_millions,production_tonnes_thousands,production_nan_units,total_calorie_availability_kcal_person_day_units,total_calorie_availability_nan_units,trade_balance_litres_millions,trade_balance_tonnes_thousands,trade_balance_nan_units,world_price_us_dollar_per_hectolitre_units,world_price_us_dollar_per_tonne_units,world_price_us_dollars_per_barrel_units,world_price_nan_units,yield_tonnes_per_animal_units,yield_tonnes_per_hectare_units
22479,Viet Nam,2018,Fish from aquaculture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,62030150.513,,,4143.5,,0.0,,,0.0,,,,,,,
6824,Egypt,2020,Milk,,,,0.0,0.0,,,0.0,,6565.409,,2.42,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,9062.596,,,4533.0,,0.0,,,0.0,,,,,,0.69,
5631,DEVELOPING COUNTRIES,2015,Fish oil,,,,0.0,0.0,,,391.775,,,,0.0,,,137.8,,,0.0,,402.295,,0.0,,0.0,,0.0,,0.0,,0.0,,,251.374,,0.0,,,0.0,,,497.396,,0.0,,,5.024,,,,,,,
22903,WORLD,2016,Fish from capture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,89700.898,,0.0,,,0.0,,,1770.798,,,,
5860,DEVELOPING COUNTRIES,2020,Whey powder,,,,0.0,0.0,,,936.164,,,,0.468,,,0.0,,,0.0,,731.006,,109.512,,0.0,,0.0,,0.0,,0.0,,,1371.132,,0.0,,,0.0,,,296.038,,0.0,,,-640.1261,,,,,,,
6841,Egypt,2020,Total ,,,,,,,,,,,,,,,,,,,,,,,,,57.405,,97.033,,,,,,,,,,,,,,,,,3278.442,,,,,,,,,
4568,Colombia,2013,Maize,542.13,,,0.0,0.925,,,5312.44,,,,0.515,,,600.0,,0.376,,,1.86,,4401.234,,1.117,,5.847,,809.859,,17.418,,,3635.3,,100.422,,,426945.74,,,1779.0,,253.0,,,-3633.4403,,,,,,,3.282
19493,Switzerland,2017,Milk,,,,0.0,0.0,,,0.0,,562.082,,1.945,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,623.6,,,3892.487,,0.0,,,0.0,,,,,,6.925,
1066,Argentina,2012,Agricultural sector,,,,,,,,,,,,,107.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4469,Colombia,2011,Agricultural sector,,,,,,,,,,,,,54.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11299,Korea,2021,Poultry meat,,,,0.0,0.0,,,,1082.863,,,0.472,,,0.0,,,0.0,,,51.469,,0.0,4.456,,6.008,,1082.863,,18.574,,,197.499,,0.0,,,1459.246,,,936.833,,65.98,,,-146.0299,,,,,,,
6294,EUROPE,2019,Other oilseeds,28970.594,,0.0,,0.0,,,71535.665,,,67016.663,9.336,,,3442.642,,0.0,,,5558.026,,0.0,,1.461,,0.706,,1813.221,,2.425,,,8840.166,,2705.782,,,0.0,,,68217.148,,16.607,,,-3282.1404,,,,,,,2.355
11077,Korea,2016,Distiller's dry grains,,,0.0,,0.0,,,895.216,,,,0.0,,,0.0,,0.0,,,0.0,,895.216,,0.0,,0.0,,,0.0,,0.0,,895.216,,0.0,,,148.215,,,0.0,,0.0,,,-895.2155,,,,,,,
12835,NORTH AMERICA,2011,Biodiesel,,,,,,,3724.38,,,,,,,0.0,,,,,368.003,,,,,,,,,,,,,312.446,,,,,0.0,,,3991.806,,,,,55.5574,,,,,,,,
20779,Ukraine,2012,Sugar beet,448.9,,0.0,,0.0,,,0.0,,,,0.355,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,777.596,,,18438.9,,0.0,,,0.0,,,,,,,41.076
16154,Pakistan,2020,Agricultural sector,,,,,,,,,,,,,172.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13940,Nigeria,2014,Agricultural sector,,,,,,,,,,,,,64.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14691,Norway,2020,Fish meal,,,,0.0,0.0,,,264.147,,,,0.0,,,91.0,,,0.0,,69.709,,264.147,,0.0,,0.0,,0.0,,0.0,,,136.714,,0.0,,,13592.251,,,228.142,,0.0,,,0.0,,,,,,,
7064,Ethiopia,2014,Fish from capture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,50.119,,0.0,,,0.0,,,,,,,
