,year,country,disease,serotype_subtype_genotype,animal_category,species,cases_thsdhd,deaths_thsdhd,killed_and_disposed_of_thsdhd,new_outbreaks,slaughtered_thsdhd,susceptible_thsdhd,vaccinated_thsdhd
0,2011,Brazil,Aujeszky's disease virus (Inf. with),-,Domestic,Swine,0.27999999999999997,0.001,0.151,0,0.135,0.403,0.0
1,2011,Brazil,Echinococcosis/hydatidosis,-,Domestic,Swine,0.047,0.0,0.0,0,0.047,0.0,0.0
2,2011,Brazil,Rabies virus (Inf. with),-,Domestic,Swine,0.003,0.003,0.0,0,0.0,0.0,0.0
3,2011,Brazil,Taenia solium (Inf. with) (Porcine cysticercosis),-,Domestic,Swine,0.014,0.0,0.0,0,0.014,0.0,0.0
4,2011,China (People's Rep. of),Aujeszky's disease virus (Inf. with),-,Domestic,Swine,1.6139999999999997,0.44900000000000007,0.34600000000000003,0,0.046,152.991,20.666000000000004
5,2011,China (People's Rep. of),Brucella suis (Inf. with),-,Domestic,Swine,0.012,0.0,0.0,0,0.021,0.068,0.0
6,2011,China (People's Rep. of),Classical swine fever virus (Inf. with),-,Domestic,Swine,4.538,1.5589999999999995,0.2,0,0.16400000000000003,90.33999999999999,74.36300000000001
7,2011,China (People's Rep. of),Foot and mouth disease virus (Inf. with),O,Domestic,Swine,0.43900000000000006,0.027000000000000003,4.998,0,0.0,4.784,0.5740000000000001
8,2011,China (People's Rep. of),Japanese encephalitis,-,Domestic,Swine,0.31400000000000006,0.044,0.0,0,0.036000000000000004,13.497999999999998,0.976
9,2011,China (People's Rep. of),Porcine reproductive and respiratory syndrome virus (Inf. with),-,Domestic,Swine,1.069,0.132,0.001,0,0.0,28.956999999999997,26.636
10,2011,China (People's Rep. of),Taenia solium (Inf. with) (Porcine cysticercosis),-,Domestic,Swine,0.405,0.014000000000000002,0.007,0,0.0,1.2510000000000001,0.0
11,2011,China (People's Rep. of),Transmissible gastroenteritis,-,Domestic,Swine,366.2679999999999,23.523,20.299999999999994,0,0.35400000000000004,1990.9020000000003,126.10699999999997
12,2011,China (People's Rep. of),Trichinella spp. (Inf. with),-,Domestic,Swine,0.13,0.004,0.05,0,0.018000000000000002,1.9640000000000002,0.0
13,2011,Germany,Brucella suis (Inf. with),-,Domestic,Swine,1.02,0.0,0.0,0,0.0,1.02,0.0
14,2011,Germany,Leptospirosis,-,Domestic,Swine,0.046,0.0,0.0,0,0.0,0.019,0.0
15,2011,Germany,Transmissible gastroenteritis,-,Domestic,Swine,0.005,0.0,0.0,0,0.0,0.001,0.0
16,2011,India,Classical swine fever virus (Inf. with),-,Domestic,Swine,4.018,1.371,0.0,0,0.0,0.0,17.145
