"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1461964.16074985,9259.69251720362,1434301.45164922,1455499.81678499,1461853.91534001,1468397.88205198,1490306.99097596
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",18043.5387178938,402.614555644134,16900.1196227098,17762.923482585,18053.1018194071,18318.3375054167,19365.5957839523
"Num Offtake","Juvenile Male",81865.6954338558,2397.19090482816,75004.3745384787,80261.1732360081,81828.7733418321,83472.1262085288,88534.034401656
"Num Offtake","Juvenile Combined",99909.2341517496,2444.3216514376,92381.5740829093,98231.2374545923,99882.1413768406,101545.547309231,106473.98092735
"Num Offtake","Adult Female",108811.849989683,239.419124922587,108085.31179985,108646.25862709,108819.778230458,108968.671260488,109638.845409306
"Num Offtake","Adult Male",1253243.07660842,6902.94500664698,1232721.4987101,1248366.49273877,1253130.92879427,1257985.87755693,1275164.15358306
"Cml Pop Growth","Overall",5423919.57234042,326610.418357161,4343154.70129792,5182035.10885447,5426027.01474375,5632253.57235313,6457101.73452572
"Cml Pop Growth","Neonatal Female",226628.61558905,125205.68709555,-160219.757803974,141739.04023156,223927.303792527,315312.344048232,665321.387341365
"Cml Pop Growth","Neonatal Male",762808.777097266,125841.079389453,351925.41797763,679683.996973803,760582.024403386,845504.585588508,1161147.11697681
"Cml Pop Growth","Neonatal Combined",989437.392686316,178827.098414421,411217.838875329,871844.421332904,989524.291273565,1111703.37428192,1666747.45765974
"Cml Pop Growth","Juvenile Female",341781.175867568,72434.9562765933,128290.683042544,291598.824668937,342952.54258186,391001.154268507,585437.725923157
"Cml Pop Growth","Juvenile Male",649798.525987082,71964.0205778055,385535.110592241,599103.831529179,648230.114329098,698308.607073478,869929.890090651
"Cml Pop Growth","Juvenile Combined",991579.70185465,104914.071481068,615728.170012188,922652.947091478,989253.732475155,1062425.43875108,1295566.3311111
"Cml Pop Growth","Adult Female",2155760.15892801,64786.0611685283,1970127.51308741,2111914.28890263,2158239.49366482,2198130.28617808,2366192.73892112
"Cml Pop Growth","Adult Male",1287142.31887144,61266.8908606683,1112915.3417834,1245109.874253,1285429.42338844,1328213.97092662,1462041.98497536
"Total Number Increase","Overall",6885883.73309027,331862.257551456,5777815.11326231,6638419.81333433,6885768.95063137,7101057.5492221,7937592.54615583
"Total Number Increase","Neonatal Female",226628.61558905,125205.68709555,-160219.757803974,141739.04023156,223927.303792527,315312.344048232,665321.387341365
"Total Number Increase","Neonatal Male",762808.777097266,125841.079389453,351925.41797763,679683.996973803,760582.024403386,845504.585588508,1161147.11697681
"Total Number Increase","Juvenile Female",359824.714585462,72787.8492066405,145342.676651334,309344.157461761,360952.992249244,409165.216440197,604318.886614765
"Total Number Increase","Juvenile Male",731664.221420938,74062.4134966609,460539.48513072,680335.893952333,730359.64260873,781611.725670577,956957.422760824
"Total Number Increase","Adult Female",2264572.0089177,65019.2072568981,2078296.02935771,2220547.51735678,2267100.45535126,2307136.71828442,2475707.45209154
"Total Number Increase","Adult Male",2540385.39547986,67981.3118553816,2345940.23837313,2493351.69671624,2539108.47590353,2585918.30143381,2737206.13855843
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Liveweight (kg)","Overall",6315223105.82462,76940065.6931226,6080635470.35916,6265357545.30564,6314651705.00157,6368346688.11821,6531185041.5879
"Liveweight (kg)","Neonatal Female",258996828.297841,16190736.3320904,210606463.5518,247790810.504929,259154447.108517,269308526.98537,310575936.664439
"Liveweight (kg)","Neonatal Male",229938361.001725,14760146.7284979,181937254.918762,219657946.230564,229774222.409505,239372334.305598,279823356.117451
"Liveweight (kg)","Juvenile Female",396291793.373474,9527762.94519165,369473283.851817,389414177.549505,396469380.774375,402785291.267964,428147961.993285
"Liveweight (kg)","Juvenile Male",299754533.591604,9046666.05607665,271924904.873742,293901775.168228,299656766.89478,305799063.492962,325471762.314085
"Liveweight (kg)","Juvenile Combined",696046326.965077,13346936.7859025,650367280.594725,687139340.038092,695778230.352853,705044385.505161,738039235.838567
"Liveweight (kg)","Adult Female",3703283369.22847,27020993.6690007,3610022884.78072,3684744826.36321,3703164415.26076,3721645643.12666,3807312369.30111
"Liveweight (kg)","Adult Male",1426958220.33151,58716018.6564241,1260271569.1866,1385072833.07313,1427528372.17044,1467277369.97281,1639760605.79252
"Meat (kg)","Overall",248036718.075147,10098187.6142364,216885629.998851,240802965.95038,247507570.674005,255542355.474756,274293771.411842
"Manure","Overall",254502010.511309,10782612.5535691,222891481.983565,246956690.535509,254137959.683114,262198805.904634,290134201.075169
"Manure","Neonatal Female",68906567.7266618,5179384.81275691,51250641.3627787,65275175.2883296,68760553.6203255,72453978.9459992,85740434.6622489
"Manure","Neonatal Male",60736328.3738667,4638797.93924945,45863497.5943992,57493297.0817306,60575471.2807006,63786115.6940609,73431582.8058669
"Manure","Neonatal Combined",129642896.100528,6891775.52423107,105528981.645691,125126559.957917,129579788.546245,134331030.610816,150778081.883199
"Manure","Juvenile Female",124859114.41078,7258145.90815088,104233709.41454,119645628.790249,124697908.721853,129900981.809266,149993521.958641
"Manure","Juvenile Male",94273111.2782622,6021803.40677486,72733006.1578448,90404810.1369631,94197813.1540477,98490174.597672,117200817.6713
"Manure","Juvenile Combined",219132225.689042,9516191.56889928,190056247.527549,212650747.671038,219305345.300805,225372205.5636,254474447.250538
"Manure","Adult Female",1131867598.05232,63419086.4840214,937477053.341271,1089080335.867,1133726080.98509,1177285911.14819,1313692422.26701
"Manure","Adult Male",433718942.277988,25715912.1258976,362886242.328165,416271371.503068,433901387.518819,450495872.180819,510549347.683095
"Hides","Overall",1461964.16074985,9259.69251720362,1434301.45164922,1455499.81678499,1461853.91534001,1468397.88205198,1490306.99097596
"Hides","Juvenile Female",18043.5387178938,402.614555644134,16900.1196227098,17762.923482585,18053.1018194071,18318.3375054167,19365.5957839523
"Hides","Juvenile Male",81865.6954338558,2397.19090482816,75004.3745384787,80261.1732360081,81828.7733418321,83472.1262085288,88534.034401656
"Hides","Juvenile Combined",99909.2341517496,2444.3216514376,92381.5740829093,98231.2374545923,99882.1413768406,101545.547309231,106473.98092735
"Hides","Adult Female",108811.849989683,239.419124922587,108085.31179985,108646.25862709,108819.778230458,108968.671260488,109638.845409306
"Hides","Adult Male",1253243.07660842,6902.94500664698,1232721.4987101,1248366.49273877,1253130.92879427,1257985.87755693,1275164.15358306
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",164314483.677622,2011414.21944297,158362293.564857,162856687.264859,164329364.970463,165694492.231776,171246028.900221
"Cml Dry Matter","Neonatal Female",6755986.97907126,411345.372634791,5514556.60288897,6497173.10607243,6751665.02746406,7021661.46220542,8030237.99510707
"Cml Dry Matter","Neonatal Male",5988045.53663553,390319.042634492,4612612.33079617,5698433.93877325,5984080.96884928,6255467.08136912,7072574.74398202
"Cml Dry Matter","Neonatal Combined",12744032.5157068,563325.549898832,10945442.3945385,12353949.1214355,12722379.4625969,13124992.0207824,14559245.842335
"Cml Dry Matter","Juvenile Female",10305520.9473725,241567.973131069,9603357.41773954,10145043.5034268,10315212.3349317,10465278.5575162,11170465.2731315
"Cml Dry Matter","Juvenile Male",7793896.39471215,235697.963771204,7116384.71878055,7634015.18657283,7796179.12234537,7951205.35777318,8490422.28461667
"Cml Dry Matter","Juvenile Combined",18099417.3420846,343369.691014759,17028822.2925153,17865630.6744242,18090998.420909,18331764.2601891,19102605.128794
"Cml Dry Matter","Adult Female",96288364.9895631,693914.401078098,93968020.9380362,95815133.641763,96256990.3221572,96746114.3924285,98567169.9164559
"Cml Dry Matter","Adult Male",37182668.830267,1553996.46859843,32821244.1278215,36195876.4562685,37172340.8361643,38282177.1984912,41837893.575029
"Value of Offtake","Overall",3840314225.68117,98944934.7992723,3469264505.83118,3776163093.50202,3843279788.58344,3905770829.8985,4124310805.44007
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",29169004.1080328,730940.361032684,26922852.9078074,28687826.2150524,29167095.7790162,29689462.0779347,31540193.1252875
"Value of Offtake","Juvenile Male",136985682.235363,5568910.13066997,120655728.842149,132997159.71633,136703181.524136,140913703.598965,154978723.292817
"Value of Offtake","Juvenile Combined",166154686.343396,5636804.65620751,150056773.448657,162115041.079178,165891699.324736,170159631.49242,183690657.565428
"Value of Offtake","Adult Female",181223398.549611,5822995.84593279,166387417.402425,176967775.031039,180772086.551323,185384519.629696,201258047.866762
"Value of Offtake","Adult Male",3492936140.78817,98076475.4552041,3125484074.31627,3425978286.28366,3495781801.79212,3557498077.46885,3767136332.50819
"Value of Herd Increase","Overall",9817931934.21892,746897230.046497,7325222741.20795,9305361219.98476,9819133310.92866,10290296586.6037,12226516838.0136
"Value of Herd Increase","Neonatal Female",170098727.026008,94335455.8471254,-130876048.130992,105291181.751186,166707116.219029,236518945.770705,501758063.082809
"Value of Herd Increase","Neonatal Male",811535945.301351,161164029.572977,314200410.086104,699024494.965243,803160331.8083,914287515.274122,1354756118.48753
"Value of Herd Increase","Neonatal Combined",981634672.327359,188791281.119986,376735773.921818,852294466.43346,971334819.279804,1113003354.70408,1596389970.70296
"Value of Herd Increase","Juvenile Female",552685190.47065,118715235.317948,192880513.187742,471287721.770863,550811103.487242,633800754.358526,914330957.342396
"Value of Herd Increase","Juvenile Male",1086353359.98641,161881946.811541,604392282.264322,968200306.042173,1072329322.76499,1190483230.80835,1757357215.2009
"Value of Herd Increase","Juvenile Combined",1639038550.45706,206525012.963186,996495042.593681,1501521191.08323,1620338627.94969,1770395130.88532,2459815810.94249
"Value of Herd Increase","Adult Female",3595360592.53227,398510534.811996,2887863359.00245,3285980653.43685,3522140415.24118,3839966443.6891,4873563429.01468
"Value of Herd Increase","Adult Male",3601898118.90223,442197657.731396,2213393983.44238,3297607225.49889,3629043841.69317,3924228767.21481,4819422750.30067
"Value of Herd Increase plus Offtake","Overall",13658246159.9001,765083312.254035,11165999360.3865,13127256152.0348,13661708996.7545,14157013482.7422,16076605428.3009
"Value of Herd Increase plus Offtake","Neonatal Female",170098727.026008,94335455.8471254,-130876048.130992,105291181.751186,166707116.219029,236518945.770705,501758063.082809
"Value of Herd Increase plus Offtake","Neonatal Male",811535945.301351,161164029.572977,314200410.086104,699024494.965243,803160331.8083,914287515.274122,1354756118.48753
"Value of Herd Increase plus Offtake","Neonatal Combined",981634672.327359,188791281.119986,376735773.921818,852294466.43346,971334819.279804,1113003354.70408,1596389970.70296
"Value of Herd Increase plus Offtake","Juvenile Female",581854194.578682,119285822.088607,220701187.294124,499942300.342121,579947916.971195,663589598.501813,945846983.821866
"Value of Herd Increase plus Offtake","Juvenile Male",1223339042.22177,164583504.716218,725048011.106472,1103495160.73566,1208579655.81679,1329832574.70167,1901897540.39507
"Value of Herd Increase plus Offtake","Juvenile Combined",1805193236.80045,209114859.174703,1153460550.84034,1663471795.46196,1785710861.90374,1937800308.66835,2631092541.16849
"Value of Herd Increase plus Offtake","Adult Female",3776583991.08188,399003364.986294,3066602365.77593,3465871230.36147,3702143412.73554,4023006227.65723,5050698281.82233
"Value of Herd Increase plus Offtake","Adult Male",7094834259.6904,458269555.216812,5791241221.52953,6781895777.56421,7107392393.1918,7428752282.73225,8387899948.64782
"Value of Manure","Overall",127251005.255654,5391306.27678456,111445740.991782,123478345.267755,127068979.841557,131099402.952317,145067100.537584
"Value of Manure","Neonatal Female",34453283.8633309,2589692.40637845,25625320.6813894,32637587.6441648,34380276.8101627,36226989.4729996,42870217.3311244
"Value of Manure","Neonatal Male",30368164.1869333,2319398.96962472,22931748.7971996,28746648.5408653,30287735.6403503,31893057.8470305,36715791.4029335
"Value of Manure","Neonatal Combined",64821448.0502642,3445887.76211553,52764490.8228456,62563279.9789584,64789894.2731223,67165515.3054082,75389040.9415997
"Value of Manure","Juvenile Female",62429557.2053901,3629072.95407544,52116854.7072701,59822814.3951243,62348954.3609266,64950490.9046331,74996760.9793203
"Value of Manure","Juvenile Male",47136555.6391311,3010901.70338743,36366503.0789224,45202405.0684815,47098906.5770239,49245087.298836,58600408.83565
"Value of Manure","Juvenile Combined",109566112.844521,4758095.78444964,95028123.7637745,106325373.835519,109652672.650403,112686102.7818,127237223.625269
"Value of Manure","Adult Female",565933799.026159,31709543.2420107,468738526.670635,544540167.9335,566863040.492544,588642955.574095,656846211.133504
"Value of Manure","Adult Male",216859471.138994,12857956.0629488,181443121.164083,208135685.751534,216950693.75941,225247936.090409,255274673.841548
"Value of Hides","Overall",29239283.214997,185193.850344072,28686029.0329845,29109996.3356999,29237078.3068001,29367957.6410397,29806139.8195191
"Value of Hides","Juvenile Female",360870.774357875,8052.29111288267,338002.392454197,355258.469651699,361062.036388141,366366.750108335,387311.915679046
