"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1873116.00767103,12701.3151993252,1846350.53143128,1865585.8902182,1875889.6366776,1882119.68765195,1887600.3313312
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",36534.9191504554,827.519689990554,35543.4004925198,35838.3973037097,36456.7793265031,36868.131908865,38023.5426726406
"Num Offtake","Juvenile Male",167607.646130526,4131.24365231189,158664.674124423,165086.000770205,168999.300690801,170125.374739352,172502.559192375
"Num Offtake","Juvenile Combined",204142.565280982,4219.35844621461,195329.562255663,201466.852970866,205657.882143641,206540.135836559,208751.229714141
"Num Offtake","Adult Female",208569.980607455,540.867542228766,207917.870654678,208151.624837341,208475.896720062,208740.341932947,209664.261155523
"Num Offtake","Adult Male",1460403.46178259,8634.44716596162,1442468.22983896,1455722.29989136,1461292.00514861,1465767.42111889,1473096.80012323
"Cml Pop Growth","Overall",6511248.35082496,250920.845561024,6067909.92689565,6385213.82381357,6551631.565922,6664726.7203878,6875340.491521
"Cml Pop Growth","Neonatal Female",592681.882597028,104501.897182053,400617.207355771,512649.010136637,616450.284213753,669193.278554601,719752.70953516
"Cml Pop Growth","Neonatal Male",1086556.34863394,76483.4564508577,959559.58319157,1062210.7270785,1092241.30227322,1135032.31255721,1204813.813598
"Cml Pop Growth","Neonatal Combined",1679238.23123096,141681.9793406,1469970.83749802,1578275.48746308,1669515.82624775,1807682.83755193,1865365.60702419
"Cml Pop Growth","Juvenile Female",543590.875756152,64378.6430997022,453006.042599135,488503.203191343,543198.016310562,591758.459808013,648675.658137372
"Cml Pop Growth","Juvenile Male",837041.620248826,47803.3748578489,764724.130211648,801938.615769421,830584.306675526,868275.617554874,922746.019154974
"Cml Pop Growth","Juvenile Combined",1380632.49600498,83759.0983656319,1250436.85471362,1333063.38778011,1381088.9236958,1437668.56718219,1495257.65152337
"Cml Pop Growth","Adult Female",2219855.31540188,70273.321914222,2134944.75719206,2161739.07706214,2212597.79742968,2246879.72056303,2352825.37175768
"Cml Pop Growth","Adult Male",1231522.30818714,56919.9926907138,1108673.07019722,1196580.77225997,1248243.56285708,1267996.64079729,1295489.98216207
"Total Number Increase","Overall",8384364.35849599,252711.746667868,7929499.97644221,8257907.83469383,8416234.94469728,8543625.98380442,8749154.17021826
"Total Number Increase","Neonatal Female",592681.882597028,104501.897182053,400617.207355771,512649.010136637,616450.284213753,669193.278554601,719752.70953516
"Total Number Increase","Neonatal Male",1086556.34863394,76483.4564508577,959559.58319157,1062210.7270785,1092241.30227322,1135032.31255721,1204813.813598
"Total Number Increase","Juvenile Female",580125.794906607,65138.9977456445,488766.165374071,524411.972434162,579618.72589635,628562.045653366,686297.51864402
"Total Number Increase","Juvenile Male",1004649.26637935,50790.4095749329,923388.804336071,972432.204309345,996852.808241738,1037972.9117531,1095248.57834735
"Total Number Increase","Adult Female",2428425.29600934,70810.5176549606,2342862.62784674,2369942.75236722,2421073.69414974,2455620.06249597,2562489.63291321
"Total Number Increase","Adult Male",2691925.76996973,65265.2828535656,2551141.30003618,2651548.91184714,2709535.56800568,2734566.80930667,2761195.92446375
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Liveweight (kg)","Overall",6297340830.21756,158381462.416132,5996106099.93833,6289970198.31267,6342275025.37385,6383965015.0228,6485046064.16357
"Liveweight (kg)","Neonatal Female",336157190.640537,18688812.2952576,311833150.121836,321288856.456604,332777586.807708,348984836.353024,368313263.905452
"Liveweight (kg)","Neonatal Male",311210697.077698,14540360.2545625,284110901.650529,307252039.861721,316149004.331897,319688308.93552,327228901.285616
"Liveweight (kg)","Juvenile Female",379729061.019767,14780888.0680695,358250473.23095,368260141.380991,379346411.722366,386541772.629563,405326085.887709
"Liveweight (kg)","Juvenile Male",306739423.665328,10025240.6481349,290535756.656743,303001416.622329,309339421.036361,311893574.4471,323131038.003562
"Liveweight (kg)","Juvenile Combined",686468484.685095,20214593.2153841,649330200.455637,675767382.944818,684084733.386712,702419733.656917,714955899.913425
"Liveweight (kg)","Adult Female",3520498008.37207,145835099.723009,3190607614.37361,3509509242.35704,3554585049.66891,3609574108.06256,3692993731.02215
"Liveweight (kg)","Adult Male",1443006449.44217,49878065.6234284,1371094806.15502,1400450232.71987,1446373364.10757,1471897721.51785,1520936610.94254
"Meat (kg)","Overall",246359548.497115,18175937.1155482,211490167.292773,234799281.495376,249806376.219238,258887056.313285,271480278.295074
"Manure","Overall",278300676.835631,13594793.7676974,257027933.155411,267679457.31528,279898661.155557,283831360.790331,302462304.007787
"Manure","Neonatal Female",75566434.4561893,4912027.9473034,68842772.825446,72116156.3470355,75067889.2854541,79167077.0366018,83062896.6951068
"Manure","Neonatal Male",68651485.007147,4100450.49933167,60988288.5635076,66882219.7821999,68277809.3141642,71622942.8791154,74753564.2671909
"Manure","Neonatal Combined",144217919.463336,6316754.65518482,133823604.704902,142130796.50712,143368403.262017,146575406.198746,157816460.962298
"Manure","Juvenile Female",134082757.372294,8768209.84669598,123204328.450509,126775620.063751,133851979.70024,141557203.696227,145171553.602364
"Manure","Juvenile Male",102412164.808772,5446026.36002123,94337814.886749,99127557.5021325,101449504.960434,105138291.010551,112853989.857543
"Manure","Juvenile Combined",236494922.181066,10801778.9967954,220414531.937055,228844475.933104,237187931.022146,243333691.50486,251075114.046357
"Manure","Adult Female",1119456320.53638,50524566.9115302,1044225129.02192,1082464495.61181,1116514791.4008,1159174147.35432,1186449916.32569
"Manure","Adult Male",440579255.08829,28457934.9668069,372294115.016097,434163562.845209,442801621.498683,455765011.113338,481251784.034752
"Hides","Overall",1873116.00767103,12701.3151993252,1846350.53143128,1865585.8902182,1875889.6366776,1882119.68765195,1887600.3313312
"Hides","Juvenile Female",36534.9191504554,827.519689990554,35543.4004925198,35838.3973037097,36456.7793265031,36868.131908865,38023.5426726406
"Hides","Juvenile Male",167607.646130526,4131.24365231189,158664.674124423,165086.000770205,168999.300690801,170125.374739352,172502.559192375
"Hides","Juvenile Combined",204142.565280982,4219.35844621461,195329.562255663,201466.852970866,205657.882143641,206540.135836559,208751.229714141
"Hides","Adult Female",208569.980607455,540.867542228766,207917.870654678,208151.624837341,208475.896720062,208740.341932947,209664.261155523
"Hides","Adult Male",1460403.46178259,8634.44716596162,1442468.22983896,1455722.29989136,1461292.00514861,1465767.42111889,1473096.80012323
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",162491195.068292,4093253.3196275,154392190.468005,160378784.971251,163012963.881252,165295182.609355,168737300.909347
"Cml Dry Matter","Neonatal Female",8905481.84845452,471891.948653096,8182674.72358133,8623788.7859728,8817091.22843144,9128431.85094041,9671569.64927944
"Cml Dry Matter","Neonatal Male",7909979.83225176,349878.402785589,7135979.50121724,7958165.63288338,8031380.11384734,8088115.50867604,8201049.55476478
"Cml Dry Matter","Neonatal Combined",16815461.6807063,687786.914198648,15318654.2247986,16520951.1641022,16901057.9913213,17160482.8827565,17658342.8222233
"Cml Dry Matter","Juvenile Female",9961821.19686766,488526.963957776,9297773.21823437,9483988.78543911,10131386.1131563,10235656.9561324,10763250.6307712
"Cml Dry Matter","Juvenile Male",7831475.20094141,400610.131978847,7417746.01170293,7512670.67179686,7681942.68616923,8214320.92678597,8466669.45815971
"Cml Dry Matter","Juvenile Combined",17793296.3978091,745369.797138942,16715519.2299373,17148631.6651085,17961099.8542448,18086219.9565713,19106108.7296794
"Cml Dry Matter","Adult Female",90492222.7777238,4175044.38636724,82558535.5429098,87238566.6220328,91676993.9501235,93830771.8081286,95375742.0167224
"Cml Dry Matter","Adult Male",37390214.2120529,1734145.8033887,34736317.0733195,36048734.0055819,37779683.8077571,38285178.5894459,40178651.5949335
"Value of Offtake","Overall",4698205355.7543,106323174.687409,4524256785.18399,4619286204.29294,4712904510.78076,4769835923.46721,4854783427.13138
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",53345503.0425048,1376443.84647568,51669464.4784751,52099327.8874096,53331677.1467215,54213556.7641358,55473413.2255335
"Value of Offtake","Juvenile Male",265544898.593296,7893880.14571592,250690509.154535,262117909.491086,263635086.789084,270626190.01072,277522765.790344
"Value of Offtake","Juvenile Combined",318890401.635801,8197380.22212649,303821046.94664,314245761.549821,317800504.812325,323296465.574751,332009450.753726
"Value of Offtake","Adult Female",342098292.172646,13669120.5713352,322468116.213178,332665335.617032,340950176.244552,348802381.950363,369274601.998888
"Value of Offtake","Adult Male",4037216661.94586,105150765.250597,3876997783.58238,3955097855.2502,4053242440.9826,4107478158.58562,4185805910.92959
"Value of Herd Increase","Overall",11066453505.5576,607389931.258438,9928499178.07359,10748042008.2821,11045501894.7454,11543626988.8153,11923032664.313
"Value of Herd Increase","Neonatal Female",518298063.957031,89927478.0726849,333684598.693269,464793871.397503,552713446.336142,579143915.28024,626259445.257945
"Value of Herd Increase","Neonatal Male",1445661501.58546,181704897.688052,1193253105.37817,1339944786.48014,1436603934.10451,1515637516.78254,1775736346.4349
"Value of Herd Increase","Neonatal Combined",1963959565.54249,204009471.679723,1662354916.49638,1815843689.318,1941269752.45143,2098999717.69898,2340933860.50699
"Value of Herd Increase","Juvenile Female",809831429.081792,90490301.0913849,673952667.105686,748192869.794253,807824686.757563,870129265.822158,943070145.920107
"Value of Herd Increase","Juvenile Male",1317888839.26877,118592692.159195,1168358544.30289,1248465596.58032,1281701115.60262,1414410866.58235,1515611717.88446
"Value of Herd Increase","Juvenile Combined",2127720268.35056,161927989.609501,1860339709.84026,2004377891.87963,2146822685.87594,2241443275.82863,2357517788.44152
"Value of Herd Increase","Adult Female",3397519517.42562,234463072.559179,3073641669.98127,3226581733.25361,3351813427.38034,3629747623.89558,3706623225.56738
"Value of Herd Increase","Adult Male",3577254154.2389,606834178.034774,2473554172.23166,3144557971.50744,3831404990.654,4048057072.92076,4231053809.55027
"Value of Herd Increase plus Offtake","Overall",15764658861.3119,557617859.553533,14711753329.8244,15467497558.2546,15740273418.2164,16237956339.7043,16447289449.497
"Value of Herd Increase plus Offtake","Neonatal Female",518298063.957031,89927478.0726849,333684598.693269,464793871.397503,552713446.336142,579143915.28024,626259445.257945
"Value of Herd Increase plus Offtake","Neonatal Male",1445661501.58546,181704897.688052,1193253105.37817,1339944786.48014,1436603934.10451,1515637516.78254,1775736346.4349
"Value of Herd Increase plus Offtake","Neonatal Combined",1963959565.54249,204009471.679723,1662354916.49638,1815843689.318,1941269752.45143,2098999717.69898,2340933860.50699
"Value of Herd Increase plus Offtake","Juvenile Female",863176932.124297,91493809.2831962,725708258.358197,800293511.19471,862246189.132087,923598840.407083,998216061.829776
"Value of Herd Increase plus Offtake","Juvenile Male",1583433737.86207,119035650.14398,1440805706.44806,1511632802.1305,1545060861.20651,1677318123.06518,1791448934.62717
"Value of Herd Increase plus Offtake","Juvenile Combined",2446610669.98636,162082582.764076,2184522768.32895,2319558418.883,2464737934.72612,2559005232.75313,2674152487.91934
