"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4027705.08064468,1953.24298930197,4023750.4170059,4026229.8880454,4027428.51027664,4028974.80775697,4036008.18502932
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",30845.3220007784,283.571032950142,30255.3449691357,30634.891662612,30809.924464574,31027.8780486176,32036.5374944046
"Num Offtake","Juvenile Male",88897.0087120424,1022.78158866544,86767.5012724093,88128.4225355675,88774.6756452399,89548.0307602794,93112.1753451092
"Num Offtake","Juvenile Combined",119742.330712821,1306.05309171399,117022.846241545,118767.392653517,119589.556815667,120579.617449199,125148.712839514
"Num Offtake","Adult Female",121338.472164252,33.7297173212014,121270.920718277,121312.741711182,121333.556589776,121360.219430293,121489.188858875
"Num Offtake","Adult Male",3786624.2777676,624.148300750377,3785368.10494906,3786150.00572024,3786533.35286476,3787016.06483178,3789370.28333094
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-820708.373359297,146315.096716081,-1183074.32811349,-925482.391112718,-826839.280785221,-723519.027579864,-328733.002053905
"Cml Pop Growth","Neonatal Female",550763.156248452,51236.9416035541,426787.607045274,514068.388987342,548638.862055388,583510.940376428,755756.164988323
"Cml Pop Growth","Neonatal Male",768722.300667144,51119.2288628439,642297.424323828,732460.485422146,766542.426323129,801207.823774441,971164.127977895
"Cml Pop Growth","Neonatal Combined",1319485.4569156,102314.018815058,1069085.0313691,1246065.55229106,1315515.51494568,1383520.20746684,1726920.29296622
"Cml Pop Growth","Juvenile Female",779332.853513797,23875.1170648469,722101.354244821,761953.947479152,778549.392181856,793701.793976413,860290.587868818
"Cml Pop Growth","Juvenile Male",661467.025671568,23245.8424603273,604970.578300901,644731.29491723,660361.697671224,675521.186480152,739423.853673805
"Cml Pop Growth","Juvenile Combined",1440799.87918537,47102.3910993838,1327071.93254572,1406586.90874722,1438613.39389309,1469483.76902314,1599714.44154262
"Cml Pop Growth","Adult Female",55698.9162813536,4602.28297555302,46106.6552598458,52282.9369708141,55121.6034927112,58673.0696786102,74983.1336621055
"Cml Pop Growth","Adult Male",-3636692.62574161,4001.74635090881,-3645122.11277814,-3639663.98175355,-3637126.37823083,-3634129.92242238,-3620463.08575701
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",3206996.70728538,147661.724042814,2840971.33237785,3102077.66852079,3200445.67602845,3305390.01239994,3700513.56530154
"Total Number Increase","Neonatal Female",550763.156248452,51236.9416035541,426787.607045274,514068.388987342,548638.862055388,583510.940376428,755756.164988323
"Total Number Increase","Neonatal Male",768722.300667144,51119.2288628439,642297.424323828,732460.485422146,766542.426323129,801207.823774441,971164.127977895
"Total Number Increase","Neonatal Combined",1319485.4569156,102314.018815058,1069085.0313691,1246065.55229106,1315515.51494568,1383520.20746684,1726920.29296622
"Total Number Increase","Juvenile Female",810178.175514576,24137.0553779989,752356.699213957,792630.61230848,809343.59640449,824642.500810067,892191.105086116
"Total Number Increase","Juvenile Male",750364.034383611,24190.2312975601,691738.079573311,732943.92517033,749253.242863082,764890.638966123,832067.42110393
"Total Number Increase","Juvenile Combined",1560542.20989819,48308.8940243584,1444094.77878727,1525668.64806565,1558312.344014,1589611.91956706,1724258.52619005
"Total Number Increase","Adult Female",177037.388445606,4635.06168699315,167381.415496074,173588.769120661,176458.954179807,180032.442523206,196472.322520981
"Total Number Increase","Adult Male",149931.652025993,4608.13980813682,140330.697749989,146480.774413061,149383.419652576,152864.224525227,168907.197573922
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",794109.092991914,10094.3129782064,769222.817171138,786606.825826785,793254.481533087,800414.708863038,829500.37883737
"Total Mortality","Neonatal Female",186143.968823889,4678.47733256977,173705.107413008,182830.932676104,186058.798651927,189124.901627622,201875.157315469
"Total Mortality","Neonatal Male",161067.545519873,4596.92055168952,147432.631466037,157709.091550439,160853.441143241,164181.815756261,175966.446794256
"Total Mortality","Neonatal Combined",347211.514343762,8368.26958596932,324442.896088619,340987.473044933,346666.250586951,352646.863967017,375321.018779963
"Total Mortality","Juvenile Female",107904.555322443,1133.72716350357,104926.298414243,107073.118088147,107809.148289306,108649.376421132,112011.385248778
"Total Mortality","Juvenile Male",84847.3630242388,1052.6377350718,82376.9121085477,84100.683688368,84741.4995627631,85571.2128349631,88387.5129800231
"Total Mortality","Juvenile Combined",192751.918346682,2067.08767051667,187870.968518908,191271.018604442,192514.837409113,194106.331808554,200398.898228801
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",254145.660301471,41.8907634833434,254061.350148943,254113.828734936,254139.557723614,254171.955749558,254329.963085664
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",12773140179.3702,106668873.983376,12500542062.5385,12695464179.7145,12763411835.9467,12839061568.2453,13145342855.7415
"Value of Total Mortality","Neonatal Female",1472733476.86796,37015167.5177949,1374319718.26128,1446521404.16024,1472059627.67333,1496318015.00847,1597195462.22721
"Value of Total Mortality","Neonatal Male",1823438396.98109,52041529.6251467,1669078151.74947,1785417491.51193,1821014531.0182,1858694909.45401,1992108184.36037
"Value of Total Mortality","Neonatal Combined",3296171873.84905,80607291.6883229,3079127969.99143,3236582654.82905,3288952671.80351,3349189844.8755,3560768214.08738
"Value of Total Mortality","Juvenile Female",1103113062.30312,11590143.1539334,1072666209.63307,1094613242.52353,1102137711.96527,1110727401.4808,1145097367.07004
"Value of Total Mortality","Juvenile Male",1616579805.01756,20055695.8267563,1569510798.77806,1602353473.25935,1614562809.7002,1630371170.408,1684029572.70946
"Value of Total Mortality","Juvenile Combined",2719692867.32068,30043978.4724961,2651919811.37303,2698035823.12772,2716404428.37279,2739360561.88678,2829126939.7795
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",6757275438.20047,1113799.9635236,6755033783.07172,6756429094.16907,6757113181.64486,6757974586.81188,6762175717.33701
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",2127445661.62333,367139756.489649,1144360542.22029,1842053419.92017,2131106933.00878,2410445557.24458,3128354597.6617
"Population Liveweight (kg)","Neonatal Female",85095838.1842553,48837027.0589005,1570866.92684171,43005806.1193972,83566185.7744094,127366871.520131,180156281.473825
"Population Liveweight (kg)","Neonatal Male",79091225.832116,44756352.1359415,1495811.85547426,39454616.1501304,78436020.8451933,116058672.363753,170355245.057649
"Population Liveweight (kg)","Juvenile Female",131306935.979512,75321555.2172532,1447065.22532502,64757671.513322,127709854.972872,196467978.612247,270725554.454388
"Population Liveweight (kg)","Juvenile Male",109458680.281667,62534884.4830334,1185308.68488257,52244878.4565467,107174193.545815,164936444.338539,222859206.39832
"Population Liveweight (kg)","Juvenile Combined",240765616.261179,95846066.1223538,5392565.78465245,170049691.108851,240747724.344846,311676958.563949,469305608.275295
"Population Liveweight (kg)","Adult Female",1180895737.59267,150816665.816862,694299694.30074,1078739060.09589,1198119951.47309,1305769774.51415,1429405677.55084
"Population Liveweight (kg)","Adult Male",541597243.753107,313770605.358753,4462039.57823328,268383599.798972,531524333.215573,822809828.824541,1071320478.72467
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",499718170.321555,260786479.80348,46198064.8209677,283033098.780109,496928558.008369,720775914.90758,962293914.779007
"Offtake Liveweight (kg)","Juvenile Female",2760202.01744079,1596836.97397693,30418.4349610205,1370251.29257999,2749316.55792289,4132258.72015033,5645751.2246273
"Offtake Liveweight (kg)","Juvenile Male",7850255.15195214,4548824.032136,87667.2734220218,3815376.28030678,7702731.57014058,11607807.8707741,16161493.6691131
"Offtake Liveweight (kg)","Adult Female",35023527.4616468,4385785.47098492,21201939.3596852,32066341.6752287,35783823.8402691,38619833.0856108,42223446.0055515
"Offtake Liveweight (kg)","Adult Male",454084185.690516,260820015.940415,3786498.70042276,234750989.9833,454335817.88629,674105695.59743,909049063.039122
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",1683405059.3728,281930973.975495,858539529.794694,1475520862.09421,1678074641.17587,1870294204.49682,2589800202.40058
"Manure","Overall",8268366772.96828,310255367.17663,7446780468.61699,8048679393.9244,8271050300.27048,8473774015.99936,9333515712.70703
"Manure","Neonatal Female",345968532.186134,11579583.502569,313284755.853698,338259344.478758,345895286.343539,353507888.492103,386927799.019328
"Manure","Neonatal Male",305045885.970362,10658108.7892868,275428064.743913,297149067.298733,304341014.467831,312304434.860583,339584516.138412
"Manure","Neonatal Combined",651014418.156496,19199150.7831412,604167242.361877,637116925.917814,650909844.590089,663390974.430733,714063502.636676
"Manure","Juvenile Female",453455948.981498,15592586.3294736,409108537.617012,442731633.021637,453177478.731331,463873351.104971,505243499.280822
"Manure","Juvenile Male",358043357.928877,13387888.3457113,320597721.971214,348656612.473219,357453941.390432,366913979.521298,400313115.071944
"Manure","Juvenile Combined",811499306.910375,21989360.2309172,744027123.852058,796195499.888227,810737868.589887,826206851.836731,875007623.745558
"Manure","Adult Female",2766212802.82239,174279302.886545,2282870473.5867,2671263881.64776,2769549366.89991,2867833895.52621,3256370806.37751
"Manure","Adult Male",4039640245.07902,250109073.131734,3331799245.93536,3865717871.05281,4039735881.27403,4215581968.30914,4772256407.87145
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",223448.789324076,1052.74029173256,220971.109209942,222697.389098507,223322.367319203,224138.342800642,227364.430657232
"Hides","Juvenile Female",53952.2776612215,566.863581751783,52463.1492071216,53536.5590440736,53904.5741446532,54324.6882105658,56005.6926243889
"Hides","Juvenile Male",42423.6815121194,526.3188675359,41188.4560542739,42050.341844184,42370.7497813816,42785.6064174815,44193.7564900116
"Hides","Juvenile Combined",96375.9591733408,1033.54383525834,93935.484259454,95635.5093022211,96257.4187045566,97053.1659042772,100199.4491144
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",127072.830150735,20.9453817416717,127030.675074472,127056.914367468,127069.778861807,127085.977874779,127164.981542832
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",3551010902.61236,510321977.873867,1853594432.39563,3198318850.97125,3542568827.63167,3900887731.06471,5308389089.69435
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",21671252878.8902,1134060324.94073,18001292775.3088,20931136763.3719,21710037019.8033,22426410744.9562,26019982916.185
"Cml Dry Matter","Neonatal Female",796011386.728815,81555075.2229496,576399006.391416,736347147.476099,796169029.183656,849802867.496211,1044569262.07888
"Cml Dry Matter","Neonatal Male",703902734.55087,69527245.6409704,489248201.369089,656593238.488238,703183900.712247,750522117.804968,902290919.871871
"Cml Dry Matter","Neonatal Combined",1499914121.27969,109161195.348475,1203430045.12441,1423459200.62295,1497492330.35749,1575058590.79892,1826917140.50312
"Cml Dry Matter","Juvenile Female",982122163.49735,132055971.205555,618275156.088732,891335252.37256,980574933.552943,1071666434.56043,1479540101.69492
"Cml Dry Matter","Juvenile Male",775204177.47887,100821135.967529,454730325.195932,702803744.417202,772886171.412907,841433172.456889,1092316812.66682
"Cml Dry Matter","Juvenile Combined",1757326340.97622,170563744.293578,1209927762.28125,1642508590.87946,1760816128.08467,1870617899.07232,2300307130.35638
"Cml Dry Matter","Adult Female",10964152117.6465,399270147.09072,9507716201.25918,10701694396.8683,10988368272.2275,11243774302.9001,12140850266.5728
"Cml Dry Matter","Adult Male",7449860298.98783,1045045833.16084,4635190445.4779,6755878924.59658,7487216962.93373,8157658406.76016,11307032270.5581
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",114251746392.013,18120253383.1099,68525520990.238,100885576559.887,114456618259.381,127918350809.612,155150230471.572
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",352656741.15555,61896844.3744972,182852557.638575,309068444.082709,359988240.515489,399249363.882209,473417446.499768
"Value of Offtake","Juvenile Male",1569193696.66369,365702475.157043,515179295.734255,1303443930.09743,1585597955.40242,1866486177.3033,2350723557.57043
"Value of Offtake","Juvenile Combined",1921850437.81924,370012280.333177,885006849.445883,1666657496.99699,1936068265.09327,2208637227.98582,2761770775.15308
"Value of Offtake","Adult Female",2112763238.13944,327495816.250081,1251071166.50415,1877775485.61409,2114544919.51349,2355207688.80226,2933450490.97636
"Value of Offtake","Adult Male",110217132716.054,18087054514.1901,64199175970.3455,97050168062.7564,110460486395.831,124007940511.641,151185904981.043
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-72543979845.3392,17304953119.6006,-114222362648.905,-85175360899.2789,-72343189167.6455,-60242118069.4822,-26749566559.8231
"Value of Herd Increase","Neonatal Female",4497453632.1642,700486308.021609,2852054005.05649,3992699313.31546,4417297656.44572,4950805231.15171,7049735503.76027
"Value of Herd Increase","Neonatal Male",7796719841.4103,1259986530.44103,4809994787.55682,6853865925.87216,7736482687.63614,8607029833.25066,12029276284.4303
"Value of Herd Increase","Neonatal Combined",12294173473.5745,1612369670.7783,8289103567.95646,11125929923.3909,12150665993.7306,13379087827.7171,18628053276.6431
"Value of Herd Increase","Juvenile Female",8935073717.34481,1536286341.66608,4539507383.70599,7863123837.26989,8998678198.79118,10136062263.7316,12850484850.074
"Value of Herd Increase","Juvenile Male",11523776042.9317,2788620554.12638,3713295115.97577,9503671431.70876,11617251461.0334,13510637870.6741,18327499498.3083
"Value of Herd Increase","Juvenile Combined",20458849760.2765,3260813280.55292,10758385205.8765,18172676278.0771,20445184430.7523,22880827973.5305,29008816656.8164
"Value of Herd Increase","Adult Female",959806339.547216,167158176.003535,549431046.647319,831360482.91096,953538645.039918,1075594290.40891,1524897801.5835
"Value of Herd Increase","Adult Male",-106256809418.738,16919771699.4739,-144891205681.179,-118951687333.338,-106024706935.508,-93848795840.814,-61980552158.5545
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",41707766546.6735,25355956267.9801,-28429861087.9671,23697987853.6297,41087481509.1555,59705578073.3021,116237067575.465
"Value of Herd Increase plus Offtake","Neonatal Female",4497453632.1642,700486308.021609,2852054005.05649,3992699313.31546,4417297656.44572,4950805231.15171,7049735503.76027
"Value of Herd Increase plus Offtake","Neonatal Male",7796719841.4103,1259986530.44103,4809994787.55682,6853865925.87216,7736482687.63614,8607029833.25066,12029276284.4303
"Value of Herd Increase plus Offtake","Neonatal Combined",12294173473.5745,1612369670.7783,8289103567.95646,11125929923.3909,12150665993.7306,13379087827.7171,18628053276.6431
"Value of Herd Increase plus Offtake","Juvenile Female",9287730458.50036,1539936561.29124,4800524950.79031,8210214353.86115,9344298598.12225,10465774621.8975,13315159587.0117
"Value of Herd Increase plus Offtake","Juvenile Male",13092969739.5954,2819573333.28276,5025543845.10761,11044585092.3093,13235191996.1372,15138056397.413,19965752812.4061
"Value of Herd Increase plus Offtake","Juvenile Combined",22380700198.0958,3282329954.70082,11965698563.5864,20036771852.8572,22413569449.9425,24797236206.3581,31620779662.3189
"Value of Herd Increase plus Offtake","Adult Female",3072569577.68665,367878690.591347,2090093339.74602,2810009625.16569,3067119945.04193,3327289236.21277,4099734046.0793
"Value of Herd Increase plus Offtake","Adult Male",3960323297.31656,25147717447.4347,-68536184452.5312,-13552007230.3507,3167195536.12664,21291279393.5385,75440656527.5194
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",4134183386.48414,155127683.588315,3723390234.30849,4024339696.9622,4135525150.13524,4236887007.99968,4666757856.35351
"Value of Manure","Neonatal Female",172984266.093067,5789791.75128448,156642377.926849,169129672.239379,172947643.17177,176753944.246052,193463899.509664
"Value of Manure","Neonatal Male",152522942.985181,5329054.39464338,137714032.371956,148574533.649366,152170507.233916,156152217.430292,169792258.069206
"Value of Manure","Neonatal Combined",325507209.078248,9599575.39157058,302083621.180939,318558462.958907,325454922.295044,331695487.215366,357031751.318338
"Value of Manure","Juvenile Female",226727974.490749,7796293.1647368,204554268.808506,221365816.510818,226588739.365665,231936675.552486,252621749.640411
"Value of Manure","Juvenile Male",179021678.964438,6693944.17285563,160298860.985607,174328306.236609,178726970.695216,183456989.760649,200156557.535972
"Value of Manure","Juvenile Combined",405749653.455188,10994680.1154586,372013561.926029,398097749.944113,405368934.294943,413103425.918365,437503811.872779
"Value of Manure","Adult Female",1383106401.4112,87139651.4432727,1141435236.79335,1335631940.82388,1384774683.44995,1433916947.7631,1628185403.18876
"Value of Manure","Adult Male",2019820122.53951,125054536.565867,1665899622.96768,1932858935.5264,2019867940.63702,2107790984.15457,2386128203.93572
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",18837674.4810258,66517.6994368704,18683722.9260106,18790553.9109677,18829800.8912461,18881573.8381705,19085145.4465875
"Value of Hides","Juvenile Female",3105924.52954081,32633.2006689626,3020198.3879631,3081992.44165948,3103178.33366777,3127363.45872803,3224135.51487632
"Value of Hides","Juvenile Male",2874528.65446364,35662.1257795506,2790832.68922108,2849232.03863313,2870942.12516413,2899051.83289006,2994464.76239069
"Value of Hides","Juvenile Combined",5980453.18400445,64571.7421458558,5830266.04890832,5934502.52564519,5973200.62473536,6022997.89098308,6218600.27726701
"Value of Hides","Adult Female",0,0,0,0,0,0,0
"Value of Hides","Adult Male",7433225.58842703,1225.2166520324,7430759.69393807,7432294.58211119,7433047.10087061,7433994.67493179,7438616.0569082
"Value of Hides","Oxen",5423995.70859432,894.035810384755,5422196.35500726,5423316.3569183,5423865.46692083,5424556.90801599,5427929.11241227
"Value of Milk","Overall",110081337980.983,15819981314.0899,57461427404.2646,99147884380.1088,109819633656.582,120927519663.006,164560061780.525
"Total Production Value","Overall",155942125588.622,30521568044.8529,68623588283.1944,134434260761.38,156176083897.815,177018770347.955,258296270255.551
"Total Production Value","Neonatal Female",4670437898.25727,702276461.653592,3013144988.49178,4164595421.88916,4589970849.93712,5124036384.17344,7230371252.63842
"Total Production Value","Neonatal Male",7949242784.39548,1261170263.50693,4966387355.04101,7002750777.28828,7889783320.64487,8762495172.65426,12192154287.3999
"Total Production Value","Neonatal Combined",12619680682.6528,1615755760.07633,8598059845.23028,11455629619.2457,12467166222.8577,13705400666.1998,18970773037.6125
"Total Production Value","Juvenile Female",9517564357.52065,1540357689.18036,5017495055.84319,8437459615.40106,9576729237.79162,10694456361.7426,13538778173.8794
"Total Production Value","Juvenile Male",13274865947.2143,2819732979.96973,5204330257.78475,11231379171.1772,13413967252.2539,15326480295.9338,20162509219.2874
"Total Production Value","Juvenile Combined",22792430304.735,3283033902.09973,12369825221.564,20443550079.7115,22824769696.5701,25210935914.8966,32042571630.4715
"Total Production Value","Adult Female",114537013960.081,15799631622.8514,61890511235.6917,103684118116.221,114249093740.49,125233067873.982,169285513332.677
"Total Production Value","Adult Male",5987576645.4445,25145100034.4227,-66580681331.6803,-11556814808.8886,5124875446.96348,23286650378.6679,77361539533.7559
"Total Production Value","Oxen",5423995.70859432,894.035810384755,5422196.35500726,5423316.3569183,5423865.46692083,5424556.90801599,5427929.11241227
"Feed Cost","Overall",635651139.292034,21832528.5204748,567244894.81496,620882912.627022,634555366.088262,650283963.220004,701560821.572598
"Feed Cost","Neonatal Female",29259382.0287658,1703038.20156592,24552572.8886396,28082128.1762603,29215848.4699674,30374656.6571633,37070486.3397126
"Feed Cost","Neonatal Male",25757799.0414397,1606075.75614193,21090096.2566112,24652951.0414821,25750414.4269999,26836245.187108,32814629.9060583
"Feed Cost","Neonatal Combined",55017181.0702055,2489253.10197889,48161406.8672655,53314775.0251478,55044706.5393645,56585702.422791,65577392.7106153
"Feed Cost","Juvenile Female",38888289.7265157,2128785.78532784,33186766.6594564,37439576.5296929,38729567.9059034,40306598.5233396,46299810.1344977
"Feed Cost","Juvenile Male",30791049.3237156,1819403.6447874,25465938.2425458,29532432.4151522,30719747.8178976,32009044.0410369,37153732.9691971
"Feed Cost","Juvenile Combined",69679339.0502313,2837534.46748458,60552232.9349271,67654985.8684235,69674669.1198618,71488213.4545499,79347976.1811998
"Feed Cost","Adult Female",230570925.043329,15402514.5097779,180815832.397164,220243958.712418,230252741.660119,240558915.561213,281872135.980682
"Feed Cost","Adult Male",280383694.128268,15239437.2199649,234585655.984321,269847942.589662,280299031.371701,290662039.592745,327017485.060031
"Feed Cost","Oxen",0,0,0,0,0,0,0
"Labour Cost","Overall",20641692833.6093,125424984.723734,20343239844.733,20551765522.8462,20634129675.5084,20716299454.6055,21080905091.5065
"Labour Cost","Neonatal Female",2076686046.55499,45795726.2365459,1966438397.65064,2043886708.93568,2074624520.91557,2104044130.26647,2229665248.67854
"Labour Cost","Neonatal Male",1831205206.5479,45699756.6843598,1718937826.21995,1798219064.94052,1828989282.5674,1859441197.83079,1985441238.68249
"Labour Cost","Neonatal Combined",3907891253.10289,91468127.0448751,3685376223.87059,3842331333.96497,3903166615.04271,3963994968.86785,4215106487.36102
"Labour Cost","Juvenile Female",1535836135.30203,15896774.6358902,1501504689.61402,1523808228.32189,1534143282.86093,1545830446.34385,1600652585.76617
"Labour Cost","Juvenile Male",1212904011.89589,15604427.6337188,1179089601.76456,1201110631.88963,1211323843.3866,1222776515.45909,1275220397.42472
"Labour Cost","Juvenile Combined",2748740147.19792,31490641.5116574,2680594291.37858,2725055669.50714,2745483648.80089,2768567637.65989,2875872983.1909
"Labour Cost","Adult Female",5689206527.80709,2107084.46284761,5684971227.28018,5687615704.27835,5688920759.19892,5690533518.54267,5698522953.45692
"Labour Cost","Adult Male",8295854905.50136,1894492.17381614,8292032795.73026,8294384951.10462,8295606955.66406,8297089518.49069,8304079930.23381
"Labour Cost","Oxen",0,0,0,0,0,0,0
"Health Cost","Overall",198493123.256939,1933809.57279864,193092118.632734,197172253.616663,198452601.783988,199742189.605892,205311725.48872
"Health Cost","Neonatal Female",19960291.6269947,525258.469430171,18576377.0841324,19579358.074207,19951783.4719162,20296897.2201241,21646677.6697975
