"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3988054.7080077,20.7292714905708,3988035.16504392,3988041.90326038,3988045.61653494,3988065.32609561,3988091.69488028
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",27878.3870858168,7.6885227485897,27866.6362849603,27872.0651140271,27880.8618433673,27884.3468232325,27886.525032975
"Num Offtake","Juvenile Male",77854.5119219585,8.63475065360769,77847.0047487448,77848.3000330765,77850.8509826308,77857.1501617726,77870.6437884075
"Num Offtake","Juvenile Combined",105732.899007775,12.8088967791161,105719.080248698,105724.14779658,105728.733306774,105741.409756698,105752.940811226
"Num Offtake","Adult Female",115452.871779216,1.049652586175,115451.268400724,115452.090843216,115453.148555834,115453.417661009,115454.249845868
"Num Offtake","Adult Male",3766868.93722071,9.21125657756042,3766854.64741073,3766862.74683965,3766868.8335761,3766872.63865367,3766884.53352727
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3351930.85051959,1010.43853014302,-3353968.37965723,-3352375.80960687,-3351529.4232952,-3351286.27620971,-3350830.40624185
"Cml Pop Growth","Neonatal Female",-138239.61083924,278.576461566786,-138737.300592489,-138421.365718539,-138218.013715897,-138041.424332801,-137838.023992714
"Cml Pop Growth","Neonatal Male",65039.0755308017,278.576461566925,64541.3857775524,64857.3206515021,65060.6726541443,65237.2620372407,65440.6623773279
"Cml Pop Growth","Neonatal Combined",-73200.5353084381,557.152923133711,-74195.9148149366,-73564.0450670373,-73157.341061753,-72804.1622955605,-72397.3616153857
"Cml Pop Growth","Juvenile Female",471819.714535405,406.113084674537,471101.321196859,471606.424993858,471955.478478157,472099.20077043,472292.186364441
"Cml Pop Growth","Juvenile Male",352727.587874685,101.868214488796,352557.700249995,352644.231197686,352758.948872558,352769.620208507,352881.858086274
"Cml Pop Growth","Juvenile Combined",824547.30241009,474.017043498274,823659.021446855,824354.203184023,824754.413288732,824809.317730963,825137.902862347
"Cml Pop Growth","Adult Female",-383297.417970408,120.889024269242,-383482.324207593,-383397.048625837,-383258.407608058,-383206.787666932,-383164.123023313
"Cml Pop Growth","Adult Male",-3719980.19965083,30.5310556880603,-3720006.70440845,-3720003.62137758,-3719991.3070663,-3719971.69090038,-3719919.66526662
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",636123.857488115,1021.98292134912,634066.785386695,635668.62372867,636526.99444534,636768.148816329,637223.572079278
"Total Number Increase","Neonatal Female",-138239.61083924,278.576461566786,-138737.300592489,-138421.365718539,-138218.013715897,-138041.424332801,-137838.023992714
"Total Number Increase","Neonatal Male",65039.0755308017,278.576461566925,64541.3857775524,64857.3206515021,65060.6726541443,65237.2620372407,65440.6623773279
"Total Number Increase","Neonatal Combined",-73200.5353084381,557.152923133711,-74195.9148149366,-73564.0450670373,-73157.341061753,-72804.1622955605,-72397.3616153857
"Total Number Increase","Juvenile Female",499698.101621222,412.845668140551,498971.143638659,499478.031155885,499838.021214621,499978.152284442,500178.711397416
"Total Number Increase","Juvenile Male",430582.099796644,107.363728016841,430406.958056894,430495.315503645,430611.47539599,430634.375016461,430749.903312476
"Total Number Increase","Juvenile Combined",930280.201417866,482.547475570763,929378.101695553,930079.170647688,930497.687064131,930542.438831653,930881.903856725
"Total Number Increase","Adult Female",-267844.546191191,121.873283467488,-268030.942050068,-267944.957782621,-267805.23143593,-267752.731502223,-267710.932975566
"Total Number Increase","Adult Male",46888.7375698787,38.5709296213737,46855.3050632109,46860.956546369,46872.1867907259,46900.4670808234,46961.1002437961
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",890652.922640314,532.010806626775,889520.897111754,890428.174051498,890646.687995777,891110.357636103,891269.013911631
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",97641.3253230862,476.921083080121,96833.7851995839,97381.8299679265,97531.5139258771,98048.7771005032,98295.5316857357
"Total Mortality","Juvenile Male",74234.280441425,172.578814993479,73908.4169775198,74179.9802451908,74257.1132796622,74303.8840743591,74504.3630259203
"Total Mortality","Juvenile Combined",171875.605764511,534.576083063639,170742.202177104,171651.306791095,171866.418720714,172336.892236668,172495.817928954
"Total Mortality","Adult Female",411781.909345871,3.74376089068031,411776.190629249,411779.124007472,411782.896515807,411783.856324266,411786.824450262
"Total Mortality","Adult Male",306995.407529932,0.75070662506941,306994.242927151,306994.903021124,306995.399083017,306995.709192384,306996.678610653
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",19083018237.033,7040274.47557887,19067367135.5574,19080380075.2058,19083759844.4476,19088734542.915,19090530836.4833
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",1215511458.2394,5937066.49558113,1205458601.31783,1212281068.06892,1214144444.72221,1220583719.42074,1223655503.06082
"Value of Total Mortality","Juvenile Male",1282082890.46103,2980568.33909455,1276454978.81138,1281145084.47535,1282477231.0685,1283284998.52173,1286747423.59227
"Value of Total Mortality","Juvenile Combined",2497594348.70043,7089952.47802338,2481913580.12922,2494971827.00487,2498273305.75802,2503384912.77711,2505193534.87698
"Value of Total Mortality","Adult Female",8417486274.24295,76528.5098644621,8417369374.45308,8417429337.43437,8417506453.58836,8417526073.62107,8417586746.90288
"Value of Total Mortality","Adult Male",8167937614.08959,19973.3439968193,8167906628.60048,8167924191.099,8167937389.35048,8167945640.13828,8167971432.53697
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1080789431.00296,407033605.945545,469763863.598044,910006141.120153,982624054.201262,1236503740.80241,2019408909.77606
"Population Liveweight (kg)","Neonatal Female",41523691.1770062,30142495.6695555,1982370.75226114,16348173.3921664,40639085.4620904,65133024.018072,84246850.2135525
"Population Liveweight (kg)","Neonatal Male",101099294.041443,27181580.5498881,52288585.1167312,95275641.8590855,106095572.874521,119376894.759113,137576465.696236
"Population Liveweight (kg)","Juvenile Female",125096174.366275,65808271.3069289,8035360.42768823,82374933.899353,114214201.843048,191556021.063502,202056275.863221
"Population Liveweight (kg)","Juvenile Male",65788148.932401,29498338.9670912,28256411.5781407,42614262.8019367,57843295.4208718,91398101.2179424,107739154.169168
"Population Liveweight (kg)","Juvenile Combined",190884323.298676,72345947.1747033,56606799.779529,154357902.725754,174394624.166364,226077814.568379,300232450.696753
"Population Liveweight (kg)","Adult Female",262997852.818466,220322623.842794,33010559.9021317,73361393.3668604,232919878.226131,401656863.46073,682220097.872792
"Population Liveweight (kg)","Adult Male",484284269.667372,302013153.254383,201601344.423878,272820790.015224,372527764.151318,550021633.938309,1021161577.19284
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",436890714.299299,253533657.668692,40943751.6314042,270654976.507619,412966000.391472,613530494.87413,888200721.438473
"Offtake Liveweight (kg)","Juvenile Female",1449623.28210909,1158516.81462372,223084.235420389,543675.912322842,1296442.71815046,1770747.6323081,3427596.26305011
"Offtake Liveweight (kg)","Juvenile Male",4251073.45587796,3959420.42234801,934289.711536842,1128877.83300522,2724705.0285934,6383908.76757526,13237567.6884543
"Offtake Liveweight (kg)","Adult Female",8924489.21964792,7604098.0425493,808179.748921075,1500892.87621783,8370341.34083441,13392571.6058593,20781228.3121303
"Offtake Liveweight (kg)","Adult Male",422265528.341664,253114964.817602,26368191.7346909,255205715.676535,393638157.212404,595164309.456482,866376568.904469
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",1570469855.09691,214351398.031526,1181687818.61972,1439604078.52984,1615500520.5919,1696157384.823,1851067450.87334
"Manure","Overall",7676795753.82182,392347971.814802,7190086108.15339,7373297317.95745,7660082878.13765,7992303097.12143,8321243086.38791
"Manure","Neonatal Female",247170615.360367,5210452.94947633,242047314.410281,243582245.877455,245400749.337744,250327730.84419,255830027.033971
"Manure","Neonatal Male",203474057.393199,7097010.69663674,196068663.471614,197596128.790378,201926906.603722,208328955.679181,216998921.332736
"Manure","Neonatal Combined",450644672.753566,9997091.69409205,439604511.031697,443076583.374757,450352662.239618,451537124.967947,468905405.062899
"Manure","Juvenile Female",392601559.530645,14822294.0036335,365694936.473244,386390853.310335,392059591.439776,402535330.052348,412938475.317064
"Manure","Juvenile Male",305085391.4688,9414795.34246809,290440732.560799,301511078.952742,305565526.491189,307884926.421166,322922640.538009
"Manure","Juvenile Combined",697686950.999444,16984393.6921541,668022799.292246,684946389.599352,703544927.177956,708155883.227806,720968024.653371
"Manure","Adult Female",2517183488.46578,220163453.251914,2242195947.08549,2358895407.55062,2469415555.49014,2653317853.1999,2976942483.64791
"Manure","Adult Male",4011280641.60303,257078257.11876,3654328065.49631,3796436165.64678,4017261890.2819,4177271695.1824,4458442322.19574
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",445326.461320157,266.005403313387,444760.448555877,445214.087025749,445323.343997888,445555.178818051,445634.506955816
"Hides","Juvenile Female",48820.6626615431,238.460541540061,48416.892599792,48690.9149839633,48765.7569629385,49024.3885502516,49147.7658428679
"Hides","Juvenile Male",37117.1402207125,86.2894074967397,36954.2084887599,37089.9901225954,37128.5566398311,37151.9420371796,37252.1815129601
"Hides","Juvenile Combined",85937.8028822557,267.288041531819,85371.1010885518,85825.6533955475,85933.2093603569,86168.4461183341,86247.9089644771
"Hides","Adult Female",205890.954672936,1.87188044534016,205888.095314625,205889.562003736,205891.448257904,205891.928162133,205893.412225131
"Hides","Adult Male",153497.703764966,0.375353312534705,153497.121463576,153497.451510562,153497.699541508,153497.854596192,153498.339305327
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",146034348.084594,26481207.5254803,96011745.0523264,132471739.485225,149217706.966895,156992262.974198,184012996.663027
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",15897127951.2446,921386573.022228,14643030064.7219,15164449093.0412,16020395716.669,16598502801.2128,17308732910.2552
"Cml Dry Matter","Neonatal Female",558517591.976597,53641401.3221553,473378530.971477,514162701.235559,566977030.516657,591946053.175793,632001183.866783
"Cml Dry Matter","Neonatal Male",929737900.22156,68232038.4835962,841474022.049303,883283294.645632,925247141.404813,972137520.619102,1050989891.09558
"Cml Dry Matter","Neonatal Combined",1488255492.19816,77203580.3639291,1380287500.77579,1436636974.13793,1488610518.58193,1535229751.72452,1620695272.1362
"Cml Dry Matter","Juvenile Female",901271890.844592,113040715.580579,694728292.601024,830055018.813188,916964333.487695,969754473.833786,1066124916.28635
"Cml Dry Matter","Juvenile Male",643413787.036896,78845435.1095465,532840933.760316,564901860.919754,657767109.96992,712237744.596223,732009850.425002
"Cml Dry Matter","Juvenile Combined",1544685677.88149,160226336.983717,1248624915.61668,1455979815.58787,1545059156.80748,1679987717.69007,1754986340.43153
"Cml Dry Matter","Adult Female",4957911610.82689,436510390.811391,4221837767.67678,4714344333.79605,4786860647.40013,5410019573.48033,5508545266.72233
"Cml Dry Matter","Adult Male",7906275170.33807,709638928.085411,6960463861.88963,7469037832.2688,7837079349.7886,8105716150.5987,9305933234.29854
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",109773774250.097,13612273999.8906,77252821006.7234,105346029340.49,111950991567.632,116679620307.904,128578160111.87
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",309173428.242284,56464515.1838279,204433378.520417,279376647.650616,316749473.791167,347843737.19323,392139509.090675
"Value of Offtake","Juvenile Male",1328695583.63549,452380125.479161,630702923.37303,1002960978.63855,1338859011.85106,1693585473.53236,1928511712.6495
"Value of Offtake","Juvenile Combined",1637869011.87778,452260207.180258,921528518.015844,1291158292.96437,1680254450.93136,2023560027.78052,2204072044.63605
"Value of Offtake","Adult Female",1853235300.60997,316794456.585249,1335279883.27188,1608763265.98533,1965959959.34266,1987986812.05596,2312039516.35456
"Value of Offtake","Adult Male",106282669937.61,13528883598.429,73795185307.3352,102393012468.116,108267212063.234,113144060439.991,124738439593.78
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-116078916235.742,17152155652.8283,-137604572610.235,-126591891760.09,-118207557986.878,-109037882511.514,-77500012480.1912
"Value of Herd Increase","Neonatal Female",-1062452110.20243,145237599.335386,-1252148508.35211,-1190453283.67028,-1049633017.16391,-938562030.672987,-888968119.313218
"Value of Herd Increase","Neonatal Male",681561791.380094,128584351.90652,503747065.192519,572463931.821615,682326408.031881,777809573.149301,899102359.752305
"Value of Herd Increase","Neonatal Combined",-380890318.822336,263257264.505798,-684613461.055623,-608259336.816936,-369319657.013502,-175462374.391783,10134240.4390877
"Value of Herd Increase","Juvenile Female",4986399989.10176,819464734.051384,3781396703.70289,4320081945.11744,5020464315.77675,5543035806.50681,6384410691.33567
