"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3978846.38715135,59.5998897370911,3978785.86244161,3978790.9127306,3978836.23442558,3978890.14426943,3978941.96121786
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",28535.6447825652,11.0087857284932,28518.9753518503,28525.6023985721,28537.8152352781,28544.7461837413,28550.2634608154
"Num Offtake","Juvenile Male",79648.8129972064,36.1519326397746,79605.7172793138,79620.1837561202,79633.9650525449,79683.5444124616,79705.981674657
"Num Offtake","Juvenile Combined",108184.457779772,38.5592686866332,108141.399447074,108148.693930198,108182.37054342,108210.03895501,108248.205867019
"Num Offtake","Adult Female",115551.519273844,1.40599442667842,115549.357271872,115550.314605108,115551.625668539,115552.681847086,115553.454639196
"Num Offtake","Adult Male",3755110.41009774,21.3795090861121,3755087.74804371,3755093.41448593,3755100.62530267,3755129.58725522,3755141.41090671
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3459342.71180916,3311.05944298147,-3464755.19740695,-3461093.00458074,-3459014.12767456,-3457095.20450846,-3455240.21751159
"Cml Pop Growth","Neonatal Female",-221447.243942164,1187.83792207749,-223512.329288951,-222388.571183168,-221094.778137869,-220473.897914042,-220151.335299754
"Cml Pop Growth","Neonatal Male",-3672.1352904724,1611.65268323139,-5409.94376066129,-4978.85534237378,-4198.29109134572,-2591.96123054856,-875.379726329236
"Cml Pop Growth","Neonatal Combined",-225119.379232636,1996.08312108984,-228295.155546351,-226163.045974211,-224956.110493476,-223769.483475283,-221988.464024
"Cml Pop Growth","Juvenile Female",509537.125162969,842.665432155271,508387.938926039,508690.735167514,509766.05195854,510252.184336478,510431.798324779
"Cml Pop Growth","Juvenile Male",379420.812243054,807.248351847261,378442.301176683,378740.92431365,379259.480271775,380056.867316848,380723.100185471
