"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",471216.712408856,4649.40050570592,464262.777537106,467888.181732464,471251.516632232,473120.085817341,480708.078813008
"Num Offtake","Neonatal Female",35787.3778712973,634.796120179365,34834.8418902437,35332.5771919374,35799.1127580798,36045.7338039245,37080.8144904971
"Num Offtake","Neonatal Male",120526.019063929,3449.28989381228,115286.284234206,117988.557719603,120746.027175278,121948.821827966,127549.702910038
"Num Offtake","Neonatal Combined",156313.396935226,4083.72933671478,150121.12612445,153321.13491154,156545.139933358,157994.55563189,164630.517400535
"Num Offtake","Juvenile Female",101764.405713031,489.034395543146,101112.260243721,101477.169836356,101628.210358222,101947.900193362,102742.99235656
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",101764.405713031,489.034395543146,101112.260243721,101477.169836356,101628.210358222,101947.900193362,102742.99235656
"Num Offtake","Adult Female",204286.354274941,59.2308182473307,204221.304472326,204249.603929745,204258.81042114,204309.364090771,204402.592194818
"Num Offtake","Adult Male",8852.55548565769,40.46668480682,8808.08669660903,8827.46532661087,8833.74000729396,8868.26590131736,8931.97686109401
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",280489.659925496,21109.3198517333,246343.320373384,266669.373930456,277207.062608521,296332.890149876,313065.655891178
"Cml Pop Growth","Neonatal Female",66839.8753523676,7981.57414499147,55885.0977936668,60426.1859608559,65426.456283616,74140.8444117064,77979.2022848292
"Cml Pop Growth","Neonatal Male",137686.076561644,7160.54059040774,128516.001429538,131498.453979437,136408.899064313,143994.851037352,147975.3285879
"Cml Pop Growth","Neonatal Combined",204525.951914011,15042.2799131797,185624.085846576,192047.603676196,201589.427876123,216714.868815136,225954.530872729
"Cml Pop Growth","Juvenile Female",27874.6128995761,4389.07836774191,21121.466261828,24579.6738316226,28379.4031871798,29686.9347152208,36772.6435846435
"Cml Pop Growth","Juvenile Male",123828.025025031,4006.14122319774,117639.23115223,120777.801272921,124370.505451764,125500.964920023,131946.958013331
"Cml Pop Growth","Juvenile Combined",151702.637924607,8394.82853759178,138760.697414058,145357.475104543,152749.908638943,155187.899635244,168719.601597975
"Cml Pop Growth","Adult Female",-112813.305830502,853.151859053389,-113969.193255604,-113321.682045411,-113020.705013189,-112495.181347651,-111106.951420139
"Cml Pop Growth","Adult Male",37074.3759173797,846.74964450518,35927.7303683533,36570.607781142,36866.411745397,37389.67316171,38768.5340129523
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",751706.372334352,24773.3584748469,710606.09791049,737173.420385821,748132.584820346,768355.165126929,793773.734704186
"Total Number Increase","Neonatal Female",102627.253223665,8304.13785657487,90719.9396839105,96017.8920037775,101204.037121641,110764.645643445,114045.801598498
"Total Number Increase","Neonatal Male",258212.095625572,8777.0369900382,245025.272287116,251699.651316845,256693.485217299,266128.06775028,270024.182680576
"Total Number Increase","Neonatal Combined",360839.348849237,17062.233436448,335745.211971026,347214.068257554,357897.52233894,376922.576823132,384069.984279073
"Total Number Increase","Juvenile Female",129639.018612608,4858.69361393767,122233.726505549,126056.843667978,130007.613545402,131634.834908583,139515.635941204
"Total Number Increase","Juvenile Male",123828.025025031,4006.14122319774,117639.23115223,120777.801272921,124370.505451764,125500.964920023,131946.958013331
"Total Number Increase","Juvenile Combined",253467.043637639,8862.24371291427,239872.957657779,246834.644940899,254378.118997166,257135.799828606,271462.593954535
"Total Number Increase","Adult Female",91473.048444439,910.911190324203,90252.1112167226,90935.5367825124,91229.5515171893,91814.1827431201,93295.6407746788
"Total Number Increase","Adult Male",45926.9314030374,886.205379193933,44735.8170649623,45403.2659377868,45694.3215556706,46257.9390630274,47700.5108740463
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",653414437.172232,33911879.1112015,611688928.273614,633192742.681863,643403283.9038,669976124.973869,709056175.382202
