"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",420744.377462926,42.7859912187161,420620.653091194,420716.673783683,420742.715003768,420772.296435409,420912.406898454
"Num Offtake","Neonatal Female",29691.2610222514,5.82086385230291,29674.4615459244,29687.4939954727,29691.0065447298,29695.0574949366,29714.0744576641
"Num Offtake","Neonatal Male",91045.6961376523,31.8675204081885,90954.4248003271,91025.2398594769,91044.2682240455,91066.8145797747,91168.791137159
"Num Offtake","Neonatal Combined",120736.957159904,37.6833273021844,120628.886346251,120712.662399673,120735.248941311,120761.824229513,120882.865594823
"Num Offtake","Juvenile Female",95655.1119257418,4.46410340471517,95640.5789219614,95652.1845545545,95655.074087389,95658.0848892905,95673.398163317
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",95655.1119257418,4.46410340471517,95640.5789219614,95652.1845545545,95655.074087389,95658.0848892905,95673.398163317
"Num Offtake","Adult Female",195777.836694632,0.558237256899597,195775.900331715,195777.473034287,195777.83771769,195778.194851113,195780.100709312
"Num Offtake","Adult Male",8574.47168264797,0.387378006251003,8573.12759862775,8574.21907066752,8574.47190072176,8574.71990831218,8576.04243100253
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-60349.7026733913,210.909689616622,-60985.4291608259,-60487.693362203,-60356.1897108562,-60208.4788750096,-59590.3593074912
"Cml Pop Growth","Neonatal Female",-32975.692047674,77.1980169804664,-33205.4721021602,-33027.656279535,-32975.4395939106,-32924.7095838059,-32685.8541043184
"Cml Pop Growth","Neonatal Male",67051.5707498324,65.0867330746886,66862.8466940913,67007.5912996733,67053.1337567865,67096.5690916798,67294.7309009707
"Cml Pop Growth","Neonatal Combined",34075.8787021583,141.756326468906,33660.078324808,33981.2128818014,34078.5613517041,34172.6590630016,34608.8767966523
"Cml Pop Growth","Juvenile Female",-32496.7606482586,39.5618373928295,-32608.5045481742,-32522.7072066784,-32497.8157799752,-32470.9269908594,-32347.1784242815
"Cml Pop Growth","Juvenile Male",84278.0487293492,36.366894031087,84175.8871246229,84254.5538554235,84277.2098437684,84302.1700656933,84414.2140395545
"Cml Pop Growth","Juvenile Combined",51781.2880810906,75.923007926052,51567.3825764487,51732.0873028787,51779.3614828948,51830.8327830342,52067.035615273
"Cml Pop Growth","Adult Female",-176738.559795714,7.58075391491301,-176762.940427613,-176743.51734739,-176738.597919767,-176733.483389564,-176707.565054736
"Cml Pop Growth","Adult Male",30531.6903390733,7.70797344628341,30506.8258005943,30526.6857332332,30531.6407017455,30536.8128290561,30563.222729986
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",360394.674789535,247.854386026602,359656.458249979,360236.11492464,360393.834157079,360559.306623151,361258.203202571
"Total Number Increase","Neonatal Female",-3284.4310254226,81.2114971666595,-3528.14864931782,-3337.80168367905,-3284.78493480021,-3230.26029865242,-2980.40507626489
"Total Number Increase","Neonatal Male",158097.266887485,87.0086955823165,157834.259901351,158040.45238548,158097.439573326,158154.138947483,158420.211281887
"Total Number Increase","Neonatal Combined",154812.835862062,168.052349436906,154306.111252034,154701.921228817,154812.174473384,154924.576916215,155439.806205622
