"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",9525071.63731365,4288.94111673252,9519159.05396258,9522362.28438883,9523901.82638966,9528999.83916429,9531130.99917872
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",158835.644151788,849.91472820354,157754.504894717,158255.692617383,158624.423273501,159667.310110965,160021.221845363
"Num Offtake","Juvenile Male",329217.006856473,1965.91125655316,326721.782846248,327873.113430175,328729.641579762,331138.364476969,331959.529400688
"Num Offtake","Juvenile Combined",488052.651008261,2815.82478103333,484476.287740965,486128.806047558,487354.064853262,490805.674587934,491980.751246051
"Num Offtake","Adult Female",4607844.41259054,986.53476820852,4606308.82145942,4607328.54581054,4607535.06572816,4608606.41969529,4609377.60696751
"Num Offtake","Adult Male",2226885.69958848,507.654292211817,2226095.12917018,2226621.18687509,2226726.22246657,2227277.22185462,2227675.53263593
"Num Offtake","Oxen",2202288.87412637,6.14131339557315,2202278.81559202,2202286.16216785,2202286.59538187,2202292.86826438,2202299.77335663
"Cml Pop Growth","Overall",-2408720.24871329,482022.478789506,-3182400.04723635,-2596329.35365755,-2474021.86218679,-2069350.09714918,-1627373.73444114
"Cml Pop Growth","Neonatal Female",887409.811264507,165964.916392338,594710.404799606,796891.806394066,881675.309727673,1003352.80955803,1143172.71927379
"Cml Pop Growth","Neonatal Male",1050804.17077908,165964.916392338,758104.764314174,960286.165908634,1045069.66924224,1166747.16907259,1306567.07878836
"Cml Pop Growth","Neonatal Combined",1938213.98204358,331929.832784676,1352815.16911378,1757177.9723027,1926744.97896991,2170099.97863062,2449739.79806215
"Cml Pop Growth","Juvenile Female",1528155.5010033,70415.3016197508,1425828.5605151,1495411.76275558,1517372.63446881,1577941.52915371,1646087.99819774
"Cml Pop Growth","Juvenile Male",1551747.4936858,69511.2169600985,1450458.69164414,1520009.49601959,1541195.49400815,1600602.33663627,1668357.92553746
"Cml Pop Growth","Juvenile Combined",3079902.9946891,139926.046346247,2876287.25215924,3015421.25877517,3058568.12847697,3178543.86578999,3314445.9237352
"Cml Pop Growth","Adult Female",-3240540.45800256,12942.0097752527,-3256597.30139731,-3249545.59501465,-3243665.52942765,-3228056.09060845,-3222473.35752947
"Cml Pop Growth","Adult Male",-2024764.45630342,13074.3626262941,-2041033.8422128,-2033841.3726558,-2027932.22963786,-2012131.13995543,-2006513.60431608
"Cml Pop Growth","Oxen",-2161532.31113999,239.406640796491,-2161904.15592106,-2161658.42042032,-2161606.77248698,-2161346.15987522,-2161162.06796972
"Total Number Increase","Overall",7116351.38860035,485535.367494318,6339728.40868726,6927084.85737517,7047467.54921973,7459994.12321708,7903137.53951875
"Total Number Increase","Neonatal Female",887409.811264507,165964.916392338,594710.404799606,796891.806394066,881675.309727673,1003352.80955803,1143172.71927379
"Total Number Increase","Neonatal Male",1050804.17077908,165964.916392338,758104.764314174,960286.165908634,1045069.66924224,1166747.16907259,1306567.07878836
"Total Number Increase","Neonatal Combined",1938213.98204358,331929.832784676,1352815.16911378,1757177.9723027,1926744.97896991,2170099.97863062,2449739.79806215
"Total Number Increase","Juvenile Female",1686991.14515509,71194.3174362285,1583816.74540308,1653336.37017127,1675997.05774231,1737608.83926468,1806054.50111522
"Total Number Increase","Juvenile Male",1880964.50054227,71313.0226239734,1777708.21100034,1847123.3249589,1869925.13558791,1931740.70111324,2000193.53765565
"Total Number Increase","Juvenile Combined",3567955.64569736,142507.314755348,3361524.95640342,3500459.69513016,3545922.19333023,3669349.54037792,3806248.03877087
"Total Number Increase","Adult Female",1367303.95458798,13898.7570912334,1349711.52006211,1357781.73087572,1363869.53630052,1380865.76435857,1386695.64199832
"Total Number Increase","Adult Male",202121.243285057,13566.3187510467,185061.286957384,192778.543407047,198793.992828703,215309.544878133,221053.238622224
"Total Number Increase","Oxen",40756.5629863774,245.436505327685,40374.6596709578,40627.9000886219,40679.7008546814,40946.3415384636,41137.7053869138
"Total Mortality","Overall",3869877.72099994,22578.5500232819,3840254.65333217,3854098.31555152,3865545.0565608,3888443.44318074,3905589.55566094
"Total Mortality","Neonatal Female",498458.578360351,9078.77493769349,485910.856295706,493081.799669912,496876.899345235,505455.896477273,513247.958019166
"Total Mortality","Neonatal Male",482932.417501501,9078.7749376935,470384.695436856,477555.638811061,481350.738486384,489929.735618422,497721.797160316
"Total Mortality","Neonatal Combined",981390.995861852,18157.549875387,956295.551732562,970637.438480973,978227.637831619,995385.632095695,1010969.75517948
"Total Mortality","Juvenile Female",412972.674794649,2209.7782933292,410161.712726264,411464.800805196,412423.500511102,415135.006288508,416055.176797943
"Total Mortality","Juvenile Male",366841.80764007,2190.58682873067,364061.415171534,365344.326393623,366298.743474592,368982.748988623,369897.761332195
"Total Mortality","Juvenile Combined",779814.482434719,4400.36289047342,774223.127897798,776809.127198819,778722.243985693,784117.755277131,785952.938130138
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",1060191.23523886,241.687586944244,1059814.8549745,1060065.30418618,1060115.31026126,1060377.63388296,1060567.26445058
"Total Mortality","Oxen",1048481.00746451,2.92379920352846,1048476.2187275,1048479.71633643,1048479.92258398,1048482.90902152,1048486.19644588
"Population Liveweight (kg)","Overall",13852132582.3208,702645491.230958,12804831070.3673,13393949265.1121,13928411599.6109,14504232458.0743,14650708116.7008
"Population Liveweight (kg)","Neonatal Female",434750767.528683,75940366.1088696,330983364.337277,389648174.138114,437937818.504139,451504440.900792,569519953.346634
"Population Liveweight (kg)","Neonatal Male",455692588.281269,98650898.6635925,349677830.80328,374449393.716318,446540510.777418,509590439.827952,665626278.219607
"Population Liveweight (kg)","Juvenile Female",1026549625.45295,156476584.187026,815487010.614222,891705488.725875,1033282736.1216,1157028748.05576,1237916061.69039
"Population Liveweight (kg)","Juvenile Male",1016216910.68499,248470980.082608,631053379.016309,864061052.712024,1058414197.05387,1175675318.81255,1363454628.62796
"Population Liveweight (kg)","Juvenile Combined",2042766536.13794,259109810.957336,1703054554.4083,1853000014.157,2076598949.55743,2168672704.94142,2550347014.51445
"Population Liveweight (kg)","Adult Female",3430981532.42178,451173661.4201,2703657118.27405,3210109888.50218,3338397307.02358,3660265125.32391,4334884213.54955
"Population Liveweight (kg)","Adult Male",3747343548.35105,692277073.889927,2622199896.7432,3245750946.47362,3945075634.70438,4202888421.67794,4764573586.86871
"Population Liveweight (kg)","Oxen",3740597609.60004,537986973.169673,2905643209.5319,3275435993.22753,3847149880.31312,4202691237.17016,4356562053.0221
"Offtake Liveweight (kg)","Overall",2332714480.00001,151767695.955398,2023438675.16022,2283011062.64362,2352344336.37834,2444650522.82075,2524681205.8256
"Offtake Liveweight (kg)","Juvenile Female",29770547.3031122,6188885.22697296,20874243.6190468,26032698.3207897,28262650.5804948,32975632.9168187,40574062.9591818
"Offtake Liveweight (kg)","Juvenile Male",57957005.1507626,16588970.4802626,37845153.5894092,44891800.6150648,55853693.8815423,68244086.2727886,88109132.3513036
"Offtake Liveweight (kg)","Adult Female",1117354601.35953,130703394.295144,915339768.685435,1050986692.76825,1112853863.05514,1228066860.65717,1293378871.20441
"Offtake Liveweight (kg)","Adult Male",553881952.78027,77503733.9989937,473180667.767876,496180113.214604,543399466.96057,590708170.524939,717907136.044153
"Offtake Liveweight (kg)","Oxen",573750373.406338,109853046.019062,449787055.286309,497280803.862599,535508861.754539,648622195.578984,782345783.840816
"Meat (kg)","Overall",7849225295.37955,190365059.249506,7598724039.73561,7732470669.05933,7817572015.08962,7973694766.29289,8133307530.77518
"Manure","Overall",36587628338.607,936756132.520676,35567902810.8871,35729038791.8334,36432891931.6357,37173563512.0041,38282943288.3674
"Manure","Neonatal Female",1147020853.87447,30205836.8615243,1100478086.62803,1129739767.89947,1154098248.28665,1167029336.6688,1195022673.92863
"Manure","Neonatal Male",1094918025.08269,28517083.3771106,1055078013.45534,1077152376.19924,1094490410.39057,1104375540.99535,1144250413.88039
"Manure","Neonatal Combined",2241938878.95716,50247327.4875763,2160115924.92285,2221513125.03169,2241456341.18989,2279791213.11449,2313040534.05679
"Manure","Juvenile Female",2277064788.32206,88348504.3399304,2134124345.23637,2202819680.28573,2283349887.87326,2355841157.3531,2386787250.39601
"Manure","Juvenile Male",1994999541.28389,61956625.2436179,1913981221.3994,1957684356.49651,1975672847.72357,2027905941.02622,2128724891.12832
"Manure","Juvenile Combined",4272064329.60595,113588804.662076,4091348389.73616,4210284927.62436,4269221335.8693,4349508889.20156,4436788215.6724
"Manure","Adult Female",10539629239.382,434710297.277665,9944597425.55641,10307294724.3904,10337963839.0344,10705675691.4237,11416507869.4376
"Manure","Adult Male",9860781134.356,516951799.623181,9160038233.46781,9476240415.42268,9660784617.17598,10410223724.7689,10532088573.3485
"Manure","Oxen",9673214756.30588,591452427.848486,9023759307.24377,9346151545.97605,9701320364.7607,9720339699.72581,11075715032.8977
"Hides","Overall",1444243.36256905,2319.21419055306,1441257.1007999,1442676.78901979,1443658.70936459,1446501.91010075,1447476.46808964
"Hides","Juvenile Female",206486.337397324,1104.8891466646,205080.856363132,205732.400402598,206211.750255551,207567.503144254,208027.588398972
"Hides","Juvenile Male",183420.903820035,1095.29341436533,182030.707585767,182672.163196812,183149.371737296,184491.374494311,184948.880666098
"Hides","Juvenile Combined",389907.241217359,2200.18144523671,387111.563948899,388404.563599409,389361.121992847,392058.877638565,392976.469065069
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",530095.617619432,120.843793472122,529907.42748725,530032.652093091,530057.655130629,530188.81694148,530283.632225292
"Hides","Oxen",524240.503732255,1.46189960176423,524238.109363752,524239.858168217,524239.961291989,524241.45451076,524243.098222938
"Milk","Overall",8899628518.50751,1643092284.42443,6111212397.50953,8036730304.78712,8642038552.49513,9865940184.02615,12164608547.072
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",129985271962.474,3523384724.74897,124001736226.629,127827272547.932,130228784129.934,132505911282.753,135630650875.748
"Cml Dry Matter","Neonatal Female",3677685639.00429,289265701.278927,3214684558.00989,3483951374.22425,3625398498.28971,3870488426.75803,4126225742.20002
"Cml Dry Matter","Neonatal Male",3845623025.4749,271671316.409987,3269179469.01612,3791852729.33215,3881972866.13838,4016733175.69768,4218969612.88034
"Cml Dry Matter","Neonatal Combined",7523308664.4792,353677964.230314,7057507932.33165,7310025836.31175,7400542497.96236,7836068791.43104,8119284794.86697
"Cml Dry Matter","Juvenile Female",8459079463.4583,375743693.96697,7747085201.43244,8186536368.61863,8578930529.7612,8752350778.52997,8861820988.62844
"Cml Dry Matter","Juvenile Male",8493860418.30092,653984147.256089,7520566173.36343,8194263295.749,8412882185.29476,8886242474.18018,9481529074.50984
"Cml Dry Matter","Juvenile Combined",16952939881.7592,721371613.244602,15267651374.7959,16657907064.557,17217175731.0881,17439943515.0096,17625355006.8514
"Cml Dry Matter","Adult Female",34032723000.0572,1243807159.89078,32090162311.3033,33204345761.2712,34036221730.5221,34809160629.7915,36307834552.8618
"Cml Dry Matter","Adult Male",35800349473.275,1758940555.80792,33066397129.5647,35059820034.8433,35651579748.0875,37355444759.1973,38128108694.3799
"Cml Dry Matter","Oxen",35675950942.9035,2449458161.28684,31066668922.7524,34282776400.8816,35925086818.6966,37147221172.5657,39347790876.1879
"Value of Offtake","Overall",239911190599.034,30766481820.2283,191542420808.165,220466417201.703,236372168783.867,264576692789.18,287494564374.113
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",1741067021.94664,605812291.405686,829424861.217194,1440689488.2336,1723702167.06971,1972638829.36386,3057121820.55612
"Value of Offtake","Juvenile Male",5415704713.16796,1250565582.28517,3683936560.57154,4672922585.00734,5000445067.23108,6624953390.21104,7226461248.22475
"Value of Offtake","Juvenile Combined",7156771735.1146,1277090253.62783,5055988541.76162,6475638181.06482,7110693267.12722,8059368729.83938,8952082364.3639
"Value of Offtake","Adult Female",85362965939.5051,11890596158.4103,60200818853.9213,80896699086.546,83593680678.9307,94124929750.5931,101071516396.784
"Value of Offtake","Adult Male",70623814158.5584,17806275232.0666,35710621242.0804,58295005096.9748,75375891016.1387,83469486762.1145,90415660752.3085
"Value of Offtake","Oxen",76767638765.8558,15301064487.4469,45978720363.9462,68192821308.5735,76817677045.256,90178154489.7816,94591486315.8395
"Value of draught","Overall",152976522204.573,644521.01158358,152975480407.273,152976233901.914,152976295315.876,152976956112.029,152977621700.792
"Value of Herd Increase","Overall",-136419428275.347,22856967767.5979,-170659005058.042,-149032108253.522,-134311776168.446,-123377449367.842,-105335213138.53
"Value of Herd Increase","Neonatal Female",5515070881.68647,1804302933.12016,3740883664.13206,4127380106.48967,5073930578.44739,6280692048.6142,8828478618.88687
"Value of Herd Increase","Neonatal Male",12713468489.283,4482095581.66087,6961069264.32999,8848694591.10861,12225812819.2206,16863491294.5574,19351114762.0699
"Value of Herd Increase","Neonatal Combined",18228539370.9695,5489365004.35784,11251066117.3667,15004263598.2483,17300208286.7382,20798838011.0532,27227182935.1561
"Value of Herd Increase","Juvenile Female",22110516969.5552,5328523267.29569,11137474363.7551,20561314876.5194,21911744841.5537,23350638128.3196,32894110576.3745
"Value of Herd Increase","Juvenile Male",25637303253.01,4319281814.35808,20279057205.9836,22455979309.7161,25232993562.8327,27530397799.0327,34884491976.6152
"Value of Herd Increase","Juvenile Combined",47747820222.5652,7454501403.21109,31416531569.7387,44903900814.4527,49027380798.876,52151671102.1545,58330253164.9534
"Value of Herd Increase","Adult Female",-55466650148.9645,12903270643.2897,-75456861322.3188,-64572788464.1324,-52885455704.1978,-44816420411.8471,-40569545316.1889
"Value of Herd Increase","Adult Male",-65408129198.8829,15500869276.5326,-84523411530.3721,-77124949479.4455,-69723310279.8247,-50036068953.3183,-45117611708.9569
"Value of Herd Increase","Oxen",-81521008521.0343,11291957327.8791,-96618786538.6377,-93115756175.8218,-79338464266.7091,-72180059152.8705,-67897426848.0978
"Value of Herd Increase plus Offtake","Overall",103491762323.687,30440993609.8807,63336880502.8359,84421263442.7847,97292860686.7275,116597676376.276,165161295491.215
"Value of Herd Increase plus Offtake","Neonatal Female",5515070881.68647,1804302933.12016,3740883664.13206,4127380106.48967,5073930578.44739,6280692048.6142,8828478618.88687
"Value of Herd Increase plus Offtake","Neonatal Male",12713468489.283,4482095581.66087,6961069264.32999,8848694591.10861,12225812819.2206,16863491294.5574,19351114762.0699
"Value of Herd Increase plus Offtake","Neonatal Combined",18228539370.9695,5489365004.35784,11251066117.3667,15004263598.2483,17300208286.7382,20798838011.0532,27227182935.1561
"Value of Herd Increase plus Offtake","Juvenile Female",23851583991.5019,5545529560.36104,11966899224.9723,22856077169.6948,23427945091.4978,24949805221.3791,34882505364.8406
"Value of Herd Increase plus Offtake","Juvenile Male",31053007966.1779,4835844646.83113,24505620886.528,27674859124.5716,30577686824.2328,32944657538.0942,40488271321.9685
"Value of Herd Increase plus Offtake","Juvenile Combined",54904591957.6798,7864458241.65494,36472520111.5003,52983741938.608,55892045011.743,59211502209.1576,65315572506.5225
"Value of Herd Increase plus Offtake","Adult Female",29896315790.5406,11820115144.2359,9907987594.6804,21587835792.4272,31251848213.1782,38014327004.6681,46764974417.6454
"Value of Herd Increase plus Offtake","Adult Male",5215684959.6755,13383042521.0214,-15559440834.1058,-2657930984.00167,3921740481.67564,15911811329.4291,26215117639.5836
"Value of Herd Increase plus Offtake","Oxen",-4753369755.17847,13521772037.0272,-31769941828.563,-8429171147.02791,-5227842653.80779,-1761671095.14289,23643918947.0264
"Value of Manure","Overall",18293814169.3035,468378066.260338,17783951405.4435,17864519395.9167,18216445965.8178,18586781756.0021,19141471644.1837
"Value of Manure","Neonatal Female",573510426.937236,15102918.4307622,550239043.314015,564869883.949736,577049124.143326,583514668.334399,597511336.964317
"Value of Manure","Neonatal Male",547459012.541343,14258541.6885553,527539006.727671,538576188.099622,547245205.195286,552187770.497674,572125206.940193
"Value of Manure","Neonatal Combined",1120969439.47858,25123663.7437881,1080057962.46142,1110756562.51585,1120728170.59494,1139895606.55725,1156520267.02839
"Value of Manure","Juvenile Female",1138532394.16103,44174252.1699652,1067062172.61819,1101409840.14287,1141674943.93663,1177920578.67655,1193393625.198
"Value of Manure","Juvenile Male",997499770.641943,30978312.621809,956990610.699698,978842178.248253,987836423.861785,1013952970.51311,1064362445.56416
"Value of Manure","Juvenile Combined",2136032164.80298,56794402.3310378,2045674194.86808,2105142463.81218,2134610667.93465,2174754444.60078,2218394107.8362
"Value of Manure","Adult Female",5269814619.69102,217355148.638832,4972298712.77821,5153647362.1952,5168981919.51719,5352837845.71185,5708253934.71881
"Value of Manure","Adult Male",4930390567.178,258475899.811591,4580019116.7339,4738120207.71134,4830392308.58799,5205111862.38444,5266044286.67423
"Value of Manure","Oxen",4836607378.15294,295726213.924243,4511879653.62189,4673075772.98803,4850660182.38035,4860169849.86291,5537857516.44886
"Value of Hides","Overall",81325532.5749209,158369.445110022,81120263.5574303,81219168.0710066,81285308.824608,81478958.5387018,81546230.2210278
