"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",9325841.53229485,19.8767845664958,9325808.62480427,9325830.85941823,9325839.04237579,9325853.62265543,9325876.45066716
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",155618.943346121,3.96184101039777,155612.785281845,155616.373117748,155618.651587851,155621.589235578,155625.806826541
"Num Offtake","Juvenile Male",320463.241524946,9.16436522906153,320449.023427544,320457.260507621,320462.599190349,320469.374839788,320479.10975994
"Num Offtake","Juvenile Combined",476082.184871067,13.1261950727383,476061.808709389,476073.633625369,476081.250778199,476090.964075366,476104.916586481
"Num Offtake","Adult Female",4421781.88158101,4.57110872294052,4421773.68767222,4421779.29701329,4421781.13281626,4421784.36165726,4421789.8494646
"Num Offtake","Adult Male",2225691.63037551,2.38926621492776,2225687.34626354,2225690.29664786,2225691.24538376,2225692.92078713,2225695.79690721
"Num Offtake","Oxen",2202285.83546726,0.030723219531758,2202285.78215912,2202285.82508241,2202285.83851193,2202285.84942852,2202285.88770888
"Cml Pop Growth","Overall",-7934060.31485601,2154.10802227177,-7937539.14223811,-7935347.29128231,-7933993.85310463,-7932736.89357157,-7930724.16722406
"Cml Pop Growth","Neonatal Female",-745413.173852346,770.122189175767,-746657.418365603,-746051.832577406,-745308.456260174,-744984.72784883,-744141.026149082
"Cml Pop Growth","Neonatal Male",-582018.814337778,770.122189175876,-583263.058851035,-582657.473062838,-581914.096745606,-581590.36833426,-580746.666634514
"Cml Pop Growth","Neonatal Combined",-1327431.98819012,1540.24437835164,-1329920.47721664,-1328709.30564024,-1327222.55300578,-1326575.09618309,-1324887.6927836
"Cml Pop Growth","Juvenile Female",1059945.33415227,339.853174957336,1059478.51165042,1059710.09175257,1059928.62200138,1060167.80728565,1060508.61622616
"Cml Pop Growth","Juvenile Male",1051858.73933679,335.647716145433,1051396.89150507,1051629.2722584,1051841.53432203,1052079.200044,1052414.06346078
"Cml Pop Growth","Juvenile Combined",2111804.07348907,675.4980724951,2110875.40315549,2111339.36401097,2111770.15632341,2112247.00732966,2112922.67968694
"Cml Pop Growth","Adult Female",-4471375.77280187,59.1396062882585,-4471465.3151611,-4471417.24759216,-4471377.26025287,-4471335.15781752,-4471274.11236885
"Cml Pop Growth","Adult Male",-2084944.74594486,61.0335250373334,-2085037.8845721,-2084986.63468092,-2084947.12672447,-2084903.14784959,-2084839.58954976
"Cml Pop Growth","Oxen",-2162111.88140821,1.12534358442218,-2162113.89821032,-2162112.52360332,-2162112.06794764,-2162111.2688414,-2162109.92054392
"Total Number Increase","Overall",1391781.21743884,2165.91986589445,1388291.64268458,1390499.96515544,1391840.71940444,1393104.4243971,1395129.78044472
"Total Number Increase","Neonatal Female",-745413.173852346,770.122189175767,-746657.418365603,-746051.832577406,-745308.456260174,-744984.72784883,-744141.026149082
"Total Number Increase","Neonatal Male",-582018.814337778,770.122189175876,-583263.058851035,-582657.473062838,-581914.096745606,-581590.36833426,-580746.666634514
"Total Number Increase","Neonatal Combined",-1327431.98819012,1540.24437835164,-1329920.47721664,-1328709.30564024,-1327222.55300578,-1326575.09618309,-1324887.6927836
"Total Number Increase","Juvenile Female",1215564.27749839,343.390124474124,1215093.36780728,1215323.98763256,1215547.88435563,1215788.33684872,1216134.4230527
"Total Number Increase","Juvenile Male",1372321.98086174,343.829840635325,1371850.65457804,1372080.85359805,1372305.52849116,1372546.13015045,1372893.17322072
"Total Number Increase","Juvenile Combined",2587886.25836013,687.219843232874,2586944.02238532,2587404.84123061,2587853.41284679,2588334.46699916,2589027.59627342
"Total Number Increase","Adult Female",-49593.8912208576,63.4417139349769,-49691.6274888739,-49636.2186636708,-49597.4910975564,-49551.0962254244,-49484.2629042584
"Total Number Increase","Adult Male",140746.884430646,63.2809596811617,140649.461691443,140704.5719164,140743.380454861,140789.607743143,140856.20735745
"Total Number Increase","Oxen",40173.9540590441,1.15467389418482,40171.883948802,40173.3049729634,40173.7663193126,40174.5792353984,40175.9671649537
"Total Mortality","Overall",4307481.15649309,86.7737581855099,4307366.17260691,4307409.38966357,4307478.55187977,4307534.14019903,4307629.46746666
"Total Mortality","Neonatal Female",399967.399993043,42.3678642391624,399910.801894272,399933.336491388,399966.236977275,399993.702104479,400039.276366981
"Total Mortality","Neonatal Male",384441.239134193,42.3678642391827,384384.641035421,384407.175632538,384440.076118424,384467.541245628,384513.115508131
"Total Mortality","Neonatal Combined",784408.639127236,84.7357284783373,784295.442929693,784340.512123926,784406.313095699,784461.243350107,784552.391875112
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",1414970.20210592,1.46275479139113,1414967.58005511,1414969.37504425,1414969.9625012,1414970.99573032,1414972.75182867
"Total Mortality","Adult Male",1059622.75446138,1.13749848051086,1059620.71485155,1059622.11949105,1059622.57117183,1059623.36880952,1059624.73809278
"Total Mortality","Oxen",1048479.56079854,0.0146269240788453,1048479.53541923,1048479.55585445,1048479.56224807,1048479.56744532,1048479.5856701
"Population Liveweight (kg)","Overall",13148105895.2591,1107068394.42224,11708181944.9632,12141533057.7137,13277992977.0836,13664358426.7131,15111452713.3695
"Population Liveweight (kg)","Neonatal Female",268164355.727376,43218378.0790923,209392506.111946,234079622.352645,268668980.06254,290815228.678789,330399815.823637
"Population Liveweight (kg)","Neonatal Male",314790678.112462,95661645.336579,173190518.206468,237722171.07013,328437220.406646,379149225.892811,430185665.513865
"Population Liveweight (kg)","Juvenile Female",1017317200.78554,239015707.420943,663941170.933527,912862845.001062,1012582362.62924,1081441225.03043,1423795390.18368
"Population Liveweight (kg)","Juvenile Male",932857819.28267,158101923.206535,655601237.108592,846140316.739419,953810633.672398,1032738436.91022,1155605165.22734
"Population Liveweight (kg)","Juvenile Combined",1950175020.06821,350115469.976349,1358580661.62882,1755243329.60406,1948486822.54657,2114384323.20774,2477422102.63795
"Population Liveweight (kg)","Adult Female",2979099424.00536,344950668.200609,2498838892.87498,2678597856.62125,3013598836.80282,3235502332.71091,3561840086.59579
"Population Liveweight (kg)","Adult Male",3774317964.83889,602163711.224942,2905655708.39248,3355848110.65277,3704663599.47804,4327738971.99015,4560502147.97659
"Population Liveweight (kg)","Oxen",3861558452.50676,619578229.273363,2710469609.42119,3429773811.29472,4079188045.23318,4228270157.00633,4680853491.38623
"Offtake Liveweight (kg)","Overall",2426854091.89612,151428412.391017,2185270048.13877,2352882229.44038,2452046380.41696,2521445482.28356,2629279747.4879
"Offtake Liveweight (kg)","Juvenile Female",27597074.4754562,6184132.73443215,17805513.6771665,23987188.9835313,26928811.6950754,31717904.4179974,37657039.0221323
"Offtake Liveweight (kg)","Juvenile Male",67898369.6110525,12305283.672426,48120831.3424777,63387874.9743501,66087720.7080001,74364797.3687946,88407780.9455403
"Offtake Liveweight (kg)","Adult Female",1021467660.5155,152969692.213437,824942706.229537,923000199.575282,972716203.416076,1114630902.8128,1267114530.4
"Offtake Liveweight (kg)","Adult Male",678224698.088244,103397881.12066,494731145.412782,641987102.843208,694034080.137433,743540268.63293,832794860.417266
"Offtake Liveweight (kg)","Oxen",631666289.20587,112999886.475969,439576112.399366,591592810.890331,672323939.494947,700618984.753127,779818326.131838
"Meat (kg)","Overall",7918327221.56058,193620488.860997,7670038595.51901,7773457839.92977,7848111754.55706,8095551088.85285,8183264943.90831
"Manure","Overall",34770313185.13,939222406.415672,33462707847.2276,34152820351.637,34749617194.6428,35251703716.7547,36738820582.582
"Manure","Neonatal Female",867231527.006722,14355297.2207066,845546465.486375,856538875.349919,867160037.230014,875098361.654096,891374031.58162
"Manure","Neonatal Male",841009511.210038,14659515.241659,814303983.396479,832630134.935767,842193816.418916,852065738.404033,859126394.844002
"Manure","Neonatal Combined",1708241038.21676,22162258.9713094,1679350809.54447,1698408363.55729,1702418661.14234,1723695383.79233,1741204925.02786
"Manure","Juvenile Female",2186712331.36286,57995655.8313348,2120951932.8429,2147328524.56322,2186591811.98056,2193445120.96379,2318329170.11297
"Manure","Juvenile Male",1938125324.59229,72164037.5225781,1830330166.08413,1886781386.51968,1942066981.78688,1974933447.4057,2078673124.82402
"Manure","Juvenile Combined",4124837655.95515,94232471.6306136,3972155639.86684,4057494573.47466,4129905474.83608,4167618628.65762,4273599273.18727
