"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1200385.18476584,54.3171549713984,1200213.63731369,1200348.19094673,1200385.42400666,1200422.61090536,1200562.63912475
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",26910.3231001603,10.1203624018076,26877.5752430292,26903.4075718074,26910.361244525,26917.764793141,26939.7459379015
"Num Offtake","Juvenile Male",58267.110255485,25.3056145145419,58176.9134449872,58249.1765745199,58266.9235656933,58283.9642229662,58351.6165406571
"Num Offtake","Juvenile Combined",85177.4333556453,27.5968275628162,85095.2129294687,85156.9627275558,85177.1774477429,85196.0417791783,85270.4483489593
"Num Offtake","Adult Female",137095.270265675,2.02658510176923,137089.692855918,137093.8334875,137095.217728729,137096.767115747,137102.230425454
"Num Offtake","Adult Male",978112.481144521,27.7938561468122,978020.658268104,978094.274592674,978112.154040673,978132.265290702,978204.201144451
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",145005.865930843,4130.60387834359,132696.378052741,142216.13640779,145109.181655037,147795.292968221,159129.106624503
"Cml Pop Growth","Neonatal Female",-232012.865336207,1834.51657124979,-237811.671633316,-233226.858366111,-232034.007654859,-230863.283617319,-225738.00181417
"Cml Pop Growth","Neonatal Male",-164207.233035724,1901.94733180305,-170016.071520399,-165536.787077807,-164149.175170244,-162905.25070213,-158658.427965836
"Cml Pop Growth","Neonatal Combined",-396220.098371931,2729.99095568212,-405172.436315855,-398064.773658487,-396159.527603451,-394392.993208254,-386825.064408513
"Cml Pop Growth","Juvenile Female",577511.296688228,1152.70532705047,572681.946610491,576736.196814405,577473.992075043,578311.647543123,580815.957039821
"Cml Pop Growth","Juvenile Male",712711.095371154,1041.09581585837,709392.718017462,711968.480187333,712711.903916614,713408.614430225,716882.427126375
"Cml Pop Growth","Juvenile Combined",1290222.39205938,1583.32567518639,1285830.73791756,1289161.22950877,1290209.10654214,1291242.33305326,1295141.44044828
"Cml Pop Growth","Adult Female",-256443.198741127,239.959135362246,-257225.600827311,-256606.339054129,-256442.331016949,-256263.267786965,-255754.802213877
"Cml Pop Growth","Adult Male",-492553.22901548,184.320571552515,-493213.046226544,-492685.227519974,-492554.74100243,-492431.133559718,-491922.899667986
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1345391.05069669,4162.1836605158,1333031.13389328,1342572.79735848,1345464.40201985,1348200.9334521,1359599.8213361
"Total Number Increase","Neonatal Female",-232012.865336207,1834.51657124979,-237811.671633316,-233226.858366111,-232034.007654859,-230863.283617319,-225738.00181417
"Total Number Increase","Neonatal Male",-164207.233035724,1901.94733180305,-170016.071520399,-165536.787077807,-164149.175170244,-162905.25070213,-158658.427965836
"Total Number Increase","Neonatal Combined",-396220.098371931,2729.99095568212,-405172.436315855,-398064.773658487,-396159.527603451,-394392.993208254,-386825.064408513
"Total Number Increase","Juvenile Female",604421.619788389,1161.51081048639,599559.52185352,603643.664843237,604387.544009469,605230.61488332,607745.084917457
"Total Number Increase","Juvenile Male",770978.205626639,1063.61387466969,767569.631462449,770219.041245696,770980.454629685,771686.022846102,775234.043667032
"Total Number Increase","Juvenile Combined",1375399.82541503,1605.63722462092,1370970.70189927,1374326.69336113,1375385.46116529,1376433.95860676,1380387.9081816
"Total Number Increase","Adult Female",-119347.928475452,241.879758086875,-120135.685464568,-119512.154833923,-119347.551155961,-119167.615376515,-118652.571788422
"Total Number Increase","Adult Male",485559.252129042,210.880120954508,484807.61204156,485409.804787665,485557.696380777,485699.701858052,486263.471172143
"Total Number Increase","Oxen",0,0,0,0,0,0,0
