"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1204824.75729729,43.0834733804325,1204755.10004407,1204804.90727408,1204835.59864376,1204837.59943476,1204912.83896645
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",27289.038200529,6.10607648583004,27278.5290874128,27285.0632443506,27289.9968668122,27292.7107438455,27298.6848938863
"Num Offtake","Juvenile Male",59346.2424856791,16.6723068388555,59317.778863619,59341.8025881674,59347.5829200205,59351.8127784397,59381.4416747066
"Num Offtake","Juvenile Combined",86635.2806862081,20.5451441284781,86600.5125044687,86628.9625058094,86638.7176421904,86644.1164942146,86673.5777621424
"Num Offtake","Adult Female",139211.618142526,1.10588904351476,139209.955678225,139210.78256127,139211.653540622,139212.407696918,139213.503883396
"Num Offtake","Adult Male",978977.858468555,22.5782467217543,978943.714411287,978964.536116807,978979.443369084,978987.019268514,979027.114404916
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",684968.106195928,1946.74786266145,681456.732901223,684091.531441586,685389.711333196,686207.334325765,687684.94015306
"Cml Pop Growth","Neonatal Female",-98046.7562286138,435.252406677082,-98705.8909448169,-98332.7513388,-98140.9412108606,-97733.0040162613,-97355.7011767172
"Cml Pop Growth","Neonatal Male",-34851.6724407067,435.252406677035,-35510.8071569093,-35137.6675508931,-34945.8574229538,-34537.920228354,-34160.61738881
"Cml Pop Growth","Neonatal Combined",-132898.428669321,870.504813354117,-134216.698101726,-133470.418889693,-133086.798633814,-132270.924244615,-131516.318565527
"Cml Pop Growth","Juvenile Female",636806.338223145,720.720024565355,635577.761073826,636458.47965939,637060.990676916,637307.369402101,637515.022999163
"Cml Pop Growth","Juvenile Male",769381.958959601,406.898301005282,768773.881646212,769140.248989752,769388.442208595,769571.824739038,770071.69779453
"Cml Pop Growth","Juvenile Combined",1406188.29718275,1048.39462871515,1404351.64272004,1405835.29828473,1406428.47279916,1406781.26902447,1407546.41106081
"Cml Pop Growth","Adult Female",-103546.289613481,146.701901290812,-103799.633753999,-103640.762149933,-103521.391192706,-103458.922803843,-103315.766239122
"Cml Pop Growth","Adult Male",-484775.472704016,116.839793570626,-484978.513302942,-484799.144740216,-484765.887884402,-484737.859935356,-484531.419656553
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1889792.86349322,1985.10490785021,1886211.8329453,1888902.72334615,1890218.03054008,1891044.28441983,1892597.77911951
"Total Number Increase","Neonatal Female",-98046.7562286138,435.252406677082,-98705.8909448169,-98332.7513388,-98140.9412108606,-97733.0040162613,-97355.7011767172
"Total Number Increase","Neonatal Male",-34851.6724407067,435.252406677035,-35510.8071569093,-35137.6675508931,-34945.8574229538,-34537.920228354,-34160.61738881
"Total Number Increase","Neonatal Combined",-132898.428669321,870.504813354117,-134216.698101726,-133470.418889693,-133086.798633814,-132270.924244615,-131516.318565527
"Total Number Increase","Juvenile Female",664095.376423674,725.930980032207,662860.494714676,663745.639577032,664350.819876774,664597.034222749,664813.707893049
"Total Number Increase","Juvenile Male",828728.20144528,421.025807607411,828091.660509831,828490.454496911,828735.304483098,828916.31956963,829453.139469236
"Total Number Increase","Juvenile Combined",1492823.57786895,1068.1927060858,1490952.15522451,1492465.08127856,1493065.54946531,1493425.06227508,1494219.98882295
"Total Number Increase","Adult Female",35665.3285290459,147.754280129631,35410.3219242261,35569.9876399931,35690.0618735756,35753.4831528458,35897.7376442741
"Total Number Increase","Adult Male",494202.385764539,138.927973543939,493965.201108345,494165.391376591,494213.555484682,494248.80172688,494495.694748363
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",507164.602681663,991.732171325554,505891.255960939,506421.123705906,507035.2268139,507621.883319214,508716.619685838
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",143553.627521553,729.748686110411,142624.544271414,143085.619691089,143434.266169105,143969.586398985,144714.447597125
"Total Mortality","Juvenile Male",103399.653011273,356.644484275042,102627.805193895,103306.718559097,103415.570517963,103542.884863369,103898.746837244
"Total Mortality","Juvenile Combined",246953.280532827,993.089318270687,245678.929394549,246206.735224103,246822.589123055,247411.674202777,248508.408134388
"Total Mortality","Adult Female",259861.687199383,2.0643262145622,259858.583932687,259860.127447703,259861.753275828,259863.161034247,259865.207249005
"Total Mortality","Adult Male",349.634949453055,0.00806365954348086,349.622755146888,349.630191470288,349.635515488959,349.638221167327,349.652540858899
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",8036235969.51375,14369865.4631835,8014459865.082,8026671440.34233,8034735932.52038,8041999560.74891,8058483307.4293
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",1694379642.07946,8613305.97441067,1683413567.78365,1688855692.91869,1692970806.58619,1699289251.5824,1708080932.23926
"Value of Total Mortality","Juvenile Male",2124855461.14577,7329018.59947941,2108994043.79894,2122945664.81199,2125182564.76781,2127798865.44427,2135111803.51109
"Value of Total Mortality","Juvenile Combined",3819235103.22523,14390853.087005,3797442582.55687,3809635631.91316,3817713764.01475,3825016744.67412,3841505264.38696
"Value of Total Mortality","Adult Female",4208355408.64799,33430.9319849266,4208305152.49317,4208330149.09747,4208356478.72942,4208379276.81028,4208412414.43452
"Value of Total Mortality","Adult Male",8645457.6405327,199.390899336413,8645156.11072972,8645339.98942679,8645471.63695792,8645538.54053194,8645892.624948
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
