"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1202551.93209558,55.8815139731339,1202370.65979432,1202517.04191741,1202550.58614421,1202589.59563524,1202713.23981232
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",26928.2938755365,9.77589991755109,26892.8274267167,26921.4911940171,26928.4556588618,26935.1357960029,26957.7869982855
"Num Offtake","Juvenile Male",58320.2253124392,26.2944603199213,58236.9367475278,58302.9824183289,58320.6116993387,58337.9163438556,58391.9953969738
"Num Offtake","Juvenile Combined",85248.5191879757,27.7882356980056,85145.416481466,85231.0763920034,85248.1394049872,85267.3173128385,85327.7569850179
"Num Offtake","Adult Female",139157.00673743,1.97330042790123,139150.476393744,139155.624373743,139157.074037135,139158.352856864,139163.430060862
"Num Offtake","Adult Male",978146.406170171,29.2119984056162,978049.543953745,978127.461571726,978146.752007929,978166.32092322,978226.894460614
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",328796.912002539,4097.47048605386,314342.872568689,326151.036744612,328722.765076833,331614.345473072,342313.064761199
"Cml Pop Growth","Neonatal Female",-216636.336835599,1947.32608534123,-223099.060182439,-217791.790618836,-216622.362612166,-215292.049485932,-210791.876996367
"Cml Pop Growth","Neonatal Male",-148870.096676907,1912.86926972199,-154392.64364927,-150195.810230365,-148816.080760648,-147605.112424514,-143213.323084719
"Cml Pop Growth","Neonatal Combined",-365506.433512507,2742.6360998217,-373352.465963323,-367328.651628042,-365529.692968489,-363693.018927943,-357308.820384637
"Cml Pop Growth","Juvenile Female",581771.4119314,1134.03318597479,578026.03202741,581010.529202009,581802.153838019,582531.622362651,585180.725751761
"Cml Pop Growth","Juvenile Male",716933.108846351,1050.48052610169,713757.586647519,716212.357112632,716921.574421532,717650.707632734,720036.656390274
"Cml Pop Growth","Juvenile Combined",1298704.52077775,1534.39485408381,1292875.08248782,1297673.17186638,1298725.91399213,1299759.7902672,1303863.98571695
"Cml Pop Growth","Adult Female",-112256.646696192,233.844714493843,-113106.447754552,-112421.501721476,-112253.446645613,-112092.784537835,-111555.57471973
"Cml Pop Growth","Adult Male",-492144.528566511,191.07379385156,-492741.737724347,-492268.950095473,-492140.643335397,-492016.639636028,-491623.174252333
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1531348.84409812,4127.82698696719,1516713.53236301,1528659.26382668,1531268.73277816,1534190.5422318,1544984.77388688
"Total Number Increase","Neonatal Female",-216636.336835599,1947.32608534123,-223099.060182439,-217791.790618836,-216622.362612166,-215292.049485932,-210791.876996367
"Total Number Increase","Neonatal Male",-148870.096676907,1912.86926972199,-154392.64364927,-150195.810230365,-148816.080760648,-147605.112424514,-143213.323084719
"Total Number Increase","Neonatal Combined",-365506.433512507,2742.6360998217,-373352.465963323,-367328.651628042,-365529.692968489,-363693.018927943,-357308.820384637
"Total Number Increase","Juvenile Female",608699.705806936,1142.47918256731,604918.859454127,607934.817272936,608723.259303349,609464.246761376,612132.846943359
"Total Number Increase","Juvenile Male",775253.33415879,1073.65018616155,771998.337814098,774518.614957529,775232.922674331,775982.050913127,778406.957674957
"Total Number Increase","Juvenile Combined",1383953.03996573,1556.20823657438,1378020.49896928,1382899.25796787,1383976.25543587,1385021.24037756,1389176.40955215
"Total Number Increase","Adult Female",26900.3600412375,235.710375557875,26044.0286391928,26735.2404065481,26903.5861849986,27065.5914882106,27607.8553411317
"Total Number Increase","Adult Male",486001.87760366,219.120502666039,485307.806229398,485858.186819407,486005.09749449,486149.302865464,486599.961641448
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",865426.473484736,3955.54422355427,852766.616019642,862682.8689578,865254.186591139,868072.991539748,879102.193556422
"Total Mortality","Neonatal Female",184969.50313187,2864.36183942095,176333.690665359,183001.87937221,184867.948973557,186790.330164864,194125.646028825
"Total Mortality","Neonatal Male",177199.292992248,2813.89671522499,169388.079170732,175320.892376981,177171.337618955,179128.417924255,186502.977777011
"Total Mortality","Neonatal Combined",362168.796124118,3965.26967211481,350008.754422627,359330.194241898,362053.260837177,364691.354506776,375424.470986613
"Total Mortality","Juvenile Female",141421.060268461,721.257240689871,139311.656260658,140917.684027064,141396.636860348,141917.447310017,143947.136152464
"Total Mortality","Juvenile Male",102076.871182288,527.181609733565,100554.658716898,101740.890557534,102057.158703007,102425.986512093,103818.173018349
"Total Mortality","Juvenile Combined",243497.931450749,886.503094410323,240853.715898482,242909.623227557,243467.245416471,244109.716624105,247001.154242943
"Total Mortality","Adult Female",259759.745909869,3.68349413208358,259747.55593499,259757.165497654,259759.871535985,259762.258666146,259771.736113608
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",10033388028.2735,45411966.2048085,9893046825.47982,10002865075.6988,10032114255.5987,10064173793.8925,10186956196.6148
"Value of Total Mortality","Neonatal Female",1607355924.9192,24890854.4151917,1532312071.20543,1590257583.54643,1606473435.23684,1623178625.79789,1686921368.3336
"Value of Total Mortality","Neonatal Male",2420188319.96621,38432207.3117793,2313502745.00502,2394533120.37416,2419806505.41841,2446536312.38401,2547258066.51263
"Value of Total Mortality","Neonatal Combined",4027544244.88541,45268172.2876446,3904366460.79666,3996809372.54771,4025801198.59978,4057182846.51603,4179030864.12796
"Value of Total Mortality","Juvenile Female",1775632835.96013,9055850.92709525,1749147904.97849,1769312621.83241,1775326184.2823,1781865296.16556,1807349351.71279
"Value of Total Mortality","Juvenile Male",1584938250.27836,8185500.67642573,1561302996.43971,1579721509.82229,1584632176.41403,1590358932.09939,1611975284.75332
"Value of Total Mortality","Juvenile Combined",3360571086.23849,12108829.1953748,3323037168.67004,3352481340.56882,3360055460.27057,3368654178.88334,3407459672.73543
"Value of Total Mortality","Adult Female",2645272697.14961,37510.9947216134,2645148560.10284,2645246419.42919,2645273976.46768,2645298285.89336,2645394799.81981
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1133741749.22309,359150542.27918,247868989.650954,853746408.258776,1128664267.26597,1427983407.56043,1974102181.24168
"Population Liveweight (kg)","Neonatal Female",65170131.8306928,38299389.7606022,1320506.45957858,31754034.9657943,64906494.8898279,96693941.4275174,132503190.604009
"Population Liveweight (kg)","Neonatal Male",64081815.6524801,36239220.2705851,1292354.28930008,33681154.9691618,62230230.5553682,93326621.1500026,129628147.815328
"Population Liveweight (kg)","Juvenile Female",148127418.813586,84104446.4822681,1611915.43035204,74233164.5756959,149890620.436165,222189062.646978,290106096.06623
"Population Liveweight (kg)","Juvenile Male",118487172.341962,69734755.9771059,1307375.2872765,54975003.0238361,120261177.774959,180482843.956914,235726585.006535
"Population Liveweight (kg)","Juvenile Combined",266614591.155548,110746903.66129,14980189.9474159,187092419.112353,271742988.9655,346613610.633906,513938817.159736
"Population Liveweight (kg)","Adult Female",553678867.569715,318306031.689593,4603690.58321291,288870893.931363,547891731.019933,829891233.264866,1105002799.11023
"Population Liveweight (kg)","Adult Male",184196343.014652,106700975.460308,1533732.42727057,95096905.7389262,182521032.289096,279162184.461682,368165805.095325
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",145809663.1291,66971522.7820298,7008904.26703014,90418764.5441521,145133896.085121,200640926.273004,274204465.499231
"Offtake Liveweight (kg)","Juvenile Female",2388824.73871658,1398226.59903212,26916.2330023126,1211728.1308419,2396566.02163624,3579964.18254392,4847401.43827957
"Offtake Liveweight (kg)","Juvenile Male",5246982.300794,3044645.32898871,58288.7039137867,2566400.27058749,5247979.34346592,7773814.0145174,10498968.8198082
"Offtake Liveweight (kg)","Adult Female",17347451.2437545,9590405.56294441,139155.0083467,9045339.79769926,17672710.5698913,26022527.9128627,33398240.1699288
"Offtake Liveweight (kg)","Adult Male",120826404.845835,66199152.2745157,978059.321275301,65288993.5913518,120309664.758291,175334492.12735,234761553.650435
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",452466838.0383,72232438.7305165,243361025.680952,402788814.224255,454082921.780307,500457318.494622,669867091.122631
"Manure","Overall",5983729990.49126,206653137.563244,5367374913.25672,5837505733.98764,5980854013.19893,6125857336.70355,6668352217.93873
"Manure","Neonatal Female",328969724.584222,8346709.72996179,302634453.817642,323457668.323535,329251025.908805,334529253.339319,355728604.084196
"Manure","Neonatal Male",315989013.167618,8196148.78826001,285335491.3408,310253581.399187,316276969.049157,321983345.199067,342092272.979042
"Manure","Neonatal Combined",644958737.75184,11464818.4080639,606971332.418373,637320281.75245,644977199.79691,652675537.400164,679116196.877806
"Manure","Juvenile Female",577304211.425653,19206817.424644,515468141.251263,563886013.141412,577064234.826061,590328242.429169,648290738.546688
"Manure","Juvenile Male",427777128.071468,14540566.8085917,383510194.333361,417827284.059989,427698421.735401,437369075.267206,471100633.62071
"Manure","Juvenile Combined",1005081339.49712,24407292.4756003,930351177.630729,988565374.074789,1004681016.67581,1020926702.51509,1079050180.48688
"Manure","Adult Female",3163876783.02818,192547991.994505,2720702595.7115,3054438746.57338,3166400371.50073,3278387976.37494,3722489829.0772
"Manure","Adult Male",1169813130.21412,71278605.7632357,961049216.918555,1123119690.57751,1167996559.40895,1212896414.87742,1412353562.59906
"Manure","Oxen",0,0,0,0,0,0,0
