"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",433697.674291175,50.9785874641931,433617.981574638,433683.095443688,433692.776262922,433737.154189642,433772.56567216
"Num Offtake","Neonatal Female",30138.0700834014,6.88879165732389,30127.3371259445,30136.0777716912,30137.3762775053,30143.3976976726,30148.1633495803
"Num Offtake","Neonatal Male",92403.3154201914,37.2680071342577,92346.3568979528,92391.3649075367,92399.242094655,92432.0553746511,92457.2408804411
"Num Offtake","Neonatal Combined",122541.385503593,44.1542436481122,122473.694023897,122527.442714387,122536.618301842,122575.453072324,122605.404230021
"Num Offtake","Juvenile Female",103800.423955159,5.87510704614689,103790.396997847,103798.574448886,103800.820500511,103804.176225443,103809.527460941
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",103800.423955159,5.87510704614689,103790.396997847,103798.574448886,103800.820500511,103804.176225443,103809.527460941
"Num Offtake","Adult Female",198651.204672846,0.654209371914147,198650.040219725,198650.981394004,198651.304184868,198651.48656781,198652.248019519
"Num Offtake","Adult Male",8704.66015957675,0.454861426038914,8703.85033316881,8704.50505285426,8704.72930556995,8704.85500014002,8705.38596167972
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-67881.8181095181,212.579992496917,-68217.9696701872,-68031.6195838305,-67890.2830835418,-67716.3355166105,-67573.9859917685
"Cml Pop Growth","Neonatal Female",-33589.3757794598,68.0140940519269,-33696.9955199997,-33637.2130600018,-33591.1160033033,-33554.1837380753,-33484.8196747415
"Cml Pop Growth","Neonatal Male",67975.6542582718,52.5716591382811,67894.5103585477,67935.4256331274,67978.032610505,67992.1838509934,68053.7638592047
"Cml Pop Growth","Neonatal Combined",34386.278478812,120.074792948152,34197.5148385479,34299.8705073936,34383.6007386657,34438.000112918,34568.9441844632
"Cml Pop Growth","Juvenile Female",-38160.2481615082,45.3458474803514,-38227.6680089652,-38176.5912578875,-38165.750378669,-38125.5122031289,-38095.866738631
"Cml Pop Growth","Juvenile Male",85528.4792516127,41.6099366812838,85467.2686631113,85512.8308443643,85523.2758594157,85560.3032287311,85587.1535025754
"Cml Pop Growth","Juvenile Combined",47368.2310901045,86.9535153715455,47239.6006541461,47336.2395864769,47357.5254807467,47434.7910256022,47491.2867639444
"Cml Pop Growth","Adult Female",-180626.538893158,9.29883978893917,-180642.298847429,-180629.43022584,-180626.014112128,-180620.357758832,-180612.204839383
"Cml Pop Growth","Adult Male",30990.2112147233,9.48521296161421,30974.1058433936,30987.2553773694,30990.7684409964,30996.448175062,31004.8564993655
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
