"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",429431.551613693,25.5744571445061,429399.924459878,429418.415124455,429424.922432446,429437.146102699,429480.501205812
"Num Offtake","Neonatal Female",30151.7511007827,3.46850563550626,30147.4370431821,30149.9958968575,30150.87627787,30152.5178041328,30158.365286221
"Num Offtake","Neonatal Male",92482.2779997157,19.5512886053875,92455.8501440821,92474.0072915993,92478.708723201,92485.9918505984,92520.4485221775
"Num Offtake","Neonatal Combined",122634.029100498,23.0103726242039,122603.287187264,122624.019397998,122629.585001071,122638.509654731,122678.813808398
"Num Offtake","Juvenile Female",99024.4906224441,2.54977505897967,99021.0865540132,99022.7194634074,99024.1933127857,99025.6754195295,99028.9036504482
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",99024.4906224441,2.54977505897967,99021.0865540132,99022.7194634074,99024.1933127857,99025.6754195295,99028.9036504482
"Num Offtake","Adult Female",199036.385555392,0.340810192521269,199035.842983938,199036.123966117,199036.409032905,199036.610078411,199036.898269855
"Num Offtake","Adult Male",8736.64633535881,0.23671030530604,8736.268693095,8736.46519020443,8736.66201573466,8736.80319681328,8737.00121090519
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-39458.2596821489,220.275237614687,-39770.4004353678,-39568.7775909673,-39459.8363686042,-39342.3707319461,-39042.4668035863
"Cml Pop Growth","Neonatal Female",-33132.5855918171,92.4245665925414,-33260.8342454966,-33183.1152674946,-33133.1397170711,-33096.7075959857,-32967.0918332061
"Cml Pop Growth","Neonatal Male",68382.1498281685,81.8743553239516,68269.9504452751,68336.7409890403,68380.825577098,68409.4875491306,68523.3400136856
"Cml Pop Growth","Neonatal Combined",35249.5642363514,174.199871368612,35012.906857516,35153.6257215457,35247.6858600269,35312.7799531449,35556.2481804796
"Cml Pop Growth","Juvenile Female",-19158.0094236895,25.355570754218,-19194.6388149875,-19169.0161396809,-19160.8791987602,-19153.809542754,-19108.0743571944
"Cml Pop Growth","Juvenile Male",89072.4527846272,23.8366284403367,89036.9406231267,89062.004889954,89070.5058451884,89075.971768472,89119.8393650266
"Cml Pop Growth","Juvenile Combined",69914.4433609377,49.1825366739588,69842.3018081393,69892.988750273,69909.6637105148,69922.1436936748,70011.7650078321
"Cml Pop Growth","Adult Female",-176262.362897449,4.29389814059008,-176267.909578035,-176265.24349462,-176263.02959998,-176260.472241082,-176254.820903054
"Cml Pop Growth","Adult Male",31640.0956180109,4.37669345421079,31634.3911414226,31637.142806983,31639.450025029,31642.0529004218,31647.7439511442
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",389973.291931544,241.870333971785,389629.52402451,389857.46699309,389971.439685185,390106.904696883,390438.034402226
"Total Number Increase","Neonatal Female",-2980.83449103448,95.0467353523608,-3113.39720231455,-3032.09455655019,-2981.41689395208,-2941.54325170567,-2808.72654698508
"Total Number Increase","Neonatal Male",160864.427827884,97.3794662050416,160729.591247095,160813.868097664,160863.276006515,160909.926843248,161043.788535863
"Total Number Increase","Neonatal Combined",157883.59333685,192.367817430741,157616.19404478,157781.773541114,157881.859112563,157968.383591542,158235.061988878
"Total Number Increase","Juvenile Female",79866.4811987546,27.3640506314773,79828.9774935838,79854.8332365724,79861.8950318271,79871.6164548528,79919.8583586641
"Total Number Increase","Juvenile Male",89072.4527846272,23.8366284403367,89036.9406231267,89062.004889954,89070.5058451884,89075.971768472,89119.8393650266
"Total Number Increase","Juvenile Combined",168938.933983382,51.1383136772135,168865.918116711,168916.838126526,168932.437941102,168947.569691282,169039.697723691
"Total Number Increase","Adult Female",22774.0226579429,4.62412443966109,22767.9334059021,22770.8568387605,22773.4074946663,22776.123806459,22782.0773668004
"Total Number Increase","Adult Male",40376.7419533698,4.60621532537247,40370.6598345176,40373.5913699555,40376.1323602496,40378.8459374922,40384.7451620494
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",126931.217397006,8.44732703269744,126920.522857701,126927.07290601,126929.1941333,126933.018297921,126947.447103806
"Total Mortality","Neonatal Female",38100.8491182617,4.38292984850564,38095.3977182028,38098.6311787563,38099.7436602176,38101.8179524951,38109.2070434974
"Total Mortality","Neonatal Male",18105.685411212,3.82764664246326,18100.5115070809,18104.0662162427,18104.9866373591,18106.4124890608,18113.1582318066
"Total Mortality","Neonatal Combined",56206.5345294737,8.20404043450682,56195.9092252837,56202.7005684161,56204.7302975766,56208.2304415559,56222.365275304
"Total Mortality","Juvenile Female",3808.63425470939,0.0980682714991072,3808.50332900051,3808.56613320797,3808.62281972253,3808.67982382806,3808.8039865557
"Total Mortality","Juvenile Male",807.534839067395,0.0921243065073817,807.413196690352,807.471827399111,807.522647204993,807.576918749843,807.694903240988
"Total Mortality","Juvenile Combined",4616.16909377678,0.190189038954537,4615.91652569086,4616.03796060709,4616.14546692752,4616.2567425779,4616.49888979669
"Total Mortality","Adult Female",66108.5137737551,0.11319767109016,66108.3335625221,66108.4268887461,66108.5215716433,66108.5883474724,66108.6840682018
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2224855795.19817,90316.6584657768,2224744315.88314,2224809253.86777,2224832282.04199,2224875661.50868,2225028434.13219
"Value of Total Mortality","Neonatal Female",423529038.798597,48720.6481959802,423468441.035543,423504384.183055,423516750.526978,423539808.359935,423621945.495517
"Value of Total Mortality","Neonatal Male",173470571.924822,36672.6824814418,173421000.749342,173455058.417821,173463876.972537,173477538.057692,173542169.018939
"Value of Total Mortality","Neonatal Combined",596999610.723419,85326.4004643791,596889441.784884,596959473.005385,596980627.499516,597017346.417627,597164114.514456
"Value of Total Mortality","Juvenile Female",64510647.0062676,1661.08038265163,64508429.3866106,64509493.1642767,64510453.3204601,64511418.8559996,64513521.9242805
"Value of Total Mortality","Juvenile Male",16670749.2177073,1901.81418353826,16668238.0324756,16669448.4048272,16670497.5288999,16671617.9106718,16674053.582507
"Value of Total Mortality","Juvenile Combined",81181396.2239749,3562.82850696103,81176667.4190862,81178941.5691039,81180950.84936,81183036.7666714,81187575.5067874
"Value of Total Mortality","Adult Female",1546674788.25077,2648.37271282229,1546670572.02877,1546672755.4891,1546674970.69017,1546676532.97746,1546678772.45965
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",244192090.363799,81327847.2242517,120149110.14968,211872214.371465,254301134.572613,271388124.060141,384841717.080335
"Population Liveweight (kg)","Neonatal Female",18580070.5518054,12199972.0651886,1012950.2041455,10439779.0494592,15947262.235725,30707319.4805772,33672022.0681099
"Population Liveweight (kg)","Neonatal Male",12720336.7298275,5883647.30820005,1650652.70896743,8900981.24807412,13810411.6681433,16067374.6386816,21624690.2166976
"Population Liveweight (kg)","Juvenile Female",61642676.8066689,33190102.798161,13281466.2415337,35688688.8176196,65844397.7040186,77747814.8928405,122102753.866792
"Population Liveweight (kg)","Juvenile Male",28391231.6558501,10949984.1153846,11911434.3306199,23111275.5153432,26638523.9183112,33050843.7330725,45679679.3978705
"Population Liveweight (kg)","Juvenile Combined",90033908.462519,33176578.900939,36586633.0874839,68177248.7977712,91362525.9337025,112041561.017649,139511662.455689
"Population Liveweight (kg)","Adult Female",88361027.8797501,70835664.8921931,3111309.57500425,27068519.8903935,83382861.6511793,137987544.087772,192277909.989672
"Population Liveweight (kg)","Adult Male",34496746.739897,4807272.68905449,25745671.8324296,31582959.1668853,34272047.7899516,37350839.0028062,41213101.3442814
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",67155418.4040123,34526910.3156984,11353826.1378401,47908404.6310517,60350506.8390748,83433360.905179,126872383.602874
"Offtake Liveweight (kg)","Juvenile Female",20032609.0755305,9966260.84923446,3366746.19120812,15893446.4859141,19904137.5128823,27578367.7793299,34459963.5502016
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",42673407.35562,29276656.7485931,3582650.21923625,19406061.2552041,44783272.5103319,54287078.4211653,92551970.1196317
"Offtake Liveweight (kg)","Adult Male",4449401.97286174,545888.637528653,3425121.33976203,4295575.86706231,4460180.83759773,4889495.00911235,5108106.23972709
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",263128403.967556,38428419.0858103,180819285.115281,253997731.682057,266238219.334065,294041459.900051,299998331.340647
"Manure","Overall",788442877.113753,23784350.8977111,750466029.894801,774623675.480122,791129868.813656,806281275.330263,821490463.893126
"Manure","Neonatal Female",63608270.1758014,1867034.04884408,59207164.7513851,63130400.7672984,63811815.0278927,64586301.8172293,66061028.8232297
"Manure","Neonatal Male",32018762.6116823,913381.357243184,31035949.681676,31489989.9268539,31782709.4681865,32431493.9880813,34015823.5608968
"Manure","Neonatal Combined",95627032.7874837,2430464.3898444,90773644.6062636,94597575.7090638,95581351.3914046,96666892.1955236,100076852.384126
"Manure","Juvenile Female",153430883.753343,6465330.73145013,143076542.10421,147804882.704947,154437103.399641,158851685.06537,162122753.775698
"Manure","Juvenile Male",36827935.7109315,1130201.80101743,34841970.8075727,35963971.5957055,37078399.9971038,37798864.8114801,38207004.9745166
"Manure","Juvenile Combined",190258819.464274,6845253.78966326,181108262.427413,184558882.353141,190379462.702212,196246703.901249,199202767.640675
"Manure","Adult Female",469595889.050379,20757387.7192605,440862840.499793,457298242.667615,467249583.914897,488410803.876403,497101979.227751
"Manure","Adult Male",32961135.8116167,2343688.43905354,29728981.3849124,31354508.4504654,32689992.0558491,34394231.3029548,36383405.3301953
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",35362.3414337659,0.150736287759195,35362.1250441065,35362.2284999542,35362.338179539,35362.4202148984,35362.5914789992
"Hides","Juvenile Female",1904.31712735469,0.0490341357495536,1904.25166450025,1904.28306660399,1904.31140986126,1904.33991191403,1904.40199327785
"Hides","Juvenile Male",403.767419533698,0.0460621532536908,403.706598345176,403.735913699555,403.761323602497,403.788459374921,403.847451620494
"Hides","Juvenile Combined",2308.08454688839,0.0950945194772684,2307.95826284543,2308.01898030354,2308.07273346376,2308.12837128895,2308.24944489834
"Hides","Adult Female",33054.2568868775,0.0565988355450799,33054.1667812611,33054.2134443731,33054.2607858217,33054.2941737362,33054.3420341009
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
