"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",429425.537063615,41.9382020004272,429280.873052654,429396.568981127,429425.963746617,429454.933429538,429549.865500534
"Num Offtake","Neonatal Female",30150.9287514499,5.70111193978489,30131.2808503968,30147.0030756947,30150.9850090111,30154.9643120113,30167.7560418218
"Num Offtake","Neonatal Male",92478.1332538271,31.2921906385826,92371.007484057,92457.0518872097,92478.4764924135,92500.05631528,92570.7478766956
"Num Offtake","Neonatal Combined",122629.062005277,36.9877641366114,122502.288334454,122604.318583514,122629.470857953,122655.047507959,122738.46582331
"Num Offtake","Juvenile Female",99023.6114957218,4.37583565473157,99008.6907963779,99020.5948379856,99023.657386482,99026.7503131824,99038.6477285211
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",99023.6114957218,4.37583565473157,99008.6907963779,99020.5948379856,99023.657386482,99026.7503131824,99038.6477285211
"Num Offtake","Adult Female",199036.286074814,0.542993369919904,199034.532753596,199035.925566789,199036.290955789,199036.663341426,199038.2255111
"Num Offtake","Adult Male",8736.57748780253,0.376851529498527,8735.36116822669,8736.32691978393,8736.58073367396,8736.83910570494,8737.92345434099
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-39482.9153828904,215.968583963126,-40185.1374120463,-39633.1126338303,-39484.0651871221,-39338.3104878278,-38881.8581248336
"Cml Pop Growth","Neonatal Female",-33139.5833707831,79.4643056054239,-33391.5950411557,-33193.1123733085,-33139.0028471202,-33087.059826154,-32898.4084919449
"Cml Pop Growth","Neonatal Male",68376.6084986452,67.0137244965107,68178.2421897967,68328.9496280494,68379.2213506341,68418.7625222698,68597.708348308
"Cml Pop Growth","Neonatal Combined",35237.0251278621,146.006407388303,34786.647148641,35136.9713679939,35239.5879461476,35331.5242693161,35685.8111410983
"Cml Pop Growth","Juvenile Female",-19162.8817591143,39.6592082988923,-19297.3108164345,-19189.8437472199,-19162.2112461346,-19135.3114096578,-19045.5504986627
"Cml Pop Growth","Juvenile Male",89068.2428535975,36.556680684228,88944.9957799486,89043.5826625657,89068.8569577726,89093.1402177765,89176.5969486381
"Cml Pop Growth","Juvenile Combined",69905.3610944831,76.2100804688893,69647.6849635141,69853.5447137639,69906.2877490486,69957.9554025667,70131.0464499753
"Cml Pop Growth","Adult Female",-176263.870248022,7.44048834241177,-176289.333674629,-176269.054531254,-176263.786917752,-176258.484476151,-176238.527530221
"Cml Pop Growth","Adult Male",31638.5686427869,7.56626746265618,31612.6925190053,31633.3029657134,31638.6629872032,31644.042605484,31664.3967707894
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",389942.621680725,252.301349343621,389127.920058789,389769.845627524,389943.130052359,390113.760696658,390611.936006454
"Total Number Increase","Neonatal Female",-2988.65461933318,83.4646078076193,-3256.0111278828,-3044.58407342919,-2988.03657051189,-2934.01037409342,-2738.23587858358
"Total Number Increase","Neonatal Male",160854.741752472,89.0470689906575,160568.871870282,160794.783895321,160855.355581831,160912.202483285,161114.623980556
"Total Number Increase","Neonatal Combined",157866.087133139,172.35608421792,157312.860742399,157750.955058194,157866.082209985,157979.00577405,158376.388101972
"Total Number Increase","Juvenile Female",79860.7297366075,43.7174935455068,79711.3799799434,79831.5002800496,79860.9884249255,79891.2834501795,79989.9797301611
"Total Number Increase","Juvenile Male",89068.2428535975,36.556680684228,88944.9957799486,89043.5826625657,89068.8569577726,89093.1402177765,89176.5969486381
"Total Number Increase","Juvenile Combined",168928.972590205,80.2338761398263,168656.375759892,168874.689724813,168929.900337138,168984.970877332,169166.576678799
"Total Number Increase","Adult Female",22772.4158267912,7.968683324487,22745.1990789673,22766.8866665136,22772.5025712199,22778.1386626306,22799.6979808792
"Total Number Increase","Adult Male",40375.1461305894,7.93304538629261,40348.053687232,40369.6469273856,40375.2355314378,40380.8383275984,40402.3202251304
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",126929.268039533,13.794176663162,126881.769652399,126919.840125049,126929.369455548,126939.037412566,126969.973716602
"Total Mortality","Neonatal Female",38099.8099677412,7.20413236027373,38074.9821655014,38094.8493411051,38099.8810568413,38104.9094488143,38121.0735437566
"Total Mortality","Neonatal Male",18104.873975045,6.1262176038917,18083.9014651886,18100.7467779185,18104.9411724584,18109.1659546816,18123.0055702263
"Total Mortality","Neonatal Combined",56204.6839427862,13.3265473947677,56158.8836306901,56195.5991957214,56204.7863445409,56214.1187661319,56244.030975493
"Total Mortality","Juvenile Female",3808.60044214315,0.16830137133582,3808.02656909146,3808.4844168456,3808.60220717239,3808.72116589163,3809.17875878927
"Total Mortality","Juvenile Male",807.502922611789,0.158660907725845,806.96107374464,807.392938547713,807.504710628755,807.616766551967,808.046404502609
"Total Mortality","Juvenile Combined",4616.10336475494,0.326957943855597,4614.9876428361,4615.87796785949,4616.10684466246,4616.33797825614,4617.22516329188
"Total Mortality","Adult Female",66108.4807319917,0.180351369294779,66107.8983788729,66108.3609918265,66108.4823531729,66108.6060384021,66109.1249019011
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2224834464.98541,148263.795719871,2224323010.59545,2224731918.96648,2224835880.1567,2224938548.44414,2225274192.57901
"Value of Total Mortality","Neonatal Female",423517487.601411,80081.1353168034,423241501.751714,423462345.275724,423518277.827848,423574173.43302,423753853.512399
"Value of Total Mortality","Neonatal Male",173462797.554906,58695.2908628869,173261859.937972,173423254.879237,173463441.373324,173503919.011804,173636516.368338
