"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5595875.56835144,854.176114940827,5594021.16936306,5595232.80115433,5595795.18753694,5596415.00912007,5599295.41103963
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",186555.509929771,227.730590202723,186060.374973799,186384.176810105,186534.718368048,186696.600280499,187461.31401673
"Num Offtake","Juvenile Male",348044.07674103,483.863699429289,346992.03132081,347680.298860454,348001.160269552,348343.077268459,349967.93707662
"Num Offtake","Juvenile Combined",534599.5866708,711.594032575786,533052.406294609,534064.371024572,534535.714730641,535039.677548958,537429.25109335
"Num Offtake","Adult Female",600848.540929569,26.4034443032227,600792.818494045,600828.256391807,600845.483665366,600865.867182571,600955.596306464
"Num Offtake","Adult Male",2300758.39910126,117.805239327961,2300509.53928764,2300667.76129764,2300744.77182186,2300835.89944437,2301236.17485953
"Num Offtake","Oxen",2159669.04164981,1.36398146273612,2159666.40528676,2159667.98990963,2159668.83635825,2159669.92108101,2159674.76383323
"Cml Pop Growth","Overall",-1334706.84225656,97680.8052450302,-1604537.28349086,-1406493.36831086,-1339979.89092116,-1268480.02794641,-969095.614340559
"Cml Pop Growth","Neonatal Female",-322644.794819158,32817.6843199726,-413118.294560715,-346688.858420199,-324689.041037993,-301286.111234189,-197307.725987984
"Cml Pop Growth","Neonatal Male",-125942.294313006,32817.6843199726,-216415.794054562,-149986.357914046,-127986.54053184,-104583.610728038,-605.225481831003
"Cml Pop Growth","Neonatal Combined",-448587.089132164,65635.3686399452,-629534.088615277,-496675.216334244,-452675.581569833,-405869.721962227,-197912.951469815
"Cml Pop Growth","Juvenile Female",1001211.24373314,16631.4863160334,961910.828530495,988924.233972122,1000317.18419973,1012250.03535893,1060205.71213347
"Cml Pop Growth","Juvenile Male",1052007.83521005,16419.1528495092,1013104.34271502,1039877.00159977,1051140.72901945,1062966.29027621,1110113.66078779
"Cml Pop Growth","Juvenile Combined",2053219.07894319,33050.5548073836,1975015.17124551,2028753.3984355,2051478.82666959,2075249.54409926,2170319.37292126
"Cml Pop Growth","Adult Female",-653894.179471367,3111.16045298018,-660659.735865198,-656228.921433522,-654158.363345271,-651961.957763853,-641545.474596713
"Cml Pop Growth","Adult Male",-1215608.53683648,3049.36104792989,-1222239.7147314,-1217907.04900902,-1215857.09780859,-1213701.2219013,-1203517.06716807
"Cml Pop Growth","Oxen",-1069836.11575974,54.458597353729,-1069951.36036103,-1069877.87830443,-1069842.40360489,-1069800.15028142,-1069615.14805734
"Total Number Increase","Overall",4261168.72609487,98316.8617699567,3989950.26802866,4189531.19690858,4255786.89595313,4327769.2209368,4628651.10585472
"Total Number Increase","Neonatal Female",-322644.794819158,32817.6843199726,-413118.294560715,-346688.858420199,-324689.041037993,-301286.111234189,-197307.725987984
"Total Number Increase","Neonatal Male",-125942.294313006,32817.6843199726,-216415.794054562,-149986.357914046,-127986.54053184,-104583.610728038,-605.225481831003
"Total Number Increase","Neonatal Combined",-448587.089132164,65635.3686399452,-629534.088615277,-496675.216334244,-452675.581569833,-405869.721962227,-197912.951469815
"Total Number Increase","Juvenile Female",1187766.75366291,16844.4717328558,1148079.66563705,1175273.77645308,1186780.80902312,1198876.56772916,1247667.0261502
"Total Number Increase","Juvenile Male",1400051.91195108,16871.6557850889,1360325.09876899,1387532.35121486,1399046.52127123,1411209.57827778,1460081.59786441
"Total Number Increase","Juvenile Combined",2587818.66561399,33716.123405657,2508404.76440604,2562806.79747158,2585827.33029435,2610078.53859334,2707748.62401461
"Total Number Increase","Adult Female",-53045.6385417984,3136.86627735984,-59866.917371153,-55398.8868918972,-53313.9340030224,-51105.7678917642,-40589.8782902487
"Total Number Increase","Adult Male",1085149.86226478,3164.08017073671,1078269.82455624,1082773.18607476,1084878.59994832,1087099.2810882,1097719.10769147
"Total Number Increase","Oxen",1089832.92589007,55.8024817868703,1089715.04492573,1089789.99219362,1089826.47086298,1089869.63657891,1090059.24072293
"Total Mortality","Overall",2955195.16433676,5152.0803873485,2943928.36791406,2951305.81369006,2954923.83372365,2958605.60617102,2974510.99673067
"Total Mortality","Neonatal Female",441486.764995356,2134.98313274334,436663.050298815,439898.246952092,441376.813647299,442907.226396417,449314.348946178
