"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5648929.74193033,832.5768174503,5647089.73014961,5648337.18901762,5648838.27715851,5649451.2399411,5652683.51601446
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",193011.301550488,222.156449835902,192516.002284503,192853.648645538,192989.570548753,193151.731904133,194002.805205232
"Num Offtake","Juvenile Male",360218.028412797,472.014933417146,359165.231580615,359883.072241731,360172.689116415,360516.884953224,362323.504378202
"Num Offtake","Juvenile Combined",553229.329963285,694.171091998208,551681.233865118,552736.720887268,553162.259665168,553668.59896896,556326.309583434
"Num Offtake","Adult Female",621801.799841279,25.9205327664461,621748.43226793,621783.678063203,621798.114459021,621817.4352172,621921.960492524
"Num Offtake","Adult Male",2313987.18454508,114.477555257814,2313751.17010426,2313907.13515365,2313970.29810374,2314056.06965595,2314517.69477444
"Num Offtake","Oxen",2159911.42758069,1.32292473745637,2159908.89391231,2159910.4376961,2159911.26395213,2159912.2473377,2159917.55116406
"Cml Pop Growth","Overall",1813374.57945226,99584.9336937906,1560065.11032022,1744995.8317415,1809298.69349622,1878709.22787129,2205215.79193195
"Cml Pop Growth","Neonatal Female",75373.0087182272,34066.0932822273,-9070.97096049692,51780.8947748817,73346.8882119772,97977.9386588137,212031.208533023
"Cml Pop Growth","Neonatal Male",261106.784814128,34066.0932822274,176662.805135403,237514.670870782,259080.664307878,283711.714754713,397764.984628922
"Cml Pop Growth","Neonatal Combined",336479.793532355,68132.1865644547,167591.834174906,289295.565645664,332427.552519856,381689.653413527,609796.193161945
"Cml Pop Growth","Juvenile Female",1445703.78046476,16676.9227101917,1405468.70024842,1433962.03984403,1443990.79719805,1457088.40643047,1508850.81027535
"Cml Pop Growth","Juvenile Male",1448614.06261868,16469.0552208707,1408855.18325094,1437029.65549168,1446922.42755251,1459916.88718061,1510774.9516075
"Cml Pop Growth","Juvenile Combined",2894317.84308343,33145.8791231058,2814323.88349936,2870988.80520535,2890861.21698728,2916973.44762878,3019625.76188285
"Cml Pop Growth","Adult Female",655022.03221026,3088.55221199361,648126.761634652,652821.672076295,654736.510867456,656991.943148734,668780.112695251
"Cml Pop Growth","Adult Male",-1008632.85447234,2982.97298893704,-1015303.68926533,-1010775.79311362,-1008904.06749132,-1006754.18896383,-995378.15258484
"Cml Pop Growth","Oxen",-1063812.23490145,52.9241941339162,-1063921.49754713,-1063849.34562435,-1063820.16454871,-1063780.31238206,-1063567.06416564
"Total Number Increase","Overall",7462304.32138259,100180.242886012,7207431.38040347,7393486.68716029,7457824.09778464,7528108.79685654,7855894.28473679
