"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5553918.42938696,700.700671029598,5553103.35358273,5553424.51048657,5553732.34540523,5554093.3382475,5555434.2925437
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",186529.636986001,189.830881714509,186309.1849215,186393.451961527,186491.126898542,186566.052865742,186940.16206612
"Num Offtake","Juvenile Male",347988.870917148,403.672211022679,347520.139661132,347699.03072934,347908.248712878,348065.687839665,348861.794518064
"Num Offtake","Juvenile Combined",534518.507903149,593.502792578676,533829.324582632,534092.482690867,534399.37561142,534631.740705407,535801.956584185
"Num Offtake","Adult Female",600847.107639753,20.1195932634358,600824.299738251,600832.449881213,600840.242731886,600859.010173651,600889.214158984
"Num Offtake","Adult Male",2310789.75440748,89.9568363267818,2310687.74935672,2310724.17242779,2310759.08854012,2310842.62889034,2310978.09697953
"Num Offtake","Oxen",2107763.05943658,0.996012171249116,2107761.97990513,2107762.36476388,2107762.74166164,2107763.63440733,2107765.02482101
"Cml Pop Growth","Overall",-1956358.19991859,101982.63887664,-2054966.74700119,-2027394.8759563,-1999572.92657238,-1889679.76541968,-1741339.0026047
"Cml Pop Growth","Neonatal Female",-342435.337090023,33743.3499960475,-378315.431128723,-364162.003729047,-360932.214416809,-318194.481287282,-277125.196994122
"Cml Pop Growth","Neonatal Male",-145732.836583871,33743.3499960471,-181612.930622573,-167459.503222895,-164229.713910656,-121491.98078113,-80422.6964879716
"Cml Pop Growth","Neonatal Combined",-488168.173673894,67486.6999920946,-559928.361751296,-531621.506951942,-525161.928327465,-439686.462068412,-357547.893482093
"Cml Pop Growth","Juvenile Female",996863.07722365,17040.2531846289,981354.293989796,983989.827667018,993150.252562433,1003305.36975071,1033637.91336255
"Cml Pop Growth","Juvenile Male",1047687.21906945,16859.5028121004,1032338.88787106,1034997.76622959,1043946.45350629,1054148.1277685,1084050.77025591
"Cml Pop Growth","Juvenile Combined",2044550.2962931,33899.7024887391,2013693.18186086,2018987.59389661,2037096.70606872,2057453.49751921,2117688.68361846
"Cml Pop Growth","Adult Female",-654255.875733862,2605.44501958696,-657279.204437476,-656133.43433171,-654738.999376148,-653778.430959478,-648623.82012409
"Cml Pop Growth","Adult Male",-1085448.56880196,2564.24169142495,-1088423.12060938,-1087299.71420215,-1085906.44515285,-1084987.30237378,-1079906.63560379
"Cml Pop Growth","Oxen",-1773035.87800198,41.2865541749063,-1773082.72747684,-1773066.03610879,-1773049.91596769,-1773012.05252561,-1772949.3370132
"Total Number Increase","Overall",3597560.22946837,102530.922354649,3498721.30529342,3526133.3229208,3554307.15029705,3663923.17734446,3814095.28993899
"Total Number Increase","Neonatal Female",-342435.337090023,33743.3499960475,-378315.431128723,-364162.003729047,-360932.214416809,-318194.481287282,-277125.196994122
"Total Number Increase","Neonatal Male",-145732.836583871,33743.3499960471,-181612.930622573,-167459.503222895,-164229.713910656,-121491.98078113,-80422.6964879716
"Total Number Increase","Neonatal Combined",-488168.173673894,67486.6999920946,-559928.361751296,-531621.506951942,-525161.928327465,-439686.462068412,-357547.893482093
"Total Number Increase","Juvenile Female",1183392.71420965,17218.4487422009,1167725.02952899,1170337.11666527,1179715.76847436,1189803.67844641,1220578.07542867
"Total Number Increase","Juvenile Male",1395676.0899866,17238.5072905045,1379989.73029221,1382598.76988892,1392010.67933557,1402071.87766327,1432912.56477397
"Total Number Increase","Juvenile Combined",2579068.80419625,34456.9532558533,2547714.7598212,2552935.8865542,2571726.44780994,2591875.55610967,2653490.64020264
"Total Number Increase","Adult Female",-53408.7680941092,2624.68260930763,-56454.9046992244,-55298.6264918483,-53904.0247514787,-52923.5782881708,-47734.6059651059
"Total Number Increase","Adult Male",1225341.18560551,2650.29628820268,1222264.62874734,1223434.99278203,1224829.29156865,1225836.95494025,1231071.46137574
"Total Number Increase","Oxen",334727.181434607,42.2599599100556,334679.252428293,334696.356632714,334712.784799323,334751.903880868,334815.68780781
"Total Mortality","Overall",3568634.69238337,4951.31768418656,3564174.55155785,3564550.21712122,3567929.86364503,3569835.19954089,3579471.00397332
"Total Mortality","Neonatal Female",440983.558594243,2113.61668832317,439068.6370461,439303.093968891,440646.454530894,441609.487990848,445585.093108283
"Total Mortality","Neonatal Male",422292.370763341,2113.61668832314,420377.449215198,420611.906137989,421955.266699993,422918.300159946,426893.905277381
"Total Mortality","Neonatal Combined",863275.929357584,4227.23337664633,859446.086261298,859915.00010688,862601.721230886,864527.788150794,872478.998385664
"Total Mortality","Juvenile Female",351741.601173601,357.966805518784,351325.891566258,351484.795127451,351668.982151536,351810.271118256,352515.734181827
"Total Mortality","Juvenile Male",306230.20640709,355.231545699938,305817.722901796,305975.147041819,306159.258867333,306297.805298905,306998.379175896
"Total Mortality","Juvenile Combined",657971.807580692,713.197936721235,657143.614468054,657459.94216927,657828.241018869,658108.076417161,659514.113357724
"Total Mortality","Adult Female",1287529.5163709,43.1134141359074,1287480.64229625,1287498.10688831,1287514.80585404,1287555.02180068,1287619.74462639
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",759857.439074197,0.359066572643952,759857.049898571,759857.188641769,759857.324514996,759857.646353566,759858.14760354
"Value of Total Mortality","Overall",43854223421.666,46298335.1528565,43812062350.7835,43816237242.9403,43847984684.5657,43864351155.1274,43955741459.9958
"Value of Total Mortality","Neonatal Female",3157774150.38285,15135086.1321926,3144061870.98629,3145740758.99864,3155360231.59499,3162256275.91802,3190724600.47866
"Value of Total Mortality","Neonatal Male",4339136116.72597,21717821.9266418,4319459925.95031,4321869016.36239,4335672307.01108,4345567662.82854,4386417777.45344
"Value of Total Mortality","Neonatal Combined",7496910267.10882,36852908.0588344,7463521796.9366,7467609775.36102,7491032538.60607,7507823938.74656,7577142377.9321
"Value of Total Mortality","Juvenile Female",4369652442.77888,4446987.56402405,4364488121.88208,4366462165.70293,4368750303.57754,4370505522.96729,4379269423.48046
"Value of Total Mortality","Juvenile Male",3929415745.72258,4558180.08754862,3924122932.8431,3926142932.44347,3928505377.07177,3930283145.94742,3939272611.92985
"Value of Total Mortality","Juvenile Combined",8299068188.50145,9005162.41865915,8288611054.72518,8292605098.1464,8297255680.64931,8300788668.91471,8318542035.41031
"Value of Total Mortality","Adult Female",25857834030.9202,865859.37880076,25856852478.5017,25857203225.0417,25857538595.2827,25858346263.9695,25859646111.5178
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",24897583928.4617,11765.2202489463,24897571176.6845,24897575722.7615,24897580174.8006,24897590720.2035,24897607144.2228
"Population Liveweight (kg)","Overall",14315163334.3282,1310375952.63992,12165515824.1511,13376171597.491,14129507725.4359,15509293218.7516,15991888758.5224
"Population Liveweight (kg)","Neonatal Female",336221503.390122,77905716.1638167,225201035.593237,275179970.72136,353756804.461444,404202206.478207,429982183.546172
"Population Liveweight (kg)","Neonatal Male",400995254.515609,76417369.1560926,270584726.577687,351531710.141905,396158264.865009,446338675.609545,520639586.256127
"Population Liveweight (kg)","Juvenile Female",982823994.175038,209749106.008779,648296484.168852,815709393.335915,1020264800.65872,1136733230.98041,1286108421.63345
"Population Liveweight (kg)","Juvenile Male",1064063383.26833,241486814.418141,713371969.135397,871262731.376556,1109978236.3315,1247906370.96642,1380843017.0103
"Population Liveweight (kg)","Juvenile Combined",2046887377.44337,411670369.493414,1484431474.34576,1767137525.06218,2007374679.93713,2393405244.35218,2666951438.64375
"Population Liveweight (kg)","Adult Female",4158350743.00152,824288505.550991,3252644230.71016,3570206275.17521,3969867825.25305,4686249628.67241,5462085400.12032
"Population Liveweight (kg)","Adult Male",3877253875.06226,583913751.062542,2742652929.49818,3649949002.43377,4108284054.72049,4192557422.49517,4557516331.37236
"Population Liveweight (kg)","Oxen",3495454580.91536,388985220.088914,2942179968.41691,3313166526.82352,3456631726.74712,3606588157.40526,4403155633.31782
"Offtake Liveweight (kg)","Overall",1481656536.54475,126096433.908463,1243917482.45405,1450147619.42056,1526149128.56538,1554247741.23322,1648138556.58977
"Offtake Liveweight (kg)","Juvenile Female",33503406.1632951,5585845.05606016,25644756.07418,29898769.7020206,32343861.6896263,37464523.3823586,42167518.1485209
"Offtake Liveweight (kg)","Juvenile Male",58177108.6981097,8470149.53645499,43482547.169663,54188905.4397605,61193668.975241,63648248.7913816,69274030.474395
"Offtake Liveweight (kg)","Adult Female",137654699.118505,19444769.694115,108758183.143985,123614498.96529,134228348.286579,152370914.60152,171427855.798373
"Offtake Liveweight (kg)","Adult Male",650314679.610178,66968536.5685513,525118661.435874,619390718.059545,636870065.847989,698713589.945615,761729593.003396
"Offtake Liveweight (kg)","Oxen",602006642.954661,110726975.414635,443494705.196064,517856294.169178,596357101.535129,657222341.057678,781322417.901198
"Meat (kg)","Overall",4756959271.04199,114491019.233522,4551851629.57028,4694780587.57721,4775844731.68224,4817387948.77059,4954597348.81794
"Manure","Overall",37065871571.1339,828056564.550081,35383969837.1881,36645974618.8465,37164105693.5662,37646949878.9284,38035266138.3958
"Manure","Neonatal Female",981306448.227386,27234162.277849,936192416.171423,960887096.148137,986716956.273622,1000743966.86747,1016300556.80116
"Manure","Neonatal Male",926711099.700207,18308841.7609519,902429639.066748,911142795.557796,924772833.390526,943735287.895695,951122455.468017
"Manure","Neonatal Combined",1908017547.92759,39084815.3234312,1847182396.47496,1889725848.99737,1911168870.6345,1933808547.02878,1959088796.44256
"Manure","Juvenile Female",2236041090.75561,64959097.78465,2100738860.78639,2198321602.94946,2255314689.41147,2278914833.25028,2318827437.43098
"Manure","Juvenile Male",1951263590.95981,39055545.6502853,1906393270.92638,1923441972.08476,1947131336.74131,1968744214.53014,2035935518.22951
"Manure","Juvenile Combined",4187304681.71542,74886946.8631957,4049960401.89794,4166573601.23517,4195503524.17988,4219252401.35769,4300765997.72424
"Manure","Adult Female",11539617657.9285,778886427.608042,10469192145.8983,10991225454.657,11496815571.9464,12115758446.2145,12534687792.7316
"Manure","Adult Male",9984392458.49785,591865375.019049,9210176199.97505,9552665629.13684,10087354129.1138,10270288413.4561,10964336395.1221
"Manure","Oxen",9446539225.06451,674531077.778241,8036415947.51459,9107032136.16541,9503417795.6988,9695011289.77787,10355126465.9958
"Hides","Overall",1352679.38151289,377.481137782493,1352240.65333144,1352410.1719487,1352594.45419302,1352758.13121612,1353496.00279383
"Hides","Juvenile Female",175870.800586801,178.983402759392,175662.945783129,175742.397563726,175834.491075768,175905.135559128,176257.867090914
"Hides","Juvenile Male",153115.103203545,177.615772849969,152908.861450898,152987.573520909,153079.629433667,153148.902649453,153499.189587948
"Hides","Juvenile Combined",328985.903790346,356.598968360617,328571.807234027,328729.971084635,328914.120509435,329054.03820858,329757.056678862
"Hides","Adult Female",643764.75818545,21.5567070679537,643740.321148126,643749.053444157,643757.402927021,643777.510900341,643809.872313197
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",379928.719537098,0.179533286321976,379928.524949286,379928.594320885,379928.662257498,379928.823176783,379929.07380177
"Milk","Overall",1137963058.15271,122019870.641493,933395212.146852,1108584853.70804,1141741573.11463,1216174592.72106,1334416210.40213
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",131857481956.55,3076735955.61739,127558846725.719,129532013406.816,131269718790.562,134030753281.952,137494402316.097
"Cml Dry Matter","Neonatal Female",3178949280.15343,165724573.376661,2828295723.45982,3085897701.64865,3242129162.05913,3301934214.05976,3347771725.56567
"Cml Dry Matter","Neonatal Male",3311675600.84302,170970018.546388,2946615479.82403,3254606769.27999,3352244450.56113,3419151497.82387,3515025547.65788
"Cml Dry Matter","Neonatal Combined",6490624880.99645,217680777.52969,6050166250.42456,6393193538.73647,6532858835.60435,6627721433.80819,6777523255.88003
"Cml Dry Matter","Juvenile Female",8691926737.5089,443697569.283773,7820840817.88697,8417492789.68918,8803024658.21862,8986740080.67714,9286864786.92867
"Cml Dry Matter","Juvenile Male",8107363800.33104,661438913.915204,7281707741.86802,7653638939.23567,7896641367.34904,8661985660.11958,9275767976.05905
"Cml Dry Matter","Juvenile Combined",16799290537.8399,675132886.278603,16032260134.1693,16449486217.7416,16563225256.0983,16847909033.412,18282876127.664
"Cml Dry Matter","Adult Female",39371856858.9493,1531608079.80045,36392741219.2791,38821197481.4232,39254138336.6956,40193573037.6965,42253120416.0455
"Cml Dry Matter","Adult Male",35306387892.9825,1810296254.25877,32675674885.2289,33723716154.611,35572407241.3233,36371483254.8079,37701201096.3256
"Cml Dry Matter","Oxen",33889321785.7813,2044832095.02076,30567451162.9171,32479037202.5913,34050653183.9798,35353894416.0444,37114999232.0094
"Value of Offtake","Overall",154367704714.525,22704494229.8633,126847978351.876,141000992084.757,145950970621.155,164304444468.711,196359682143.043
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",2095592841.78876,500188090.537029,1088417266.99695,1870057069.05515,2155697131.89639,2511203601.54223,2655152425.84906
"Value of Offtake","Juvenile Male",5861064616.75488,1386043339.74892,4125516843.39339,4705187963.22796,5633742388.7494,6884178811.89232,8088957958.8135
"Value of Offtake","Juvenile Combined",7956657458.54364,1301016631.12357,5954106452.95958,7199808249.93112,7638153562.33808,9205409709.82082,9694605880.63364
"Value of Offtake","Adult Female",10039293528.2254,2405764585.83194,7125272871.78507,8100792263.74904,10087170694.7699,11621895946.0559,14221647953.3813
"Value of Offtake","Adult Male",74522651918.7134,16202221933.9233,47347288385.9137,63602345985.2295,73747026972.0156,89361649746.5294,94620135400.2255
"Value of Offtake","Oxen",61849101809.0424,10554161352.1351,48261600428.4466,55517920832.3039,59006568069.8611,63932915904.0128,84108346836.9977
"Value of draught","Overall",147423909077.984,106961.617603401,147423790645.131,147423833121.645,147423871102.242,147423978616.625,147424125816.808
"Value of Herd Increase","Overall",-79250795678.5125,22531926818.7467,-107039671651.625,-100249230682.078,-80915920441.1227,-60551066111.1445,-45946074775.8785
"Value of Herd Increase","Neonatal Female",-2160449002.1857,586182743.080416,-3308146768.02325,-2478443858.6163,-1988626633.01173,-1774391262.8924,-1464381337.01994
"Value of Herd Increase","Neonatal Male",-1526506276.93776,566263613.589541,-2386972440.08701,-1867011752.90628,-1522155829.46043,-1089023975.45076,-729803228.675087
"Value of Herd Increase","Neonatal Combined",-3686955279.12346,899944170.021405,-4869496056.92635,-4454194857.37387,-3650100144.1356,-3036733527.15547,-2194184565.69503
"Value of Herd Increase","Juvenile Female",11924511011.6105,2291490084.01907,9593539568.36567,10569139315.286,11311728636.5514,12826123268.7821,17185435983.1534
"Value of Herd Increase","Juvenile Male",16860828986.3286,5473848497.51805,10455921220.2965,12768045937.6294,15442355318.3097,20650130721.8638,27031431624.9852
"Value of Herd Increase","Juvenile Combined",28785339997.9391,6198787911.85605,21987401545.0246,24227082236.8053,26545822687.0014,33383765076.8036,39961682326.7058
"Value of Herd Increase","Adult Female",-11182958065.0419,2051994753.96394,-13905871904.5558,-12806702371.4405,-11483323119.8667,-10034783007.8794,-7368120697.16028
"Value of Herd Increase","Adult Male",-31317403881.7205,9061589363.68482,-44869702539.4452,-38208705777.5002,-31194510138.351,-23553573460.7997,-19026301521.501
"Value of Herd Increase","Oxen",-61848818450.5657,12284322289.7403,-81906313172.3186,-71880349664.7892,-60009200079.8488,-53043249509.6366,-46027453691.7708
"Value of Herd Increase plus Offtake","Overall",75116909036.0123,39692339507.9829,37186369831.1835,42014389502.2158,60921321393.1201,94443586196.8982,140458069250.221
"Value of Herd Increase plus Offtake","Neonatal Female",-2160449002.1857,586182743.080416,-3308146768.02325,-2478443858.6163,-1988626633.01173,-1774391262.8924,-1464381337.01994
"Value of Herd Increase plus Offtake","Neonatal Male",-1526506276.93776,566263613.589541,-2386972440.08701,-1867011752.90628,-1522155829.46043,-1089023975.45076,-729803228.675087
"Value of Herd Increase plus Offtake","Neonatal Combined",-3686955279.12346,899944170.021405,-4869496056.92635,-4454194857.37387,-3650100144.1356,-3036733527.15547,-2194184565.69503
"Value of Herd Increase plus Offtake","Juvenile Female",14020103853.3992,2507891749.53999,11589979185.078,12449762129.1105,12703877030.0914,15419042341.7169,19486416119.3405
"Value of Herd Increase plus Offtake","Juvenile Male",22721893603.0835,5247532469.50616,16692702133.6784,19898167855.2279,20837241304.6129,26743618526.8717,31617268609.4703
"Value of Herd Increase plus Offtake","Juvenile Combined",36741997456.4827,6227470042.17687,28973095939.0248,32865973037.5753,34747852641.4004,41636877352.272,47119693933.1544
"Value of Herd Increase plus Offtake","Adult Female",-1143664536.81651,3426296096.89893,-5755558109.75196,-3648040260.4565,-485064857.693267,-149456410.655897,5136916859.06036
"Value of Herd Increase plus Offtake","Adult Male",43205248036.9929,21907786406.1994,8096538300.80656,28609423984.9158,44974463828.6215,58178955794.0431,75504177614.831
"Value of Herd Increase plus Offtake","Oxen",283358.476660919,20263669898.4272,-25779046635.8273,-9654836916.66527,-968806442.562809,2777026413.03913,38080893145.2269
"Value of Manure","Overall",18532935785.5669,414028282.275041,17691984918.594,18322987309.4232,18582052846.7831,18823474939.4642,19017633069.1979
"Value of Manure","Neonatal Female",490653224.113693,13617081.1389245,468096208.085712,480443548.074069,493358478.136811,500371983.433737,508150278.400579
"Value of Manure","Neonatal Male",463355549.850103,9154420.88047594,451214819.533374,455571397.778898,462386416.695263,471867643.947847,475561227.734008
"Value of Manure","Neonatal Combined",954008773.963796,19542407.6617156,923591198.237482,944862924.498687,955584435.31725,966904273.514391,979544398.221278
"Value of Manure","Juvenile Female",1118020545.37781,32479548.892325,1050369430.39319,1099160801.47473,1127657344.70574,1139457416.62514,1159413718.71549
"Value of Manure","Juvenile Male",975631795.479903,19527772.8251426,953196635.463192,961720986.042379,973565668.370657,984372107.265071,1017967759.11475
"Value of Manure","Juvenile Combined",2093652340.85771,37443473.4315978,2024980200.94897,2083286800.61759,2097751762.08994,2109626200.67884,2150382998.86212
"Value of Manure","Adult Female",5769808828.96425,389443213.804021,5234596072.94913,5495612727.3285,5748407785.9732,6057879223.10724,6267343896.36581
"Value of Manure","Adult Male",4992196229.24892,295932687.509524,4605088099.98752,4776332814.56842,5043677064.55692,5135144206.72804,5482168197.56104
"Value of Manure","Oxen",4723269612.53226,337265538.88912,4018207973.7573,4553516068.08271,4751708897.8494,4847505644.88893,5177563232.99789
"Value of Hides","Overall",55405244.9643345,24689.0043031056,55376555.0238449,55387613.6463451,55399813.952012,55410269.3204828,55458652.3482569
"Value of Hides","Juvenile Female",11564219.9863272,11768.886230716,11550552.6881352,11555776.9656507,11561832.4883925,11566477.6503163,11589671.1822504
"Value of Hides","Juvenile Male",10204987.8261331,11837.936047717,10191241.9935472,10196488.0842295,10202623.5303701,10207240.5296666,10230586.8480128
"Value of Hides","Juvenile Combined",21769207.8124603,23606.8085585058,21741794.6816825,21752265.0498802,21764456.0187625,21773718.1799828,21820258.0302631
"Value of Hides","Adult Female",33636037.1518742,1126.31546009762,33634760.3421625,33635216.5955221,33635652.847293,33636703.4679258,33638394.3179938
"Value of Hides","Adult Male",0,0,0,0,0,0,0
"Value of Hides","Oxen",0,0,0,0,0,0,0
"Value of Milk","Overall",35276854802.734,3782615989.8863,28935251576.5524,34366130464.9493,35393988766.5536,37701412374.353,41366902522.4661
"Total Production Value","Overall",276406013947.262,39319198198.7891,233986829481.901,244124789482.385,266166514411.152,291806377846.153,341038616360.151
"Total Production Value","Neonatal Female",-1669795778.07201,595295174.431806,-2840050559.93753,-1997355551.489,-1496706103.35644,-1289206130.84209,-967669535.888547
