"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5514879.70651589,844.51410537861,5513101.45412198,5514273.72384449,5514791.37661051,5515416.99155336,5518442.91002965
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",191269.734791296,225.002563385424,190786.061275101,191109.708994048,191247.463227711,191416.710617298,192222.283830087
"Num Offtake","Juvenile Male",356686.447419491,477.985724613898,355657.89653328,356346.555445722,356638.813949486,356997.858763479,358710.265012131
"Num Offtake","Juvenile Combined",547956.182210788,702.988028518674,546443.957808381,547456.26443977,547886.415710992,548414.569380777,550932.548842218
"Num Offtake","Adult Female",601495.690850544,26.338877662538,601441.624826598,601476.384047748,601492.372014371,601511.504422344,601602.712450837
"Num Offtake","Adult Male",2258719.34044292,116.680045461549,2258479.64774184,2258633.67780392,2258704.51082499,2258789.24960066,2259194.10438689
"Num Offtake","Oxen",2106708.49301164,1.34951532111277,2106705.8584261,2106707.48425005,2106708.28644955,2106709.30415181,2106713.62204508
"Cml Pop Growth","Overall",-1995429.43608008,94490.9554317601,-2230207.84931394,-2068106.96503786,-1995456.77111136,-1931039.82781392,-1672986.85301618
"Cml Pop Growth","Neonatal Female",-321006.949616557,32169.4059714283,-398984.738580163,-345340.918936465,-323212.661108348,-299702.896864554,-205182.163224385
"Cml Pop Growth","Neonatal Male",-124304.449110404,32169.4059714282,-202282.238074011,-148638.418430313,-126510.160602195,-103000.396358402,-8479.66271823179
"Cml Pop Growth","Neonatal Combined",-445311.398726961,64338.8119428565,-601266.976654174,-493979.337366778,-449722.821710543,-402703.293222957,-213661.825942617
"Cml Pop Growth","Juvenile Female",1280260.45796383,16201.8674851693,1239586.58151196,1268800.85119898,1279141.22830487,1290773.90291615,1342612.34746786
"Cml Pop Growth","Juvenile Male",1291347.56592991,15990.353416829,1251148.37537913,1280076.60210486,1290224.08673399,1301780.29509177,1352743.91300712
"Cml Pop Growth","Juvenile Combined",2571608.02389374,32192.1271811956,2490734.95689109,2548870.92261006,2569359.79610817,2592556.16069912,2695356.26047497
"Cml Pop Growth","Adult Female",-590122.842917823,3072.41456365679,-596764.591375396,-592305.203068915,-590441.120670291,-588146.140081217,-577106.16644147
"Cml Pop Growth","Adult Male",-1735337.14944858,2979.37779652909,-1741801.93422653,-1737450.5122568,-1735648.25791349,-1733406.32242477,-1722709.60229387
"Cml Pop Growth","Oxen",-1796266.06888046,53.4591245558649,-1796376.02316364,-1796305.45148898,-1796272.96721399,-1796233.9866446,-1796048.05306313
"Total Number Increase","Overall",3519450.27043581,95093.1910822159,3283050.7507535,3446284.4863484,3519208.05448266,3584694.35253082,3844540.36384689
"Total Number Increase","Neonatal Female",-321006.949616557,32169.4059714283,-398984.738580163,-345340.918936465,-323212.661108348,-299702.896864554,-205182.163224385
"Total Number Increase","Neonatal Male",-124304.449110404,32169.4059714282,-202282.238074011,-148638.418430313,-126510.160602195,-103000.396358402,-8479.66271823179
"Total Number Increase","Neonatal Combined",-445311.398726961,64338.8119428565,-601266.976654174,-493979.337366778,-449722.821710543,-402703.293222957,-213661.825942617
"Total Number Increase","Juvenile Female",1471530.19275513,16411.4430200364,1430392.01641398,1459918.90652649,1470413.21668654,1482042.32020454,1534834.63129794
"Total Number Increase","Juvenile Male",1648034.0133494,16435.5052085635,1606847.191318,1636400.32054537,1646904.30326089,1658540.0213492,1711454.17801925
"Total Number Increase","Juvenile Combined",3119564.20610453,32846.944790455,3037239.20773198,3096319.22707186,3117317.51994743,3140577.36431633,3246288.80931719
"Total Number Increase","Adult Female",11372.8479327213,3098.08012265559,4682.60518851411,9172.19983212277,11057.2585666005,13372.1904324442,24496.5460093663
"Total Number Increase","Adult Male",523382.190994345,3093.065885729,516702.024670947,521184.828175841,523067.014294591,525377.769284596,536484.502093026
"Total Number Increase","Oxen",310442.424131174,54.7896198874555,310329.835262451,310402.221373932,310435.435334627,310475.271410013,310665.491286569
"Total Mortality","Overall",3697143.7288962,4168.48890935935,3686945.89462399,3694115.07590051,3696872.42153183,3699831.16453073,3713691.37913737
"Total Mortality","Neonatal Female",441415.272426232,2041.52170501724,436399.314076502,439938.40189802,441290.36540811,442736.36423677,449491.062031414
"Total Mortality","Neonatal Male",422724.084595331,2041.52170501723,417708.1262456,421247.214067118,422599.177577208,424045.176405869,430799.874200513
"Total Mortality","Neonatal Combined",864139.357021564,4083.04341003447,854107.440322102,861185.615965138,863889.542985318,866781.540642639,880290.936231927
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",1288919.33753688,56.4404521340026,1288803.48177128,1288877.9658166,1288912.22574508,1288953.22376217,1289148.66953751
