"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",443581.192470225,45.6656312682254,443535.960635597,443543.176551325,443573.853078359,443598.610243761,443675.254289376
"Num Offtake","Neonatal Female",32203.9506561022,6.24140329935657,32197.7388342058,32198.7997839728,32202.8873060875,32206.3735950299,32216.7624857711
"Num Offtake","Neonatal Male",97840.673246976,34.0246428424867,97807.1748237668,97813.8050726192,97832.2426734831,97855.2464708288,97908.7403440479
"Num Offtake","Neonatal Combined",130044.623903078,40.2552625524531,130004.913657973,130012.604856592,130035.129979571,130061.620065859,130125.502829819
"Num Offtake","Juvenile Female",101793.855607332,4.98820568930546,101788.004605542,101790.20911725,101793.502810087,101795.63217285,101804.75654955
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",101793.855607332,4.98820568930546,101788.004605542,101790.20911725,101793.502810087,101795.63217285,101804.75654955
"Num Offtake","Adult Female",202819.423631377,0.650455246732368,202818.585794019,202818.988691514,202819.397740278,202819.661942406,202820.771559422
"Num Offtake","Adult Male",8923.28932843774,0.451040613788499,8922.70816742981,8922.98923032449,8923.27097097169,8923.45320710261,8924.22335058495
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",11146.157409541,213.366349239263,10911.5728101984,10966.6398602933,11078.371085825,11329.3151890191,11500.1363167227
"Cml Pop Growth","Neonatal Female",-9805.72560838488,78.0465846571529,-9907.41634264891,-9867.03787090933,-9807.55168366712,-9745.09558858071,-9675.6771166207
"Cml Pop Growth","Neonatal Male",79516.9744469031,65.2059493655882,79429.6923581002,79463.9908784434,79511.4526276348,79570.84312225,79620.0307538628
"Cml Pop Growth","Neonatal Combined",69711.2488385182,142.496972322557,69522.2760154513,69596.953007534,69708.5336342201,69823.4311885431,69944.3536372421
"Cml Pop Growth","Juvenile Female",-8703.2307466596,43.4336610475294,-8745.66833981569,-8735.66064055367,-8717.31019013425,-8682.86807970684,-8619.04312749725
