"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3262159.57865126,3006.61919056551,3258958.70633831,3259388.23503732,3261887.32053798,3264246.7867086,3267500.64173809
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",132167.234167449,625.653838739007,131493.946004394,131582.183254357,132137.600181007,132584.058337201,133271.926415908
"Num Offtake","Juvenile Male",322727.474358869,1862.58848250407,320722.136355495,320985.387452501,322642.898794054,323966.032191171,326015.21095611
"Num Offtake","Juvenile Combined",454894.708526318,2488.24176086795,452216.082359888,452567.570706859,454780.498975061,456550.090528372,459287.137372018
"Num Offtake","Adult Female",397114.255676195,65.2485886862783,397049.670163559,397059.246773222,397094.65695936,397167.734606475,397231.606953009
"Num Offtake","Adult Male",388448.161019814,457.255424579133,387995.414940096,388061.306478856,388311.605442513,388821.860323055,389270.250279412
"Num Offtake","Oxen",2021702.45342894,5.07390888001514,2021696.57030253,2021698.87268349,2021700.55916105,2021706.47947577,2021711.64713365
"Cml Pop Growth","Overall",10758361.1125666,609621.497016679,9873503.19329264,10291586.3914627,10798993.8498188,11180347.1941062,11609124.8281508
"Cml Pop Growth","Neonatal Female",1933461.92839928,210387.28396085,1634293.83646771,1753927.26690151,1924239.16211805,2100363.70727695,2224262.01158256
"Cml Pop Growth","Neonatal Male",2252519.19302959,210387.28396085,1953351.10109802,2072984.53153181,2243296.42674836,2419420.97190726,2543319.27621287
"Cml Pop Growth","Neonatal Combined",4185981.12142887,420774.5679217,3587644.93756573,3826911.79843332,4167535.58886641,4519784.67918422,4767581.28779542
"Cml Pop Growth","Juvenile Female",2467771.69484808,99896.7800304744,2339670.99018739,2379144.49400621,2461634.9368326,2527162.05016323,2634065.23404102
"Cml Pop Growth","Juvenile Male",2572939.42455533,98825.0950597745,2446019.53543772,2485167.23161599,2567232.09189179,2631595.21280183,2737269.42063396
"Cml Pop Growth","Juvenile Combined",5040711.11940341,198721.622946007,4785690.52562511,4864311.72562219,5028867.02872439,5158757.26296506,5371334.65467499
"Cml Pop Growth","Adult Female",1252423.86652587,15311.4621273199,1235925.35426478,1238097.31024922,1251784.27690181,1262568.16296323,1279434.85780714
"Cml Pop Growth","Adult Male",2097689.69996427,14840.2153917756,2081668.19803433,2083792.05483181,2097107.6334127,2107484.4152247,2123835.25269701
"Cml Pop Growth","Oxen",-1818444.69475578,234.232095338569,-1818676.68222006,-1818643.53789805,-1818514.25398764,-1818253.80224445,-1818023.72547582
