"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5999014.35037295,356.352156213162,5998544.43287394,5998755.81687728,5998907.264736,5999202.63486434,5999630.03980538
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",113067.993374684,103.585026229988,112917.357910771,113008.07315038,113066.921549327,113139.105886352,113237.830848653
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",113067.993374684,103.585026229988,112917.357910771,113008.07315038,113066.921549327,113139.105886352,113237.830848653
"Num Offtake","Adult Female",1338757.16114005,63.1645325978284,1338664.39254738,1338715.10396453,1338748.75295542,1338792.59734534,1338872.94297804
"Num Offtake","Adult Male",695127.516601671,249.035008829076,694832.659364077,694923.293201052,695111.246834832,695313.987584794,695553.111560347
"Num Offtake","Oxen",3852061.67925654,10.5704388126569,3852044.8689307,3852055.35679806,3852061.9205317,3852070.47503425,3852077.26104727
"Cml Pop Growth","Overall",-782266.716159605,51021.3575286765,-875003.638504326,-807576.719718991,-767842.345590632,-742587.773128023,-722657.374698333
"Cml Pop Growth","Neonatal Female",-380665.868478582,29045.6059911581,-434001.625028786,-394848.828299881,-372994.018714872,-360184.386908066,-344295.827003072
"Cml Pop Growth","Neonatal Male",-30745.8892270127,19986.4228621203,-70630.1047617393,-37581.0668934009,-24285.706672776,-16220.3245020804,-12820.0907641994
"Cml Pop Growth","Neonatal Combined",-411411.757705595,40136.1738210997,-493305.82663723,-434308.338863585,-408033.992663551,-381205.868705962,-357115.917767271
"Cml Pop Growth","Juvenile Female",1068314.79129055,9250.65637208216,1049490.98074658,1064999.08079175,1071143.18456246,1073637.25475771,1078324.51005889
"Cml Pop Growth","Juvenile Male",1494081.86184858,16760.8641847175,1465244.57161926,1482367.58689199,1495320.36323942,1504571.86720625,1519563.02486634
"Cml Pop Growth","Juvenile Combined",2562396.65313913,20895.0196592163,2529219.22004359,2552984.23302088,2567896.19627526,2573701.84148234,2597240.12592009
"Cml Pop Growth","Adult Female",-769068.548948553,2626.64694845981,-772874.728752494,-770549.767006014,-769075.965353448,-767246.598301872,-764809.146994539
"Cml Pop Growth","Adult Male",1281385.25646433,3012.97706281531,1277416.72513646,1279256.50956176,1280580.56358998,1283727.31348638,1286964.91707816
"Cml Pop Growth","Oxen",-3445568.31910891,182.583068677815,-3445783.7762742,-3445720.22782476,-3445581.19179887,-3445432.83923248,-3445254.23521759
"Total Number Increase","Overall",5216747.63421334,51052.2731490956,5124218.55083736,5191352.76262864,5231225.17658071,5256488.07835784,5276083.70778172
"Total Number Increase","Neonatal Female",-380665.868478582,29045.6059911581,-434001.625028786,-394848.828299881,-372994.018714872,-360184.386908066,-344295.827003072
"Total Number Increase","Neonatal Male",-30745.8892270127,19986.4228621203,-70630.1047617393,-37581.0668934009,-24285.706672776,-16220.3245020804,-12820.0907641994
