"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1271093.17267963,64.9620372972793,1271024.92391909,1271043.8265657,1271082.26627755,1271108.63196353,1271223.35873358
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",30285.9105703214,7.63758722361229,30274.5998315369,30281.523031994,30285.2639820051,30289.3471812898,30302.2067635378
"Num Offtake","Juvenile Male",91784.1128838924,35.4310364798378,91752.5481260423,91756.8268001567,91776.1665582562,91790.4959804585,91857.9272552482
"Num Offtake","Juvenile Combined",122070.023454214,38.5723988742868,122032.238856556,122039.056847315,122061.863527159,122085.023370345,122143.789091405
"Num Offtake","Adult Female",109938.329151833,1.18634121324891,109936.1573449,109937.828242887,109938.302916372,109938.869928214,109940.661930492
"Num Offtake","Adult Male",1039084.82007359,27.1545754645564,1039051.63705992,1039071.95113501,1039079.85006947,1039088.34661041,1039141.22617689
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-95173.3309895577,5095.42292464585,-101936.421174064,-98210.6236629346,-95303.4732829016,-93391.4666651883,-86550.3244418912
"Cml Pop Growth","Neonatal Female",-373482.843503996,2228.24887712794,-377235.687881631,-374837.204438978,-373570.865237513,-372509.939775717,-369715.005724527
"Cml Pop Growth","Neonatal Male",-100665.988367092,1648.948431717,-103007.934603487,-101862.411450131,-101097.870962148,-99270.091294921,-98214.0430964052
"Cml Pop Growth","Neonatal Combined",-474148.831871089,3286.55108700907,-478734.452322392,-475971.012870092,-474612.043000644,-473396.241972603,-468642.63355552
"Cml Pop Growth","Juvenile Female",491006.57676523,1088.93579327518,489467.359083439,490211.551757252,490867.108959188,492027.785288909,492426.011281811
"Cml Pop Growth","Juvenile Male",447579.976233631,900.616101887081,446539.275897573,446948.481436939,447349.071981781,448027.288054263,449082.840401868
"Cml Pop Growth","Juvenile Combined",938586.552998861,1771.35779585639,936006.634981012,936952.226276222,939053.191360963,939659.063285478,941351.989533608
"Cml Pop Growth","Adult Female",172517.986262895,175.181900490201,172261.645422106,172417.50893578,172500.458374216,172599.276685646,172891.244796937
"Cml Pop Growth","Adult Male",-732129.038380224,162.574311286445,-732283.918992557,-732247.614504327,-732168.090290641,-732096.047976053,-731793.735824579
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1175919.84169008,5135.71757941267,1169129.93896584,1172853.383348,1175726.23245501,1177801.07245099,1184629.02234644
"Total Number Increase","Neonatal Female",-373482.843503996,2228.24887712794,-377235.687881631,-374837.204438978,-373570.865237513,-372509.939775717,-369715.005724527
"Total Number Increase","Neonatal Male",-100665.988367092,1648.948431717,-103007.934603487,-101862.411450131,-101097.870962148,-99270.091294921,-98214.0430964052
"Total Number Increase","Neonatal Combined",-474148.831871089,3286.55108700907,-478734.452322392,-475971.012870092,-474612.043000644,-473396.241972603,-468642.63355552
"Total Number Increase","Juvenile Female",521292.487335552,1094.51861248217,519747.049813953,520491.12738158,521151.234608367,522317.132470199,522717.959330195
"Total Number Increase","Juvenile Male",539364.089117523,933.830267974857,538291.824023616,538711.363858831,539122.259579502,539815.058986404,540940.767657116
"Total Number Increase","Juvenile Combined",1060656.57645307,1801.52752984388,1058038.87383757,1058988.62870071,1061126.80105948,1061778.01579543,1063474.24134177
"Total Number Increase","Adult Female",282456.315414728,176.221876189085,282197.802767006,282355.206433942,282439.245709483,282537.575804294,282831.906727429
"Total Number Increase","Adult Male",306955.781693363,188.238237196972,306786.475690071,306809.505779297,306913.497163748,306990.107267072,307347.490352312
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",779681.007207267,4581.41977212991,773080.320568196,776415.450751063,779602.388077575,782955.175510201,785540.772185006
"Total Mortality","Neonatal Female",180833.467203157,2761.67003114426,176848.700158708,179320.212568287,180793.348039444,182848.768848786,184866.134953023
"Total Mortality","Neonatal Male",149889.16684003,2450.00360185171,145235.318421685,148087.985606401,150466.294426011,151912.371710825,152624.02534204
"Total Mortality","Neonatal Combined",330722.634043188,4237.48289592108,324556.195526966,327472.214777851,331248.274034801,333981.660927131,335836.423162714
"Total Mortality","Juvenile Female",150387.155918079,512.108999441614,149701.156019275,149970.709237328,150428.718918336,150648.905319471,151243.489838941
"Total Mortality","Juvenile Male",105421.255661745,479.82131662734,104829.667708574,105058.655013021,105353.193594006,105863.507772421,106061.403293632
"Total Mortality","Juvenile Combined",255808.411579824,636.954060596686,254960.974159929,255447.336094917,255694.970309048,256375.377546653,256747.84790592
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",193149.961584255,5.04761989250757,193143.793369985,193147.569445573,193149.037736571,193150.617113465,193160.446615386
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",13007423092.7839,48965246.2046962,12937647719.348,12968141814.3322,13008801554.6252,13042840793.003,13070462379.9819
"Value of Total Mortality","Neonatal Female",1725696949.16429,26354665.5442377,1687670247.37014,1711255933.64269,1725314091.28132,1744929008.11497,1764180768.23035
"Value of Total Mortality","Neonatal Male",1749266706.04106,28592524.8685504,1694954428.07729,1728246198.489,1756002016.48796,1772878318.50508,1781183601.86586
"Value of Total Mortality","Neonatal Combined",3474963655.20535,44654158.3310813,3411475972.14386,3435797473.48076,3484047984.51838,3508511213.12953,3529344815.29845
"Value of Total Mortality","Juvenile Female",1881841094.4419,6408178.63799295,1873256965.08277,1876629968.04818,1882361185.14656,1885116445.83064,1892556666.214
"Value of Total Mortality","Juvenile Male",1392498917.81294,6337912.216593,1384684691.17135,1387709361.78102,1391599892.70574,1398340582.11156,1400954564.43797
"Value of Total Mortality","Juvenile Combined",3274340012.25484,8178711.55057205,3263473147.09005,3269870832.0078,3272997897.75681,3281624103.96006,3286540751.07492
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",6258119425.32375,163544.470016173,6257919573.24392,6258041919.27904,6258089492.3686,6258140664.67607,6258459143.62583
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1052989683.4689,291336911.671291,677801128.423064,795993461.873675,999472535.854944,1328171290.0936,1444691968.87814
"Population Liveweight (kg)","Neonatal Female",40264273.5958057,33276506.7782189,3666069.64023972,8868836.45139504,31206944.0903437,73998875.2787732,83452560.4155233
"Population Liveweight (kg)","Neonatal Male",47337080.8753668,34803669.2944713,3308421.1484853,11316258.6864089,53472718.9017256,72647633.1957041,98106674.6266186
"Population Liveweight (kg)","Juvenile Female",141360959.752494,110307502.765128,4917695.55973892,27832760.2429775,166960993.897464,220806775.257137,283563697.185562
"Population Liveweight (kg)","Juvenile Male",104169429.58376,72715884.1872265,6040194.24016765,31403554.1286804,119498377.019716,165030953.500052,183488146.925045
"Population Liveweight (kg)","Juvenile Combined",245530389.336254,152123110.233393,10957889.7999066,147825529.538231,289762956.348636,357941856.118343,467051844.110607
"Population Liveweight (kg)","Adult Female",534158145.468345,367912227.577018,53044105.5957354,238699809.359422,464130212.405622,916347156.789988,1007836731.37199
"Population Liveweight (kg)","Adult Male",185699794.193131,74534055.2850645,61156131.0081487,124406914.677383,189805065.365422,250640044.039973,282960493.15102
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",176973258.654605,90003984.2948127,43200878.7045439,95082300.0928375,199382039.826346,261652774.583297,266455897.953251
"Offtake Liveweight (kg)","Juvenile Female",2704636.69796205,1451565.96196327,1059883.63117703,1219082.01655816,2846044.02006793,3717302.27764441,5060468.52951081
"Offtake Liveweight (kg)","Juvenile Male",7242434.44184193,5202933.01302189,91756.0273192999,3602303.62646144,6839889.89601268,11724839.5553126,14774300.6126619
"Offtake Liveweight (kg)","Adult Female",11994254.7592662,6799647.23031435,439753.373861149,9317316.82413161,13137772.3256008,16957863.7393011,19678572.1647371
"Offtake Liveweight (kg)","Adult Male",155031932.755535,86387623.5868469,33249652.3859175,74034750.5822621,179766224.51694,236651990.456886,241067052.543929
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",516455920.775111,52878423.9743279,431627277.878455,485419027.393923,508213718.179062,554000376.188495,592365563.993454
"Manure","Overall",6407383214.65144,259415208.87302,5997518848.93625,6240606388.58803,6418268552.02904,6645425174.18718,6723709437.10456
"Manure","Neonatal Female",318940387.835659,5268398.64671387,309971101.527117,314681883.524175,321296635.269461,323293051.967685,323541313.412696
"Manure","Neonatal Male",265066675.455461,4388808.08742048,259403252.299417,260855103.022519,265417192.807175,267828442.372345,272411101.058428
"Manure","Neonatal Combined",584007063.291121,6302328.72154834,573845267.527721,580709037.112359,583124007.121998,587594762.485468,595841200.708745
"Manure","Juvenile Female",604401233.076941,14337876.1276916,581526791.429904,596008246.566733,606611131.329508,614652573.122859,623191483.546733
"Manure","Juvenile Male",431247865.078071,14602714.2180084,412471581.463929,420378263.809426,427990082.905864,444158914.552717,454779052.003984
"Manure","Juvenile Combined",1035649098.15501,15754424.5641678,999533589.393134,1033317517.17354,1038661248.47859,1042410867.88597,1054483175.20528
"Manure","Adult Female",3622327372.69988,238601440.60678,3184247744.53028,3466854172.75792,3620466048.3226,3780150281.55244,3938456005.3142
"Manure","Adult Male",1165399680.50543,68547686.9991517,1036318461.23375,1141088078.42513,1167572577.53845,1215085615.03985,1256636189.98934
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",224479.18658204,317.116744944488,224058.558289922,224297.646388126,224422.428965585,224761.495723568,224946.127760359
"Hides","Juvenile Female",75193.5779590394,256.054499720807,74850.5780096375,74985.3546186641,75214.3594591682,75324.4526597353,75621.7449194705
"Hides","Juvenile Male",52710.6278308727,239.91065831367,52414.8338542872,52529.3275065105,52676.5967970028,52931.7538862103,53030.7016468161
"Hides","Juvenile Combined",127904.205789912,318.477030298343,127480.487079964,127723.668047458,127847.485154524,128187.688773327,128373.92395296
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",96574.9807921276,2.52380994625378,96571.8966849927,96573.7847227863,96574.5188682856,96575.3085567327,96580.2233076931
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",257489447.845442,42978237.6302145,177550120.525156,233840661.541536,273393058.23928,284486453.341471,303556809.628746
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",12760457243.8933,1139436475.8103,11605497341.8241,11970776703.2654,12418451379.5232,13161653286.1815,15216388589.8402
"Cml Dry Matter","Neonatal Female",738230106.281474,80884970.6956258,657125066.619583,665827969.330712,717816877.173358,799146456.476423,894739960.122646
