"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1158783.31405197,32.3476173660547,1158746.75555012,1158763.93206355,1158773.74554304,1158787.73701312,1158846.97985309
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",35627.7173338847,8.83838068748117,35618.3614044956,35619.659685172,35628.1295579054,35632.9642947921,35645.3863493746
"Num Offtake","Juvenile Male",20461.0814720952,6.45282305298354,20452.7244923005,20457.1484303989,20460.5902912301,20462.114148929,20472.2333836617
"Num Offtake","Juvenile Combined",56088.7988059799,13.3527936726769,56075.7727256415,56079.7780088631,56083.2120575825,56093.3275919712,56116.5947958136
"Num Offtake","Adult Female",233834.33638358,1.92968151504026,233832.271418991,233832.668383291,233833.964579599,233835.715067311,233838.050237985
"Num Offtake","Adult Male",868860.178862409,19.5146585213255,868833.082617697,868854.296089851,868857.875698539,868864.596763205,868892.334819294
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-683795.965442702,2006.20729692236,-687490.729824761,-685183.730688321,-683205.500424804,-682455.800030927,-681165.39033035
"Cml Pop Growth","Neonatal Female",-427877.781183303,1297.55824264851,-430354.311397289,-428664.845362878,-427523.326328878,-426920.51845852,-426301.04324683
"Cml Pop Growth","Neonatal Male",-155029.132373679,1025.05506785831,-156642.184488199,-155498.404675781,-155325.72720459,-154502.097028867,-153406.356426148
"Cml Pop Growth","Neonatal Combined",-582906.913556981,1376.57997563164,-584512.972972953,-583772.309917034,-583235.37466758,-582273.310801672,-579707.399672978
"Cml Pop Growth","Juvenile Female",472004.138780942,838.673247438187,470846.579933827,471463.599532969,471946.618933351,472658.639488011,473184.129235354
"Cml Pop Growth","Juvenile Male",488792.762518943,623.937944301235,487827.031504569,488467.845743582,488881.874328763,489127.028344132,489894.62327208
"Cml Pop Growth","Juvenile Combined",960796.901299885,1119.0301075164,958977.959484169,960025.46458449,960776.641902931,961532.733976796,962537.525734424
"Cml Pop Growth","Adult Female",-501002.556498202,167.301777184581,-501180.303888801,-501157.014705699,-500995.476446833,-500904.426414692,-500668.450405016
"Cml Pop Growth","Adult Male",-560683.396687403,137.916276285855,-560858.883263262,-560774.46313814,-560694.299442514,-560657.683383873,-560440.935753408
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",474987.348609267,2017.02811666537,471271.611498659,473590.435093071,475545.161198911,476387.236902279,477603.313953595
"Total Number Increase","Neonatal Female",-427877.781183303,1297.55824264851,-430354.311397289,-428664.845362878,-427523.326328878,-426920.51845852,-426301.04324683
"Total Number Increase","Neonatal Male",-155029.132373679,1025.05506785831,-156642.184488199,-155498.404675781,-155325.72720459,-154502.097028867,-153406.356426148
"Total Number Increase","Neonatal Combined",-582906.913556981,1376.57997563164,-584512.972972953,-583772.309917034,-583235.37466758,-582273.310801672,-579707.399672978
"Total Number Increase","Juvenile Female",507631.856114827,846.368051271811,506465.010177568,507083.555739986,507574.748491256,508290.754629003,508829.515584728
"Total Number Increase","Juvenile Male",509253.843991038,629.756514340612,508279.755996869,508925.900972148,509342.770024724,509588.166863569,510366.856655742
"Total Number Increase","Juvenile Combined",1016885.70010586,1131.15665407211,1015053.73220981,1016105.10403128,1016862.10572965,1017624.90903991,1018654.12053024
"Total Number Increase","Adult Female",-267168.220114622,169.120785710584,-267347.773195311,-267323.968303938,-267160.915695122,-267068.778012305,-266830.400167031
"Total Number Increase","Adult Male",308176.782175006,156.8660679262,307974.199354435,308079.832951711,308164.76376427,308202.579444291,308448.688491638
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1224661.10130455,1894.74777634802,1222282.07521673,1223521.73527786,1224349.89569246,1226003.81836779,1227704.67148213
"Total Mortality","Neonatal Female",178668.798176885,1533.65856328986,176925.176734353,177427.452050309,178387.130825887,179375.416335087,181485.820151267
"Total Mortality","Neonatal Male",147308.213012733,1444.98376748044,145561.979396787,146141.890149852,147144.352018026,148536.796032147,149548.342970252
"Total Mortality","Neonatal Combined",325977.011189618,1905.23522717275,322487.15613114,325450.154828763,326349.695427224,327172.944227568,328859.729138617
"Total Mortality","Juvenile Female",149488.598207356,794.857811106707,148200.450441225,148798.701298601,149697.227470856,150081.218133363,150411.980188867
"Total Mortality","Juvenile Male",107405.856560987,570.307303576966,106484.928840875,107000.991644332,107405.171319366,107621.290603733,108380.120638943
"Total Mortality","Juvenile Combined",256894.454768342,963.006449919447,255411.426538956,256227.641261465,256789.747276117,257297.346470787,258665.912658111
"Total Mortality","Adult Female",438439.380719213,3.61815284074135,438435.508910609,438436.25321867,438438.683586748,438441.965751209,438446.344196222
"Total Mortality","Adult Male",203350.254627372,4.56726050499878,203343.912953078,203348.877808263,203349.71558902,203351.288604154,203357.780489622
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1090197780.4684,321107273.418029,627383323.396126,881927538.971779,1116975266.12422,1270318637.24462,1681811824.90871
"Population Liveweight (kg)","Neonatal Female",50376488.177983,33854003.4523275,1170233.64831737,26324569.6384468,44970539.6145628,73157365.2813527,109883360.314621
"Population Liveweight (kg)","Neonatal Male",37888229.7820261,30671810.9527314,2097954.89148416,16008956.4289269,32507347.6989191,46479003.6126972,93342665.7999415
"Population Liveweight (kg)","Juvenile Female",125008299.211682,114490091.720747,4855841.351432,31147194.3917162,65559064.6577731,247843665.356038,271897140.681602
"Population Liveweight (kg)","Juvenile Male",127252052.029733,62365770.9212181,36215388.3194512,71159777.138183,140516155.266413,178010175.735375,207355206.399859
"Population Liveweight (kg)","Juvenile Combined",252260351.241416,117914565.299537,68586679.4100878,181880867.517391,210636994.446697,339281287.876031,445631932.436959
"Population Liveweight (kg)","Adult Female",509397143.324952,381083985.107512,50937804.5313876,170189129.230703,470024468.21921,750239820.321498,1065066438.3387
"Population Liveweight (kg)","Adult Male",240275567.942022,128198029.385026,3186672.7137096,167697701.340087,203939156.626207,372017041.172038,377680451.964106
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",163954663.522934,73602262.1987516,36920670.8173979,120708063.357945,177328958.965561,214503262.616506,256673333.011053
"Offtake Liveweight (kg)","Juvenile Female",3071053.38000345,2208502.32756514,106900.166615076,1327453.69019379,3027913.57306311,4978074.74050302,6306579.54141556
"Offtake Liveweight (kg)","Juvenile Male",2643542.17452753,1071824.26065626,961450.286824149,2101847.73689518,2916716.41946999,3549422.30848283,3662421.18125888
"Offtake Liveweight (kg)","Adult Female",31474125.341913,17007796.0236954,3975153.02178932,18765153.4384682,38699633.7391335,43318271.4846597,47234880.0902467
"Offtake Liveweight (kg)","Adult Male",126765942.62649,71073728.8196208,15639451.0692787,90144206.6430216,134240653.324293,192446565.616795,206790077.797691
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",443770763.235263,77635658.2655555,333586564.992651,398238945.150531,439277128.264774,480204398.957329,612277659.910859
"Manure","Overall",6104766653.14982,144902009.381538,5927717435.02713,6015002816.2426,6084099242.24645,6185127328.84645,6413774588.33944
"Manure","Neonatal Female",310077970.262246,7884729.94410053,298605025.659334,304056831.738685,310102519.640092,314380405.79172,323918726.866443
"Manure","Neonatal Male",262199598.882829,7481324.14228033,250815481.188369,260862857.212797,261401736.288208,264558154.913678,276337602.102997
"Manure","Neonatal Combined",572277569.145075,10886355.1610096,555196917.775049,562615297.012834,575116484.851985,580339053.274872,584833510.523984
"Manure","Juvenile Female",610574220.088848,11531878.0087712,592039434.597479,605327189.464203,610422838.675447,616581993.267702,629441255.532129
"Manure","Juvenile Male",447961453.370753,16798086.3180463,422008849.761626,435476664.829843,451673451.380641,461289760.691019,468709866.315552
"Manure","Juvenile Combined",1058535673.4596,22751675.7509677,1014048284.3591,1049278830.05929,1067800122.9225,1071260258.45316,1085551339.22234
"Manure","Adult Female",3248471445.66506,173876838.781791,3075644366.10052,3105780803.60006,3241641669.47679,3310655328.25681,3652504919.53723
"Manure","Adult Male",1225481964.88008,39622962.1138243,1152026837.85598,1198793278.3183,1233373948.06506,1246363253.18554,1277563341.69818
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",449342.045057464,480.371238216048,448607.7756124,449005.481573599,449289.889583058,449543.192182634,450225.928573383
"Hides","Juvenile Female",74744.2991036778,397.428905553354,74100.2252206127,74399.3506493006,74848.613735428,75040.6090666816,75205.9900944337
"Hides","Juvenile Male",53702.9282804934,285.153651788483,53242.4644204374,53500.4958221659,53702.5856596831,53810.6453018663,54190.0603194716
"Hides","Juvenile Combined",128447.227384171,481.503224959723,127705.713269478,128113.820630733,128394.873638058,128648.673235394,129332.956329056
"Hides","Adult Female",219219.690359606,1.80907642037068,219217.754455304,219218.126609335,219219.341793374,219220.982875604,219223.172098111
"Hides","Adult Male",101675.127313686,2.28363025249939,101671.956476539,101674.438904131,101674.85779451,101675.644302077,101678.890244811
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",222846928.906471,47784051.6221578,163708276.745531,195725049.38593,210021239.581946,236719577.01912,331370022.197241
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",12126054867.1853,770633040.553504,10634100509.6386,11911777576.7906,12338941069.0807,12556266946.8357,13186129571.9013
"Cml Dry Matter","Neonatal Female",732652211.965582,58864435.249902,630233105.745487,711175725.772304,748106683.856124,764933942.482924,798978724.902295
"Cml Dry Matter","Neonatal Male",616706410.159629,45098652.5253811,567502873.478138,578859308.682896,605395831.532161,637656945.051256,703078800.701522
"Cml Dry Matter","Neonatal Combined",1349358622.12521,81214026.7717747,1234766287.39979,1288212857.70276,1333222475.84554,1434973293.76036,1436593018.75506
"Cml Dry Matter","Juvenile Female",1201762102.13667,176054080.664894,950433127.841095,1074209691.3951,1163998959.7501,1376114467.97237,1437360732.82084
"Cml Dry Matter","Juvenile Male",927120032.985567,157756568.700882,721477843.396876,838236873.619244,928954047.336982,955190636.452936,1290199286.03782
"Cml Dry Matter","Juvenile Combined",2128882135.12224,277458115.522083,1741850938.77363,1973400262.71913,2016106759.49259,2284986136.86848,2701346425.93086
"Cml Dry Matter","Adult Female",6275629380.87683,607443876.798921,4778107922.52161,6397429884.11427,6503271568.13347,6610768582.31993,6670040414.23152
"Cml Dry Matter","Adult Male",2372184729.06098,158232670.245115,2085768660.48771,2351966079.27142,2387831896.23203,2481941356.155,2574624333.99896
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",27335488575.3481,3774938398.95539,21498384202.3429,25457862247.7429,26701738244.2858,30241958314.7438,32911142402.4595
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",390767411.516617,71868174.5549625,244608784.358229,343495953.089215,405690609.53647,442401001.955162,477387555.066306
"Value of Offtake","Juvenile Male",329202716.646433,86222895.2936575,201794721.881934,274947579.534666,321314248.037856,404836221.388342,452932549.903252
"Value of Offtake","Juvenile Combined",719970128.16305,131494886.381956,471523791.70115,676702474.683926,742260059.081848,801075231.525468,930320104.969558
"Value of Offtake","Adult Female",3464686679.62118,389667464.61384,2603386251.1364,3302793702.99518,3552764790.24677,3636406135.63982,4107942267.11642
