"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",280669.307364385,3448.45679848827,274683.59939658,279676.645624778,280626.057425313,281394.67833892,287437.43099212
"Num Offtake","Neonatal Female",19449.9306883766,436.759089892942,18687.1595886453,19314.4273046739,19446.5053177208,19552.3830459775,20296.1101750094
"Num Offtake","Neonatal Male",72240.8879902043,2601.31561480475,67678.910111656,71380.3396832905,72234.4889247306,72917.9522096613,77211.5558942111
"Num Offtake","Neonatal Combined",91690.8186785808,3037.99547189201,86366.0697003012,90694.7669879645,91680.9942424514,92470.3352556388,97507.6660692204
"Num Offtake","Juvenile Female",61231.0863233258,345.812620974437,60685.0026882103,61128.8175261332,61189.6061539906,61277.3569346266,61991.8375511935
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",61231.0863233258,345.812620974437,60685.0026882103,61128.8175261332,61189.6061539906,61277.3569346266,61991.8375511935
"Num Offtake","Adult Female",119204.684330039,38.4606591262042,119152.366571819,119185.334937746,119196.381988823,119217.155574066,119291.453860095
"Num Offtake","Adult Male",8542.71803244017,45.9898923318096,8480.16043624942,8519.58517462757,8532.79205396636,8557.62255584092,8646.47351161121
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",482897.258197135,33868.0003962603,430707.429223563,453406.826491389,486024.423192742,508737.947159253,534292.890052253
"Cml Pop Growth","Neonatal Female",75813.5601033865,11285.834230621,61032.6885839136,65915.2665903342,77411.3761592852,83401.9544390838,91097.2651198547
"Cml Pop Growth","Neonatal Male",194031.65765663,10047.9846544332,180029.578749988,185371.40754076,195582.042181165,200711.768164245,208865.706476382
"Cml Pop Growth","Neonatal Combined",269845.217760017,21318.3337463994,241062.267333902,251286.674131094,272993.41834045,284105.150479968,299962.971596237
"Cml Pop Growth","Juvenile Female",46604.9420037803,6284.79728733166,35474.5959244852,44196.0658862801,46670.0648782513,48633.6673944939,58175.3995649005
"Cml Pop Growth","Juvenile Male",145972.252821081,6042.39558638642,135260.383576553,143597.200279739,146052.73084745,148003.335075489,157005.767119555
"Cml Pop Growth","Juvenile Combined",192577.194824861,12327.0261485455,170734.979501038,187793.266166019,192722.795725701,196637.002469983,215181.166684456
"Cml Pop Growth","Adult Female",-22159.6661651387,1158.64146923647,-24004.2616361902,-22485.8181992565,-22291.0355090846,-22019.6109851604,-19618.0073610317
"Cml Pop Growth","Adult Male",42634.5117773954,1156.51395165341,40794.2467162234,42308.3703643871,42503.1568996506,42774.8817670915,45171.652313583
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",763566.56556152,37007.4185331663,705391.028620143,733083.472116167,766650.480618055,792156.129037012,821730.321044373
"Total Number Increase","Neonatal Female",95263.490791763,11632.0577693972,79849.4471988976,85018.0936695639,96857.881477006,103205.427031537,110596.364308937
"Total Number Increase","Neonatal Male",266272.545646835,12117.5447428927,249699.087143895,255527.597902401,267816.531105896,274669.488293035,281825.132158272
"Total Number Increase","Neonatal Combined",361536.036438598,23743.6130463709,329548.534342793,340545.691571965,364674.412582902,377874.915324572,392063.438143118
"Total Number Increase","Juvenile Female",107836.028327106,6611.9281963236,96159.5986126955,105416.21909348,107875.743327316,109831.657228714,120167.237116094
"Total Number Increase","Juvenile Male",145972.252821081,6042.39558638642,135260.383576553,143597.200279739,146052.73084745,148003.335075489,157005.767119555
"Total Number Increase","Juvenile Combined",253808.281148187,12653.1077890598,231419.982189248,249013.419373219,253928.474174765,257834.992304204,277173.004235649
"Total Number Increase","Adult Female",97045.0181648998,1196.43642415285,95148.1049356292,96699.5167384897,96905.3464797385,97197.5445889054,99673.4464990635
"Total Number Increase","Adult Male",51177.2298098356,1201.71749553252,49274.4071524728,50827.9555390146,51035.948953617,51332.5043229324,53818.1258251942
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",110903.748634385,2414.49430094081,106711.991763276,110214.097041909,110870.467239261,111399.456514028,115652.911711777
"Total Mortality","Neonatal Female",49155.2793760789,1103.80933627489,47227.5487785762,48812.8253699941,49146.6225302399,49414.2044252886,51293.8057150238
"Total Mortality","Neonatal Male",28285.8688186997,1018.5432970644,26499.6295930146,27948.9217351476,28283.3632691199,28550.9728370223,30232.1303360432
"Total Mortality","Neonatal Combined",77441.1481947786,2122.24039782077,73727.1783715908,76761.7471051417,77429.9857993598,77965.177262311,81525.936051067
"Total Mortality","Juvenile Female",27116.6239431871,153.14558928868,26874.7869047788,27071.333475859,27098.2541539101,27137.1152139061,27453.5280583857
"Total Mortality","Juvenile Male",6345.97649641962,149.012969446031,6110.02648690663,6302.66648683781,6328.45767024851,6365.23053604361,6673.44760232408
"Total Mortality","Juvenile Combined",33462.6004396068,302.157902655512,32984.8133916855,33373.9999626968,33426.7118241586,33502.3457499497,34126.9756607098
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",658848999.381209,69015729.8901637,500225679.65079,649028782.219251,666200504.507852,693278617.931347,758349677.697288
"Population Liveweight (kg)","Neonatal Female",26404505.1109292,17812490.0224114,393189.179120757,12072168.4484716,26424935.3740499,41121081.2701564,53924124.6076348
"Population Liveweight (kg)","Neonatal Male",22900417.6833842,16050486.9041984,293123.13481403,7785963.8906254,30682353.3548165,36291159.7240484,39475253.1830936
"Population Liveweight (kg)","Juvenile Female",109083343.101075,49941287.4349809,39765852.5139526,69620449.8117492,107764322.648641,151193513.360027,174990333.667043
"Population Liveweight (kg)","Juvenile Male",47342520.3230179,14363901.1493261,20976619.1263681,38108283.768735,50108291.0377423,57552395.1838397,66225961.4641777
"Population Liveweight (kg)","Juvenile Combined",156425863.424093,48360162.0598786,76350611.9283487,133553007.452364,152906416.034857,183911416.91262,233338704.240119
"Population Liveweight (kg)","Adult Female",428981098.926224,55331640.5027638,286422408.203034,436235886.8877,446062698.012533,454514368.329939,476834020.974153
"Population Liveweight (kg)","Adult Male",24137114.2365785,13756740.3466696,5869562.64706319,13270781.3524351,21403700.9667056,37253665.9542562,43623622.4408672
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",72048844.7450465,10766298.3210725,59506883.3400047,62114193.6823228,70304113.542594,83133238.3608927,85873785.3690188
"Offtake Liveweight (kg)","Juvenile Female",9559517.55983448,7105030.49004843,1224263.49271377,4711980.70204262,7652658.67795539,14668501.0628789,22509101.8634038
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",59488176.7022995,6390726.64202313,50722287.9391284,54856575.9661188,58786146.7459197,63281427.2724801,71027301.2191177
"Offtake Liveweight (kg)","Adult Male",3001150.48291252,1433262.33267576,907879.718719177,1716710.86659709,3587635.69239934,4204571.00792433,4570806.47513844
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",239382171.631111,8637376.07653848,227436414.222882,230598925.192744,242372511.962695,245758502.612556,250501890.127128
"Manure","Overall",976374623.242562,34306117.253283,922979188.789216,957239383.260469,975059843.11698,982630785.437538,1042812715.469
"Manure","Neonatal Female",84958950.2997956,2318971.30322773,80191480.1647343,84144993.0743802,84728748.3967555,86565690.01434,88017246.9366121
"Manure","Neonatal Male",51782911.1806475,1874493.82088329,48279183.5642534,51543890.1927336,51975369.9518138,52644624.2225799,55030278.505092
"Manure","Neonatal Combined",136741861.480443,3870439.42644428,128470663.728988,135361081.808319,136833743.892641,139069245.937629,142847552.387897
"Manure","Juvenile Female",182281064.4157,6728851.31724487,171032912.468129,179715204.868541,181975347.510835,183205890.678233,194911232.399302
"Manure","Juvenile Male",47030441.9314639,2202824.52951684,43714544.0342861,46058265.3328289,46940831.204503,48267383.4095356,51437041.7327708
"Manure","Juvenile Combined",229311506.347164,7459907.3958905,217508238.959181,227857525.051603,229269193.946306,230044412.423701,241892479.35352
"Manure","Adult Female",573029843.599618,33657461.4622941,519510615.728266,560715977.067317,571311703.782332,581140993.243216,642325163.177346
"Manure","Adult Male",37291411.8153368,2423375.91144538,32108367.1989131,37075584.6062739,37529120.7324978,38439888.2653499,40607226.9599139
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",16731.3002198034,151.078951327756,16492.4066958427,16686.9999813484,16713.3559120793,16751.1728749748,17063.4878303549
"Hides","Juvenile Female",13558.3119715936,76.5727946443399,13437.3934523894,13535.6667379295,13549.1270769551,13568.557606953,13726.7640291928
"Hides","Juvenile Male",3172.98824820981,74.5064847230156,3055.01324345332,3151.33324341891,3164.22883512425,3182.61526802181,3336.72380116204
"Hides","Juvenile Combined",16731.3002198034,151.078951327756,16492.4066958427,16686.9999813484,16713.3559120793,16751.1728749748,17063.4878303549
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",3363241581.77923,401405634.107032,2739238659.35941,3135167866.83624,3321470451.06591,3497083761.93818,4148882389.124
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",5622692420.82347,254767988.573119,5363130095.84998,5438924141.7558,5525051839.00504,5798385324.5131,6080976743.00601
"Cml Dry Matter","Neonatal Female",271343409.156717,25099243.0894342,239174305.358236,254029897.676088,266494896.366076,286878774.148497,315993567.736961
"Cml Dry Matter","Neonatal Male",165065390.871178,15355011.3805788,140569612.563848,151837840.381692,170019394.558308,175902545.858136,183958039.620661
