"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",292753.35218665,28.9557905715119,292695.757316962,292738.530309533,292758.325897619,292764.939003457,292799.142667482
"Num Offtake","Neonatal Female",20137.7843300085,3.69847983988398,20130.3941259094,20135.8048659622,20138.4271674618,20139.3211166485,20143.5669054366
"Num Offtake","Neonatal Male",66305.5664614796,21.6742857012944,66261.9785294015,66293.3350281425,66309.5528974664,66314.9498090627,66338.7402837676
"Num Offtake","Neonatal Combined",86443.3507914881,25.3718187536557,86392.3726553109,86429.1398941048,86447.9800649282,86454.2709257112,86482.3071892042
"Num Offtake","Juvenile Female",68106.8803119907,3.01088045692094,68101.4673237696,68106.1494297027,68107.0001629445,68107.6998418856,68112.3985806148
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",68106.8803119907,3.01088045692094,68101.4673237696,68106.1494297027,68107.0001629445,68107.6998418856,68112.3985806148
"Num Offtake","Adult Female",129673.67080328,0.350005642813378,129673.092807925,129673.620586274,129673.680106,129673.802878758,129674.30254881
"Num Offtake","Adult Male",8529.45027989102,0.379288903655582,8528.82452995624,8529.39593832469,8529.46042166696,8529.59417042485,8530.13434885311
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",189112.232383821,326.151528816731,188537.374756582,188885.369517297,189108.13155201,189345.567316247,189541.417417553
"Cml Pop Growth","Neonatal Female",12028.1383000146,122.556350025635,11834.3831353835,11946.5365127994,12011.8652740127,12124.4748011898,12224.330641958
"Cml Pop Growth","Neonatal Male",122804.984673035,111.780192700181,122637.290851387,122729.80128936,122784.734277271,122895.152569892,122993.928593649
"Cml Pop Growth","Neonatal Combined",134833.12297305,234.241756275857,134471.67398677,134677.37355378,134796.599551284,135019.627371081,135218.259235607
"Cml Pop Growth","Juvenile Female",13041.5442059139,45.8154245968998,12948.3988864115,13012.8868561951,13050.6863872645,13063.135186792,13108.6385369222
"Cml Pop Growth","Juvenile Male",112036.638841105,43.6700319203252,111947.618708186,112009.225218718,112045.664204954,112057.939308935,112099.674293588
"Cml Pop Growth","Juvenile Combined",125078.183047019,89.4833601657437,124896.017594597,125021.665190115,125096.350592218,125121.074495727,125208.31283051
"Cml Pop Growth","Adult Female",-107992.554199929,8.55925110423637,-108008.039765684,-107994.822079625,-107992.215627398,-107990.159029898,-107976.872616609
"Cml Pop Growth","Adult Male",37193.4805636814,8.72318441838027,37177.7229408985,37191.2215742386,37193.8301613585,37195.8896797478,37209.4610951672
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",481865.584570471,352.319660149992,481233.132073543,481618.088880019,481870.212369528,482120.64964784,482311.636185424
"Total Number Increase","Neonatal Female",32165.9226300231,125.591697777577,31964.7772612928,32081.7535447595,32150.7708248258,32263.6058905492,32363.5228094442
"Total Number Increase","Neonatal Male",189110.551134515,129.62895879602,188899.269380788,189021.723002384,189096.92053466,189209.071944882,189308.457700653
"Total Number Increase","Neonatal Combined",221276.473764538,255.191410689325,220864.046642081,221103.476547143,221247.691359486,221472.677835431,221671.980510097
"Total Number Increase","Juvenile Female",81148.4245179046,48.675116555472,81049.866210181,81119.1391075221,81157.8070933014,81170.6280146479,81221.037117537
"Total Number Increase","Juvenile Male",112036.638841105,43.6700319203252,111947.618708186,112009.225218718,112045.664204954,112057.939308935,112099.674293588
"Total Number Increase","Juvenile Combined",193185.06335901,92.3322811724477,192997.484918367,193127.830497139,193203.471298255,193228.285058101,193320.711411125
"Total Number Increase","Adult Female",21681.1166033505,8.90233251526328,21665.0530422406,21678.8422051598,21681.4697111046,21683.5571095779,21697.4299322017
"Total Number Increase","Adult Male",45722.9308435724,9.09520458376894,45706.5474708547,45720.6657317596,45723.2965904572,45725.388452794,45739.5954440203
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",107433.880699906,2.49468644482734,107429.415668953,107433.312820279,107433.980943363,107434.574713804,107438.452641543
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",26391.4161208964,1.16671617705577,26389.3185879607,26391.1329040098,26391.462563141,26391.7336887306,26393.5544499882
"Total Mortality","Juvenile Male",5669.64342460298,1.12780536838732,5667.61188638599,5669.36255073819,5669.6887772167,5669.94816814645,5671.70983505851
"Total Mortality","Juvenile Combined",32061.0595454994,2.29451370975303,32056.9304743467,32060.495454748,32061.1513403577,32061.6812343791,32065.2642850467
"Total Mortality","Adult Female",75372.8211544064,0.203440779884925,75372.4851946063,75372.7919657715,75372.8265616128,75372.8979232783,75373.1883564959
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2327484448.84174,47728.6411208595,2327399121.63844,2327473764.70953,2327486369.40325,2327497798.1967,2327571917.89743
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",447017806.255743,19761.8386069624,446982278.242878,447013009.128118,447018592.894482,447023185.21972,447054025.2739
"Value of Total Mortality","Juvenile Male",117044118.857504,23282.4140249888,117002179.782552,117038320.497439,117045055.116861,117050409.983215,117086777.834948
"Value of Total Mortality","Juvenile Combined",564061925.113247,43044.1065790495,563984458.025431,564051329.625557,564063648.011343,564073582.352085,564140803.108848
"Value of Total Mortality","Adult Female",1763422523.72849,4759.70048620869,1763414663.61301,1763421840.83119,1763422650.23549,1763424319.81302,1763431114.78858
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",427068549.94773,112771316.356713,269326376.347111,328426946.517554,431620389.980971,511550081.786503,586346231.421599
"Population Liveweight (kg)","Neonatal Female",25423191.4595185,12197135.953346,965744.968896645,19628288.3376722,25574917.4700049,32922270.6085432,40886239.3645123
"Population Liveweight (kg)","Neonatal Male",32529923.8285523,7488072.38089395,20692771.346101,27055785.2077329,32497015.6225329,39561330.6363932,41560918.8969528
"Population Liveweight (kg)","Juvenile Female",97809987.9080484,45474819.130512,36802937.1302295,63219396.946407,89632086.4848771,140177310.73394,158908537.117626
"Population Liveweight (kg)","Juvenile Male",28344377.4390511,19411355.6992118,629367.738323184,8768696.5154629,37446167.9949552,42414446.5480272,54728264.8385378
"Population Liveweight (kg)","Juvenile Combined",126154365.347099,54981832.7490347,45139527.8843186,75385419.9613274,136902685.314346,164531541.440702,200753524.014558
"Population Liveweight (kg)","Adult Female",225935105.039905,119841242.930588,38563173.7747038,143097919.555329,233648117.447759,293379805.663835,409076815.030572
"Population Liveweight (kg)","Adult Male",17025964.2726549,12775471.3100535,1037712.93135568,7189832.23818807,14638579.7606633,29722874.718855,33874448.7533093
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",50043966.7231181,21352953.4186822,23295019.7685126,36840438.3528745,47974453.5142197,60940158.3114477,90322627.3550368
"Offtake Liveweight (kg)","Juvenile Female",13233225.9269557,5442445.23709972,6129587.96811925,9892394.100684,11680493.0529773,17436254.8019372,21249594.3094123
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",34052317.0356031,21573014.5147746,6483654.64039624,16176847.9946956,33715187.3577784,50183706.0242135,67170964.4749172
"Offtake Liveweight (kg)","Adult Male",2758423.76055924,1557189.55057538,179122.202072391,1313567.24891705,3343545.77668427,3878929.93069616,4563277.50917645
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",166753399.274965,26180588.0054379,132839358.741114,146648300.168837,162545029.676669,181554515.825749,213601405.341173
