"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4594929.93551007,177.313986644386,4594612.12668737,4594829.22945402,4594924.66738969,4595031.87877127,4595195.46116558
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94125.260479259,75.6761047344337,94019.5758510582,94091.7088836802,94111.5824584512,94136.7230599331,94292.1814117177
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",94125.260479259,75.6761047344337,94019.5758510582,94091.7088836802,94111.5824584512,94136.7230599331,94292.1814117177
"Num Offtake","Adult Female",1166228.42977958,41.2032012048034,1166166.78042891,1166206.08682111,1166217.31101357,1166249.75825113,1166316.74963848
"Num Offtake","Adult Male",549580.864610485,99.2327225476762,549420.187943822,549529.345901051,549590.991162506,549638.829855005,549706.639246335
"Num Offtake","Oxen",2784995.38064074,1.42861277686997,2784993.05088233,2784994.62314122,2784995.6288261,2784996.01197048,2784997.89817555
"Cml Pop Growth","Overall",1356054.74217367,45942.3316764331,1272922.39501302,1332653.94805749,1350345.64971286,1387723.05496782,1431552.39452115
"Cml Pop Growth","Neonatal Female",96945.7097392983,18298.7597962028,62863.7181515982,89140.6351007351,100842.592098692,109250.756600583,119386.603123324
"Cml Pop Growth","Neonatal Male",-209594.70244173,18298.7597962023,-243676.694029429,-217399.777080294,-205697.820082336,-197289.655580445,-187153.809057707
"Cml Pop Growth","Neonatal Combined",-112648.992702432,36597.519592405,-180812.975877831,-128259.141979558,-104855.227983645,-88038.8989798629,-67767.205934383
"Cml Pop Growth","Juvenile Female",1228552.53421893,10203.3815261545,1211556.96308237,1222564.91622289,1228243.65559004,1233895.53282915,1245548.0934512
"Cml Pop Growth","Juvenile Male",1074400.52532496,8611.30847119651,1057948.00030376,1070591.84589746,1076334.42581797,1078662.33725704,1087270.13980189
"Cml Pop Growth","Juvenile Combined",2302953.05954389,15942.1355139766,2276453.3211551,2293525.51825562,2301865.47974421,2309725.74670651,2328236.74183751
"Cml Pop Growth","Adult Female",-329246.820416437,1952.07245064785,-331951.279607831,-330116.592688487,-329599.929213918,-328916.811049633,-324953.03263768
"Cml Pop Growth","Adult Male",2202866.27423913,1977.78538275531,2199407.9616653,2201740.5378856,2203409.64555892,2203843.98139858,2206111.58808705
"Cml Pop Growth","Oxen",-2707868.77849048,41.4806420904325,-2707935.83788061,-2707890.4291229,-2707864.33914394,-2707844.36512767,-2707817.01955025
"Total Number Increase","Overall",5950984.67768374,45990.9717932843,5867883.20173287,5927531.427295,5945125.68069143,5982522.5897062,6026706.84437392
"Total Number Increase","Neonatal Female",96945.7097392983,18298.7597962028,62863.7181515982,89140.6351007351,100842.592098692,109250.756600583,119386.603123324
"Total Number Increase","Neonatal Male",-209594.70244173,18298.7597962023,-243676.694029429,-217399.777080294,-205697.820082336,-197289.655580445,-187153.809057707
"Total Number Increase","Neonatal Combined",-112648.992702432,36597.519592405,-180812.975877831,-128259.141979558,-104855.227983645,-88038.8989798629,-67767.205934383
"Total Number Increase","Juvenile Female",1322677.79469819,10263.9398386335,1305678.09832973,1316637.66575544,1322346.12233653,1328029.12463134,1339840.27486291
