"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1363879.89238832,1599.26749075199,1361423.29667448,1362788.50249825,1364167.28359824,1364642.67724533,1366402.46291638
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",49634.2782770334,385.147718036373,49027.3674042822,49378.9556403697,49679.1873776042,49809.1932410742,50247.7588682909
"Num Offtake","Juvenile Male",26116.2458054365,308.462359671431,25630.1970238349,25911.7471916513,26152.2518070954,26256.3482484894,26607.5702615696
"Num Offtake","Juvenile Combined",75750.5240824699,693.61007664655,74657.5644281171,75290.702832021,75831.4391846996,76065.5414895636,76855.3291298605
"Num Offtake","Adult Female",256125.266068112,87.8347604421751,255993.64739359,256063.992506899,256142.092916563,256170.298634441,256262.741563935
"Num Offtake","Adult Male",1032004.10223773,819.794266126944,1030772.08485278,1031433.80715933,1032158.36375844,1032424.5309906,1033284.39222259
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",3640507.0020855,220126.819446462,3394242.19530354,3479979.72525303,3593196.88598107,3734700.47724383,4126569.24287724
"Cml Pop Growth","Neonatal Female",439437.104378936,71980.9518411882,365572.781979177,385572.336980716,433539.640605071,462213.201753752,603025.556453283
"Cml Pop Growth","Neonatal Male",881626.215760882,71980.9518411883,807761.893361121,827761.448362661,875728.751987017,904402.313135697,1045214.66783523
"Cml Pop Growth","Neonatal Combined",1321063.32013982,143961.903682377,1173334.6753403,1213333.78534338,1309268.39259209,1366615.51488945,1648240.22428851
"Cml Pop Growth","Juvenile Female",1316877.7792117,37841.5904309328,1257958.82772236,1295329.85176971,1311333.26429417,1342503.1392679,1384857.75553805
"Cml Pop Growth","Juvenile Male",1237986.1207061,37907.6502115164,1178959.30921064,1216393.3818526,1232448.54085744,1263639.85984469,1306074.7535894
"Cml Pop Growth","Juvenile Combined",2554863.8999178,75749.2388477472,2436918.136933,2511723.23362231,2543781.80515161,2606142.99911259,2690932.50912745
"Cml Pop Growth","Adult Female",143677.739129706,7413.39289437297,131975.813206891,138774.396904897,144509.057710927,147032.306564335,155491.645144626
"Cml Pop Growth","Adult Male",-379097.957101821,6896.32897853287,-390017.159256904,-383640.127368046,-378384.644860164,-375999.536638808,-368095.135683346
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",5004386.89447382,221444.205826643,4755665.49197802,4843009.48762732,4956487.78635833,5099980.54414798,5492971.70579362
"Total Number Increase","Neonatal Female",439437.104378936,71980.9518411882,365572.781979177,385572.336980716,433539.640605071,462213.201753752,603025.556453283
"Total Number Increase","Neonatal Male",881626.215760882,71980.9518411883,807761.893361121,827761.448362661,875728.751987017,904402.313135697,1045214.66783523
"Total Number Increase","Neonatal Combined",1321063.32013982,143961.903682377,1173334.6753403,1213333.78534338,1309268.39259209,1366615.51488945,1648240.22428851
"Total Number Increase","Juvenile Female",1366512.05748873,38214.532986638,1306986.19512665,1344708.80741008,1361012.45167178,1392293.79348924,1435105.51440634
"Total Number Increase","Juvenile Male",1264102.36651154,38206.3455561488,1204589.50623447,1242305.12904425,1258600.79266453,1289881.31779428,1332682.32385097
"Total Number Increase","Juvenile Combined",2630614.42400027,76420.8784921348,2511575.70136112,2587013.93645433,2619613.24433631,2682175.11128352,2767787.83825731
"Total Number Increase","Adult Female",399803.005197817,7500.73362955388,387969.460600481,394838.389411796,400654.494869712,403200.933077665,411754.38670856
"Total Number Increase","Adult Male",652906.145135913,7711.55899178532,640754.925595873,647793.679791283,653806.295177384,656408.706212235,665189.25653924
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",4087645110.12801,181983088.037622,3749227584.26577,4045061248.93976,4106743054.39564,4205088552.13951,4358050212.5682
"Population Liveweight (kg)","Neonatal Female",294000819.414028,69275537.7528151,136085936.475784,273028410.756891,303429481.552241,341308238.026898,368790661.467369
"Population Liveweight (kg)","Neonatal Male",315169538.177797,39129334.3605085,260988486.925234,279819196.910302,317387937.837713,345766917.422468,365609375.898112
"Population Liveweight (kg)","Juvenile Female",562837289.129114,124626642.60073,389633824.472536,438895795.870939,603413225.383181,662899442.769336,713918107.852274
"Population Liveweight (kg)","Juvenile Male",498417124.044728,69686434.0499696,341442942.840897,466699391.523369,513328085.293273,545022299.848135,579309663.035241
"Population Liveweight (kg)","Juvenile Combined",1061254413.17384,83255854.4089824,950426413.742525,996174689.313671,1069079965.08318,1117884361.88099,1205491596.37208
"Population Liveweight (kg)","Adult Female",1607293117.41075,129697265.277665,1437017896.44813,1501967791.32625,1590273615.61551,1699682145.1245,1839725981.68441
"Population Liveweight (kg)","Adult Male",809927221.951599,102984704.636038,665356925.048477,711601553.388644,826401599.817816,900747987.97027,930366718.582778
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",469631082.348079,64579619.6012261,368498998.524231,421690987.896381,480571186.812471,515651343.77733,569340061.139622
"Offtake Liveweight (kg)","Juvenile Female",10609357.6656598,2428003.00483698,7702669.52782249,8265692.19666078,10797425.233358,12545781.1628816,14113984.1589273
"Offtake Liveweight (kg)","Juvenile Male",5912002.82492032,1056169.56027272,4237652.53367312,5367085.87528187,5758043.03267089,6697267.35893829,7482826.31195745
"Offtake Liveweight (kg)","Adult Female",72614666.6013686,10222378.2003463,55900878.4298371,64012855.5659425,74933845.6129929,80557179.7036851,87364645.0898375
"Offtake Liveweight (kg)","Adult Male",380495055.256131,64804562.402668,274264023.356685,337980801.455917,389014151.124995,419872837.077972,487307582.6991
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",1530583991.84483,58399992.9245904,1382804936.40601,1519513199.3452,1542818807.57473,1564733704.60954,1588328889.36932
"Manure","Overall",7655576598.89984,206015835.410587,7362488022.75129,7535367799.84423,7609398511.65953,7769785965.3077,8068467867.18891
"Manure","Neonatal Female",557936099.78796,6192399.31083257,546531295.321975,553731458.725165,559779576.642813,561543038.276001,566566585.616411
"Manure","Neonatal Male",466141918.947938,15833777.7361923,441671090.163846,458415275.460124,466885524.955393,475499536.85391,492558603.381628
"Manure","Neonatal Combined",1024078018.7359,18153417.9531103,996061936.097284,1016828871.68204,1027678667.78025,1029870146.17666,1052936377.68225
"Manure","Juvenile Female",861799422.193083,28361967.7916326,812323005.341006,855147151.082337,865750746.507502,870210856.810841,902393671.384163
"Manure","Juvenile Male",585649375.591509,14998632.1305341,568023374.817165,576297061.475464,581480646.727426,593932096.624168,611948240.73509
"Manure","Juvenile Combined",1447448797.78459,25442438.793728,1399396130.83285,1433839328.25164,1444081943.51115,1464691478.58583,1487429115.44784
"Manure","Adult Female",3696541465.07857,192983817.67764,3402850650.50601,3558160749.3235,3658982354.08036,3788987011.73036,4043787624.19871
"Manure","Adult Male",1487508317.30079,90783073.2887522,1272530826.92685,1478715112.21201,1482580329.12321,1538645038.2652,1590389015.69011
