"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1743089.83595641,47.1562955154368,1743017.71035899,1743060.34496538,1743085.05299422,1743120.77935623,1743163.97177388
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",46596.1120060881,20.0227620819763,46572.2108926417,46577.2997894272,46600.1323998924,46607.1653684934,46625.1114989637
"Num Offtake","Juvenile Male",23818.5054543334,6.61144465570075,23804.0048381982,23816.5355375396,23819.3491273337,23821.4647703436,23827.4445002376
"Num Offtake","Juvenile Combined",70414.6174604215,22.6276091187284,70390.5788822927,70394.3219399208,70410.1599977971,70432.4618826139,70450.7385739691
"Num Offtake","Adult Female",248697.136813606,3.95555149807084,248692.503477982,248692.991448769,248697.739420925,248699.843150616,248702.484768094
"Num Offtake","Adult Male",1423978.08168238,28.7423010155096,1423920.59220329,1423964.97052549,1423980.14355339,1423997.12833808,1424014.87497541
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",286557.546705066,7621.66715254779,276995.055999804,279827.803945489,285646.445071049,293287.882446197,298155.545367822
"Cml Pop Growth","Neonatal Female",-381011.744962145,4159.21876341669,-385855.926517996,-384957.183759606,-381074.318462967,-377856.09925405,-374987.110416899
"Cml Pop Growth","Neonatal Male",92042.1250944369,1390.67465654968,90097.5836875248,91279.3217613882,91790.9920502749,92564.3531102332,94338.0145007332
"Cml Pop Growth","Neonatal Combined",-288969.619867708,4827.15002076786,-295758.342830471,-292895.448119614,-289415.075098737,-285362.127900275,-280751.033590976
"Cml Pop Growth","Juvenile Female",941546.393776571,2189.19156911913,938814.79780702,939481.039393042,941548.796526209,943183.876008978,944934.61399642
"Cml Pop Growth","Juvenile Male",880769.549101565,801.291301400319,879032.326765169,880341.245535963,880996.471432737,881106.94933519,881896.397570811
"Cml Pop Growth","Juvenile Combined",1822315.94287814,2541.99756414639,1819478.5170852,1820014.20737323,1821835.65354135,1824633.57730328,1826050.44628822
"Cml Pop Growth","Adult Female",-214847.890740978,382.444245122633,-215305.313617107,-215207.978133041,-214772.803759683,-214637.251090309,-214291.560071532
"Cml Pop Growth","Adult Male",-1031940.88556438,133.402993914092,-1032237.69870595,-1031975.97215934,-1031923.15708072,-1031885.30367711,-1031759.45889453
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",2029647.38266147,7662.62988264678,2020012.76635879,2022904.45067914,2028715.88423876,2036404.13141755,2041303.01228814
"Total Number Increase","Neonatal Female",-381011.744962145,4159.21876341669,-385855.926517996,-384957.183759606,-381074.318462967,-377856.09925405,-374987.110416899
"Total Number Increase","Neonatal Male",92042.1250944369,1390.67465654968,90097.5836875248,91279.3217613882,91790.9920502749,92564.3531102332,94338.0145007332
"Total Number Increase","Neonatal Combined",-288969.619867708,4827.15002076786,-295758.342830471,-292895.448119614,-289415.075098737,-285362.127900275,-280751.033590976
"Total Number Increase","Juvenile Female",988142.505782659,2208.8158797705,985387.008699661,986058.339182469,988148.928926101,989790.875064038,991559.725495383
"Total Number Increase","Juvenile Male",904588.054555899,807.021459411223,902836.331603367,904160.563086153,904815.82056007,904931.624013693,905723.842071049
"Total Number Increase","Juvenile Combined",1892730.56033856,2564.11912131226,1889871.90478907,1890407.37338003,1892243.47941644,1895070.86267605,1896501.18486219
"Total Number Increase","Adult Female",33849.2460726286,386.348423818433,33387.3558583015,33485.6547656158,33925.4869829142,34061.535878998,34410.7076503297
"Total Number Increase","Adult Male",392037.196117996,161.279541363081,391682.893497342,391989.718363761,392057.993390001,392108.815959296,392255.41608088
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1113330.61654799,6395.61752725861,1104896.44997252,1107226.25473598,1114276.26016136,1117768.54922882,1123333.02260495
"Total Mortality","Neonatal Female",248318.929924268,5872.29543867988,239689.279229614,243635.9102282,248841.711248996,253742.514069116,255463.735584319
"Total Mortality","Neonatal Male",195279.114857874,2041.62866946481,193062.711489579,193417.352990565,195595.621791786,196185.978385749,199521.88540228
"Total Mortality","Neonatal Combined",443598.044782142,6403.95990352644,435156.569398106,437485.023233028,444544.152901236,448043.359668677,453608.456468222
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",466307.131525512,7.41665905891831,466298.444021217,466299.358966441,466308.261414235,466312.205907404,466317.158940176
"Total Mortality","Adult Male",203425.44024034,4.10604300221315,203417.227457612,203423.567217927,203425.734793342,203428.161191154,203430.696425059
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1788219437.43831,458597738.901133,880231688.213516,1627230554.11558,1902113510.16222,2113067417.94,2247328255.34785
"Population Liveweight (kg)","Neonatal Female",82339253.1312172,56867289.4707718,3498968.9143,46534986.7454929,59365179.0205719,133559960.937859,169538616.41497
"Population Liveweight (kg)","Neonatal Male",65842684.9828322,47217873.6027632,6140221.38603702,19970086.5050987,76731512.1682115,90178043.5641256,147336196.66199
"Population Liveweight (kg)","Juvenile Female",472637572.32665,87402621.4664385,341327770.443349,434016960.044935,468138567.853418,532569844.511765,621817713.228315
"Population Liveweight (kg)","Juvenile Male",178957329.72318,75233325.5199078,85042532.9917888,109685156.611958,169453498.882115,243522562.526768,291471671.482834
"Population Liveweight (kg)","Juvenile Combined",651594902.04983,103390022.249635,495167881.434215,589299726.121019,642714684.502159,716177369.69624,803485472.182385
"Population Liveweight (kg)","Adult Female",831212032.984564,388202797.389763,10217799.3602647,692227907.161036,906804066.82498,1146914633.26799,1200485206.29998
"Population Liveweight (kg)","Adult Male",157230564.289868,61609789.4342325,59000898.6543503,119780609.889944,165814534.470888,200240012.358915,257110059.845223
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",274532549.389738,126949835.342053,76554311.8047978,172884320.649309,337538635.682509,366256322.499758,378585031.714223
"Offtake Liveweight (kg)","Juvenile Female",9845019.33573013,2246252.04617628,6914762.47492584,7920155.07916941,9710645.60506764,11946159.7076439,12702331.7930817
"Offtake Liveweight (kg)","Juvenile Male",1560103.57122107,1184357.61313934,214361.919695923,398979.398369541,1512528.5852446,2614690.45719538,3383239.04465077
"Offtake Liveweight (kg)","Adult Female",32728590.9808675,16684151.3545339,3730473.47319485,25242857.9344811,32579685.0689034,43086879.3108935,57698926.1114718
"Offtake Liveweight (kg)","Adult Male",230398835.501919,130277597.09087,4272032.89643414,147738542.960895,291906986.101074,322172239.370846,334643495.619222
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",741277539.607487,89690574.0590352,605950873.534041,703184279.671848,723931639.804087,765726628.749839,925303079.347077
"Manure","Overall",6926216762.50142,249960567.981874,6530133459.15138,6792493124.0764,6884402762.18303,7053277973.28452,7447316689.50863
"Manure","Neonatal Female",440536576.262089,12688299.3878653,419048609.933541,436674183.132967,440009614.400501,447301883.628024,458226001.598938
"Manure","Neonatal Male",352284716.850358,11584865.5813685,333027089.910412,344304828.720046,352417366.507946,359110113.02429,373009625.722689
"Manure","Neonatal Combined",792821293.112448,11971314.922571,776281835.444762,785971690.930625,790242590.188773,802550265.943268,812303989.245535
"Manure","Juvenile Female",808733611.0274,27405258.4425687,767591821.080969,797615120.700673,802788926.20228,812208838.788658,868529288.106415
"Manure","Juvenile Male",516242467.743133,18998986.6063686,468071258.497513,515377531.830321,517978203.694027,527602384.907022,537088487.379572
"Manure","Juvenile Combined",1324976078.77053,35072110.2727448,1270326440.35826,1308698581.15387,1323854804.77261,1345171480.50524,1383772210.00668
"Manure","Adult Female",3569459942.78135,274669349.224227,3159434259.17282,3408672528.38161,3530509697.5909,3719147098.01723,4152064369.38997
"Manure","Adult Male",1238959447.83709,58704017.5086951,1159347562.28563,1197513104.17888,1241847763.45565,1273431251.29745,1341217755.34741
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",334866.285882926,4.57498266403103,334860.202882832,334862.554648513,334865.439316764,334869.684577968,334873.444951963
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",233153.565762756,3.70832952945915,233149.222010608,233149.679483221,233154.130707117,233156.102953702,233158.579470088
"Hides","Adult Male",101712.72012017,2.05302150110658,101708.613728806,101711.783608964,101712.867396671,101714.080595577,101715.34821253
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",361307816.473796,65991769.7125066,234922168.153848,323314799.274612,377154646.61175,414021620.25728,439655660.506211
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",15598441745.6728,841040143.549141,14564320086.1674,14835615067.9226,15530427958.4213,16328952652.8878,16723972816.1554
"Cml Dry Matter","Neonatal Female",1084097892.55332,97899610.4680271,962313324.578926,1018312884.31075,1074825390.79016,1160259938.37675,1252274375.37407
"Cml Dry Matter","Neonatal Male",841078215.272831,64642957.2724518,724969076.593488,812153295.419709,857951335.813009,860436581.834498,951386405.504897
"Cml Dry Matter","Neonatal Combined",1925176107.82615,117587971.514318,1694763445.08809,1886857812.54982,1907345562.57283,1947031057.31805,2113055660.18294
"Cml Dry Matter","Juvenile Female",3835156967.47275,170695720.092245,3520683838.42503,3771563090.3778,3800043462.37504,3965940750.5974,4066611662.71751
"Cml Dry Matter","Juvenile Male",1228788370.96436,158414824.2922,989728690.138531,1117280382.57312,1233990396.89861,1306219527.48382,1521206910.9565
"Cml Dry Matter","Juvenile Combined",5063945338.43711,149725139.352377,4834481840.59068,4988324869.60419,5079544846.92378,5155032048.56539,5303848670.20475
"Cml Dry Matter","Adult Female",6340455671.00087,977159323.48987,4957027179.45048,5659697958.56388,6124355510.17932,7214399260.16773,7754185421.08895
"Cml Dry Matter","Adult Male",2268864628.40868,241077548.239819,1949729206.65821,2091742790.54384,2186293760.07391,2472592612.73494,2614282930.23132
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",44836626660.2679,8064564273.5538,33432611391.0237,39576432208.4271,44450452261.7026,51066377492.099,55486136719.9343
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",636446896.961173,182175926.676093,336572758.454962,520780372.768808,617724678.294465,762068068.944677,909186407.776403
"Value of Offtake","Juvenile Male",396531388.524955,85703234.8510472,293496673.8538,329647269.234398,377838933.987361,461063504.862382,557537984.557663
"Value of Offtake","Juvenile Combined",1032978285.48613,196808172.028728,630069432.308762,951291928.507203,1050001920.9028,1162926316.58349,1278398591.50457
"Value of Offtake","Adult Female",3940439330.2253,620266930.220491,3033687655.32017,3412782115.91585,3904790656.64433,4393184742.43398,4912088290.98262
"Value of Offtake","Adult Male",39863209044.5564,7748042701.6636,28812014002.8152,34326050947.542,39954700882.0535,45172424360.8646,50114936190.5025
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-5834639736.36195,7581601483.11984,-16093239227.6106,-12120176142.7931,-6154568331.21417,-1168321853.98462,8382039977.8087
"Value of Herd Increase","Neonatal Female",-3085206961.29161,395097819.528641,-3707423141.9765,-3340845972.57266,-2972745411.93984,-2806776415.84361,-2560214929.87761
"Value of Herd Increase","Neonatal Male",979604414.91534,123435582.721727,779873900.250905,900043116.315024,977638457.043669,1073026956.78324,1171929089.67734
"Value of Herd Increase","Neonatal Combined",-2105602546.37627,428895159.973913,-2760817085.44827,-2338955647.05918,-2021017863.15531,-1843699606.93718,-1447795466.73527
"Value of Herd Increase","Juvenile Female",12666453973.0581,2290144912.47943,8780159094.46374,11933875376.3701,12950685359.4558,13680535618.8178,16982507493.5386
"Value of Herd Increase","Juvenile Male",18335924287.4397,2957313941.73251,12746208888.0913,16628843317.8205,19421576573.6754,20593781509.6385,21787054440.9085
"Value of Herd Increase","Juvenile Combined",31002378260.4978,3666331729.66744,25663985295.9359,28733657452.0413,30489073612.5653,33909282431.4428,36931419868.7465
"Value of Herd Increase","Adult Female",-3739667152.10371,558064994.874112,-4402251095.92496,-4102539421.74197,-3904845917.33125,-3513795435.25553,-2482840799.51819
"Value of Herd Increase","Adult Male",-30991748298.3798,4784007105.62835,-37615655559.022,-34541771792.9092,-31728807833.2235,-27141516900.3267,-22630569580.1436
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",39001986923.9059,8327076144.11463,26029701571.1825,34326968627.0263,38711505250.8917,46771031856.5576,49609286520.3289
"Value of Herd Increase plus Offtake","Neonatal Female",-3085206961.29161,395097819.528641,-3707423141.9765,-3340845972.57266,-2972745411.93984,-2806776415.84361,-2560214929.87761
"Value of Herd Increase plus Offtake","Neonatal Male",979604414.91534,123435582.721727,779873900.250905,900043116.315024,977638457.043669,1073026956.78324,1171929089.67734
"Value of Herd Increase plus Offtake","Neonatal Combined",-2105602546.37627,428895159.973913,-2760817085.44827,-2338955647.05918,-2021017863.15531,-1843699606.93718,-1447795466.73527
"Value of Herd Increase plus Offtake","Juvenile Female",13302900870.0192,2342368013.26928,9478385767.36997,12435227222.3163,13637438288.2387,14357872442.5029,17657198552.644
"Value of Herd Increase plus Offtake","Juvenile Male",18732455675.9647,2993420302.74995,13059453786.1671,17092425618.1845,19779775367.8761,21057025269.888,22156266624.6367
"Value of Herd Increase plus Offtake","Juvenile Combined",32035356545.9839,3721067479.41654,26841788290.7001,29801004591.0691,31580117911.2512,34957724559.2317,37935663318.7794
"Value of Herd Increase plus Offtake","Adult Female",200772178.121591,1004185195.36319,-784576929.877593,-571901310.230018,-99131075.0677681,852892511.408577,1957104107.93027
"Value of Herd Increase plus Offtake","Adult Male",8871460746.17667,7630415876.76084,-3622895400.79839,2293921769.7789,10862607613.8643,13430075957.9764,18622517520.7683
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",3463108381.25071,124980283.990937,3265066729.57569,3396246562.0382,3442201381.09152,3526638986.64226,3723658344.75432
"Value of Manure","Neonatal Female",220268288.131045,6344149.69393265,209524304.966771,218337091.566483,220004807.200251,223650941.814012,229113000.799469
