"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1743110.15097376,46.2914915624771,1742971.34399187,1743077.35749536,1743111.23337971,1743141.65345363,1743273.03316837
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",46598.0408913302,14.6473571290219,46541.8729292266,46587.3956379596,46598.3509571737,46608.1701540305,46634.3563647046
"Num Offtake","Juvenile Male",23821.6112005638,8.44341167701488,23797.1351409964,23815.7270090811,23821.900523379,23827.4867317838,23850.7881571451
"Num Offtake","Juvenile Combined",70419.6520918939,17.3675813065751,70363.9018494394,70407.1591052237,70420.0118276612,70431.9212761476,70470.8756350259
"Num Offtake","Adult Female",248697.77162334,3.32871339176965,248685.210804796,248695.423447997,248697.849574277,248700.135724499,248706.139015076
"Num Offtake","Adult Male",1423992.72725853,33.4300085799701,1423898.46642797,1423969.36243325,1423993.64467086,1424016.38993972,1424106.43935288
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",285846.853582087,5555.98399892408,269489.958783956,282035.815478582,285944.864591626,289674.714208063,304703.62259235
"Cml Pop Growth","Neonatal Female",-381990.055910038,2765.14728557282,-391470.313234414,-383854.146185888,-381987.166932999,-380169.618643637,-373796.353207604
"Cml Pop Growth","Neonatal Male",92072.3422048914,2314.13346524155,84279.2408382269,90500.1244154359,92038.4870687355,93707.3644820118,99491.3701186846
"Cml Pop Growth","Neonatal Combined",-289917.713705147,3747.50248845674,-300880.878812769,-292564.289257823,-289848.2904271,-287503.95897615,-278538.561723421
"Cml Pop Growth","Juvenile Female",941451.932951443,1447.579694373,936466.234919309,940484.678657102,941448.705904948,942463.103672779,945424.085667151
"Cml Pop Growth","Juvenile Male",881004.854260079,1119.90662699229,877413.567752368,880290.903013138,881014.062069504,881819.567877471,885067.593605436
"Cml Pop Growth","Juvenile Combined",1822456.78721152,1900.72923020878,1816943.00114363,1821109.45561184,1822477.81929569,1823788.33427281,1828922.55345224
