"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1291697.32375799,53.7892452241811,1291601.42777501,1291658.84355627,1291691.31980382,1291745.82930937,1291761.41335522
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44841.2533505776,14.0649717371278,44818.0521020459,44833.6889146575,44844.5173101372,44847.8826502217,44863.5597323649
"Num Offtake","Juvenile Male",22952.650162222,12.9274493926636,22935.7881600831,22944.6784779889,22950.0435987296,22963.7630628358,22972.9915525769
"Num Offtake","Juvenile Combined",67793.9035127995,20.1185118988458,67753.840262129,67790.8607638469,67795.9515676156,67805.9717227208,67819.554067064
"Num Offtake","Adult Female",245278.114069621,4.05837740342687,245272.03138782,245274.503619385,245279.034318662,245280.700700032,245284.089031074
"Num Offtake","Adult Male",978625.306175573,35.7819860379065,978574.240080492,978604.170476067,978617.383521748,978656.454435468,978677.195498827
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",223985.130273596,4734.35574217298,215842.153535586,220003.955787507,225432.361184134,227722.873360156,228485.654682415
"Cml Pop Growth","Neonatal Female",-401984.633600585,2321.70489952158,-405475.015405598,-403591.44338573,-402130.910037347,-399934.046746011,-398708.852691292
"Cml Pop Growth","Neonatal Male",74018.3737083209,1583.90538100486,71791.8324709609,72780.1716850767,74044.0132180814,74795.7574365727,76972.7981764704
"Cml Pop Growth","Neonatal Combined",-327966.259892264,2974.37050970493,-333136.820712516,-329309.167518845,-327017.112429483,-326038.914935406,-324414.173259174
"Cml Pop Growth","Juvenile Female",784364.328544814,1257.30580402929,781882.100230698,783556.458705709,784655.46706734,785086.57032504,785957.220109586
"Cml Pop Growth","Juvenile Male",777559.002153011,1170.83367335752,776263.08403176,776557.556578283,777185.85900967,778615.75405035,779378.022890569
"Cml Pop Growth","Juvenile Combined",1561923.33069783,1762.91331559984,1558625.17988016,1561276.90786669,1562313.04572583,1563250.47828805,1564145.5023232
"Cml Pop Growth","Adult Female",-376122.923136808,261.521914388114,-376562.210142899,-376254.460374469,-376063.467440994,-376000.784511463,-375707.804444527
"Cml Pop Growth","Adult Male",-633849.017395157,279.565184404528,-634207.549714275,-634022.698125985,-633903.462635351,-633616.11528408,-633404.516269237
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1515682.45403159,4771.573558287,1507495.44441848,1511696.30422974,1517119.73238112,1519482.75531097,1520231.42149842
"Total Number Increase","Neonatal Female",-401984.633600585,2321.70489952158,-405475.015405598,-403591.44338573,-402130.910037347,-399934.046746011,-398708.852691292
"Total Number Increase","Neonatal Male",74018.3737083209,1583.90538100486,71791.8324709609,72780.1716850767,74044.0132180814,74795.7574365727,76972.7981764704
"Total Number Increase","Neonatal Combined",-327966.259892264,2974.37050970493,-333136.820712516,-329309.167518845,-327017.112429483,-326038.914935406,-324414.173259174
"Total Number Increase","Juvenile Female",829205.581895392,1269.35349923674,826700.152332744,828397.002161276,829499.984377477,829935.261441913,830820.779841951
"Total Number Increase","Juvenile Male",800511.652315233,1182.75722507097,799208.632080228,799502.426312562,800136.050487601,801578.566097457,802351.014443146
"Total Number Increase","Juvenile Combined",1629717.23421063,1781.7178326445,1626379.02014229,1629067.76863053,1630115.87627892,1631058.27706361,1631950.63989985
"Total Number Increase","Adult Female",-130844.809067187,265.3173674455,-131288.862710513,-130980.152120941,-130784.231270569,-130720.657389756,-130423.715413453
"Total Number Increase","Adult Male",344776.288780415,314.901808174707,344366.690366217,344581.854004329,344713.157577903,345045.591908746,345272.67922959
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1443322.01267313,4885.34899553571,1437389.37800127,1439684.36218317,1442163.7626275,1446007.60946334,1453495.8901479
"Total Mortality","Neonatal Female",250486.935611611,3440.41072272934,246348.269302393,247968.923000067,250498.436139175,252493.181571039,256839.487438052
"Total Mortality","Neonatal Male",194367.208438573,2467.36094427927,191706.723056816,192449.991073856,193680.477942946,196383.488211464,198795.769191127
"Total Mortality","Neonatal Combined",444854.144050184,4757.30599138728,440246.543097614,441355.042975902,444178.05842895,445829.609515277,455635.256629179
"Total Mortality","Juvenile Female",188855.988533491,994.204881878085,187764.979575351,188020.045716335,188556.00843309,189661.019267901,190385.942412447
"Total Mortality","Juvenile Male",120675.450933784,403.003023029961,120254.153055209,120377.393349673,120557.421718033,120908.673887748,121405.711767539
"Total Mortality","Juvenile Combined",309531.439467275,1156.99379076635,308078.557814119,308506.4635113,309498.259929768,310342.770948156,311502.406221136
"Total Mortality","Adult Female",459896.46388054,7.60945763148217,459885.058852163,459889.694286346,459898.189347491,459901.31381256,459907.666933263
"Total Mortality","Adult Male",229039.965275134,8.37450737057027,229028.01363586,229035.018622058,229038.111037005,229047.255293407,229052.109584832
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1365396321.82193,489105938.097447,723449251.455888,1031396075.58067,1245849231.35764,1616687471.20046,2149520641.4529
"Population Liveweight (kg)","Neonatal Female",83787283.6789049,46746566.4339411,15499188.276951,59087483.6085427,84416337.6152008,112412313.095991,170854982.905794
"Population Liveweight (kg)","Neonatal Male",94067735.0050993,35730459.6024539,40918071.819988,62878638.6425419,97152125.3565658,118122779.177676,148622121.705125
