"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1819602.31822209,13.5608209890438,1819555.56191032,1819593.28942692,1819601.86516199,1819611.14846888,1819661.95223848
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",47308.1690216434,2.57627970274642,47299.5053468707,47306.4834314051,47308.0625056496,47309.8780137878,47319.1830026252
"Num Offtake","Juvenile Male",24253.5590975805,2.06323890461116,24246.620306404,24252.2088154571,24253.473922933,24254.9276167733,24262.3803227818
"Num Offtake","Juvenile Combined",71561.728119224,4.63951857579269,71546.1256532747,71558.6922468622,71561.5364285826,71564.805630561,71581.563325407
"Num Offtake","Adult Female",258801.238228102,0.57800156803911,258799.240667212,258800.855305695,258801.230871231,258801.604595813,258803.798007186
"Num Offtake","Adult Male",1489239.35187476,8.41102176278205,1489210.19558983,1489233.68383588,1489239.14918684,1489244.75196785,1489276.59090589
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1451351.46316125,1563.80703841321,1446033.37734199,1450313.51494333,1451311.94913692,1452391.19382911,1456707.85657831
"Cml Pop Growth","Neonatal Female",-167456.622120421,537.560476607742,-169554.930996236,-167817.546202611,-167469.82861014,-167102.419862125,-165546.180528092
"Cml Pop Growth","Neonatal Male",274732.489261524,537.560476607724,272634.180385709,274371.565179334,274719.282771805,275086.691519819,276642.930853852
"Cml Pop Growth","Neonatal Combined",107275.867141102,1075.12095321547,103079.249389473,106554.018976722,107249.454161665,107984.271657695,111096.75032576
"Cml Pop Growth","Juvenile Female",1034115.81598614,265.168389516591,1033228.83721697,1033937.4992493,1034113.64176065,1034294.98972264,1035126.07514513
"Cml Pop Growth","Juvenile Male",954805.717521613,265.597175167292,953917.555338931,954627.065967598,954803.785072136,954985.13342742,955817.918425989
"Cml Pop Growth","Juvenile Combined",1988921.53350775,530.765540419396,1987146.3925559,1988564.54631686,1988917.42683278,1989280.12315006,1990943.99357112
"Cml Pop Growth","Adult Female",238054.436947646,49.9850783482772,237886.629000735,238021.901473906,238052.300664625,238087.655523876,238267.712727287
"Cml Pop Growth","Adult Male",-882900.374435247,43.3887263785002,-883044.687929733,-882928.732371892,-882902.075634642,-882871.611263997,-882717.082836346
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",3270953.78138334,1572.76020663749,3265608.37726754,3269907.00537847,3270910.04624203,3272001.75067423,3276325.26428699
"Total Number Increase","Neonatal Female",-167456.622120421,537.560476607742,-169554.930996236,-167817.546202611,-167469.82861014,-167102.419862125,-165546.180528092
