"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1746568.24919702,94.7687533168359,1746417.15666557,1746500.75239094,1746556.51746083,1746646.82815843,1746707.63705202
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44935.4421517963,19.3829073505375,44893.8278755965,44939.0551914512,44942.3536592057,44945.1927989607,44954.0633396381
"Num Offtake","Juvenile Male",23025.9240028926,14.4691796711367,23008.0575272244,23018.6746869531,23020.4286809938,23037.3628945552,23048.1842559151
"Num Offtake","Juvenile Combined",67961.3661546889,29.3447051877392,67901.8854028209,67953.1400718216,67965.4741456444,67979.9255427094,68000.0136553509
"Num Offtake","Adult Female",258229.775664038,4.28287051602475,258220.894357881,258229.511019264,258230.680708637,258233.083714904,258233.513779429
"Num Offtake","Adult Male",1420377.10737829,65.290832808851,1420294.37690486,1420336.19764168,1420360.55511589,1420433.42398689,1420474.10961724
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",553990.188724336,5843.79720953361,543666.295528039,549438.73171147,555230.079013006,557697.296991666,563334.749321258
"Cml Pop Growth","Neonatal Female",-331498.851115519,1769.26030895222,-334153.152932954,-332866.265721556,-331486.209177014,-330529.411835474,-328882.312760581
"Cml Pop Growth","Neonatal Male",141455.987055379,2519.3343952081,137141.551215221,139743.219635333,142192.496822212,142807.432080422,145283.740838949
"Cml Pop Growth","Neonatal Combined",-190042.86406014,3091.70772276043,-194670.744212102,-192074.426848957,-189739.959852369,-187702.139594744,-185352.013642371
"Cml Pop Growth","Juvenile Female",803431.632657681,1740.30786626713,799588.064048629,803384.629741573,804130.465153449,804348.810263778,804952.044606517
"Cml Pop Growth","Juvenile Male",796077.958150702,1486.70424329401,793659.855400856,795177.302320347,796025.563045256,796796.602534613,798697.542573005
"Cml Pop Growth","Juvenile Combined",1599509.59080838,2666.44688766888,1594229.69843522,1598163.92813973,1599879.01467246,1600274.85679169,1603649.58717952
"Cml Pop Growth","Adult Female",192163.484621825,376.435725089402,191355.499338286,192235.636924793,192298.124448743,192349.44637038,192525.680479607
"Cml Pop Growth","Adult Male",-1047640.02264573,288.636070053111,-1047992.13542495,-1047791.13520124,-1047748.13859967,-1047418.41219256,-1047184.67027271
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",2300558.43792135,5920.81854288346,2290083.4521936,2295985.01334167,2301855.81098912,2304243.71762062,2310016.24812567
"Total Number Increase","Neonatal Female",-331498.851115519,1769.26030895222,-334153.152932954,-332866.265721556,-331486.209177014,-330529.411835474,-328882.312760581
"Total Number Increase","Neonatal Male",141455.987055379,2519.3343952081,137141.551215221,139743.219635333,142192.496822212,142807.432080422,145283.740838949
"Total Number Increase","Neonatal Combined",-190042.86406014,3091.70772276043,-194670.744212102,-192074.426848957,-189739.959852369,-187702.139594744,-185352.013642371
"Total Number Increase","Juvenile Female",848367.074809478,1758.57976403971,844481.891924226,848329.061828327,849074.190936091,849292.287500366,849901.757941601
"Total Number Increase","Juvenile Male",819103.882153595,1500.25544783866,816668.625264132,818198.30725551,819044.369281756,819833.965429168,821745.72682892
"Total Number Increase","Juvenile Combined",1667470.95696307,2693.93290177517,1662131.58383804,1666118.41291505,1667847.8691359,1668251.74747201,1671636.0788979
"Total Number Increase","Adult Female",450393.260285863,380.533853830843,449576.393696167,450465.972428279,450528.17193495,450582.530085284,450759.194259035
"Total Number Increase","Adult Male",372737.084732558,352.557881763742,372302.241479915,372560.263765833,372602.066294004,373015.011794326,373280.946814054
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",962721.581260942,6409.40516097064,952237.425313288,958221.784434042,961444.988832918,968267.349276027,972611.660781039
