"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1293580.10435613,23.9582764136856,1293546.76759396,1293563.7161392,1293573.48438538,1293599.98199487,1293620.19200437
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",45456.1988007957,10.7874993473427,45434.956670632,45448.1206496248,45460.0836191788,45464.0869476026,45466.6497702858
"Num Offtake","Juvenile Male",23312.4272139098,4.42104469487616,23306.7743846566,23309.4802538059,23310.9818153482,23317.2224319354,23317.6755168274
"Num Offtake","Juvenile Combined",68768.6260147055,11.7439714234023,68752.5408988805,68758.9949998517,68769.6216628525,68778.5099535282,68784.1604657221
"Num Offtake","Adult Female",245396.41317216,3.48249806061543,245389.747156724,245394.068532228,245397.824921986,245398.672165984,245400.343914586
"Num Offtake","Adult Male",979415.065169267,16.2642254238986,979389.309954012,979404.985264652,979409.277923797,979429.406362063,979437.020056595
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",662126.434307674,1013.98004302237,660811.249104654,661544.280684706,661892.846791374,662873.171639323,663622.733840657
"Cml Pop Growth","Neonatal Female",-241464.457335795,299.753341608778,-242071.273971353,-241552.877340981,-241322.72925264,-241286.265913958,-241177.484396095
"Cml Pop Growth","Neonatal Male",200724.654046151,299.753341608758,200117.837410593,200636.234040965,200866.382129305,200902.845467988,201011.626985851
"Cml Pop Growth","Neonatal Combined",-40739.8032896439,599.506683217536,-41953.43656076,-40916.6433000165,-40456.3471233357,-40383.4204459703,-40165.8574102437
"Cml Pop Growth","Juvenile Female",859014.527158694,614.548426260482,858082.478941303,858605.469775532,858916.737638622,859347.759243042,860208.85523053
"Cml Pop Growth","Juvenile Male",834118.86231395,324.027044865788,833800.591276132,833881.154403312,834050.033440962,834245.929477177,834850.64512812
"Cml Pop Growth","Juvenile Combined",1693133.38947264,714.113367066786,1692421.09221258,1692548.83200598,1692906.35983225,1693570.78766308,1694512.91359596
"Cml Pop Growth","Adult Female",-364437.964567381,198.042941541927,-364828.211784985,-364582.732133689,-364368.942929884,-364289.510920527,-364249.345002853
"Cml Pop Growth","Adult Male",-625829.187307945,91.3538231944621,-625953.937957276,-625892.273634492,-625857.969906851,-625733.062797197,-625714.358616597
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1955706.53866381,1028.20114415572,1954384.17320301,1955119.32845332,1955453.25292455,1956450.13183991,1957229.57670022
"Total Number Increase","Neonatal Female",-241464.457335795,299.753341608778,-242071.273971353,-241552.877340981,-241322.72925264,-241286.265913958,-241177.484396095
"Total Number Increase","Neonatal Male",200724.654046151,299.753341608758,200117.837410593,200636.234040965,200866.382129305,200902.845467988,201011.626985851
"Total Number Increase","Neonatal Combined",-40739.8032896439,599.506683217536,-41953.43656076,-40916.6433000165,-40456.3471233357,-40383.4204459703,-40165.8574102437
"Total Number Increase","Juvenile Female",904470.725959489,623.396594438159,903517.435611935,904053.590425157,904379.395841023,904812.421095934,905673.022071615
"Total Number Increase","Juvenile Male",857431.28952786,326.887661308141,857110.244899541,857190.612865663,857358.805367495,857562.06835146,858167.002769553
"Total Number Increase","Juvenile Combined",1761902.01548735,723.642893404775,1761173.63311146,1761316.38711884,1761673.13186188,1762346.89659577,1763294.69120545
