"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",500465.234173565,53.9082410084727,500395.654378138,500419.85694451,500472.799398559,500480.934842101,500554.886603041
"Num Offtake","Neonatal Female",34854.2880246916,7.37423361040092,34844.8395640218,34848.0893721564,34855.2918699524,34856.4324412271,34866.5413948851
"Num Offtake","Neonatal Male",107870.579007461,41.7812827219268,107816.859049833,107836.169298648,107876.609041802,107882.591238602,107939.07852949
"Num Offtake","Neonatal Combined",142724.867032153,49.1500025289023,142661.698613855,142684.258670804,142731.946800953,142739.00073523,142805.619924375
"Num Offtake","Juvenile Female",111287.728489647,4.42290722575804,111281.36731426,111284.941565713,111287.795144442,111289.212224164,111295.384743386
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",111287.728489647,4.42290722575804,111281.36731426,111284.941565713,111287.795144442,111289.212224164,111295.384743386
"Num Offtake","Adult Female",236482.838929947,0.46355578953789,236482.014186498,236482.617780228,236482.964577968,236483.099359034,236483.577239003
"Num Offtake","Adult Male",9969.79972181878,0.316957774071089,9969.23600068518,9969.64854156518,9969.88568447964,9969.97782456533,9970.30469627791
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",16266.1097315056,344.394770624855,15685.3187789512,16060.4391300313,16361.0739269688,16413.5110417239,16731.7996641851
"Cml Pop Growth","Neonatal Female",-28377.2622761383,129.90342135197,-28607.7978443032,-28443.7520431088,-28332.7660264477,-28315.824227456,-28222.3053222938
"Cml Pop Growth","Neonatal Male",86458.0387877379,106.875239636491,86260.1191189908,86406.379291467,86501.6223467266,86515.2443024764,86573.738998541
"Cml Pop Growth","Neonatal Combined",58080.7765115997,236.536587808691,57652.3212746876,57962.6272483583,58171.7279402505,58197.9842650346,58351.4336762472
"Cml Pop Growth","Juvenile Female",-34983.2700564364,54.0462151968852,-35052.1663706829,-35026.7243146041,-34976.075096356,-34967.6061572871,-34896.0813226157
"Cml Pop Growth","Juvenile Male",100539.083766623,50.4674881353898,100474.428998552,100498.994783235,100546.146743568,100553.609367113,100619.810023078
"Cml Pop Growth","Juvenile Combined",65555.8137101865,104.507658019242,65422.2626278687,65472.2704686309,65570.0716472122,65586.0032098257,65723.728700462
"Cml Pop Growth","Adult Female",-143122.486107992,7.85310983256556,-143133.473606662,-143127.605693763,-143122.408321761,-143119.869960357,-143108.877540461
"Cml Pop Growth","Adult Male",35752.0056177116,7.79568941491285,35741.0878169854,35746.9339963973,35752.0894987448,35754.6099562387,35765.5148279372
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",516731.343905071,394.807092242898,516080.973157089,516480.296074542,516837.02397988,516892.870556649,517286.686267227
"Total Number Increase","Neonatal Female",6477.02574855333,136.33089879773,6237.04171971862,6406.14436506357,6519.34104727146,6540.39357587175,6644.23607259123
"Total Number Increase","Neonatal Male",194328.617795199,143.637071180791,194076.978168824,194249.957255685,194369.764227064,194394.660456241,194512.817528031
"Total Number Increase","Neonatal Combined",200805.643543752,279.891741783254,200314.019888543,200657.30576692,200886.696981993,200935.054032113,201157.053600622
"Total Number Increase","Juvenile Female",76304.4584332107,58.1059723827782,76230.1853750282,76256.9247913276,76312.396095139,76321.2680433506,76399.3034207699
"Total Number Increase","Juvenile Male",100539.083766623,50.4674881353898,100474.428998552,100498.994783235,100546.146743568,100553.609367113,100619.810023078
"Total Number Increase","Juvenile Combined",176843.542199834,108.536515473596,176704.61437358,176755.919574563,176858.542838707,176874.877410463,177019.113443848
"Total Number Increase","Adult Female",93360.3528219543,8.28428915912233,93348.5405798363,93355.0743945166,93360.463978554,93363.1260264916,93374.6996985419
"Total Number Increase","Adult Male",45721.8053395304,8.09043115880048,45710.3238176706,45716.6251220805,45721.9119487959,45724.5172034956,45735.8195242151
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",97368.8172088762,19.4390575752357,97343.8643267049,97352.3510653983,97371.3753382092,97374.5287506813,97401.2749637816
"Total Mortality","Neonatal Female",44043.1457766557,9.31834974405234,44031.206358173,44035.3129339068,44044.4142720307,44045.8555393688,44058.6295808093
"Total Mortality","Neonatal Male",21118.3246225875,8.17971591316561,21107.8076167984,21111.5880739607,21119.5051504374,21120.6763129094,21131.7350923931
"Total Mortality","Neonatal Combined",65161.4703992432,17.4942335710528,65139.0139749714,65146.9010078674,65163.9774097279,65166.5028586483,65190.3646732024
"Total Mortality","Juvenile Female",26537.8429475312,1.05469326152735,26536.3260518619,26537.1783733623,26537.8588421362,26538.1967611469,26539.6686695766
"Total Mortality","Juvenile Male",5669.50386210177,1.00321346369155,5668.08015339116,5668.86151513798,5669.51708165069,5669.84013323346,5671.24162100267
"Total Mortality","Juvenile Combined",32207.346809633,2.05785703237253,32204.406205253,32206.0398885003,32207.3759237869,32208.0368943803,32210.9102905792
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",1258457498.23683,218553.946826867,1258177230.98705,1258266947.62804,1258484217.99885,1258522703.17893,1258824900.28976
"Value of Total Mortality","Neonatal Female",489583608.453305,103582.775754887,489450889.877451,489496538.573307,489597709.047893,489613730.175623,489755726.420276
"Value of Total Mortality","Neonatal Male",202334668.209011,78369.8581640441,202233904.776545,202270125.336617,202345978.84634,202357199.753985,202463153.920218
"Value of Total Mortality","Neonatal Combined",691918276.662316,181913.385187537,691684794.653996,691766663.909925,691944332.480614,691970607.636418,692218880.340494
"Value of Total Mortality","Juvenile Female",449497983.845284,17864.3944637496,449472290.666437,449486727.288011,449498253.068102,449503976.740305,449528907.925288
"Value of Total Mortality","Juvenile Male",117041237.729229,20710.3387444501,117011846.686607,117027977.118508,117041510.633597,117048179.710472,117077112.023979
"Value of Total Mortality","Juvenile Combined",566539221.574513,38573.8062234471,566484137.353044,566514704.406519,566539763.701699,566552156.450777,566606019.949267
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",499448663.068421,84099361.6516929,356421456.083772,432497807.499747,526291634.170494,568307152.710398,591378173.523203
"Population Liveweight (kg)","Neonatal Female",26480915.7361188,13346921.2625121,5985590.65050724,14431182.5585688,32000331.6050579,36744392.6555744,43092019.2377815
"Population Liveweight (kg)","Neonatal Male",13505655.3145088,4797537.75938315,7014466.64564064,9410615.31058586,13774089.049021,17157146.9800786,21249863.6828374
"Population Liveweight (kg)","Juvenile Female",97693968.240025,32238081.3321192,41312830.3845129,86820902.9784171,102901557.777996,121087095.424834,142350286.296308
"Population Liveweight (kg)","Juvenile Male",20879941.3481399,13601060.5002379,1187885.84197235,11351655.3995593,17509241.3912182,31386808.9977292,44840626.0686074
"Population Liveweight (kg)","Juvenile Combined",118573909.588165,34148632.6627584,64752657.791536,103685994.643567,121566004.563183,133913936.090656,168821832.382201
"Population Liveweight (kg)","Adult Female",318603929.627607,78135521.658641,150282600.657321,273209304.215946,341414700.387785,368970679.210989,412314644.665734
"Population Liveweight (kg)","Adult Male",22284252.8020207,9777222.4792876,9725967.41845957,15354132.7008701,21506974.9999463,24701345.4691627,40395792.5926018
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",94960100.8765042,44153042.7885798,26028010.3643624,75036177.3702952,92138759.2024249,130426184.795151,163415352.083453
"Offtake Liveweight (kg)","Juvenile Female",17561147.5351348,12088019.3772768,1780624.43637821,9515198.14464397,15358082.3711189,27599115.2835148,34831376.0964076
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",74515712.0658473,37379758.6780553,9459319.07082267,52321967.3317363,78157404.7789418,97076271.9878644,124626132.338551
"Offtake Liveweight (kg)","Adult Male",2883241.27552208,2025984.11834981,209367.772464999,857405.476263081,3324871.37373417,4401487.9384734,5264171.79636734
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",318630044.652103,59352985.9749228,210761645.307761,291955977.673831,327108218.126371,355983504.072184,416286771.399921
"Manure","Overall",946288117.782228,36758558.371647,912197357.370796,917714722.841305,938194000.91584,965312047.955133,1027005713.18391
"Manure","Neonatal Female",73521214.6628764,2008633.31749381,68957207.1426585,72597802.7624063,74176084.9662515,74703296.2452625,75983459.6946993
"Manure","Neonatal Male",36977238.3792565,782656.802516177,35503728.7477049,36653926.6674664,37136462.2458719,37316615.2652868,38312264.7005021
"Manure","Neonatal Combined",110498453.042133,2017632.87415467,106202192.321107,110207778.393322,111129744.309101,111310017.953799,113034008.140295
"Manure","Juvenile Female",174324404.508649,7940671.93950937,163621585.151103,168247105.455137,172971823.075089,181272347.78158,187090733.51412
"Manure","Juvenile Male",41683203.9482991,1487913.63500579,39312692.5776936,41061648.5833956,41692556.598985,42659391.7843549,44216455.6524433
"Manure","Juvenile Combined",216007608.456948,7789400.64818939,205838322.040601,210452365.918977,214945770.944461,222477299.513531,227523852.560975
"Manure","Adult Female",581610998.588044,33356319.373947,548878908.691819,551813355.288962,577785666.464245,603717967.42879,647751890.878292
"Manure","Adult Male",38171057.6951026,1831941.3332809,35092079.0130251,36838946.5842571,38264151.0386605,39521988.5246264,40557152.1649814
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",16103.6734048165,1.02892851618626,16102.2031026265,16103.0199442501,16103.6879618934,16104.0184471902,16105.4551452896
"Hides","Juvenile Female",13268.9214737656,0.527346630763675,13268.1630259309,13268.5891866812,13268.9294210681,13269.0983805734,13269.8343347883
"Hides","Juvenile Male",2834.75193105089,0.501606731845776,2834.04007669558,2834.43075756899,2834.75854082535,2834.92006661673,2835.62081050133
"Hides","Juvenile Combined",16103.6734048165,1.02892851618626,16102.2031026265,16103.0199442501,16103.6879618934,16104.0184471902,16105.4551452896
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
