"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",491931.227910663,45.5733928918193,491875.16502657,491901.023767879,491920.704914236,491955.840496289,492015.049443052
"Num Offtake","Neonatal Female",34505.4062257158,6.19926957327191,34497.7038682069,34501.3451079638,34503.9940801929,34508.742169876,34516.7941795421
"Num Offtake","Neonatal Male",105838.655065346,34.0041670455929,105796.058655187,105817.280116056,105830.760512022,105856.961921733,105900.617188807
"Num Offtake","Neonatal Combined",140344.061291062,40.1981570894223,140293.762523394,140318.62522402,140334.754592215,140365.498222138,140417.411368349
"Num Offtake","Juvenile Female",113747.494813332,4.75842036969163,113742.407590808,113742.951601936,113747.19744639,113750.676758475,113756.243942416
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",113747.494813332,4.75842036969163,113742.407590808,113742.951601936,113747.19744639,113750.676758475,113756.243942416
"Num Offtake","Adult Female",227834.763024124,0.596224516915851,227834.02499286,227834.278520107,227834.665405131,227835.252731885,227835.780134747
"Num Offtake","Adult Male",10004.9087821458,0.413779389429212,10004.3952909319,10004.5736341109,10004.8403093102,10005.2490204097,10005.6139975397
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-40277.8782152521,237.661406453227,-40563.7254503909,-40469.894817921,-40277.3286037305,-40156.776959694,-39869.4113280228
"Cml Pop Growth","Neonatal Female",-37847.1652411602,84.8729300300432,-37941.7217833522,-37930.5479797198,-37848.8659257988,-37783.8588822598,-37716.6372679643
"Cml Pop Growth","Neonatal Male",78318.3294216023,69.9539686008147,78231.6524825265,78253.9709845377,78314.7445760524,78381.0504123044,78416.7991013672
"Cml Pop Growth","Neonatal Combined",40471.1641804421,154.43910922568,40289.9306991743,40323.4230048178,40469.8862200935,40595.1877451246,40700.1618334029
"Cml Pop Growth","Juvenile Female",-18807.1660037906,43.2726690396772,-18862.3170929281,-18832.8725768808,-18817.1527001854,-18782.0751814041,-18729.2135281467
"Cml Pop Growth","Juvenile Male",102714.859727413,39.8440248694029,102664.219946269,102691.659604073,102705.492577935,102738.437724107,102786.237595112
"Cml Pop Growth","Juvenile Combined",83907.6937236226,83.1121826706043,83801.9028533412,83858.787027192,83888.3398777493,83956.3625427032,84057.0240669657
"Cml Pop Growth","Adult Female",-201005.495870809,8.09509097451282,-201014.539821316,-201012.922491499,-201005.887882259,-201000.278957127,-200990.544493213
"Cml Pop Growth","Adult Male",36348.759751492,8.23029037383619,36339.6802717219,36341.124203859,36348.3277141542,36354.1124181106,36363.947264822
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",451653.349695411,279.040367093659,451311.439576179,451442.173786056,451656.687147826,451786.117601954,452145.638115029
"Total Number Increase","Neonatal Female",-3341.7590154444,89.7765101063701,-3442.1647816447,-3429.68359804461,-3343.12893079251,-3279.45776757643,-3199.84308842217
"Total Number Increase","Neonatal Male",184156.984486949,96.925620358372,184045.158550901,184069.119730406,184158.034010303,184214.313573581,184317.416290174
"Total Number Increase","Neonatal Combined",180815.225471504,186.571191152238,180602.993769256,180639.436132362,180814.905079511,180934.855806004,181117.573201752
"Total Number Increase","Juvenile Female",94940.328809541,47.6963783685533,94880.09049788,94910.7863198822,94929.3667744015,94966.5706115792,95027.0304142691
"Total Number Increase","Juvenile Male",102714.859727413,39.8440248694029,102664.219946269,102691.659604073,102705.492577935,102738.437724107,102786.237595112
"Total Number Increase","Juvenile Combined",197655.188536954,87.5025668453688,197544.310444149,197602.445923955,197634.859352336,197705.008335686,197813.268009381
"Total Number Increase","Adult Female",26829.2671533152,8.66680162061053,26819.8219918768,26821.1276922522,26828.7775228723,26834.9737747579,26845.2356415341
