"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",495759.086670872,52.1202063428071,495587.621085148,495721.308253866,495760.7563324,495791.815246248,495934.420615867
"Num Offtake","Neonatal Female",36171.9421687978,7.1190323384025,36148.5094030409,36166.8054231084,36172.1962419156,36176.377240515,36195.9666732487
"Num Offtake","Neonatal Male",109862.487188873,38.9908853321167,109733.659104552,109834.741287697,109864.491364371,109887.249716192,109994.332881593
"Num Offtake","Neonatal Combined",146034.429357671,46.103488453213,145882.168507593,146001.646280614,146036.738528283,146063.778274418,146190.299554842
"Num Offtake","Juvenile Female",112172.52627298,5.28791633454129,112154.925412241,112168.785818643,112172.579163397,112175.924877263,112189.152336791
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",112172.52627298,5.28791633454129,112154.925412241,112168.785818643,112172.579163397,112175.924877263,112189.152336791
"Num Offtake","Adult Female",227562.612123674,0.648372235404945,227560.419935387,227562.179626085,227562.613600773,227563.03110736,227564.765177617
"Num Offtake","Adult Male",9989.51891654769,0.449311738669502,9987.99927791026,9989.21848561133,9989.51989803497,9989.80912705402,9991.01179182855
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-12814.7042591842,266.632269845811,-13718.3044005607,-12996.9174360212,-12814.3024101126,-12643.0245368261,-11900.9590644992
"Cml Pop Growth","Neonatal Female",-11454.3702445402,97.6920493254275,-11782.7847908497,-11522.7256964945,-11455.8394903758,-11391.6327679642,-11124.6063675866
"Cml Pop Growth","Neonatal Male",88955.0251844299,80.9849214237202,88685.2882854627,88899.2368492044,88954.7129045181,89006.2812410219,89213.4931712907
"Cml Pop Growth","Neonatal Combined",77500.6549398897,178.053613785368,76910.6956232325,77377.6940261395,77502.1649595383,77615.9464363782,78088.8868037041
"Cml Pop Growth","Juvenile Female",-25801.9182417988,48.8951029437602,-25963.7895837862,-25836.0838779418,-25799.7964709968,-25770.0711175555,-25635.9653738946
"Cml Pop Growth","Juvenile Male",102824.008728506,44.8403781045165,102675.598523928,102792.575751735,102825.698785859,102853.085433995,102975.735746858
"Cml Pop Growth","Juvenile Combined",77022.0904867071,93.7274450970602,76711.8089401422,76956.1421202353,77026.0713759796,77082.9012458043,77339.7703729635
"Cml Pop Growth","Adult Female",-203532.885147001,9.00410444617169,-203562.694184737,-203539.143190306,-203532.721225055,-203527.15106588,-203504.109967884
"Cml Pop Growth","Adult Male",36195.4354612198,9.12770726802459,36165.172708526,36189.0700450557,36195.5783357532,36201.2782023108,36224.4845047378
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",482944.382411688,312.51174161684,481896.828485867,482731.981794984,482945.411127932,483148.430778862,484006.496201101
"Total Number Increase","Neonatal Female",24717.5719242576,102.919994282921,24369.4996754382,24646.9593280143,24718.0399836559,24782.2625916613,25067.6001519743
"Total Number Increase","Neonatal Male",198817.512373303,109.45934490326,198447.792874854,198742.77104318,198817.379063913,198885.294437498,199190.486175435
"Total Number Increase","Neonatal Combined",223535.08429756,212.235910617371,222817.292550292,223392.330802789,223536.459817321,223666.114286479,224258.08632741
"Total Number Increase","Juvenile Female",86370.6080311814,53.8416327598189,86192.556654733,86332.3277833806,86373.3964371652,86404.9286696262,86553.151466827
"Total Number Increase","Juvenile Male",102824.008728506,44.8403781045165,102675.598523928,102792.575751735,102825.698785859,102853.085433995,102975.735746858
"Total Number Increase","Juvenile Combined",189194.616759687,98.6344433957588,188868.155178661,189125.816384574,189198.914587687,189258.442128826,189528.887213685
"Total Number Increase","Adult Female",24029.7269766727,9.63553311362448,23997.7257506505,24022.9816654999,24029.859024745,24035.9487048972,24060.2009448623
"Total Number Increase","Adult Male",46184.9543777675,9.56542866933478,46153.1719864362,46178.2559643273,46185.0744153173,46191.1364462271,46215.1778122953
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",108059.063700664,2.65783931948954,108050.197436128,108057.196035424,108059.124328121,108060.773266952,108067.458717776
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",26748.8331881722,1.26096466439055,26744.636059842,26747.9412336765,26748.8458005023,26749.6436245781,26752.797864927
"Total Mortality","Juvenile Male",5726.93434284317,1.18611315499756,5722.99332631809,5726.10373957659,5726.94922749934,5727.70091933216,5730.68204872462
