"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",2621161.50515575,396741.498338147,2164831.82042133,2301287.68409428,2492230.20530237,2931444.12435675,3283813.72836139
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",210818.937319704,36525.7348786072,168551.810035091,181541.850842128,198746.445107923,239871.621986259,271785.588424854
"Num Offtake","Juvenile Male",1527598.52376057,300207.523486354,1177921.59645965,1291097.3794953,1423501.98844915,1773516.70589919,2025303.73771148
"Num Offtake","Juvenile Combined",1738417.46108027,336726.690129265,1346473.40649474,1472639.23033743,1622248.43355707,2013388.32788545,2297089.32613633
"Num Offtake","Adult Female",156683.265058299,4078.52307272602,152380.954313106,153344.501738797,155874.281613496,158907.915866342,163691.975797672
"Num Offtake","Adult Male",726060.779017185,56930.0708535272,665977.459613483,678054.799968455,714107.490131803,759147.880604965,823032.426427388
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",56558883.1601538,11627788.1894121,36346683.3636825,49191775.6211562,57846336.4905765,63249012.2883332,72726006.4348911
"Cml Pop Growth","Neonatal Female",19385602.8272152,4019727.97593782,11921830.5102854,17125727.1863091,19617037.5006715,21678180.663186,25042932.7817545
"Cml Pop Growth","Neonatal Male",19711633.9683643,4028340.04344815,12255571.8463464,17448045.4838361,19938650.6565902,21979994.0738265,25418872.0124621
"Cml Pop Growth","Neonatal Combined",39097236.7955796,8047997.32668711,24177402.3566319,34573772.6701452,39555688.1572616,43658174.7370125,50461804.7942166
"Cml Pop Growth","Juvenile Female",8305748.80997723,1775707.17129413,5823621.02772766,6944578.36754013,7891613.80971488,9710813.61144888,11177065.3244588
"Cml Pop Growth","Juvenile Male",7134416.62182676,1553956.39193304,4929694.50120195,5907936.40682194,6809470.95944695,8352624.80419288,9622830.91108364
"Cml Pop Growth","Juvenile Combined",15440165.431804,3328990.53505599,10753315.5289296,12852514.7743621,14701084.7691618,18063438.4156418,20799896.2355424
"Cml Pop Growth","Adult Female",1400849.48135529,298415.641519295,1054779.13168693,1162712.65398233,1300993.65932389,1640486.17084584,1898094.27013277
"Cml Pop Growth","Adult Male",620631.451414922,218378.234048256,361186.346434081,455033.548869691,538815.116794534,813232.895747739,977238.252474832
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",59180044.6653095,11969679.8518145,38511515.1841038,51574727.1913664,60300695.0278038,66160529.4829441,76009820.1632525
"Total Number Increase","Neonatal Female",19385602.8272152,4019727.97593782,11921830.5102854,17125727.1863091,19617037.5006715,21678180.663186,25042932.7817545
"Total Number Increase","Neonatal Male",19711633.9683643,4028340.04344815,12255571.8463464,17448045.4838361,19938650.6565902,21979994.0738265,25418872.0124621
"Total Number Increase","Neonatal Combined",39097236.7955796,8047997.32668711,24177402.3566319,34573772.6701452,39555688.1572616,43658174.7370125,50461804.7942166
"Total Number Increase","Juvenile Female",8516567.74729693,1810512.87476463,5992172.83776275,7133390.47673094,8087277.08003551,9948667.04225582,11448850.9128836
"Total Number Increase","Juvenile Male",8662015.14558732,1840097.51101617,6107616.0976616,7250933.20729153,8215753.63954962,10105272.5749132,11648134.6487951
