"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",2228510.83765473,319330.14098269,1660148.29593045,2012340.63417941,2200265.92719934,2503114.91119866,2624408.75814046
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",172500.660700537,28581.5565592203,121068.898982968,153042.88502552,169933.458890949,198122.161674622,207064.816436169
"Num Offtake","Juvenile Male",1244059.77988965,235642.238416826,814051.727871433,1081611.26947804,1226052.04015012,1462984.08318314,1521583.46378999
"Num Offtake","Juvenile Combined",1416560.44059018,264213.094507004,935120.626854401,1234758.42950724,1395776.94903369,1661106.24485776,1728648.28022616
"Num Offtake","Adult Female",134099.779557904,3602.38217554147,128785.570458352,131658.508942483,133839.711946784,136960.371915352,139454.146181813
"Num Offtake","Adult Male",677850.617506638,53712.1377957953,596242.098617694,642453.057454603,674335.574885029,720729.780894848,756306.331732486
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",54590235.2066023,9916946.89839523,31303679.7753975,52731693.3974973,57499181.2557662,60558002.882775,63762382.8013091
"Cml Pop Growth","Neonatal Female",19241636.1972179,3841825.59708397,10640930.9953073,18911902.3815746,19477589.9004685,21951455.748402,23806845.0767777
"Cml Pop Growth","Neonatal Male",19572547.6262638,3857045.35494459,10918046.6200974,19219621.2035214,19815049.740215,22312535.9165413,24169430.9027469
"Cml Pop Growth","Neonatal Combined",38814183.8234817,7698746.61899476,21558977.6154047,38153282.9970713,39292639.6406835,44263991.6649433,47976275.9795246
"Cml Pop Growth","Juvenile Female",7571110.18124878,1334167.36903275,4803869.27346396,7028766.08694504,7765085.16501348,8098024.50739894,9632627.23294755
"Cml Pop Growth","Juvenile Male",6609461.22597225,1169735.57596383,4164556.48023396,6193933.94854861,6820032.86677687,6986383.67962157,8459002.32660477
"Cml Pop Growth","Juvenile Combined",14180571.407221,2502940.10215678,8968425.75369792,13226063.8247537,14578390.4532703,15064292.1114847,18091629.5595523
"Cml Pop Growth","Adult Female",1053520.26274805,254846.005151919,591473.088564816,878623.087390549,1032036.99657495,1287975.12687334,1356425.58402801
"Cml Pop Growth","Adult Male",541959.713151475,189353.351884886,184803.31773007,416527.06806193,539325.651716264,716533.385040184,764989.700056328
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",56818746.044257,10167703.8632001,32963828.071328,54744034.0316767,60068751.2243064,62882265.327498,66238900.4297445
"Total Number Increase","Neonatal Female",19241636.1972179,3841825.59708397,10640930.9953073,18911902.3815746,19477589.9004685,21951455.748402,23806845.0767777
"Total Number Increase","Neonatal Male",19572547.6262638,3857045.35494459,10918046.6200974,19219621.2035214,19815049.740215,22312535.9165413,24169430.9027469
"Total Number Increase","Neonatal Combined",38814183.8234817,7698746.61899476,21558977.6154047,38153282.9970713,39292639.6406835,44263991.6649433,47976275.9795246
"Total Number Increase","Juvenile Female",7743610.84194932,1359966.87483549,4924938.17244693,7180166.49995524,7934810.07389706,8301611.35382446,9832405.80304918
"Total Number Increase","Juvenile Male",7853521.00586189,1383210.95344953,4978608.20810539,7271494.48568129,8039357.32840692,8459850.77081246,9939787.01233668
"Total Number Increase","Juvenile Combined",15597131.8478112,2743080.63926831,9903546.38055232,14451660.9856365,15974167.402304,16761462.1246369,19772192.8153859
"Total Number Increase","Adult Female",1187620.04230596,258240.794514002,720258.659023169,1010964.82983966,1165040.71833094,1423719.45607837,1495879.73020982
"Total Number Increase","Adult Male",1219810.33065811,239718.8055719,781045.416347764,1053797.09914802,1202679.46117006,1444667.18486174,1500091.24775005
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",3393381.44331341,538556.873286665,2309902.51819763,3088003.01259597,3397604.91614178,3778910.56376804,4111366.99804265
"Total Mortality","Neonatal Female",1258420.23412703,215369.491665016,789206.101482963,1171455.79389756,1281270.33911896,1409398.85003105,1517376.90651621
