"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1413648.12158614,204.161876079973,1413389.14823374,1413476.87731313,1413593.35362703,1413816.90342551,1413941.94105012
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95252.4418160416,126.125164960505,95096.573158238,95154.3388691984,95227.9906457677,95324.8394931966,95509.7925199225
"Num Offtake","Juvenile Male",92747.8509248213,120.892049691071,92576.2224365852,92648.0805377713,92722.5566434849,92868.9074222379,92900.2016821271
"Num Offtake","Juvenile Combined",188000.292740863,164.718935706743,187783.620322493,187872.300926069,187949.179353297,188157.213462073,188229.362093435
"Num Offtake","Adult Female",336929.863176505,21.4891234352276,336903.32379966,336914.692173991,336920.420038366,336945.425005817,336968.629893512
"Num Offtake","Adult Male",89954.6657108853,37.6507634725682,89913.9804960477,89923.7543277869,89944.118839182,89991.6163036598,90005.2058640805
"Num Offtake","Oxen",798763.299957882,0.539778630784337,798762.408574271,798762.911103313,798763.302169842,798763.750365163,798764.055839097
"Cml Pop Growth","Overall",74898.2040385298,9986.86414546535,57085.4145455547,72664.686421792,74681.7922287118,79176.8840651959,89480.0549634248
"Cml Pop Growth","Neonatal Female",-35888.2823910869,4025.05999815251,-41789.6302683842,-37720.8080706795,-36742.7357160391,-32289.8914100695,-30413.4671674501
"Cml Pop Growth","Neonatal Male",12471.5379445251,2220.72465232263,8598.38391895266,11153.7899477564,12196.7825686976,14607.7306938002,15302.4414813458
"Cml Pop Growth","Neonatal Combined",-23416.7444465618,5584.25562419607,-32761.8525912981,-25344.4399234044,-23847.7651562968,-19454.7684811104,-15377.6606617339
"Cml Pop Growth","Juvenile Female",215355.137162918,3991.72610238907,208163.620583748,212529.585607078,216439.858911643,218315.15362906,220544.754880795
"Cml Pop Growth","Juvenile Male",197189.329612726,3540.25015526157,191946.838893264,195451.299605764,197152.582346236,200293.882720271,201601.648766884
"Cml Pop Growth","Juvenile Combined",412544.466775644,4593.07830275884,403538.015138236,410500.528602178,412571.474424349,414445.478601321,420698.140866826
"Cml Pop Growth","Adult Female",-179582.589598446,991.056259263569,-180804.825769257,-180357.469388019,-179755.815455508,-179024.232017944,-177549.993137457
"Cml Pop Growth","Adult Male",617047.06944031,946.375614688983,615686.773526241,616264.805995026,616865.513891125,617988.512443829,618229.095330733
"Cml Pop Growth","Oxen",-751693.998132418,19.2152888730793,-751714.708577622,-751709.955622108,-751699.52584424,-751674.893161178,-751668.308584634
