"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1407170.92903801,80.7187047405836,1407017.13644009,1407133.57014217,1407168.00775305,1407217.82151355,1407315.32423126
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",96972.5916777638,39.7438506616079,96903.0697455087,96953.5716911339,96960.9437369135,97002.2920851711,97036.7855140886
"Num Offtake","Juvenile Male",94411.8653727593,65.4121918101885,94302.69637148,94382.2033003056,94414.4205513383,94440.0336216755,94515.2394883817
"Num Offtake","Juvenile Combined",191384.457050523,65.0810327677099,191262.469869059,191363.507727102,191379.142885378,191420.393288688,191507.316835484
"Num Offtake","Adult Female",337189.270579054,5.9450712060774,337181.911470132,337184.535680719,337188.039556853,337194.303381665,337198.487496201
"Num Offtake","Adult Male",90546.8119999024,17.5035001764454,90517.6088030535,90542.4461010133,90548.8980751126,90555.505778999,90576.4708039803
"Num Offtake","Oxen",788050.38940853,0.195585280169212,788050.062387588,788050.350502305,788050.43228667,788050.466515027,788050.726567219
"Cml Pop Growth","Overall",-69059.5372065753,8352.80049592328,-83508.7104728892,-75206.9795616996,-66580.1554310825,-63312.6491144095,-59373.3320645727
"Cml Pop Growth","Neonatal Female",-91205.4949834306,4769.69458734462,-99104.474468115,-92794.5655814603,-91156.2871069788,-89270.5409634084,-84435.2002178025
"Cml Pop Growth","Neonatal Male",-43200.2565497328,4549.06040889943,-50504.6421858845,-45200.1363404994,-44071.411524205,-39157.0096178023,-36877.8091197303
"Cml Pop Growth","Neonatal Combined",-134405.751533163,7212.88610795196,-148402.724751508,-138527.803663213,-130681.933440171,-129132.175458094,-128208.087578049
"Cml Pop Growth","Juvenile Female",263493.418749799,1707.72796573373,261004.062543975,262528.158204195,263115.973402628,264217.40788732,267344.26545315
"Cml Pop Growth","Juvenile Male",243574.296296665,2684.89555625407,239395.489088109,242022.614953002,244022.6538435,244110.970840288,248355.096214334
"Cml Pop Growth","Juvenile Combined",507067.715046464,2271.22274746989,503645.461367399,505864.735171511,506873.210523332,508313.232497478,511444.379645335
"Cml Pop Growth","Adult Female",-165997.406580346,315.512245264714,-166555.496367808,-166142.227873737,-166090.91646774,-165766.817126041,-165478.65967714
"Cml Pop Growth","Adult Male",629887.928633628,515.685186219996,629028.783192702,629646.385596246,629905.607541869,630108.641260664,630697.993994734
"Cml Pop Growth","Oxen",-905612.022773158,8.92604911873524,-905626.908048509,-905614.270322802,-905610.972727177,-905607.599100137,-905596.911358276
"Total Number Increase","Overall",1338111.39183144,8363.93318080476,1323710.02769906,1331928.89002339,1340535.94855813,1343850.88495685,1347941.99216669
"Total Number Increase","Neonatal Female",-91205.4949834306,4769.69458734462,-99104.474468115,-92794.5655814603,-91156.2871069788,-89270.5409634084,-84435.2002178025
"Total Number Increase","Neonatal Male",-43200.2565497328,4549.06040889943,-50504.6421858845,-45200.1363404994,-44071.411524205,-39157.0096178023,-36877.8091197303
"Total Number Increase","Neonatal Combined",-134405.751533163,7212.88610795196,-148402.724751508,-138527.803663213,-130681.933440171,-129132.175458094,-128208.087578049
"Total Number Increase","Juvenile Female",360466.010427563,1730.78494248053,357907.132289483,359489.25110102,360130.243489799,361175.114116084,364381.050967238
"Total Number Increase","Juvenile Male",337986.161669424,2744.38136973404,333698.185459588,336372.267483308,338449.500437595,338521.82240151,342843.536339125
"Total Number Increase","Juvenile Combined",698452.172096987,2324.15553793145,694907.931236458,697252.534681511,698266.055170649,699703.996617423,702951.696480819
"Total Number Increase","Adult Female",171191.863998708,320.924947587118,170626.415102324,171042.307806982,171097.123089113,171428.308278659,171716.219194049
"Total Number Increase","Adult Male",720434.740633531,532.651340423998,719546.391995755,720189.941774826,720454.505616981,720663.546946013,721274.464798714
"Total Number Increase","Oxen",-117561.633364627,9.1185091434595,-117576.845660921,-117563.91145447,-117560.548997202,-117557.105997571,-117546.184791058
"Total Mortality","Overall",666088.292421516,8540.83721818735,656124.78556152,660464.749820048,662869.481550447,673310.438502679,679221.978666526
"Total Mortality","Neonatal Female",158893.61171421,5926.64670371105,147713.015066786,156785.860830468,159454.423806417,160383.580140366,168156.38441701
"Total Mortality","Neonatal Male",154707.607913688,6634.25505346119,144539.229741445,149293.350003866,154820.694987995,159950.736056391,164260.487180502
"Total Mortality","Neonatal Combined",313601.219627898,8541.43501658234,303630.526020486,307979.268771043,310379.491045612,320827.697846649,326731.605103766
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",168594.635289527,2.9725356030387,168590.955735066,168592.267840359,168594.019778426,168597.151690833,168599.243748101
"Total Mortality","Adult Male",18951.658325561,3.66352329274473,18945.5460285461,18950.7445327702,18952.0949459538,18953.477953744,18957.8659822284
"Total Mortality","Oxen",164940.77917853,0.0409364539689693,164940.710732286,164940.771035366,164940.788153024,164940.795317099,164940.849746627
"Population Liveweight (kg)","Overall",3888815982.51695,334563374.84131,3530797207.39197,3638335281.05058,3779769387.83764,4174260948.66064,4394795371.4945
"Population Liveweight (kg)","Neonatal Female",99327150.8637471,16098567.3860164,63865319.1073402,97821754.3982076,106014759.25294,106194891.979376,116233520.627217
"Population Liveweight (kg)","Neonatal Male",92783304.4338664,13069745.5651183,64466902.7376427,87824682.2046694,96474766.0469997,100993754.854684,110424296.561
"Population Liveweight (kg)","Juvenile Female",261313510.055671,44357701.4849591,204678510.120715,240851819.823329,250312111.500638,289865518.075542,338978858.216643
"Population Liveweight (kg)","Juvenile Male",296078659.235296,62689994.5209832,189181779.626735,258611157.95593,319406008.812999,334127595.33244,382890637.872015
"Population Liveweight (kg)","Juvenile Combined",557392169.290967,88535828.0527928,411337291.193264,504021327.037809,551928811.901539,594330391.474143,721869496.088658
"Population Liveweight (kg)","Adult Female",1306319722.84369,218892986.372935,987373623.142765,1169060677.90933,1311664630.29833,1392081999.00448,1741392337.33599
"Population Liveweight (kg)","Adult Male",301818627.229559,35453619.3048772,244815348.644428,277181221.382919,301127557.791561,326827583.734147,362714119.639773
"Population Liveweight (kg)","Oxen",1531175007.85512,150936340.993425,1263527877.86996,1455399644.51609,1511960874.93405,1586451797.28455,1826336622.55995
