"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",156887.119174059,11.4878739390967,156868.818412876,156879.072432758,156887.91950632,156894.868066017,156907.445972485
"Num Offtake","Neonatal Female",8330.32816694716,1.56192731611855,8327.83804819044,8329.22811156954,8330.44787897166,8331.37594902292,8333.09036147623
"Num Offtake","Neonatal Male",44507.989417755,8.64097440440477,44493.9410240159,44502.3093977204,44508.678656203,44513.6189170336,44523.3000822283
"Num Offtake","Neonatal Combined",52838.3175847021,10.2015140284241,52821.7790722063,52831.5375092899,52839.1265351747,52844.9948660566,52856.3904437045
"Num Offtake","Juvenile Female",32596.9384340751,1.13679073754798,32595.4422641702,32595.9959550452,32596.9544934668,32597.7331770541,32598.8293739133
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",32596.9384340751,1.13679073754798,32595.4422641702,32595.9959550452,32596.9544934668,32597.7331770541,32598.8293739133
"Num Offtake","Adult Female",63844.5685199948,0.146926578481237,63844.3854635462,63844.4394911982,63844.5511864798,63844.6818882082,63844.7995886627
"Num Offtake","Adult Male",7607.29463528691,0.0838870258076119,7607.19016637253,7607.22093614133,7607.28477758128,7607.35934867801,7607.42656620438
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3654.33767032033,86.4991925994183,-3780.22758168075,-3686.85173756172,-3640.13166006841,-3618.25348014093,-3486.63799524994
"Cml Pop Growth","Neonatal Female",9808.29155962961,35.5388108497187,9750.009706638,9793.08375050631,9812.73604146856,9825.34502921141,9874.44875009265
"Cml Pop Growth","Neonatal Male",-12413.4163754292,31.7360271912719,-12468.1794437601,-12428.1149938169,-12410.403057102,-12399.2364543198,-12356.0128536912
"Cml Pop Growth","Neonatal Combined",-2605.12481579963,67.1975771282098,-2718.16973712212,-2635.03124331063,-2597.6670156334,-2573.89142510837,-2481.5641035985
"Cml Pop Growth","Juvenile Female",-20806.8308377587,11.0257497202149,-20825.0373162833,-20813.6735340391,-20805.8171065512,-20799.655516837,-20787.3200694629
"Cml Pop Growth","Juvenile Male",33511.151594005,10.2139584740996,33494.1417703092,33505.0211322123,33512.0595430585,33517.7059059637,33529.2210307845
"Cml Pop Growth","Juvenile Combined",12704.3207562463,21.2381727729323,12669.1044540259,12691.4477476134,12706.2424365073,12718.1413938569,12741.9009613216
"Cml Pop Growth","Adult Female",-33333.7841768441,1.9690625695962,-33336.4067170014,-33335.4025813029,-33333.7625302728,-33332.40867419,-33330.4952740193
"Cml Pop Growth","Adult Male",19580.2505660771,1.9581985083782,19577.6430941462,19578.6380267291,19580.27351835,19581.6182037285,19583.5204210464
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",153232.781503739,96.1053170670344,153088.813488391,153193.868272044,153242.148460107,153275.48840203,153420.807977235
"Total Number Increase","Neonatal Female",18138.6197265768,36.6679206015523,18079.6214099473,18123.239741794,18143.5933414739,18156.7209782343,18207.5391115689
"Total Number Increase","Neonatal Male",32094.5730423257,38.0406118573228,32035.3407691032,32078.9346049189,32100.4213021566,32111.129799394,32167.2872285371
"Total Number Increase","Neonatal Combined",50233.1927689025,74.6868185812414,50114.9621790505,50202.174346713,50244.0146436305,50268.3190828408,50374.826340106
"Total Number Increase","Juvenile Female",11790.1075963164,12.0856742134418,11770.4049478869,11782.198627491,11791.1465036022,11797.913215627,11811.5093044504
"Total Number Increase","Juvenile Male",33511.151594005,10.2139584740996,33494.1417703092,33505.0211322123,33512.0595430585,33517.7059059637,33529.2210307845
"Total Number Increase","Juvenile Combined",45301.2591903214,22.2898838832208,45264.5467181961,45287.3199091435,45303.2060466608,45315.6138770225,45340.7303352349
"Total Number Increase","Adult Female",30510.7843431507,2.11330633449285,30507.9924445916,30509.0369098952,30510.8121313903,30512.2614764265,30514.3043146434
"Total Number Increase","Adult Male",27187.545201364,2.04053043873226,27184.8410090529,27185.8589628704,27187.5716600716,27188.9708703364,27190.9469872508
