"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",180412.516287508,7428.03551373424,167597.621012556,176835.955969444,180136.216777058,184884.623683842,191207.458632836
"Num Offtake","Neonatal Female",11420.6478293972,1013.26823664771,9670.7787034233,10933.5232951246,11384.1590132218,12027.0369036177,12894.7526835797
"Num Offtake","Neonatal Male",61640.0009386206,5521.53911412727,52069.4467998557,58825.6155257467,61645.5999541863,64906.1447327364,69812.0847120632
"Num Offtake","Neonatal Combined",73060.6487680179,6534.4273826096,61740.225503279,69759.1388208713,73029.7589674082,76933.1816363541,82706.8373956429
"Num Offtake","Juvenile Female",34653.3568642633,766.797236202915,33387.3952167241,34294.9889065427,34540.8431172068,35177.6923190582,35722.2092246073
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",34653.3568642633,766.797236202915,33387.3952167241,34294.9889065427,34540.8431172068,35177.6923190582,35722.2092246073
"Num Offtake","Adult Female",64877.5140872601,94.0503269250885,64732.0420509894,64834.8699867952,64854.8940472418,64956.790861211,65010.3777539722
"Num Offtake","Adult Male",7820.9965679666,53.6791392023365,7737.95824156313,7796.66382331602,7808.08033773305,7866.22833024744,7896.8245049209
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",145248.981622319,31423.78373687,94124.8390349732,125200.937307972,149147.642469591,170209.258161683,190378.578809947
"Cml Pop Growth","Neonatal Female",60458.5525855389,10048.907638154,46117.9404263212,53450.6658247874,60063.9614385353,69566.2702652999,73567.297039476
"Cml Pop Growth","Neonatal Male",27246.3679222024,7626.48700430829,18298.1933471285,21090.1523122322,26204.8957640609,34301.0599219389,38060.5514398902
"Cml Pop Growth","Neonatal Combined",87704.9205077414,17570.436984673,64416.1337734497,75184.8073946983,86126.2796429678,104634.206814388,109115.406570502
"Cml Pop Growth","Juvenile Female",2529.64341926103,7017.77732576026,-9677.75444853411,-1207.28763322755,2764.18878122412,6603.46663197959,13071.0442780826
"Cml Pop Growth","Juvenile Male",54611.8990201228,6423.65152660442,43430.0220859656,51080.5136035744,54841.9873171005,58386.9966806078,64342.0731338544
"Cml Pop Growth","Juvenile Combined",57141.5424393839,13440.960463753,33752.2676374315,49873.2259703468,57622.9570494518,64982.0728370238,77413.117411937
"Cml Pop Growth","Adult Female",-23981.4884671682,1344.55253266006,-26212.8310622605,-24614.8710327054,-24166.2648112867,-23083.8868653342,-22111.5905027933
"Cml Pop Growth","Adult Male",24384.0071423621,1334.98034545731,22169.2686863525,23756.8745123175,24198.5804395904,25276.5956706039,26239.4954199032
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",325661.497909827,38379.057698358,261722.460047529,302128.267953372,331391.412685031,355681.864180386,381586.037442784
"Total Number Increase","Neonatal Female",71879.2004149362,10871.6566918999,55788.7191297445,64398.9906971379,71849.7222344212,81040.87463781,86462.0497230557
"Total Number Increase","Neonatal Male",88886.3688608231,12009.3292611005,70367.6401469842,80871.2275288634,89365.8027045592,98074.1417404309,105360.194243089
"Total Number Increase","Neonatal Combined",160765.569275759,22862.8919796723,126156.359276729,145270.218226001,161215.52493898,179048.611431982,191822.243966145
"Total Number Increase","Juvenile Female",37183.0002835244,7765.20902887855,23709.64076819,33209.5124031685,37223.8244785287,41749.0461686541,48702.669055326
"Total Number Increase","Juvenile Male",54611.8990201228,6423.65152660442,43430.0220859656,51080.5136035744,54841.9873171005,58386.9966806078,64342.0731338544
"Total Number Increase","Juvenile Combined",91794.8993036472,14186.0972943155,67139.6628541556,84290.0260067429,92186.8715419273,100075.512976113,113044.74218918
"Total Number Increase","Adult Female",40896.0256200919,1437.63760063221,38519.2109887288,40222.7049319716,40688.6292359551,41872.9039958768,42898.7872511789
"Total Number Increase","Adult Male",32205.0037103287,1388.10111414036,29907.2269279156,31555.0872508724,32006.6607773234,33142.8240008513,34136.3199248241
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",254367204.481023,12711385.0404187,238036069.072269,245374910.356878,251615941.786393,262112228.646125,274091406.513499
"Population Liveweight (kg)","Neonatal Female",19308812.1307075,3469847.24305569,14848435.5228878,16754525.7531893,18857604.2198524,21160854.784408,24656272.1701993
"Population Liveweight (kg)","Neonatal Male",14372994.335815,3325167.07561807,6381486.73050753,13477388.3487392,14942626.6504419,15776945.3537134,18298258.3820604
