"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3349988.43365901,396945.402431864,2735172.42406806,3097723.44497751,3276019.84020676,3562377.16693143,4115399.50539592
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",292824.232189633,38593.7215995459,232809.259556331,268286.293783887,285835.509100642,313623.487708886,367203.262274068
"Num Offtake","Juvenile Male",2033885.07088354,300876.993939273,1548038.00186151,1850975.93575556,1987361.52256562,2204160.24074643,2597761.62030392
"Num Offtake","Juvenile Combined",2326709.30307317,339428.443455222,1780847.26141784,2119262.22953944,2273197.03166626,2517783.72845532,2964964.88257799
"Num Offtake","Adult Female",211632.746612125,4994.80918410075,206297.400004778,207394.223914134,211691.902125921,214142.921402495,222367.56520905
"Num Offtake","Adult Male",811646.383973718,55314.2217365444,748027.76264544,764564.346448844,808648.136159759,840510.716203182,928067.057608881
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",51379620.4079468,10753741.2656466,33524387.0756516,46114739.6320482,53772677.9310048,58251377.7397905,64636692.8960308
"Cml Pop Growth","Neonatal Female",17527337.6811442,4108462.67560152,10607623.9490259,15328374.3094064,18432792.1121808,20559630.6442146,22052079.0855553
"Cml Pop Growth","Neonatal Male",17851403.193485,4115917.6054535,10986635.9737476,15597174.4018883,18736405.769018,20870187.7597111,22456816.426861
"Cml Pop Growth","Neonatal Combined",35378740.8746292,8224266.41227432,21594259.9227735,30925548.7112947,37169197.8811988,41429818.4039257,44508895.5124164
"Cml Pop Growth","Juvenile Female",7994317.83458071,1335070.17616449,5219116.41068168,7579264.01173392,8014919.78597752,8864885.3003815,9934913.13594428
"Cml Pop Growth","Juvenile Male",6456317.67442314,1132126.74741133,4064897.00570535,6037378.63568298,6562864.08057678,7202420.01099306,7988406.90214588
"Cml Pop Growth","Juvenile Combined",14450635.5090038,2465104.71707257,9284013.41638703,13616642.6474169,14577783.8665543,16067305.3113746,17923320.0380902
"Cml Pop Growth","Adult Female",1094666.14245988,215397.484104919,753778.95448733,960108.652242628,1058595.17688688,1214025.50814157,1504512.43281633
"Cml Pop Growth","Adult Male",455577.881853794,142408.070962369,205114.280186213,375697.162481739,445250.26068729,546003.826574023,699964.912707917
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",54729608.8416058,11066689.876399,36259559.4997196,49245521.6615597,56946719.5187971,61593452.2190116,68752092.4014267
"Total Number Increase","Neonatal Female",17527337.6811442,4108462.67560152,10607623.9490259,15328374.3094064,18432792.1121808,20559630.6442146,22052079.0855553
"Total Number Increase","Neonatal Male",17851403.193485,4115917.6054535,10986635.9737476,15597174.4018883,18736405.769018,20870187.7597111,22456816.426861
"Total Number Increase","Neonatal Combined",35378740.8746292,8224266.41227432,21594259.9227735,30925548.7112947,37169197.8811988,41429818.4039257,44508895.5124164
"Total Number Increase","Juvenile Female",8287142.06677034,1368227.98266773,5451925.67023801,7874728.6512325,8290735.86459959,9172809.26179164,10302116.3982183
"Total Number Increase","Juvenile Male",8490202.74530668,1393351.66972785,5612935.00756686,8073773.26083347,8472104.03208179,9369465.4831906,10586168.5224498
